* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 27 오후 11:21:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Gray
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.917	-164.9156
20.600000	90.934	-165.1319
20.900000	90.963	-165.5270
21.200001	90.981	-165.9229
21.400000	90.987	-166.1808
21.799999	90.990	-166.6902
22.000000	90.990	-166.9453
22.400000	90.989	-167.4610
22.700001	90.989	-167.8626
23.000000	90.989	-168.2845
23.299999	90.989	-168.7234
23.600000	90.990	-169.1726
24.000000	90.995	-169.7784
24.299999	91.002	-170.2354
24.700001	91.015	-170.8504
25.000000	91.024	-171.3149
25.400000	91.034	-171.9278
25.799999	91.041	-172.5114
26.200001	91.047	-173.0466
26.500000	91.053	-173.4145
26.900000	91.062	-173.8712
27.200001	91.068	-174.2018
27.600000	91.076	-174.6428
28.000000	91.080	-175.0886
28.500000	91.075	-175.6343
29.000000	91.062	-176.1409
29.500000	91.045	-176.6088
30.000000	91.029	-177.0652
30.400000	91.018	-177.4366
30.700001	91.009	-177.7178
31.100000	90.996	-178.0883
31.500000	90.986	-178.4503
32.000000	90.979	-178.9083
32.500000	90.980	-179.4188
33.000000	90.978	179.9904
33.500000	90.966	179.3645
34.000000	90.944	178.8019
34.500000	90.919	178.3591
35.000000	90.902	178.0045
35.500000	90.897	177.6614
36.000000	90.897	177.2818
36.500000	90.896	176.8661
37.000000	90.888	176.4401
37.500000	90.872	176.0258
38.200001	90.841	175.4767
38.700001	90.815	175.1020
39.500000	90.769	174.5268
40.000000	90.742	174.1797
40.599998	90.714	173.7624
41.200001	90.688	173.3253
41.799999	90.662	172.8752
42.500000	90.634	172.3774
43.099998	90.618	171.9789
43.700001	90.608	171.5597
44.400002	90.590	171.0314
45.000000	90.564	170.6082
45.500000	90.540	170.3030
46.200001	90.507	169.9091
46.799999	90.474	169.5906
47.500000	90.433	169.3010
48.200001	90.407	169.0584
48.700001	90.397	168.8245
49.400002	90.377	168.3796
50.000000	90.343	167.9931
50.799999	90.295	167.5807
51.500000	90.264	167.2468
52.200001	90.239	166.8852
53.000000	90.212	166.4660
53.799999	90.187	166.0317
54.500000	90.160	165.6407
55.200001	90.130	165.2746
56.000000	90.093	164.8770
57.000000	90.037	164.3908
58.000000	89.969	163.9748
59.000000	89.901	163.6101
60.000000	89.831	163.2570
60.799999	89.775	162.9903
61.500000	89.732	162.7879
62.200001	89.702	162.5758
63.000000	89.672	162.2490
64.000000	89.622	161.8352
65.000000	89.582	161.5546
66.000000	89.564	161.2028
67.000000	89.537	160.7643
68.000000	89.496	160.3469
69.000000	89.443	159.9670
70.000000	89.381	159.6234
71.000000	89.313	159.3165
72.000000	89.246	159.0498
73.000000	89.183	158.7769
74.000000	89.121	158.5041
75.000000	89.061	158.2708
76.199997	88.999	158.0339
77.500000	88.940	157.8090
78.800003	88.890	157.5656
80.000000	88.837	157.2661
81.199997	88.760	156.9478
82.500000	88.666	156.7251
83.800003	88.589	156.5690
85.000000	88.531	156.3828
86.199997	88.477	156.1528
87.500000	88.416	155.9153
88.500000	88.368	155.7720
90.000000	88.304	155.5354
91.199997	88.245	155.3021
92.500000	88.176	155.0797
93.800003	88.106	154.9118
95.000000	88.049	154.8086
96.199997	88.004	154.6766
97.500000	87.954	154.4826
98.800003	87.898	154.2845
100.000000	87.842	154.1339
101.500000	87.772	154.0138
103.000000	87.707	153.9245
104.400002	87.658	153.8289
106.000000	87.599	153.6253
107.500000	87.525	153.4959
109.000000	87.461	153.5570
110.599998	87.409	153.6565
112.000000	87.362	153.7376
113.800003	87.280	153.7849
115.000000	87.209	153.8264
117.199997	87.077	153.7996
118.000000	87.028	153.6972
120.599998	86.855	153.4322
122.000000	86.802	153.4442
124.099998	86.762	153.4837
125.000000	86.748	153.5901
126.500000	86.726	153.8763
128.000000	86.694	154.2662
131.500000	86.569	155.1334
132.000000	86.550	155.2133
134.000000	86.508	155.4033
136.000000	86.556	155.2293
138.000000	86.629	154.8107
140.000000	86.669	154.6191
143.000000	86.621	154.5839
145.000000	86.526	154.4400
147.500000	86.417	154.0916
150.000000	86.341	153.7834
152.500000	86.270	153.7658
155.000000	86.204	153.9030
157.500000	86.153	154.0931
160.000000	86.120	154.3440
162.500000	86.090	154.4817
165.000000	86.061	154.4366
167.500000	86.047	154.3199
170.000000	86.036	154.1720
172.500000	85.997	153.9439
175.000000	85.942	153.6619
177.500000	85.887	153.4459
180.000000	85.830	153.3430
182.500000	85.763	153.2742
185.000000	85.691	153.1974
187.500000	85.623	153.1667
190.000000	85.563	153.1895
192.500000	85.507	153.2166
195.000000	85.452	153.2355
197.500000	85.394	153.2732
200.000000	85.336	153.3446
203.000000	85.274	153.4206
206.000000	85.219	153.4896
209.000000	85.168	153.5551
212.000000	85.116	153.6051
214.000000	85.080	153.6277
218.000000	85.011	153.6671
220.000000	84.979	153.6838
224.000000	84.909	153.7191
227.000000	84.854	153.7774
230.000000	84.801	153.8648
233.000000	84.751	153.9585
236.000000	84.702	154.0716
240.000000	84.633	154.1906
243.000000	84.571	154.2549
247.000000	84.496	154.3843
250.000000	84.447	154.5068
