* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 27 오후 10:24:59
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Velvet
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.657	-151.2317
20.600000	89.684	-151.4960
20.900000	89.735	-151.9666
21.200001	89.775	-152.4109
21.400000	89.797	-152.6948
21.799999	89.834	-153.2617
22.000000	89.851	-153.5532
22.400000	89.880	-154.1495
22.700001	89.900	-154.6071
23.000000	89.918	-155.0744
23.299999	89.937	-155.5483
23.600000	89.956	-156.0253
24.000000	89.985	-156.6613
24.299999	90.010	-157.1364
24.700001	90.045	-157.7669
25.000000	90.073	-158.2375
25.400000	90.110	-158.8609
25.799999	90.146	-159.4778
26.200001	90.181	-160.0854
26.500000	90.204	-160.5297
26.900000	90.230	-161.0953
27.200001	90.245	-161.4908
27.600000	90.261	-161.9742
28.000000	90.277	-162.4135
28.500000	90.298	-162.9317
29.000000	90.320	-163.4597
29.500000	90.336	-164.0150
30.000000	90.347	-164.5807
30.400000	90.353	-165.0263
30.700001	90.358	-165.3555
31.100000	90.364	-165.7937
31.500000	90.370	-166.2366
32.000000	90.379	-166.7968
32.500000	90.388	-167.3612
33.000000	90.398	-167.9336
33.500000	90.410	-168.5102
34.000000	90.421	-169.0672
34.500000	90.433	-169.5848
35.000000	90.446	-170.0728
35.500000	90.462	-170.5577
36.000000	90.476	-171.0502
36.500000	90.485	-171.5338
37.000000	90.488	-171.9794
37.500000	90.490	-172.3748
38.200001	90.492	-172.8828
38.700001	90.495	-173.2578
39.500000	90.493	-173.9144
40.000000	90.484	-174.3328
40.599998	90.468	-174.8045
41.200001	90.452	-175.2434
41.799999	90.441	-175.6856
42.500000	90.430	-176.2247
43.099998	90.421	-176.6758
43.700001	90.418	-177.1187
44.400002	90.416	-177.6859
45.000000	90.405	-178.2113
45.500000	90.389	-178.6140
46.200001	90.366	-179.0735
46.799999	90.357	-179.4254
47.500000	90.352	-179.8805
48.200001	90.343	179.6403
48.700001	90.334	179.3228
49.400002	90.324	178.9164
50.000000	90.318	178.5759
50.799999	90.311	178.1108
51.500000	90.306	177.6834
52.200001	90.297	177.2338
53.000000	90.278	176.7315
53.799999	90.255	176.2735
54.500000	90.236	175.8788
55.200001	90.215	175.4742
56.000000	90.184	175.0428
57.000000	90.146	174.5891
58.000000	90.118	174.1438
59.000000	90.091	173.6723
60.000000	90.058	173.2126
60.799999	90.032	172.8540
61.500000	90.010	172.5433
62.200001	89.987	172.2298
63.000000	89.957	171.8828
64.000000	89.919	171.5029
65.000000	89.890	171.1021
66.000000	89.857	170.6385
67.000000	89.819	170.2177
68.000000	89.785	169.8282
69.000000	89.750	169.4550
70.000000	89.718	169.1048
71.000000	89.685	168.7564
72.000000	89.648	168.4243
73.000000	89.610	168.1136
74.000000	89.571	167.8132
75.000000	89.534	167.5028
76.199997	89.490	167.0709
77.500000	89.432	166.5804
78.800003	89.373	166.1737
80.000000	89.327	165.8753
81.199997	89.288	165.5879
82.500000	89.247	165.2412
83.800003	89.199	164.8774
85.000000	89.150	164.5848
86.199997	89.109	164.2998
