* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 27 오후 10:14:56
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.542	-151.1176
20.600000	89.570	-151.3376
20.900000	89.623	-151.7362
21.200001	89.671	-152.1349
21.400000	89.698	-152.4080
21.799999	89.742	-152.9873
22.000000	89.759	-153.2915
22.400000	89.785	-153.8995
22.700001	89.800	-154.3396
23.000000	89.814	-154.7668
23.299999	89.832	-155.1926
23.600000	89.853	-155.6285
24.000000	89.887	-156.2374
24.299999	89.914	-156.7141
24.700001	89.950	-157.3628
25.000000	89.975	-157.8453
25.400000	90.006	-158.4685
25.799999	90.037	-159.0629
26.200001	90.072	-159.6353
26.500000	90.098	-160.0581
26.900000	90.132	-160.6231
27.200001	90.154	-161.0511
27.600000	90.175	-161.6223
28.000000	90.185	-162.1666
28.500000	90.186	-162.7447
29.000000	90.186	-163.1682
29.500000	90.206	-163.5027
30.000000	90.250	-163.9140
30.400000	90.291	-164.3864
30.700001	90.316	-164.8250
31.100000	90.331	-165.4602
31.500000	90.327	-166.0652
32.000000	90.309	-166.6776
32.500000	90.298	-167.1438
33.000000	90.304	-167.5842
33.500000	90.319	-168.0775
34.000000	90.332	-168.5942
34.500000	90.339	-169.0694
35.000000	90.348	-169.4960
35.500000	90.360	-169.9124
36.000000	90.373	-170.3399
36.500000	90.384	-170.7670
37.000000	90.394	-171.1846
37.500000	90.403	-171.6087
38.200001	90.407	-172.2409
38.700001	90.399	-172.6942
39.500000	90.381	-173.3405
40.000000	90.377	-173.7211
40.599998	90.379	-174.2245
41.200001	90.377	-174.7987
41.799999	90.365	-175.3854
42.500000	90.343	-175.9897
43.099998	90.331	-176.4160
43.700001	90.330	-176.8062
44.400002	90.337	-177.2949
45.000000	90.339	-177.7519
45.500000	90.335	-178.1240
