* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 27 오후 10:13:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.901	-163.5060
20.600000	90.912	-163.7172
20.900000	90.935	-164.0899
21.200001	90.952	-164.4361
21.400000	90.962	-164.6613
21.799999	90.979	-165.1327
22.000000	90.987	-165.3885
22.400000	90.997	-165.9345
22.700001	91.001	-166.3648
23.000000	91.003	-166.8062
23.299999	91.005	-167.2532
23.600000	91.008	-167.7032
24.000000	91.016	-168.3074
24.299999	91.026	-168.7651
24.700001	91.040	-169.3802
25.000000	91.049	-169.8383
25.400000	91.060	-170.4295
25.799999	91.069	-170.9819
26.200001	91.081	-171.4924
26.500000	91.092	-171.8551
26.900000	91.106	-172.3253
27.200001	91.115	-172.6746
27.600000	91.122	-173.1360
28.000000	91.124	-173.5808
28.500000	91.120	-174.0932
29.000000	91.113	-174.5616
29.500000	91.107	-175.0203
30.000000	91.101	-175.5030
30.400000	91.095	-175.9096
30.700001	91.088	-176.2206
31.100000	91.077	-176.6326
31.500000	91.065	-177.0340
32.000000	91.051	-177.5189
32.500000	91.041	-177.9995
33.000000	91.036	-178.4988
33.500000	91.032	-179.0196
34.000000	91.027	-179.5346
34.500000	91.019	179.9855
35.000000	91.011	179.5439
35.500000	91.005	179.1226
36.000000	91.000	178.7025
36.500000	90.994	178.2799
37.000000	90.984	177.8699
37.500000	90.971	177.4886
38.200001	90.950	176.9844
38.700001	90.936	176.6081
39.500000	90.904	175.9659
40.000000	90.879	175.5799
40.599998	90.850	175.1536
41.200001	90.825	174.7350
41.799999	90.803	174.2994
42.500000	90.778	173.8005
43.099998	90.761	173.4023
43.700001	90.751	172.9926
44.400002	90.736	172.4594
45.000000	90.711	171.9987
45.500000	90.684	171.6645
46.200001	90.646	171.2870
46.799999	90.621	171.0039
47.500000	90.598	170.6600
48.200001	90.576	170.2871
48.700001	90.559	170.0114
49.400002	90.535	169.6219
50.000000	90.511	169.2909
50.799999	90.476	168.8719
51.500000	90.448	168.5303
