* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 27 오후 10:51:46
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Gray
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.142	-151.2467
20.600000	89.177	-151.5195
20.900000	89.241	-152.0256
21.200001	89.289	-152.5543
21.400000	89.310	-152.9093
21.799999	89.334	-153.6127
22.000000	89.340	-153.9498
22.400000	89.345	-154.5673
22.700001	89.349	-154.9829
23.000000	89.357	-155.3773
23.299999	89.371	-155.7716
23.600000	89.391	-156.1804
24.000000	89.426	-156.7599
24.299999	89.456	-157.2191
24.700001	89.497	-157.8523
25.000000	89.526	-158.3311
25.400000	89.561	-158.9584
25.799999	89.595	-159.5588
26.200001	89.629	-160.1267
26.500000	89.654	-160.5336
26.900000	89.687	-161.0583
27.200001	89.709	-161.4450
27.600000	89.735	-161.9576
28.000000	89.756	-162.4643
28.500000	89.773	-163.0752
29.000000	89.784	-163.6516
29.500000	89.793	-164.2060
30.000000	89.802	-164.7654
30.400000	89.809	-165.2286
30.700001	89.814	-165.5848
31.100000	89.817	-166.0642
31.500000	89.818	-166.5367
32.000000	89.817	-167.0996
32.500000	89.819	-167.6264
33.000000	89.825	-168.1312
33.500000	89.837	-168.6266
34.000000	89.853	-169.1088
34.500000	89.869	-169.5705
35.000000	89.885	-170.0157
35.500000	89.900	-170.4560
36.000000	89.914	-170.9015
36.500000	89.925	-171.3553
37.000000	89.929	-171.8069
37.500000	89.927	-172.2391
38.200001	89.917	-172.8038
38.700001	89.908	-173.1995
39.500000	89.895	-173.8606
40.000000	89.884	-174.2825
40.599998	89.870	-174.7738
41.200001	89.860	-175.2396
41.799999	89.854	-175.6906
42.500000	89.855	-176.2232
43.099998	89.857	-176.6986
43.700001	89.854	-177.1744
44.400002	89.840	-177.6820
45.000000	89.826	-178.0614
45.500000	89.818	-178.3713
46.200001	89.805	-178.8545
46.799999	89.787	-179.3113
47.500000	89.755	-179.8322
48.200001	89.724	179.6858
48.700001	89.706	179.3542
49.400002	89.691	178.8933
50.000000	89.685	178.4964
50.799999	89.687	177.9544
51.500000	89.694	177.4713
52.200001	89.699	177.0065
53.000000	89.698	176.5463
53.799999	89.692	176.1838
54.500000	89.685	175.9070
55.200001	89.673	175.6228
56.000000	89.646	175.2867
57.000000	89.598	174.8616
58.000000	89.544	174.3978
59.000000	89.491	173.8928
60.000000	89.445	173.3572
60.799999	89.417	172.9260
61.500000	89.398	172.5687
62.200001	89.386	172.2451
63.000000	89.380	171.8987
64.000000	89.369	171.4272
65.000000	89.334	170.9637
66.000000	89.282	170.6288
67.000000	89.234	170.3593
68.000000	89.189	170.0676
69.000000	89.149	169.7262
70.000000	89.114	169.3209
71.000000	89.075	168.8908
72.000000	89.034	168.5044
73.000000	88.996	168.1723
74.000000	88.959	167.8676
75.000000	88.922	167.5665
76.199997	88.873	167.1782
77.500000	88.811	166.7366
78.800003	88.753	166.3465
80.000000	88.707	166.0020
81.199997	88.662	165.6861
82.500000	88.617	165.3831
83.800003	88.570	165.0772
85.000000	88.518	164.7827
86.199997	88.458	164.5164
87.500000	88.400	164.2737
88.500000	88.363	164.0772
90.000000	88.312	163.7436
91.199997	88.270	163.4841
92.500000	88.222	163.2234
93.800003	88.164	162.9675
95.000000	88.103	162.7370
96.199997	88.039	162.5041
97.500000	87.974	162.2891
98.800003	87.924	162.0966
100.000000	87.885	161.9449
101.500000	87.839	161.8114
103.000000	87.783	161.6849
104.400002	87.720	161.5406
106.000000	87.651	161.3332
107.500000	87.610	161.0549
109.000000	87.584	160.7509
110.599998	87.549	160.5309
112.000000	87.491	160.4962
113.800003	87.393	160.4712
115.000000	87.326	160.2527
117.199997	87.237	159.1735
118.000000	87.211	158.5594
120.599998	87.002	157.6914
122.000000	86.963	158.5573
124.099998	86.990	159.7046
125.000000	86.983	160.0359
126.500000	86.945	160.4076
128.000000	86.897	160.5770
131.500000	86.807	160.7124
132.000000	86.803	160.7484
134.000000	86.807	160.6887
136.000000	86.780	160.2523
138.000000	86.733	159.9236
140.000000	86.712	159.6940
143.000000	86.662	159.4084
145.000000	86.594	159.2786
147.500000	86.485	159.1888
150.000000	86.387	159.2087
152.500000	86.301	159.1866
155.000000	86.211	159.2341
157.500000	86.132	159.4383
160.000000	86.072	159.7933
162.500000	86.049	160.2073
165.000000	86.058	160.4908
167.500000	86.086	160.5777
170.000000	86.110	160.4593
172.500000	86.114	160.2425
175.000000	86.096	159.9422
177.500000	86.058	159.5645
180.000000	86.010	159.2183
182.500000	85.960	158.9562
185.000000	85.895	158.7770
187.500000	85.825	158.6579
190.000000	85.760	158.5153
192.500000	85.694	158.3568
195.000000	85.625	158.2814
197.500000	85.560	158.2607
200.000000	85.497	158.2500
203.000000	85.421	158.2830
206.000000	85.345	158.3445
209.000000	85.266	158.3897
212.000000	85.193	158.4691
214.000000	85.151	158.5432
218.000000	85.073	158.7035
220.000000	85.035	158.7872
224.000000	84.971	158.9581
227.000000	84.921	159.1068
230.000000	84.868	159.2715
233.000000	84.820	159.3995
236.000000	84.774	159.4936
240.000000	84.716	159.5862
243.000000	84.671	159.6447
247.000000	84.606	159.7745
250.000000	84.552	159.8862
254.000000	84.476	160.0200
258.000000	84.399	160.1789
262.000000	84.328	160.3892
265.000000	84.272	160.5744
269.000000	84.193	160.8569
272.000000	84.140	161.0706
276.000000	84.084	161.3509
280.000000	84.030	161.6852
285.000000	83.972	162.2370
290.000000	83.940	162.8652
295.000000	83.941	163.4033
300.000000	83.957	163.6455
304.000000	83.960	163.6644
307.000000	83.952	163.6416
311.000000	83.928	163.5985
315.000000	83.896	163.5981
320.000000	83.852	163.7180
325.000000	83.802	163.8698
330.000000	83.749	164.0157
335.000000	83.703	164.2336
340.000000	83.660	164.4899
345.000000	83.609	164.7367
350.000000	83.553	164.9677
355.000000	83.502	165.1965
360.000000	83.457	165.4716
365.000000	83.414	165.7639
370.000000	83.378	166.0386
375.000000	83.344	166.3115
382.000000	83.286	166.7173
387.000000	83.245	166.9843
395.000000	83.181	167.3880
400.000000	83.145	167.6635
406.000000	83.108	167.9620
412.000000	83.065	168.2468
418.000000	83.020	168.5988
425.000000	82.982	169.0163
431.000000	82.957	169.3568
437.000000	82.928	169.7045
444.000000	82.890	170.1270
450.000000	82.864	170.4838
455.000000	82.846	170.7530
462.000000	82.814	171.1184
468.000000	82.786	171.4670
475.000000	82.759	171.8719
482.000000	82.738	172.2399
487.000000	82.727	172.5136
494.000000	82.710	172.8920
500.000000	82.690	173.2159
508.000000	82.661	173.6824
515.000000	82.642	174.0751
522.000000	82.625	174.4116
530.000000	82.605	174.7926
538.000000	82.590	175.2368
545.000000	82.578	175.6276
552.000000	82.564	176.0218
560.000000	82.548	176.4807
570.000000	82.535	177.0203
580.000000	82.519	177.5249
590.000000	82.505	178.0078
600.000000	82.503	178.5417
608.000000	82.504	178.9710
615.000000	82.497	179.3323
622.000000	82.490	179.6977
630.000000	82.484	-179.8757
640.000000	82.482	-179.3505
650.000000	82.486	-178.8404
660.000000	82.492	-178.3238
670.000000	82.495	-177.8257
680.000000	82.501	-177.3449
690.000000	82.504	-176.8292
700.000000	82.507	-176.3214
710.000000	82.513	-175.8272
720.000000	82.522	-175.3301
730.000000	82.533	-174.8434
740.000000	82.549	-174.3687
750.000000	82.571	-173.8882
762.000000	82.597	-173.3065
775.000000	82.624	-172.6931
788.000000	82.651	-172.0640
800.000000	82.684	-171.4894
812.000000	82.724	-170.9241
825.000000	82.767	-170.3522
838.000000	82.815	-169.8043
850.000000	82.865	-169.2921
862.000000	82.919	-168.8091
875.000000	82.978	-168.3419
885.000000	83.029	-168.0004
900.000000	83.108	-167.4911
912.000000	83.172	-167.0907
925.000000	83.248	-166.7035
938.000000	83.328	-166.3551
950.000000	83.404	-166.0769
962.000000	83.479	-165.8336
975.000000	83.562	-165.6123
988.000000	83.660	-165.4572
1000.000000	83.750	-165.3353
1015.000000	83.838	-165.1788
1030.000000	83.931	-165.0982
1044.000000	84.024	-165.0830
1060.000000	84.128	-165.1293
1075.000000	84.220	-165.2101
1090.000000	84.313	-165.3282
1106.000000	84.417	-165.5224
1120.000000	84.507	-165.7630
1138.000000	84.623	-166.0863
1150.000000	84.697	-166.3165
1172.000000	84.819	-166.8154
1180.000000	84.860	-167.0195
1206.000000	84.989	-167.7558
1220.000000	85.052	-168.1812
1241.000000	85.139	-168.8266
1250.000000	85.174	-169.1148
1265.000000	85.228	-169.6283
1280.000000	85.276	-170.1697
1315.000000	85.371	-171.4861
1320.000000	85.381	-171.6891
1340.000000	85.414	-172.5392
1360.000000	85.429	-173.4042
1380.000000	85.427	-174.2694
1400.000000	85.414	-175.1567
1430.000000	85.362	-176.4540
1450.000000	85.299	-177.2494
1475.000000	85.192	-178.1236
1500.000000	85.052	-178.7271
1525.000000	84.883	-178.7571
1550.000000	84.777	-177.8200
1575.000000	84.920	-176.6441
1600.000000	85.220	-177.1975
1625.000000	85.345	-179.2489
1650.000000	85.270	178.8798
1675.000000	85.118	177.5611
1700.000000	84.951	176.5598
1725.000000	84.788	175.7573
1750.000000	84.629	175.1682
1775.000000	84.477	174.7974
1800.000000	84.338	174.5290
1825.000000	84.210	174.2466
1850.000000	84.084	173.9256
1875.000000	83.955	173.6123
1900.000000	83.819	173.3277
1925.000000	83.676	173.0816
1950.000000	83.531	172.8904
1975.000000	83.382	172.7446
2000.000000	83.230	172.6468
2030.000000	83.043	172.5904
2060.000000	82.856	172.5916
2090.000000	82.672	172.6580
2120.000000	82.483	172.7772
2140.000000	82.355	172.8837
2180.000000	82.098	173.1951
2200.000000	81.968	173.4091
2240.000000	81.713	173.8956
2270.000000	81.520	174.3206
2300.000000	81.319	174.8005
2330.000000	81.120	175.3503
2360.000000	80.924	176.0017
2400.000000	80.660	177.0417
2430.000000	80.468	177.9263
2470.000000	80.225	179.2550
2500.000000	80.058	-179.6326
2540.000000	79.869	-178.0600
2580.000000	79.711	-176.5495
2620.000000	79.556	-175.1532
2650.000000	79.433	-174.1218
2690.000000	79.265	-172.6785
2720.000000	79.141	-171.5212
2760.000000	78.982	-169.9004
2800.000000	78.831	-168.2242
2850.000000	78.657	-165.9735
2900.000000	78.497	-163.5818
2950.000000	78.352	-161.0742
3000.000000	78.230	-158.4647
3040.000000	78.153	-156.3313
3070.000000	78.108	-154.6832
3110.000000	78.063	-152.4407
3150.000000	78.041	-150.1690
3200.000000	78.050	-147.2852
3250.000000	78.089	-144.4715
3300.000000	78.153	-141.7265
3350.000000	78.249	-138.9898
3400.000000	78.371	-136.3015
3450.000000	78.515	-133.6691
3500.000000	78.683	-131.1380
3550.000000	78.870	-128.6967
3600.000000	79.077	-126.2968
3650.000000	79.299	-124.0054
3700.000000	79.533	-121.8090
3750.000000	79.788	-119.6557
3820.000000	80.166	-116.7793
3870.000000	80.444	-114.8379
3950.000000	80.909	-111.9160
4000.000000	81.216	-110.1829
4060.000000	81.601	-108.1906
4120.000000	82.002	-106.3250
4180.000000	82.424	-104.6023
4250.000000	82.941	-102.7566
4310.000000	83.405	-101.3114
4370.000000	83.881	-100.0312
4440.000000	84.459	-98.7538
4500.000000	84.982	-97.8852
4550.000000	85.437	-97.3577
4620.000000	86.101	-96.9792
4680.000000	86.692	-97.0464
4750.000000	87.399	-97.6107
4820.000000	88.112	-98.7779
4870.000000	88.617	-100.0227
4940.000000	89.303	-102.3932
5000.000000	89.858	-105.0437
5080.000000	90.515	-109.4646
5150.000000	90.979	-114.0703
5220.000000	91.309	-119.1917
5300.000000	91.497	-125.3523
5380.000000	91.476	-131.4001
5450.000000	91.301	-136.2606
5520.000000	91.007	-140.4905
5600.000000	90.568	-144.3883
5700.000000	89.939	-147.8439
5800.000000	89.287	-149.9082
5900.000000	88.664	-150.8270
6000.000000	88.098	-150.8666
6080.000000	87.690	-150.4035
6150.000000	87.371	-149.7020
6220.000000	87.087	-148.7623
6300.000000	86.803	-147.4229
6400.000000	86.513	-145.3866
6500.000000	86.305	-143.0038
6600.000000	86.188	-140.3638
6700.000000	86.164	-137.5766
6800.000000	86.243	-134.6641
6900.000000	86.452	-131.6925
7000.000000	86.803	-128.7963
7100.000000	87.291	-126.1410
7200.000000	87.908	-123.8779
7300.000000	88.655	-122.1667
7400.000000	89.541	-121.2133
7500.000000	90.568	-121.3106
7620.000000	91.976	-123.4576
7750.000000	93.560	-129.4995
7880.000000	94.798	-140.5859
8000.000000	95.272	-154.6347
8120.000000	94.920	-169.2335
8250.000000	93.754	178.2557
8380.000000	92.175	170.6703
8500.000000	90.678	167.3156
8620.000000	89.307	166.3405
8750.000000	88.015	166.9645
8850.000000	87.159	168.1847
9000.000000	86.079	170.7257
9120.000000	85.363	173.1361
9250.000000	84.714	176.0092
9380.000000	84.184	179.0453
9500.000000	83.790	-178.0815
9620.000000	83.484	-175.1844
9750.000000	83.252	-172.0479
9880.000000	83.128	-168.9810
10000.000000	83.111	-166.3196
10150.000000	83.220	-163.4463
10300.000000	83.459	-161.3689
10440.000000	83.762	-160.4316
10600.000000	84.133	-160.7790
10750.000000	84.421	-162.5358
10900.000000	84.566	-165.4887
11060.000000	84.489	-169.4100
11200.000000	84.205	-172.8388
11380.000000	83.583	-176.3211
11500.000000	83.055	-177.7256
11720.000000	81.995	-178.1859
11800.000000	81.614	-177.7176
12060.000000	80.505	-174.3218
12200.000000	80.016	-171.5807
12410.000000	79.435	-166.6709
12500.000000	79.253	-164.3526
12650.000000	79.052	-160.2905
12800.000000	78.989	-156.0829
13150.000000	79.449	-146.3550
13200.000000	79.591	-145.0546
13400.000000	80.384	-140.3284
13600.000000	81.590	-136.8743
13800.000000	83.259	-135.7905
14000.000000	85.262	-139.0714
14300.000000	87.778	-157.4659
14500.000000	88.183	-177.2541
14750.000000	87.006	161.1168
15000.000000	84.956	149.5975
15250.000000	83.229	144.4600
15500.000000	82.268	140.1509
15750.000000	81.803	132.8065
16000.000000	81.162	121.0731
16250.000000	79.776	107.7148
16500.000000	77.542	97.7046
16750.000000	74.806	93.5248
17000.000000	72.042	94.3134
17250.000000	69.564	98.2836
17500.000000	67.494	104.1880
17750.000000	65.834	111.2552
18000.000000	64.546	118.9439
18250.000000	63.635	126.6808
18500.000000	63.118	134.1812
18750.000000	63.058	140.9195
19000.000000	63.560	145.4859
19250.000000	64.529	145.1587
19500.000000	65.387	136.0515
19750.000000	65.371	118.9440
20000.000000	64.582	104.8544
