* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 27 오후 11:02:55
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Gray
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.788	-161.9279
20.600000	90.802	-162.1451
20.900000	90.829	-162.5288
21.200001	90.846	-162.8831
21.400000	90.855	-163.1061
21.799999	90.866	-163.5498
22.000000	90.871	-163.7802
22.400000	90.879	-164.2593
22.700001	90.883	-164.6347
23.000000	90.886	-165.0240
23.299999	90.890	-165.4231
23.600000	90.895	-165.8277
24.000000	90.907	-166.3697
24.299999	90.919	-166.7761
24.700001	90.939	-167.3179
25.000000	90.955	-167.7240
25.400000	90.976	-168.2625
25.799999	90.998	-168.7913
26.200001	91.019	-169.3023
26.500000	91.034	-169.6686
26.900000	91.051	-170.1289
27.200001	91.061	-170.4517
27.600000	91.072	-170.8558
28.000000	91.082	-171.2399
28.500000	91.093	-171.7100
29.000000	91.097	-172.1824
29.500000	91.094	-172.6529
30.000000	91.086	-173.1048
30.400000	91.079	-173.4489
30.700001	91.074	-173.7008
31.100000	91.069	-174.0381
31.500000	91.065	-174.3839
32.000000	91.061	-174.8292
32.500000	91.059	-175.2868
33.000000	91.058	-175.7620
33.500000	91.058	-176.2549
34.000000	91.057	-176.7449
34.500000	91.054	-177.2065
35.000000	91.048	-177.6301
35.500000	91.043	-178.0190
36.000000	91.041	-178.3829
36.500000	91.042	-178.7356
37.000000	91.044	-179.0916
37.500000	91.044	-179.4568
38.200001	91.034	-179.9746
38.700001	91.021	179.6639
39.500000	90.996	179.1132
40.000000	90.980	178.7801
40.599998	90.961	178.3831
41.200001	90.944	177.9844
41.799999	90.928	177.5804
42.500000	90.912	177.1019
43.099998	90.901	176.6923
43.700001	90.889	176.2895
44.400002	90.872	175.8395
45.000000	90.857	175.4864
45.500000	90.846	175.2133
46.200001	90.836	174.8330
46.799999	90.827	174.4907
47.500000	90.813	174.0818
48.200001	90.796	173.6734
48.700001	90.782	173.3857
49.400002	90.759	173.0060
50.000000	90.739	172.7118
50.799999	90.717	172.3318
51.500000	90.701	171.9767
52.200001	90.684	171.6118
53.000000	90.661	171.2106
53.799999	90.638	170.8176
54.500000	90.616	170.4663
55.200001	90.590	170.1266
56.000000	90.557	169.7846
57.000000	90.523	169.3947
58.000000	90.492	168.9609
59.000000	90.456	168.4958
60.000000	90.412	168.0565
60.799999	90.379	167.7307
61.500000	90.354	167.4499
62.200001	90.330	167.1676
63.000000	90.305	166.8396
64.000000	90.268	166.4191
65.000000	90.226	166.0320
66.000000	90.186	165.6875
67.000000	90.148	165.3479
68.000000	90.109	165.0192
69.000000	90.067	164.6997
70.000000	90.025	164.3867
71.000000	89.983	164.0932
72.000000	89.944	163.7956
73.000000	89.905	163.4836
74.000000	89.865	163.1768
75.000000	89.824	162.8659
76.199997	89.770	162.5058
77.500000	89.714	162.1525
78.800003	89.663	161.7915
80.000000	89.611	161.4817
81.199997	89.562	161.2046
82.500000	89.511	160.8708
83.800003	89.453	160.5391
85.000000	89.396	160.2751
86.199997	89.344	160.0356
87.500000	89.289	159.7740
88.500000	89.246	159.5824
90.000000	89.183	159.2930
91.199997	89.130	159.0635
92.500000	89.072	158.8735
93.800003	89.022	158.7072
95.000000	88.976	158.5087
96.199997	88.925	158.2974
97.500000	88.864	158.0688
98.800003	88.798	157.8837
100.000000	88.745	157.7503
101.500000	88.684	157.5328
103.000000	88.618	157.3124
104.400002	88.564	157.1299
106.000000	88.507	156.8783
107.500000	88.448	156.6661
109.000000	88.393	156.5021
110.599998	88.330	156.3400
112.000000	88.269	156.2525
113.800003	88.189	156.1580
115.000000	88.133	156.0823
117.199997	88.025	155.9441
118.000000	87.985	155.8934
120.599998	87.860	155.8955
122.000000	87.811	155.9399
124.099998	87.740	156.0073
125.000000	87.713	156.0758
126.500000	87.679	156.2006
128.000000	87.658	156.2868
131.500000	87.620	156.3092
132.000000	87.613	156.2905
134.000000	87.579	156.1451
136.000000	87.520	155.9073
138.000000	87.446	155.7264
140.000000	87.375	155.5975
143.000000	87.264	155.5203
145.000000	87.188	155.5924
147.500000	87.100	155.8448
150.000000	87.039	156.2255
152.500000	87.001	156.6334
155.000000	87.000	156.9730
157.500000	87.035	157.0543
160.000000	87.073	156.8434
162.500000	87.082	156.4771
165.000000	87.062	156.0645
167.500000	87.017	155.6157
170.000000	86.953	155.1622
172.500000	86.871	154.8042
175.000000	86.783	154.5942
177.500000	86.699	154.4716
180.000000	86.614	154.3748
182.500000	86.528	154.3229
185.000000	86.445	154.3241
187.500000	86.369	154.3579
190.000000	86.298	154.4012
192.500000	86.232	154.4688
195.000000	86.170	154.5827
197.500000	86.111	154.7273
200.000000	86.058	154.8579
203.000000	86.003	154.9831
206.000000	85.954	155.0641
209.000000	85.908	155.0898
212.000000	85.863	155.0745
214.000000	85.830	155.0524
218.000000	85.759	155.0300
220.000000	85.721	155.0523
224.000000	85.635	155.1449
227.000000	85.569	155.1993
230.000000	85.520	155.2156
233.000000	85.471	155.2205
236.000000	85.410	155.2723
240.000000	85.331	155.3735
243.000000	85.271	155.4664
247.000000	85.184	155.6281
250.000000	85.119	155.7465
254.000000	85.040	155.8824
258.000000	84.960	156.0159
262.000000	84.875	156.2635
265.000000	84.813	156.4785
269.000000	84.735	156.6878
272.000000	84.678	156.8677
276.000000	84.607	157.2320
280.000000	84.548	157.6850
285.000000	84.497	158.3138
290.000000	84.482	158.8129
295.000000	84.487	158.9708
300.000000	84.467	158.9380
304.000000	84.426	158.9604
307.000000	84.391	158.9928
311.000000	84.341	159.0592
315.000000	84.284	159.1919
320.000000	84.215	159.3901
325.000000	84.157	159.6091
330.000000	84.101	159.8778
335.000000	84.049	160.1406
340.000000	83.998	160.3878
345.000000	83.938	160.6793
350.000000	83.879	160.9998
355.000000	83.827	161.3163
360.000000	83.783	161.6142
365.000000	83.736	161.8662
370.000000	83.683	162.1269
375.000000	83.633	162.4460
382.000000	83.574	162.9214
387.000000	83.532	163.2122
395.000000	83.456	163.7173
400.000000	83.420	164.0145
406.000000	83.381	164.3631
412.000000	83.334	164.7289
418.000000	83.284	165.0785
425.000000	83.228	165.4962
431.000000	83.189	165.8438
437.000000	83.154	166.1955
444.000000	83.113	166.6261
450.000000	83.077	166.9958
455.000000	83.047	167.3088
462.000000	83.010	167.7540
468.000000	82.982	168.1434
475.000000	82.950	168.5763
482.000000	82.921	168.9751
487.000000	82.899	169.2928
494.000000	82.868	169.7473
500.000000	82.843	170.1112
508.000000	82.816	170.6001
515.000000	82.793	171.0146
522.000000	82.766	171.4087
530.000000	82.740	171.8745
538.000000	82.722	172.3414
545.000000	82.709	172.7369
552.000000	82.695	173.1440
560.000000	82.680	173.6234
570.000000	82.658	174.2287
580.000000	82.640	174.8279
590.000000	82.624	175.4285
600.000000	82.605	176.0247
608.000000	82.591	176.4899
615.000000	82.582	176.8928
622.000000	82.575	177.3056
630.000000	82.565	177.7741
640.000000	82.557	178.3273
650.000000	82.550	178.8927
660.000000	82.547	179.4462
670.000000	82.549	-179.9906
680.000000	82.552	-179.4044
690.000000	82.556	-178.8345
700.000000	82.562	-178.2926
710.000000	82.570	-177.7593
720.000000	82.578	-177.1982
730.000000	82.589	-176.6188
740.000000	82.603	-176.0520
750.000000	82.618	-175.5010
762.000000	82.639	-174.8656
775.000000	82.662	-174.1645
788.000000	82.688	-173.4655
800.000000	82.721	-172.8378
812.000000	82.766	-172.2468
825.000000	82.816	-171.5939
838.000000	82.864	-170.9476
850.000000	82.913	-170.3784
862.000000	82.967	-169.8186
875.000000	83.031	-169.2570
885.000000	83.084	-168.8458
900.000000	83.169	-168.2582
912.000000	83.238	-167.8090
925.000000	83.317	-167.3439
938.000000	83.404	-166.9224
950.000000	83.484	-166.5583
962.000000	83.563	-166.2438
975.000000	83.655	-165.9531
988.000000	83.755	-165.7226
1000.000000	83.843	-165.5507
1015.000000	83.949	-165.3355
1030.000000	84.059	-165.1774
1044.000000	84.162	-165.0996
1060.000000	84.278	-165.0692
1075.000000	84.384	-165.1024
1090.000000	84.491	-165.1850
1106.000000	84.608	-165.3248
1120.000000	84.709	-165.5039
1138.000000	84.836	-165.7811
