* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 27 오후 10:49:21
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_foam
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.865	-149.7403
20.600000	88.894	-149.9947
20.900000	88.950	-150.4523
21.200001	88.995	-150.8974
21.400000	89.020	-151.1902
21.799999	89.061	-151.7867
22.000000	89.077	-152.0930
22.400000	89.105	-152.7060
22.700001	89.123	-153.1604
23.000000	89.141	-153.6140
23.299999	89.161	-154.0722
23.600000	89.184	-154.5401
24.000000	89.220	-155.1843
24.299999	89.249	-155.6816
24.700001	89.288	-156.3531
25.000000	89.316	-156.8498
25.400000	89.350	-157.4844
25.799999	89.386	-158.0785
26.200001	89.425	-158.6427
26.500000	89.456	-159.0588
26.900000	89.495	-159.6151
27.200001	89.520	-160.0314
27.600000	89.545	-160.5707
28.000000	89.563	-161.0688
28.500000	89.580	-161.6173
29.000000	89.597	-162.1129
29.500000	89.617	-162.6097
30.000000	89.636	-163.1416
30.400000	89.649	-163.5907
30.700001	89.656	-163.9352
31.100000	89.663	-164.3967
31.500000	89.668	-164.8547
32.000000	89.673	-165.4151
32.500000	89.679	-165.9644
33.000000	89.689	-166.5196
33.500000	89.701	-167.0892
34.000000	89.713	-167.6528
34.500000	89.722	-168.1786
35.000000	89.731	-168.6581
35.500000	89.744	-169.1131
36.000000	89.760	-169.5753
36.500000	89.775	-170.0561
37.000000	89.784	-170.5333
37.500000	89.786	-170.9762
38.200001	89.787	-171.5427
38.700001	89.788	-171.9539
39.500000	89.781	-172.6656
40.000000	89.770	-173.1038
40.599998	89.752	-173.5823
41.200001	89.740	-174.0239
41.799999	89.734	-174.4671
42.500000	89.733	-175.0093
43.099998	89.735	-175.4967
43.700001	89.735	-175.9996
44.400002	89.724	-176.5648
45.000000	89.712	-176.9848
45.500000	89.706	-177.3000
46.200001	89.705	-177.7622
46.799999	89.699	-178.2001
47.500000	89.680	-178.6779
48.200001	89.663	-179.0660
48.700001	89.659	-179.3271
49.400002	89.660	-179.7459
50.000000	89.658	179.8449
50.799999	89.646	179.3010
51.500000	89.634	178.8620
52.200001	89.624	178.4411
53.000000	89.614	177.9596
53.799999	89.598	177.4802
54.500000	89.579	177.0833
55.200001	89.559	176.7252
56.000000	89.538	176.3429
57.000000	89.510	175.8486
58.000000	89.476	175.3658
59.000000	89.445	174.9199
60.000000	89.418	174.4300
60.799999	89.391	174.0134
61.500000	89.363	173.6832
62.200001	89.338	173.3966
63.000000	89.314	173.0901
64.000000	89.287	172.7045
65.000000	89.261	172.3083
66.000000	89.234	171.8965
67.000000	89.206	171.4815
68.000000	89.175	171.0524
69.000000	89.137	170.6354
70.000000	89.099	170.2643
71.000000	89.066	169.9041
72.000000	89.032	169.5301
73.000000	88.996	169.1765
74.000000	88.962	168.8373
75.000000	88.926	168.4907
76.199997	88.878	168.1140
77.500000	88.832	167.7232
78.800003	88.785	167.3069
80.000000	88.739	166.9481
81.199997	88.691	166.6053
82.500000	88.639	166.2598
83.800003	88.595	165.9417
85.000000	88.559	165.6199
86.199997	88.520	165.2906
87.500000	88.478	164.9526
88.500000	88.440	164.7053
90.000000	88.380	164.3860
91.199997	88.335	164.1648
92.500000	88.294	163.9153
93.800003	88.253	163.6146
95.000000	88.210	163.3206
96.199997	88.165	163.0436
97.500000	88.116	162.7946
98.800003	88.075	162.5704
100.000000	88.039	162.3442
101.500000	87.986	162.0731
103.000000	87.928	161.8376
104.400002	87.873	161.6415
106.000000	87.816	161.4223
107.500000	87.766	161.1652
