* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 27 오후 10:55:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Foam
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.399	-158.9424
20.600000	90.407	-159.1708
20.900000	90.425	-159.5656
21.200001	90.440	-159.9109
21.400000	90.450	-160.1288
21.799999	90.471	-160.5885
22.000000	90.481	-160.8465
22.400000	90.497	-161.4131
22.700001	90.504	-161.8604
23.000000	90.508	-162.3066
23.299999	90.512	-162.7413
23.600000	90.519	-163.1653
24.000000	90.537	-163.7256
24.299999	90.555	-164.1518
24.700001	90.581	-164.7292
25.000000	90.600	-165.1588
25.400000	90.624	-165.7087
25.799999	90.649	-166.2229
26.200001	90.677	-166.7103
26.500000	90.699	-167.0690
26.900000	90.726	-167.5462
27.200001	90.742	-167.9031
27.600000	90.757	-168.3708
28.000000	90.764	-168.8174
28.500000	90.765	-169.3315
29.000000	90.759	-169.7926
29.500000	90.753	-170.2157
30.000000	90.750	-170.6348
30.400000	90.752	-170.9927
30.700001	90.754	-171.2816
31.100000	90.755	-171.6904
31.500000	90.753	-172.1116
32.000000	90.748	-172.6302
32.500000	90.745	-173.1335
33.000000	90.746	-173.6412
33.500000	90.750	-174.1633
34.000000	90.753	-174.6788
34.500000	90.755	-175.1617
35.000000	90.755	-175.6070
35.500000	90.755	-176.0236
36.000000	90.756	-176.4198
36.500000	90.758	-176.8020
37.000000	90.759	-177.1739
37.500000	90.757	-177.5352
38.200001	90.750	-178.0297
38.700001	90.742	-178.3884
39.500000	90.725	-178.9838
40.000000	90.711	-179.3524
40.599998	90.694	-179.7782
41.200001	90.682	179.7920
41.799999	90.670	179.3333
42.500000	90.652	178.7890
43.099998	90.636	178.3662
43.700001	90.623	177.9856
44.400002	90.612	177.5507
45.000000	90.601	177.1780
45.500000	90.591	176.8822
46.200001	90.578	176.4882
46.799999	90.567	176.1486
47.500000	90.553	175.7474
48.200001	90.537	175.3582
48.700001	90.527	175.0854
49.400002	90.514	174.6937
50.000000	90.501	174.3494
50.799999	90.481	173.9015
51.500000	90.466	173.5252
52.200001	90.452	173.1507
53.000000	90.436	172.7216
53.799999	90.418	172.2963
54.500000	90.399	171.9285
55.200001	90.378	171.5751
56.000000	90.353	171.1930
57.000000	90.320	170.7233
58.000000	90.283	170.2698
59.000000	90.246	169.8396
60.000000	90.205	169.4143
60.799999	90.171	169.0976
61.500000	90.144	168.8401
62.200001	90.120	168.5886
63.000000	90.095	168.2939
64.000000	90.061	167.9039
65.000000	90.025	167.5027
66.000000	89.985	167.0969
67.000000	89.943	166.7230
68.000000	89.904	166.4007
69.000000	89.869	166.0743
70.000000	89.836	165.7397
71.000000	89.803	165.4042
72.000000	89.768	165.0509
73.000000	89.726	164.7181
74.000000	89.683	164.4259
75.000000	89.642	164.1493
76.199997	89.593	163.8193
77.500000	89.540	163.4576
78.800003	89.490	163.0830
80.000000	89.441	162.7398
81.199997	89.390	162.4261
82.500000	89.340	162.1096
83.800003	89.294	161.7749
85.000000	89.246	161.4731
86.199997	89.199	161.2091
87.500000	89.152	160.9318
88.500000	89.115	160.7032
90.000000	89.055	160.3530
91.199997	89.006	160.1082
92.500000	88.960	159.8566
93.800003	88.913	159.6046
95.000000	88.869	159.3927
96.199997	88.825	159.1861
97.500000	88.777	158.9512
98.800003	88.728	158.7166
100.000000	88.682	158.4963
101.500000	88.622	158.2563
103.000000	88.566	158.0408
104.400002	88.513	157.8403
106.000000	88.452	157.6271
107.500000	88.395	157.4311
109.000000	88.341	157.2323
110.599998	88.284	157.0164
112.000000	88.234	156.8441
113.800003	88.172	156.6393
115.000000	88.131	156.4946
117.199997	88.050	156.2210
118.000000	88.020	156.1306
120.599998	87.927	155.8933
122.000000	87.884	155.7833
124.099998	87.823	155.6331
125.000000	87.795	155.5753
126.500000	87.748	155.4793
128.000000	87.697	155.3743
131.500000	87.577	155.0946
132.000000	87.560	155.0447
134.000000	87.494	154.8642
136.000000	87.433	154.7363
138.000000	87.378	154.6383
140.000000	87.319	154.5346
143.000000	87.220	154.3854
145.000000	87.152	154.3283
147.500000	87.073	154.2822
150.000000	87.000	154.1965
152.500000	86.928	154.0829
155.000000	86.856	154.0018
157.500000	86.781	153.9566
160.000000	86.702	153.9160
162.500000	86.627	153.8453
165.000000	86.556	153.7954
167.500000	86.494	153.7831
170.000000	86.433	153.7491
172.500000	86.366	153.7439
175.000000	86.299	153.7863
177.500000	86.230	153.8190
180.000000	86.162	153.8092
182.500000	86.097	153.7830
185.000000	86.034	153.8298
187.500000	85.978	153.9195
190.000000	85.923	153.9642
192.500000	85.865	153.9764
195.000000	85.806	154.0255
197.500000	85.747	154.1143
200.000000	85.686	154.1928
203.000000	85.612	154.2530
206.000000	85.553	154.2923
209.000000	85.502	154.3367
212.000000	85.440	154.4326
214.000000	85.393	154.5027
218.000000	85.307	154.6229
220.000000	85.269	154.7006
224.000000	85.194	154.9013
227.000000	85.137	155.0354
230.000000	85.081	155.1349
233.000000	85.026	155.2447
236.000000	84.972	155.3771
240.000000	84.898	155.5307
243.000000	84.842	155.6335
247.000000	84.769	155.7990
250.000000	84.714	155.9426
254.000000	84.638	156.1422
258.000000	84.566	156.3513
262.000000	84.503	156.5580
265.000000	84.459	156.7072
269.000000	84.402	156.8786
272.000000	84.362	157.0078
276.000000	84.309	157.2350
280.000000	84.249	157.5143
285.000000	84.176	157.8289
290.000000	84.112	158.0877
295.000000	84.049	158.3231
300.000000	83.984	158.5824
304.000000	83.936	158.8320
307.000000	83.904	159.0229
311.000000	83.862	159.2827
315.000000	83.823	159.5549
320.000000	83.775	159.8594
325.000000	83.724	160.1493
330.000000	83.673	160.4674
335.000000	83.626	160.7564
340.000000	83.577	161.0432
345.000000	83.530	161.3543
350.000000	83.482	161.6417
355.000000	83.435	161.9435
360.000000	83.394	162.2662
365.000000	83.354	162.5903
370.000000	83.314	162.9084
375.000000	83.267	163.2129
382.000000	83.198	163.5862
387.000000	83.159	163.8829
395.000000	83.098	164.4195
400.000000	83.057	164.7561
406.000000	83.014	165.1349
412.000000	82.977	165.4833
418.000000	82.934	165.8369
425.000000	82.884	166.2838
431.000000	82.853	166.6907
437.000000	82.829	167.0851
444.000000	82.791	167.5260
450.000000	82.758	167.8853
455.000000	82.733	168.1889
462.000000	82.697	168.6338
468.000000	82.668	169.0044
475.000000	82.641	169.4075
482.000000	82.621	169.8383
487.000000	82.606	170.1644
494.000000	82.579	170.5942
500.000000	82.556	170.9290
508.000000	82.528	171.3889
515.000000	82.509	171.8016
522.000000	82.494	172.2333
530.000000	82.474	172.7111
538.000000	82.449	173.1672
545.000000	82.432	173.5668
552.000000	82.420	173.9691
560.000000	82.408	174.4437
570.000000	82.396	175.0256
580.000000	82.383	175.5896
590.000000	82.368	176.1835
600.000000	82.352	176.7777
608.000000	82.342	177.2618
615.000000	82.336	177.6680
622.000000	82.332	178.0555
630.000000	82.328	178.4943
640.000000	82.325	179.0383
650.000000	82.327	179.6105
660.000000	82.324	-179.8261
670.000000	82.322	-179.2672
680.000000	82.329	-178.7180
690.000000	82.339	-178.1902
700.000000	82.348	-177.6347
710.000000	82.353	-177.0618
720.000000	82.360	-176.5090
730.000000	82.374	-175.9614
740.000000	82.391	-175.4354
750.000000	82.411	-174.9128
762.000000	82.438	-174.2403
775.000000	82.465	-173.5625
788.000000	82.499	-172.9047
800.000000	82.538	-172.2755
812.000000	82.580	-171.6636
825.000000	82.628	-171.0646
838.000000	82.679	-170.4731
850.000000	82.731	-169.8893
862.000000	82.783	-169.3496
875.000000	82.852	-168.8171
885.000000	82.911	-168.4206
900.000000	82.994	-167.8541
912.000000	83.062	-167.4251
925.000000	83.141	-167.0060
938.000000	83.228	-166.6064
950.000000	83.311	-166.2511
962.000000	83.392	-165.9401
975.000000	83.482	-165.6524
988.000000	83.578	-165.4240
1000.000000	83.667	-165.2592
1015.000000	83.769	-165.0887
1030.000000	83.877	-164.9252
1044.000000	83.983	-164.8447
1060.000000	84.104	-164.8528
1075.000000	84.211	-164.8997
1090.000000	84.316	-164.9652
1106.000000	84.435	-165.0761
1120.000000	84.540	-165.2285
1138.000000	84.671	-165.5098
1150.000000	84.752	-165.7432
1172.000000	84.895	-166.2137
1180.000000	84.946	-166.3991
1206.000000	85.103	-167.0296
1220.000000	85.182	-167.3947
1241.000000	85.294	-167.9887
1250.000000	85.340	-168.2549
1265.000000	85.414	-168.7361
1280.000000	85.482	-169.2463
1315.000000	85.625	-170.4516
1320.000000	85.644	-170.6295
1340.000000	85.709	-171.3622
1360.000000	85.765	-172.1196
1380.000000	85.815	-172.9090
1400.000000	85.863	-173.7299
1430.000000	85.927	-174.9728
1450.000000	85.957	-175.8358
1475.000000	85.980	-176.9499
1500.000000	85.992	-178.0732
1525.000000	85.993	-179.2011
1550.000000	85.986	179.6523
1575.000000	85.973	178.4604
1600.000000	85.959	177.1488
1625.000000	85.934	175.5490
1650.000000	85.848	173.5112
1675.000000	85.593	171.4093
1700.000000	85.174	170.5840
1725.000000	84.844	171.3987
1750.000000	84.733	172.4040
1775.000000	84.733	172.8134
1800.000000	84.759	172.7372
1825.000000	84.786	172.2927
1850.000000	84.792	171.3994
1875.000000	84.726	170.0779
1900.000000	84.555	168.8082
