* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 27 오후 10:45:58
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.065	-150.2749
20.600000	89.092	-150.5148
20.900000	89.143	-150.9443
21.200001	89.186	-151.3569
21.400000	89.210	-151.6254
21.799999	89.251	-152.1705
22.000000	89.270	-152.4532
22.400000	89.304	-153.0342
22.700001	89.328	-153.4845
23.000000	89.352	-153.9529
23.299999	89.375	-154.4387
23.600000	89.397	-154.9361
24.000000	89.426	-155.6020
24.299999	89.449	-156.0902
24.700001	89.481	-156.7159
25.000000	89.506	-157.1666
25.400000	89.541	-157.7513
25.799999	89.579	-158.3305
26.200001	89.617	-158.9108
26.500000	89.642	-159.3415
26.900000	89.670	-159.8944
27.200001	89.685	-160.2808
27.600000	89.702	-160.7483
28.000000	89.718	-161.1650
28.500000	89.743	-161.6493
29.000000	89.772	-162.1560
29.500000	89.798	-162.7273
30.000000	89.814	-163.3479
30.400000	89.819	-163.8420
30.700001	89.820	-164.1939
31.100000	89.820	-164.6320
31.500000	89.823	-165.0449
32.000000	89.832	-165.5556
32.500000	89.846	-166.0878
33.000000	89.859	-166.6437
33.500000	89.873	-167.1994
34.000000	89.887	-167.7299
34.500000	89.903	-168.2389
35.000000	89.917	-168.7471
35.500000	89.927	-169.2552
36.000000	89.931	-169.7357
36.500000	89.933	-170.1663
37.000000	89.937	-170.5569
37.500000	89.944	-170.9408
38.200001	89.952	-171.5170
38.700001	89.951	-171.9537
39.500000	89.940	-172.6394
40.000000	89.932	-173.0444
40.599998	89.926	-173.5166
41.200001	89.923	-173.9978
41.799999	89.921	-174.5047
42.500000	89.915	-175.1090
43.099998	89.908	-175.5894
43.700001	89.902	-176.0169
44.400002	89.899	-176.4940
45.000000	89.897	-176.9199
45.500000	89.891	-177.2747
46.200001	89.878	-177.7360
46.799999	89.867	-178.0972
47.500000	89.858	-178.5240
48.200001	89.850	-178.9878
48.700001	89.841	-179.3305
49.400002	89.824	-179.7894
50.000000	89.810	179.8531
50.799999	89.798	179.4024
51.500000	89.796	178.9862
52.200001	89.794	178.5346
53.000000	89.784	178.0187
53.799999	89.767	177.5553
54.500000	89.752	177.1915
55.200001	89.737	176.8456
56.000000	89.719	176.4543
57.000000	89.691	175.9620
58.000000	89.655	175.4821
59.000000	89.618	175.0212
60.000000	89.581	174.5657
60.799999	89.553	174.2005
61.500000	89.532	173.8779
62.200001	89.512	173.5587
63.000000	89.492	173.1956
64.000000	89.463	172.7386
65.000000	89.428	172.3362
66.000000	89.400	171.9784
67.000000	89.375	171.5948
68.000000	89.341	171.2065
69.000000	89.301	170.8428
70.000000	89.261	170.5090
71.000000	89.226	170.1645
72.000000	89.189	169.7949
73.000000	89.153	169.4374
74.000000	89.121	169.0757
75.000000	89.087	168.7005
76.199997	89.043	168.2978
77.500000	88.996	167.9089
78.800003	88.949	167.5684
80.000000	88.908	167.2721
81.199997	88.863	166.9603
82.500000	88.816	166.5934
83.800003	88.768	166.1923
85.000000	88.723	165.8420
86.199997	88.681	165.5275
87.500000	88.638	165.2289
88.500000	88.604	165.0227
90.000000	88.551	164.7209
91.199997	88.507	164.4453
92.500000	88.447	164.1528
93.800003	88.393	163.9404
95.000000	88.355	163.6935
96.199997	88.310	163.4134
97.500000	88.258	163.1737
98.800003	88.216	162.9780
100.000000	88.182	162.7743
101.500000	88.136	162.5548
103.000000	88.090	162.3400
104.400002	88.036	162.1838
106.000000	87.982	162.0758
107.500000	87.940	161.7794
109.000000	87.877	161.3911
110.599998	87.816	161.1046
112.000000	87.775	160.9037
113.800003	87.714	160.7629
115.000000	87.663	160.7123
117.199997	87.526	160.4740
118.000000	87.457	160.3715
120.599998	87.310	160.4898
122.000000	87.334	160.2725
124.099998	87.351	159.7093
125.000000	87.345	159.5601
126.500000	87.314	159.4310
128.000000	87.263	159.3852
131.500000	87.123	159.1907
132.000000	87.104	159.1497
134.000000	87.041	159.0114
136.000000	86.989	158.8641
138.000000	86.926	158.7299
140.000000	86.860	158.6324
143.000000	86.764	158.4828
145.000000	86.699	158.4424
147.500000	86.623	158.4330
150.000000	86.552	158.3672
152.500000	86.472	158.2827
155.000000	86.392	158.2617
157.500000	86.316	158.3042
160.000000	86.248	158.3498
162.500000	86.181	158.3137
165.000000	86.107	158.3142
167.500000	86.039	158.3850
170.000000	85.970	158.4705
172.500000	85.902	158.5927
175.000000	85.840	158.7829
177.500000	85.787	159.0972
180.000000	85.750	159.4658
182.500000	85.726	159.7806
185.000000	85.710	159.9755
187.500000	85.696	160.0707
190.000000	85.682	160.0458
192.500000	85.661	159.9285
195.000000	85.639	159.7849
197.500000	85.615	159.6243
200.000000	85.580	159.4857
203.000000	85.527	159.3553
206.000000	85.470	159.2688
209.000000	85.415	159.1986
212.000000	85.348	159.1724
214.000000	85.299	159.1953
218.000000	85.208	159.2875
220.000000	85.166	159.3504
