* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 27 오후 10:42:19
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.877	-161.6001
20.600000	90.888	-161.7854
20.900000	90.911	-162.1119
21.200001	90.931	-162.4147
21.400000	90.942	-162.6140
21.799999	90.962	-163.0376
22.000000	90.970	-163.2694
22.400000	90.981	-163.7609
22.700001	90.986	-164.1415
23.000000	90.990	-164.5256
23.299999	90.995	-164.9115
23.600000	91.002	-165.3016
24.000000	91.018	-165.8352
24.299999	91.034	-166.2502
24.700001	91.056	-166.8209
25.000000	91.070	-167.2511
25.400000	91.086	-167.8052
25.799999	91.100	-168.3162
26.200001	91.118	-168.7835
26.500000	91.133	-169.1178
26.900000	91.153	-169.5601
27.200001	91.165	-169.8957
27.600000	91.174	-170.3405
28.000000	91.175	-170.7566
28.500000	91.170	-171.2032
29.000000	91.167	-171.5850
29.500000	91.169	-171.9666
30.000000	91.174	-172.4019
30.400000	91.176	-172.7890
30.700001	91.174	-173.0904
31.100000	91.168	-173.4905
31.500000	91.160	-173.8774
32.000000	91.151	-174.3370
32.500000	91.147	-174.7808
33.000000	91.148	-175.2338
33.500000	91.153	-175.7100
34.000000	91.158	-176.1930
34.500000	91.160	-176.6499
35.000000	91.159	-177.0622
35.500000	91.160	-177.4364
36.000000	91.165	-177.7975
36.500000	91.171	-178.1669
37.000000	91.174	-178.5448
37.500000	91.171	-178.9145
38.200001	91.161	-179.4051
38.700001	91.150	-179.7535
39.500000	91.128	179.6579
40.000000	91.109	179.2888
40.599998	91.083	178.8810
41.200001	91.062	178.5103
41.799999	91.050	178.1317
42.500000	91.042	177.6454
43.099998	91.036	177.2181
43.700001	91.034	176.7903
44.400002	91.029	176.2559
45.000000	91.013	175.7987
45.500000	90.994	175.4860
46.200001	90.976	175.1590
46.799999	90.976	174.8623
47.500000	90.972	174.3935
48.200001	90.946	173.9229
48.700001	90.921	173.6745
49.400002	90.896	173.4151
50.000000	90.886	173.1746
50.799999	90.874	172.7831
51.500000	90.860	172.4168
52.200001	90.842	172.0507
53.000000	90.819	171.6635
53.799999	90.801	171.3147
54.500000	90.788	170.9825
55.200001	90.770	170.6235
56.000000	90.741	170.2619
57.000000	90.708	169.8895
58.000000	90.678	169.4815
59.000000	90.637	169.0531
60.000000	90.589	168.6662
60.799999	90.554	168.3540
61.500000	90.525	168.0545
62.200001	90.494	167.7352
63.000000	90.455	167.3738
64.000000	90.404	167.0071
65.000000	90.373	166.7041
66.000000	90.355	166.2975
67.000000	90.325	165.8651
68.000000	90.290	165.5068
69.000000	90.251	165.1761
70.000000	90.209	164.9001
71.000000	90.172	164.6541
72.000000	90.139	164.3611
73.000000	90.104	164.0276
74.000000	90.063	163.6866
75.000000	90.020	163.3799
76.199997	89.973	163.0646
77.500000	89.925	162.7317
78.800003	89.878	162.4075
80.000000	89.830	162.0908
81.199997	89.774	161.7640
82.500000	89.713	161.4187
83.800003	89.659	161.0638
85.000000	89.613	160.7571
86.199997	89.571	160.4771
87.500000	89.529	160.2030
88.500000	89.493	159.9931
90.000000	89.427	159.7085
91.199997	89.374	159.5085
92.500000	89.326	159.2712
93.800003	89.280	158.9656
95.000000	89.234	158.6992
96.199997	89.188	158.4876
97.500000	89.143	158.3006
98.800003	89.096	158.0910
100.000000	89.048	157.9013
101.500000	88.987	157.6594
103.000000	88.931	157.3937
104.400002	88.881	157.1302
106.000000	88.821	156.8822
107.500000	88.761	156.7299
109.000000	88.706	156.5812
110.599998	88.646	156.4035
112.000000	88.599	156.2235
113.800003	88.540	156.0589
115.000000	88.500	155.9890
117.199997	88.393	156.0193
118.000000	88.345	156.1054
120.599998	88.262	156.3087
122.000000	88.232	155.8746
124.099998	88.153	155.2325
125.000000	88.123	155.0556
126.500000	88.082	154.8757
128.000000	88.043	154.7584
131.500000	87.929	154.4703
132.000000	87.912	154.4163
134.000000	87.837	154.1949
136.000000	87.760	154.1105
138.000000	87.694	154.0861
140.000000	87.631	154.0324
143.000000	87.529	153.9078
145.000000	87.463	153.8768
147.500000	87.385	153.8562
150.000000	87.306	153.7733
152.500000	87.226	153.6788
155.000000	87.149	153.6469
157.500000	87.076	153.6268
160.000000	86.999	153.6489
162.500000	86.925	153.7045
165.000000	86.854	153.7702
167.500000	86.780	153.8278
170.000000	86.709	153.8927
172.500000	86.638	153.9858
175.000000	86.570	154.1114
177.500000	86.504	154.2464
180.000000	86.441	154.3674
182.500000	86.385	154.5062
185.000000	86.338	154.6530
187.500000	86.294	154.8155
190.000000	86.254	154.9128
192.500000	86.216	154.9778
195.000000	86.190	155.0308
197.500000	86.165	155.0494
200.000000	86.132	155.0355
203.000000	86.087	154.9834
206.000000	86.037	154.9109
209.000000	85.979	154.8741
212.000000	85.921	154.8407
214.000000	85.882	154.8203
218.000000	85.803	154.8157
220.000000	85.760	154.8370
224.000000	85.673	154.8796
227.000000	85.616	154.9434
230.000000	85.562	155.0784
233.000000	85.503	155.1964
236.000000	85.439	155.2514
240.000000	85.361	155.3597
243.000000	85.305	155.4736
247.000000	85.229	155.6336
250.000000	85.181	155.7697
254.000000	85.120	155.9393
258.000000	85.048	156.1264
262.000000	84.975	156.3251
265.000000	84.922	156.4562
269.000000	84.859	156.5940
272.000000	84.814	156.7049
276.000000	84.760	156.8911
280.000000	84.705	157.0784
285.000000	84.632	157.3174
290.000000	84.559	157.5837
295.000000	84.490	157.8643
300.000000	84.424	158.1237
304.000000	84.378	158.3216
307.000000	84.346	158.4827
311.000000	84.296	158.7172
315.000000	84.242	158.9636
320.000000	84.180	159.2847
325.000000	84.125	159.5760
330.000000	84.071	159.8154
335.000000	84.015	160.1207
340.000000	83.956	160.4775
345.000000	83.905	160.8100
350.000000	83.862	161.1328
355.000000	83.820	161.4816
360.000000	83.773	161.8412
365.000000	83.727	162.2099
370.000000	83.684	162.5478
375.000000	83.646	162.8563
382.000000	83.587	163.3013
387.000000	83.546	163.5995
395.000000	83.494	164.1197
400.000000	83.462	164.4578
406.000000	83.424	164.8167
412.000000	83.388	165.1801
418.000000	83.352	165.5309
425.000000	83.301	165.9289
431.000000	83.257	166.3014
437.000000	83.219	166.6507
444.000000	83.178	167.0848
450.000000	83.152	167.4525
455.000000	83.128	167.7381
462.000000	83.086	168.1322
468.000000	83.052	168.4738
475.000000	83.022	168.8694
482.000000	82.996	169.2836
487.000000	82.974	169.5891
494.000000	82.945	170.0322
500.000000	82.926	170.4182
508.000000	82.902	170.9229
515.000000	82.879	171.3161
522.000000	82.853	171.7002
530.000000	82.826	172.1491
538.000000	82.802	172.6246
545.000000	82.781	173.0714
552.000000	82.762	173.5197
560.000000	82.739	173.9854
570.000000	82.722	174.5642
580.000000	82.709	175.1301
590.000000	82.698	175.7011
600.000000	82.686	176.3100
608.000000	82.672	176.7921
615.000000	82.661	177.1986
622.000000	82.653	177.6061
630.000000	82.645	178.0613
640.000000	82.639	178.6227
650.000000	82.635	179.2158
660.000000	82.635	179.8158
670.000000	82.636	-179.5927
680.000000	82.643	-179.0327
690.000000	82.643	-178.4806
700.000000	82.639	-177.9140
710.000000	82.639	-177.3151
720.000000	82.651	-176.7331
730.000000	82.669	-176.1966
740.000000	82.685	-175.6837
750.000000	82.700	-175.1447
762.000000	82.724	-174.4475
775.000000	82.749	-173.7038
788.000000	82.779	-173.0098
800.000000	82.813	-172.4275
812.000000	82.852	-171.8306
825.000000	82.901	-171.1621
838.000000	82.957	-170.4764
850.000000	83.009	-169.8663
862.000000	83.063	-169.2843
875.000000	83.128	-168.6967
885.000000	83.185	-168.2709
900.000000	83.268	-167.7003
912.000000	83.339	-167.2873
925.000000	83.421	-166.8285
938.000000	83.513	-166.3837
950.000000	83.598	-166.0221
962.000000	83.681	-165.7098
975.000000	83.774	-165.4348
988.000000	83.873	-165.2469
1000.000000	83.965	-165.0892
1015.000000	84.072	-164.8383
1030.000000	84.179	-164.6586
1044.000000	84.285	-164.5830
1060.000000	84.404	-164.5564
1075.000000	84.507	-164.5676
1090.000000	84.614	-164.6369
1106.000000	84.738	-164.7900
1120.000000	84.843	-164.9696
1138.000000	84.971	-165.2424
1150.000000	85.054	-165.4495
1172.000000	85.196	-165.8977
1180.000000	85.245	-166.0855
1206.000000	85.403	-166.7636
1220.000000	85.484	-167.1371
1241.000000	85.594	-167.7186
1250.000000	85.638	-167.9837
1265.000000	85.708	-168.4529
1280.000000	85.775	-168.9487
1315.000000	85.913	-170.1370
1320.000000	85.930	-170.3169
1340.000000	85.995	-171.0587
1360.000000	86.050	-171.8326
1380.000000	86.097	-172.6220
1400.000000	86.141	-173.4174
1430.000000	86.194	-174.6700
1450.000000	86.221	-175.5186
1475.000000	86.243	-176.6133
1500.000000	86.252	-177.7105
1525.000000	86.247	-178.8298
1550.000000	86.232	-179.9596
1575.000000	86.212	178.9255
1600.000000	86.188	177.7292
1625.000000	86.158	176.3566
1650.000000	86.100	174.6270
1675.000000	85.938	172.5212
1700.000000	85.588	170.8923
1725.000000	85.170	170.9205
1750.000000	84.931	172.0050
1775.000000	84.874	172.8238
1800.000000	84.882	173.0696
1825.000000	84.905	172.9109
1850.000000	84.924	172.3558
1875.000000	84.900	171.2911
1900.000000	84.783	169.9478
1925.000000	84.583	168.8809
1950.000000	84.356	168.3276
1975.000000	84.142	168.1096
2000.000000	83.950	168.0145
2030.000000	83.741	167.9463
2060.000000	83.542	167.8932
2090.000000	83.346	167.8743
2120.000000	83.149	167.9006
2140.000000	83.016	167.9178
2180.000000	82.750	167.9866
2200.000000	82.619	168.0719
2240.000000	82.354	168.3533
2270.000000	82.146	168.6402
2300.000000	81.936	168.9709
2330.000000	81.729	169.3568
2360.000000	81.522	169.8177
2400.000000	81.246	170.5298
