* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 5, 2023 5:34:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Rhapsodio Infinity Plus R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.904	50.7938
20.600000	90.899	50.4166
20.900000	90.889	49.7686
21.200001	90.881	49.2135
21.400000	90.878	48.8748
21.799999	90.879	48.1896
22.000000	90.881	47.8163
22.400000	90.883	47.0086
22.700001	90.883	46.3661
23.000000	90.881	45.7064
23.299999	90.882	45.0392
23.600000	90.887	44.3639
24.000000	90.905	43.4401
24.299999	90.926	42.7169
24.700001	90.958	41.7051
25.000000	90.981	40.9224
25.400000	91.007	39.8868
25.799999	91.027	38.9246
26.200001	91.047	38.0832
26.500000	91.068	37.5279
26.900000	91.106	36.8460
27.200001	91.142	36.3368
27.600000	91.191	35.6245
28.000000	91.233	34.8859
28.500000	91.267	34.0148
29.000000	91.293	33.2841
29.500000	91.323	32.6528
30.000000	91.360	32.0035
30.400000	91.381	31.4447
30.700001	91.389	31.0292
31.100000	91.390	30.5353
31.500000	91.389	30.1347
32.000000	91.401	29.7105
32.500000	91.430	29.2302
33.000000	91.459	28.6022
33.500000	91.470	27.8897
34.000000	91.461	27.2446
34.500000	91.451	26.7533
35.000000	91.460	26.3605
35.500000	91.491	25.9213
36.000000	91.529	25.3384
36.500000	91.553	24.6394
37.000000	91.556	23.9493
37.500000	91.547	23.3754
38.200001	91.544	22.7686
38.700001	91.559	22.3633
39.500000	91.591	21.5898
40.000000	91.603	21.0601
40.599998	91.605	20.4593
41.200001	91.603	19.9326
41.799999	91.604	19.4590
42.500000	91.611	18.9167
43.099998	91.618	18.4246
43.700001	91.621	17.9107
44.400002	91.618	17.3181
45.000000	91.613	16.8295
45.500000	91.610	16.4264
46.200001	91.606	15.8609
46.799999	91.601	15.3864
47.500000	91.600	14.8499
48.200001	91.602	14.3133
48.700001	91.603	13.9275
