* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 5, 2023 5:33:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Rhapsodio Infinity Ultra R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.354	42.4965
20.600000	91.361	42.3912
20.900000	91.382	42.1638
21.200001	91.421	41.8262
21.400000	91.451	41.5085
21.799999	91.501	40.6560
22.000000	91.513	40.1465
22.400000	91.507	39.0673
22.700001	91.479	38.2956
23.000000	91.437	37.6231
23.299999	91.395	37.0747
23.600000	91.363	36.6408
24.000000	91.352	36.1726
24.299999	91.373	35.8082
24.700001	91.432	35.1660
25.000000	91.483	34.5061
25.400000	91.533	33.4110
25.799999	91.541	32.2459
26.200001	91.508	31.2595
26.500000	91.474	30.7357
26.900000	91.443	30.3124
27.200001	91.446	30.0985
27.600000	91.486	29.7711
28.000000	91.545	29.2526
28.500000	91.608	28.3457
29.000000	91.635	27.3542
29.500000	91.635	26.4310
30.000000	91.614	25.6283
30.400000	91.585	25.1351
30.700001	91.559	24.9115
31.100000	91.541	24.8514
31.500000	91.569	24.9789
32.000000	91.691	25.0231
32.500000	91.863	24.4515
33.000000	91.983	23.1707
33.500000	91.983	21.6708
34.000000	91.876	20.6712
34.500000	91.755	20.5056
35.000000	91.709	20.8920
35.500000	91.757	21.2263
36.000000	91.847	21.1339
36.500000	91.921	20.6425
37.000000	91.958	19.9667
37.500000	91.962	19.2503
38.200001	91.929	18.2699
38.700001	91.881	17.6450
39.500000	91.796	16.9002
40.000000	91.756	16.5671
40.599998	91.734	16.2179
41.200001	91.741	15.8440
41.799999	91.771	15.3499
42.500000	91.809	14.5440
43.099998	91.816	13.7672
43.700001	91.799	13.1111
44.400002	91.776	12.5888
45.000000	91.772	12.2722
45.500000	91.779	12.0333
46.200001	91.802	11.6800
46.799999	91.827	11.3169
47.500000	91.853	10.7979
48.200001	91.867	10.2088
48.700001	91.867	9.7734
49.400002	91.854	9.1815
50.000000	91.832	8.7279
50.799999	91.798	8.2261
51.500000	91.773	7.8532
52.200001	91.754	7.5104
53.000000	91.742	7.1282
53.799999	91.739	6.7059
54.500000	91.738	6.2841
55.200001	91.735	5.8313
56.000000	91.729	5.2960
57.000000	91.714	4.6233
58.000000	91.691	4.0002
59.000000	91.664	3.4660
60.000000	91.637	3.0165
60.799999	91.618	2.7028
61.500000	91.605	2.4439
62.200001	91.594	2.1792
63.000000	91.583	1.8550
64.000000	91.571	1.4177
65.000000	91.558	0.9510
66.000000	91.545	0.4632
67.000000	91.529	-0.0270
68.000000	91.511	-0.5066
69.000000	91.490	-0.9660
70.000000	91.465	-1.3932
71.000000	91.438	-1.7947
72.000000	91.412	-2.1787
73.000000	91.385	-2.5467
74.000000	91.360	-2.8991
75.000000	91.337	-3.2339
76.199997	91.312	-3.6240
77.500000	91.286	-4.0346
78.800003	91.262	-4.4416
80.000000	91.240	-4.8328
81.199997	91.217	-5.2329
82.500000	91.191	-5.6737
83.800003	91.165	-6.1256
85.000000	91.139	-6.5361
86.199997	91.111	-6.9387
87.500000	91.080	-7.3613
88.500000	91.055	-7.6732
90.000000	91.016	-8.1236
91.199997	90.984	-8.4658
92.500000	90.948	-8.8105
93.800003	90.912	-9.1339
