* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 5, 2023 5:08:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Rhapsodio Infinity mk2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.365	71.6790
20.600000	86.322	71.2886
20.900000	86.233	70.5536
21.200001	86.143	69.7519
21.400000	86.084	69.1776
21.799999	85.970	67.9217
22.000000	85.915	67.2437
22.400000	85.819	65.8167
22.700001	85.767	64.6913
23.000000	85.737	63.5096
23.299999	85.733	62.2602
23.600000	85.751	60.9418
24.000000	85.805	59.0971
24.299999	85.862	57.6903
24.700001	85.949	55.8590
25.000000	86.021	54.5738
25.400000	86.124	53.0302
25.799999	86.237	51.7038
26.200001	86.356	50.5863
26.500000	86.447	49.8705
26.900000	86.566	49.0577
27.200001	86.651	48.5364
27.600000	86.758	47.9320
28.000000	86.855	47.3963
28.500000	86.955	46.7819
29.000000	87.027	46.2144
29.500000	87.072	45.6993
30.000000	87.098	45.2215
30.400000	87.112	44.8367
30.700001	87.119	44.5329
31.100000	87.125	44.1018
31.500000	87.127	43.6467
32.000000	87.131	43.0521
32.500000	87.143	42.4165
33.000000	87.166	41.7099
33.500000	87.197	40.9249
34.000000	87.232	40.0927
34.500000	87.267	39.2628
35.000000	87.300	38.4724
35.500000	87.333	37.7444
36.000000	87.366	37.0879
36.500000	87.400	36.4976
37.000000	87.436	35.9531
37.500000	87.470	35.4338
38.200001	87.510	34.7359
38.700001	87.533	34.2601
39.500000	87.564	33.5138
40.000000	87.580	33.0368
40.599998	87.596	32.4570
41.200001	87.608	31.8908
41.799999	87.623	31.3416
42.500000	87.644	30.6982
43.099998	87.664	30.1352
43.700001	87.682	29.5811
44.400002	87.701	28.9696
45.000000	87.717	28.4718
45.500000	87.730	28.0663
46.200001	87.744	27.5181
46.799999	87.752	27.0833
47.500000	87.764	26.6117
48.200001	87.781	26.1373
48.700001	87.792	25.7828
49.400002	87.804	25.2791
50.000000	87.813	24.8577
50.799999	87.823	24.3127
51.500000	87.832	23.8525
52.200001	87.843	23.4100
53.000000	87.858	22.9038
53.799999	87.872	22.3871
54.500000	87.881	21.9536
55.200001	87.889	21.5478
56.000000	87.899	21.0958
57.000000	87.911	20.5341
58.000000	87.920	19.9872
59.000000	87.926	19.4562
60.000000	87.928	18.9514
60.799999	87.931	18.5649
61.500000	87.934	18.2297
62.200001	87.938	17.8867
63.000000	87.942	17.4827
64.000000	87.942	16.9902
65.000000	87.943	16.5394
66.000000	87.947	16.1083
67.000000	87.950	15.6883
68.000000	87.953	15.2858
69.000000	87.955	14.8866
70.000000	87.955	14.4808
71.000000	87.953	14.0762
72.000000	87.950	13.6804
73.000000	87.947	13.2989
74.000000	87.946	12.9311
75.000000	87.945	12.5615
76.199997	87.941	12.1260
77.500000	87.933	11.6903
78.800003	87.925	11.2637
80.000000	87.916	10.8673
81.199997	87.906	10.4763
82.500000	87.894	10.0632
83.800003	87.882	9.6607
85.000000	87.871	9.3002
86.199997	87.860	8.9516
87.500000	87.846	8.5943
88.500000	87.834	8.3332
90.000000	87.816	7.9502
91.199997	87.801	7.6460
92.500000	87.783	7.3122
93.800003	87.764	6.9795
95.000000	87.746	6.6862
96.199997	87.728	6.4147
97.500000	87.707	6.1425
98.800003	87.682	5.8827
100.000000	87.656	5.6514
101.500000	87.621	5.3687
103.000000	87.586	5.1002
104.400002	87.553	4.8904
106.000000	87.513	4.7092
107.500000	87.468	4.5951
109.000000	87.415	4.5347
110.599998	87.357	4.5283
112.000000	87.310	4.5855
113.800003	87.262	4.7691
115.000000	87.237	4.9646
117.199997	87.205	5.4273
118.000000	87.200	5.6076
120.599998	87.216	6.1954
122.000000	87.241	6.5562
124.099998	87.299	7.2119
125.000000	87.333	7.5086
126.500000	87.408	7.9497
128.000000	87.511	8.2517
131.500000	87.841	8.2085
132.000000	87.890	8.1284
134.000000	88.063	7.6704
136.000000	88.202	6.9721
138.000000	88.318	6.0058
140.000000	88.413	4.8586
143.000000	88.483	3.1393
145.000000	88.473	2.0902
147.500000	88.426	0.8794
150.000000	88.372	-0.1511
152.500000	88.311	-0.9458
155.000000	88.241	-1.6009
157.500000	88.174	-2.1884
160.000000	88.118	-2.6843
162.500000	88.065	-3.0967
165.000000	88.017	-3.4796
167.500000	87.976	-3.8533
170.000000	87.941	-4.2120
172.500000	87.906	-4.5615
175.000000	87.871	-4.8987
177.500000	87.837	-5.2113
180.000000	87.804	-5.5064
182.500000	87.770	-5.7913
185.000000	87.736	-6.0561
187.500000	87.702	-6.3002
190.000000	87.668	-6.5328
192.500000	87.634	-6.7578
195.000000	87.599	-6.9748
197.500000	87.565	-7.1861
200.000000	87.530	-7.3949
203.000000	87.490	-7.6383
206.000000	87.451	-7.8733
209.000000	87.412	-8.1032
212.000000	87.373	-8.3213
214.000000	87.346	-8.4584
218.000000	87.293	-8.7215
220.000000	87.265	-8.8500
224.000000	87.209	-9.0977
227.000000	87.166	-9.2694
230.000000	87.122	-9.4364
233.000000	87.079	-9.6023
236.000000	87.036	-9.7597
240.000000	86.979	-9.9417
243.000000	86.937	-10.0637
247.000000	86.883	-10.2056
250.000000	86.845	-10.2944
254.000000	86.796	-10.4019
258.000000	86.748	-10.5051
262.000000	86.699	-10.6032
265.000000	86.661	-10.6709
269.000000	86.609	-10.7393
272.000000	86.570	-10.7755
276.000000	86.516	-10.8062
280.000000	86.463	-10.7862
285.000000	86.397	-10.6519
290.000000	86.348	-10.3723
295.000000	86.337	-10.0368
300.000000	86.367	-9.8512
304.000000	86.402	-9.9578
307.000000	86.420	-10.1783
311.000000	86.421	-10.5648
315.000000	86.397	-10.9609
320.000000	86.345	-11.3759
325.000000	86.283	-11.6816
330.000000	86.217	-11.8962
335.000000	86.150	-12.0493
340.000000	86.084	-12.1567
345.000000	86.018	-12.2344
350.000000	85.952	-12.2926
355.000000	85.888	-12.3340
360.000000	85.825	-12.3582
365.000000	85.765	-12.3607
370.000000	85.705	-12.3470
375.000000	85.646	-12.3221
382.000000	85.564	-12.2649
387.000000	85.506	-12.2099
395.000000	85.415	-12.1145
400.000000	85.360	-12.0485
406.000000	85.295	-11.9534
412.000000	85.230	-11.8453
418.000000	85.165	-11.7323
425.000000	85.089	-11.5829
431.000000	85.025	-11.4400
437.000000	84.963	-11.2855
444.000000	84.892	-11.0921
450.000000	84.831	-10.9197
455.000000	84.781	-10.7668
462.000000	84.713	-10.5399
468.000000	84.655	-10.3342
475.000000	84.588	-10.0787
482.000000	84.522	-9.8086
487.000000	84.476	-9.6072
494.000000	84.412	-9.3141
500.000000	84.357	-9.0546
508.000000	84.285	-8.6883
515.000000	84.224	-8.3497
522.000000	84.165	-7.9940
530.000000	84.098	-7.5679
538.000000	84.031	-7.1342
545.000000	83.973	-6.7491
552.000000	83.916	-6.3526
560.000000	83.850	-5.8840
570.000000	83.771	-5.2711
580.000000	83.694	-4.6357
590.000000	83.619	-3.9805
600.000000	83.547	-3.3024
608.000000	83.493	-2.7388
615.000000	83.448	-2.2338
622.000000	83.404	-1.7235
630.000000	83.355	-1.1334
640.000000	83.298	-0.3769
650.000000	83.242	0.3996
660.000000	83.190	1.1892
670.000000	83.143	1.9890
680.000000	83.099	2.7972
690.000000	83.057	3.6190
700.000000	83.018	4.4639
710.000000	82.985	5.3191
720.000000	82.955	6.1781
730.000000	82.929	7.0501
740.000000	82.907	7.9259
750.000000	82.888	8.8031
762.000000	82.872	9.8557
775.000000	82.858	10.9937
788.000000	82.851	12.1330
800.000000	82.850	13.1905
812.000000	82.857	14.2589
825.000000	82.870	15.4118
838.000000	82.890	16.5562
850.000000	82.914	17.6033
862.000000	82.942	18.6553
875.000000	82.976	19.7914
885.000000	83.006	20.6502
900.000000	83.058	21.9274
912.000000	83.106	22.9373
925.000000	83.163	24.0085
938.000000	83.225	25.0572
950.000000	83.286	26.0053
962.000000	83.350	26.9333
975.000000	83.421	27.9208
988.000000	83.496	28.8845
1000.000000	83.567	29.7448
1015.000000	83.662	30.7807
1030.000000	83.761	31.7769
1044.000000	83.856	32.6705
1060.000000	83.966	33.6449
1075.000000	84.067	34.5072
1090.000000	84.164	35.3195
1106.000000	84.269	36.1379
1120.000000	84.362	36.8231
1138.000000	84.483	37.6696
1150.000000	84.564	38.2137
1172.000000	84.713	39.1775
1180.000000	84.767	39.5204
1206.000000	84.951	40.6050
1220.000000	85.061	41.1573
1241.000000	85.239	41.9308
1250.000000	85.317	42.2436
1265.000000	85.446	42.7440
1280.000000	85.575	43.2196
1315.000000	85.867	44.2510
1320.000000	85.907	44.3942
1340.000000	86.069	44.9638
1360.000000	86.233	45.5303
1380.000000	86.400	46.1014
1400.000000	86.570	46.6744
1430.000000	86.824	47.5211
1450.000000	86.994	48.0762
1475.000000	87.209	48.7661
1500.000000	87.427	49.4431
1525.000000	87.642	50.1041
1550.000000	87.850	50.7537
1575.000000	88.055	51.3873
1600.000000	88.261	51.9939
1625.000000	88.468	52.5627
1650.000000	88.674	53.0805
1675.000000	88.882	53.5431
1700.000000	89.094	53.9717
1725.000000	89.311	54.3627
1750.000000	89.533	54.7014
1775.000000	89.759	54.9830
1800.000000	89.989	55.2003
1825.000000	90.221	55.3431
1850.000000	90.455	55.4017
1875.000000	90.689	55.3730
1900.000000	90.921	55.2508
1925.000000	91.148	55.0352
1950.000000	91.369	54.7288
1975.000000	91.582	54.3322
2000.000000	91.786	53.8449
2030.000000	92.018	53.1422
2060.000000	92.234	52.3071
2090.000000	92.431	51.3479
2120.000000	92.612	50.2793
2140.000000	92.722	49.5067
2180.000000	92.916	47.8235
2200.000000	93.000	46.9200
2240.000000	93.141	45.0170
2270.000000	93.221	43.5372
2300.000000	93.278	42.0437
2330.000000	93.310	40.5767
2360.000000	93.317	39.1967
2400.000000	93.298	37.5834
2430.000000	93.275	36.5627
2470.000000	93.256	35.4177
2500.000000	93.257	34.6906
2540.000000	93.282	33.8481
2580.000000	93.334	33.0930
2620.000000	93.406	32.3477
2650.000000	93.470	31.7443
2690.000000	93.559	30.8414
2720.000000	93.623	30.0848
2760.000000	93.700	28.9759
2800.000000	93.761	27.7675
2850.000000	93.810	26.1656
2900.000000	93.830	24.5437
2950.000000	93.824	22.9946
3000.000000	93.796	21.5882
3040.000000	93.761	20.5988
3070.000000	93.729	19.9510
3110.000000	93.681	19.2300
3150.000000	93.628	18.6840
3200.000000	93.561	18.2537
3250.000000	93.500	18.0924
3300.000000	93.456	18.1637
3350.000000	93.443	18.3852
3400.000000	93.469	18.6359
3450.000000	93.541	18.7692
3500.000000	93.653	18.6091
3550.000000	93.788	17.9714
3600.000000	93.911	16.7202
3650.000000	93.976	14.8535
3700.000000	93.945	12.5531
3750.000000	93.793	10.1750
3820.000000	93.381	7.5789
3870.000000	92.995	6.7981
3950.000000	92.370	7.8990
4000.000000	92.057	9.9015
4060.000000	91.824	13.1920
4120.000000	91.769	16.9309
4180.000000	91.889	20.6281
4250.000000	92.215	24.3953
4310.000000	92.614	26.8635
4370.000000	93.085	28.4397
4440.000000	93.679	28.9408
4500.000000	94.183	28.0526
4550.000000	94.567	26.2873
4620.000000	94.994	22.2042
4680.000000	95.207	17.3712
4750.000000	95.238	10.8092
4820.000000	95.057	4.2698
4870.000000	94.834	0.1530
4940.000000	94.443	-4.4300
5000.000000	94.064	-7.2320
5080.000000	93.527	-9.5937
5150.000000	93.046	-10.6373
5220.000000	92.572	-10.9382
5300.000000	92.047	-10.5535
5380.000000	91.551	-9.5472
5450.000000	91.144	-8.2540
5520.000000	90.764	-6.6411
5600.000000	90.370	-4.4660
5700.000000	89.944	-1.3161
5800.000000	89.605	2.2601
5900.000000	89.358	6.1143
6000.000000	89.212	10.0882
6080.000000	89.171	13.3071
6150.000000	89.192	16.1281
6220.000000	89.266	18.9339
6300.000000	89.416	22.1038
6400.000000	89.712	25.9602
6500.000000	90.145	29.5546
6600.000000	90.721	32.6541
6700.000000	91.435	34.9756
6800.000000	92.265	36.1539
6900.000000	93.159	35.7269
7000.000000	94.021	33.2642
7100.000000	94.743	28.6497
7200.000000	95.262	22.1809
7300.000000	95.558	14.4241
7400.000000	95.646	6.0667
7500.000000	95.583	-2.2815
7620.000000	95.381	-11.7910
7750.000000	95.013	-21.5001
7880.000000	94.422	-30.7517
8000.000000	93.623	-38.4022
8120.000000	92.575	-44.2376
8250.000000	91.243	-47.6234
8380.000000	89.889	-47.9634
8500.000000	88.796	-46.4437
8620.000000	87.945	-44.3460
8750.000000	87.263	-42.5799
8850.000000	86.822	-41.9506
9000.000000	86.146	-41.9546
9120.000000	85.532	-42.1620
9250.000000	84.811	-42.0248
9380.000000	84.093	-41.3271
9500.000000	83.490	-40.2746
9620.000000	82.994	-39.1575
9750.000000	82.599	-38.5271
9880.000000	82.274	-39.2166
10000.000000	81.901	-41.0193
