* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 30 오후 3:59:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	92.191	-149.8000
20.600000	92.223	-149.9999
20.900000	92.286	-150.3712
21.200001	92.341	-150.7641
21.400000	92.372	-151.0406
21.799999	92.424	-151.6351
22.000000	92.445	-151.9499
22.400000	92.481	-152.5922
22.700001	92.504	-153.0736
23.000000	92.527	-153.5533
23.299999	92.550	-154.0346
23.600000	92.575	-154.5195
24.000000	92.611	-155.1704
24.299999	92.641	-155.6586
24.700001	92.684	-156.3073
25.000000	92.718	-156.7943
25.400000	92.763	-157.4468
25.799999	92.806	-158.0951
26.200001	92.844	-158.7169
26.500000	92.870	-159.1511
26.900000	92.904	-159.6812
27.200001	92.929	-160.0531
27.600000	92.962	-160.5424
28.000000	92.994	-161.0483
28.500000	93.024	-161.6864
29.000000	93.044	-162.2643
29.500000	93.066	-162.7693
30.000000	93.098	-163.2959
30.400000	93.125	-163.8011
30.700001	93.140	-164.2296
31.100000	93.145	-164.8152
31.500000	93.136	-165.3476
32.000000	93.121	-165.8747
32.500000	93.120	-166.2909
33.000000	93.141	-166.7197
33.500000	93.173	-167.2398
34.000000	93.199	-167.8318
34.500000	93.212	-168.4113
35.000000	93.218	-168.9117
35.500000	93.230	-169.3291
36.000000	93.252	-169.7227
36.500000	93.283	-170.1643
37.000000	93.310	-170.6869
37.500000	93.323	-171.2544
38.200001	93.315	-171.9777
38.700001	93.304	-172.3850
39.500000	93.303	-172.9492
40.000000	93.311	-173.3433
40.599998	93.319	-173.8874
41.200001	93.317	-174.4546
41.799999	93.308	-174.9789
42.500000	93.301	-175.5115
43.099998	93.306	-175.9506
43.700001	93.317	-176.4362
44.400002	93.324	-177.0522
45.000000	93.322	-177.5509
45.500000	93.320	-177.9216
46.200001	93.323	-178.4202
46.799999	93.328	-178.8745
47.500000	93.325	-179.4057
48.200001	93.321	-179.8782
48.700001	93.322	179.8131
49.400002	93.329	179.3742
50.000000	93.334	178.9717
50.799999	93.336	178.4102
51.500000	93.332	177.9233
52.200001	93.324	177.4615
53.000000	93.313	176.9635
53.799999	93.301	176.4825
54.500000	93.288	176.0743
55.200001	93.276	175.6715
56.000000	93.265	175.2031
57.000000	93.252	174.6093
58.000000	93.238	174.0061
59.000000	93.217	173.3784
60.000000	93.181	172.7932
60.799999	93.151	172.4299
61.500000	93.141	172.1466
62.200001	93.144	171.7826
63.000000	93.137	171.2255
64.000000	93.094	170.5539
65.000000	93.053	170.1570
66.000000	93.055	169.8037
67.000000	93.065	169.1929
68.000000	93.033	168.5240
69.000000	92.980	168.1203
70.000000	92.954	167.8860
71.000000	92.950	167.5208
72.000000	92.932	167.0000
73.000000	92.896	166.5285
74.000000	92.869	166.1349
75.000000	92.854	165.6578
76.199997	92.816	164.9741
77.500000	92.754	164.4546
78.800003	92.721	164.1000
80.000000	92.706	163.6555
81.199997	92.678	163.1352
82.500000	92.636	162.5857
83.800003	92.586	162.0990
85.000000	92.541	161.7203
86.199997	92.507	161.3602
87.500000	92.477	160.9146
88.500000	92.450	160.5323
90.000000	92.397	159.9560
91.199997	92.345	159.5558
92.500000	92.296	159.2551
93.800003	92.275	158.9572
95.000000	92.263	158.5035
96.199997	92.225	157.9734
97.500000	92.163	157.5471
98.800003	92.113	157.2563
100.000000	92.081	156.9677
101.500000	92.043	156.5267
103.000000	91.994	156.0602
104.400002	91.944	155.7111
106.000000	91.903	155.3339
107.500000	91.865	154.8891
109.000000	91.814	154.4476
110.599998	91.755	154.0378
112.000000	91.702	153.7006
113.800003	91.634	153.2672
115.000000	91.594	152.9572
117.199997	91.537	152.2785
118.000000	91.517	151.9850
120.599998	91.410	151.2247
122.000000	91.356	151.1218
124.099998	91.297	150.9304
125.000000	91.268	150.7951
126.500000	91.213	150.5269
128.000000	91.153	150.2444
131.500000	91.020	149.6353
132.000000	91.001	149.5584
134.000000	90.927	149.2505
136.000000	90.849	148.9188
138.000000	90.766	148.5929
140.000000	90.680	148.3208
143.000000	90.548	148.1111
145.000000	90.468	148.0327
147.500000	90.379	147.8844
150.000000	90.285	147.7591
152.500000	90.191	147.8428
155.000000	90.124	148.0737
157.500000	90.079	148.3171
160.000000	90.069	148.4927
162.500000	90.087	148.4847
165.000000	90.113	148.2715
167.500000	90.124	147.9088
170.000000	90.109	147.4115
172.500000	90.072	146.8201
175.000000	90.026	146.2495
177.500000	89.975	145.7481
180.000000	89.916	145.3015
182.500000	89.850	144.8651
185.000000	89.781	144.4609
187.500000	89.710	144.1318
190.000000	89.635	143.8777
192.500000	89.562	143.6512
195.000000	89.494	143.3663
197.500000	89.426	143.0342
200.000000	89.356	142.7486
203.000000	89.273	142.4892
206.000000	89.187	142.2510
209.000000	89.098	142.0245
212.000000	89.012	141.8150
214.000000	88.956	141.6868
218.000000	88.850	141.4775
220.000000	88.799	141.3812
224.000000	88.699	141.1936
227.000000	88.624	141.0742
230.000000	88.550	140.9616
233.000000	88.478	140.8494
236.000000	88.408	140.7609
240.000000	88.310	140.6658
243.000000	88.241	140.5893
247.000000	88.156	140.5605
250.000000	88.088	140.5381
254.000000	87.988	140.3163
258.000000	87.886	140.0973
262.000000	87.787	140.0011
265.000000	87.716	139.9540
269.000000	87.625	139.9039
272.000000	87.555	139.8770
276.000000	87.463	139.8348
280.000000	87.373	139.8123
285.000000	87.266	139.8336
290.000000	87.165	139.8899
295.000000	87.067	139.9942
300.000000	86.976	140.1303
304.000000	86.906	140.2237
307.000000	86.856	140.2907
311.000000	86.796	140.3641
315.000000	86.743	140.4042
320.000000	86.683	140.4566
325.000000	86.611	140.5050
330.000000	86.532	140.4946
335.000000	86.453	140.4980
340.000000	86.367	140.5436
345.000000	86.278	140.6555
350.000000	86.193	140.7957
355.000000	86.116	140.9320
360.000000	86.045	141.0364
365.000000	85.976	141.1018
370.000000	85.909	141.1522
375.000000	85.838	141.2147
382.000000	85.727	141.3035
387.000000	85.645	141.3607
395.000000	85.517	141.5018
400.000000	85.437	141.6556
406.000000	85.341	141.8577
412.000000	85.247	142.0353
418.000000	85.157	142.1981
425.000000	85.055	142.4214
431.000000	84.969	142.6402
437.000000	84.887	142.8888
444.000000	84.792	143.1870
450.000000	84.711	143.4505
455.000000	84.647	143.6826
462.000000	84.565	144.0125
468.000000	84.495	144.2699
475.000000	84.413	144.5723
482.000000	84.330	144.9255
487.000000	84.269	145.1916
494.000000	84.191	145.5501
500.000000	84.127	145.8481
508.000000	84.042	146.2906
515.000000	83.968	146.6855
522.000000	83.898	147.0363
530.000000	83.819	147.4213
538.000000	83.744	147.8835
545.000000	83.683	148.3273
552.000000	83.621	148.7401
560.000000	83.551	149.1781
570.000000	83.468	149.7614
580.000000	83.385	150.3815
590.000000	83.308	151.0467
600.000000	83.236	151.7097
608.000000	83.178	152.2170
615.000000	83.127	152.6548
622.000000	83.076	153.1053
630.000000	83.018	153.6237
640.000000	82.952	154.2639
650.000000	82.893	154.8950
660.000000	82.838	155.5589
670.000000	82.783	156.2751
680.000000	82.733	157.0161
690.000000	82.681	157.7412
700.000000	82.633	158.4667
710.000000	82.592	159.1910
720.000000	82.556	159.9113
730.000000	82.522	160.6440
740.000000	82.489	161.3939
750.000000	82.459	162.1505
762.000000	82.425	163.0644
775.000000	82.393	164.0301
788.000000	82.369	164.9657
800.000000	82.351	165.9030
812.000000	82.338	166.8376
825.000000	82.338	167.8119
838.000000	82.348	168.7884
850.000000	82.357	169.6882
862.000000	82.369	170.5776
875.000000	82.385	171.5272
885.000000	82.401	172.2583
900.000000	82.437	173.3252
912.000000	82.474	174.1349
925.000000	82.517	174.9888
938.000000	82.571	175.7801
950.000000	82.627	176.4596
962.000000	82.682	177.0892
975.000000	82.725	177.7119
988.000000	82.741	178.4011
1000.000000	82.758	179.2229
1015.000000	82.835	-179.6386
1030.000000	82.956	-178.6747
1044.000000	83.066	-177.9656
1060.000000	83.179	-177.2776
1075.000000	83.272	-176.7146
1090.000000	83.363	-176.1873
1106.000000	83.469	-175.6469
1120.000000	83.568	-175.1994
1138.000000	83.694	-174.6368
1150.000000	83.776	-174.2826
1172.000000	83.924	-173.6888
1180.000000	83.975	-173.4861
1206.000000	84.143	-172.8420
1220.000000	84.233	-172.5239
1241.000000	84.371	-172.0384
1250.000000	84.430	-171.8280
1265.000000	84.523	-171.5015
1280.000000	84.617	-171.1951
1315.000000	84.841	-170.4953
1320.000000	84.872	-170.3963
1340.000000	84.992	-170.0121
1360.000000	85.110	-169.6488
1380.000000	85.229	-169.2986
1400.000000	85.354	-168.9597
1430.000000	85.542	-168.4401
1450.000000	85.672	-168.1148
1475.000000	85.838	-167.7220
1500.000000	86.007	-167.3723
1525.000000	86.176	-167.0542
1550.000000	86.345	-166.7421
1575.000000	86.517	-166.4381
1600.000000	86.694	-166.1677
1625.000000	86.871	-165.9395
1650.000000	87.050	-165.7257
1675.000000	87.231	-165.5515
1700.000000	87.415	-165.4201
1725.000000	87.597	-165.3245
1750.000000	87.780	-165.2568
1775.000000	87.966	-165.2403
1800.000000	88.153	-165.2633
1825.000000	88.341	-165.3146
1850.000000	88.531	-165.4154
1875.000000	88.723	-165.5810
1900.000000	88.917	-165.7849
1925.000000	89.111	-166.0274
1950.000000	89.302	-166.3331
1975.000000	89.492	-166.6984
2000.000000	89.678	-167.1167
2030.000000	89.901	-167.6940
2060.000000	90.121	-168.3614
2090.000000	90.336	-169.1202
2120.000000	90.545	-169.9621
2140.000000	90.681	-170.5739
2180.000000	90.938	-171.9046
2200.000000	91.059	-172.6183
2240.000000	91.284	-174.1565
2270.000000	91.437	-175.3917
2300.000000	91.577	-176.6873
2330.000000	91.700	-178.0353
2360.000000	91.806	-179.4330
2400.000000	91.918	178.6488
2430.000000	91.980	177.1949
2470.000000	92.036	175.2731
2500.000000	92.057	173.8627
2540.000000	92.058	172.0356
2580.000000	92.030	170.2889
2620.000000	91.977	168.6588
2650.000000	91.922	167.5252
2690.000000	91.832	166.1196
2720.000000	91.752	165.1518
2760.000000	91.635	163.9980
2800.000000	91.506	163.0033
2850.000000	91.333	161.9542
2900.000000	91.153	161.1453
2950.000000	90.972	160.5546
3000.000000	90.795	160.1583
3040.000000	90.656	159.9885
3070.000000	90.554	159.9343
3110.000000	90.422	159.9453
3150.000000	90.298	160.0540
3200.000000	90.154	160.3315
3250.000000	90.020	160.7275
3300.000000	89.899	161.2210
3350.000000	89.790	161.8100
3400.000000	89.697	162.4929
3450.000000	89.622	163.2651
3500.000000	89.567	164.1179
3550.000000	89.527	165.0410
3600.000000	89.502	166.0281
3650.000000	89.492	167.0736
3700.000000	89.497	168.1757
3750.000000	89.520	169.3323
3820.000000	89.583	171.0248
3870.000000	89.647	172.2523
3950.000000	89.793	174.2309
4000.000000	89.914	175.4399
4060.000000	90.088	176.8085
4120.000000	90.285	178.0477
4180.000000	90.500	179.1604
4250.000000	90.767	-179.6561
4310.000000	91.008	-178.7239
4370.000000	91.260	-177.8762
4440.000000	91.576	-177.0070
4500.000000	91.870	-176.3870
4550.000000	92.135	-175.9835
4620.000000	92.535	-175.6226
4680.000000	92.904	-175.5515
4750.000000	93.361	-175.8314
4820.000000	93.840	-176.5646
4870.000000	94.189	-177.4110
4940.000000	94.675	-179.1156
5000.000000	95.073	178.8930
5080.000000	95.551	175.4363
5150.000000	95.884	171.6890
5220.000000	96.105	167.3726
5300.000000	96.190	162.0051
5380.000000	96.075	156.5768
5450.000000	95.816	152.1235
5520.000000	95.426	148.1988
5600.000000	94.850	144.5837
5700.000000	93.972	141.7428
5800.000000	93.014	141.7407
5900.000000	92.448	144.1962
6000.000000	92.237	144.3922
6080.000000	91.877	143.8680
6150.000000	91.482	144.1346
6220.000000	91.101	145.0331
6300.000000	90.716	146.5692
6400.000000	90.318	148.9690
6500.000000	90.014	151.7303
6600.000000	89.802	154.7428
6700.000000	89.686	157.9116
6800.000000	89.670	161.1464
6900.000000	89.772	164.3878
7000.000000	89.994	167.5318
7100.000000	90.328	170.4832
7200.000000	90.772	173.1343
7300.000000	91.328	175.3493
7400.000000	92.000	176.9601
7500.000000	92.798	177.7307
7620.000000	93.918	177.0258
7750.000000	95.222	173.2805
7880.000000	96.313	165.3512
8000.000000	96.828	154.3281
8120.000000	96.641	141.7502
8250.000000	95.645	129.9722
8380.000000	94.108	122.4941
8500.000000	92.531	119.4376
8620.000000	91.013	119.1336
8750.000000	89.530	120.8628
8850.000000	88.518	123.1982
9000.000000	87.208	127.8499
9120.000000	86.340	132.2562
9250.000000	85.575	137.4195
9380.000000	84.964	142.7582
9500.000000	84.518	147.8043
9620.000000	84.181	152.9746
9750.000000	83.944	158.6533
9880.000000	83.850	164.2963
10000.000000	83.892	169.3866
10150.000000	84.132	175.4603
10300.000000	84.606	-178.9516
10440.000000	85.297	-174.5191
10600.000000	86.422	-171.1635
10750.000000	87.786	-170.9514
10900.000000	89.235	-175.5838
11060.000000	90.319	172.2719
11200.000000	90.371	157.1550
11380.000000	88.965	139.6087
11500.000000	87.343	132.7351
11720.000000	83.940	129.9767
11800.000000	82.763	131.1236
12060.000000	79.504	138.9130
12200.000000	78.087	144.5369
12410.000000	76.281	153.9129
12500.000000	75.600	158.1698
12650.000000	74.571	165.5056
12800.000000	73.664	173.1107
13150.000000	71.985	-168.3984
13200.000000	71.793	-165.7042
13400.000000	71.142	-154.8826
13600.000000	70.669	-143.9438
13800.000000	70.384	-132.8914
14000.000000	70.292	-121.9987
14300.000000	70.493	-105.8583
14500.000000	70.907	-95.3389
14750.000000	71.824	-82.6662
15000.000000	73.315	-71.2990
15250.000000	75.613	-62.8278
15500.000000	78.641	-61.2012
15750.000000	81.209	-73.3660
16000.000000	81.711	-97.6864
16250.000000	79.828	-115.9608
16500.000000	76.802	-119.2435
16750.000000	74.100	-113.3067
17000.000000	72.290	-103.7233
17250.000000	71.325	-93.0177
17500.000000	71.143	-82.6071
17750.000000	71.766	-73.9194
18000.000000	73.129	-69.9508
18250.000000	74.590	-75.8770
18500.000000	74.956	-93.3866
18750.000000	73.425	-112.1897
19000.000000	70.206	-120.0618
19250.000000	66.172	-116.2719
19500.000000	62.152	-105.1489
19750.000000	58.595	-90.7084
20000.000000	56.065	-79.5156
