* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 24 오후 5:39:28
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	81.036	-169.8085
20.600000	81.023	-170.0923
20.900000	80.997	-170.5811
21.200001	80.972	-171.0016
21.400000	80.958	-171.2569
21.799999	80.934	-171.7714
22.000000	80.924	-172.0541
22.400000	80.906	-172.6835
22.700001	80.891	-173.2059
23.000000	80.874	-173.7576
23.299999	80.855	-174.3176
23.600000	80.837	-174.8722
24.000000	80.819	-175.5946
24.299999	80.811	-176.1310
24.700001	80.811	-176.8568
25.000000	80.814	-177.4179
25.400000	80.819	-178.1849
25.799999	80.823	-178.9537
26.200001	80.824	-179.7028
26.500000	80.821	179.7543
26.900000	80.813	179.0552
27.200001	80.801	178.5481
27.600000	80.778	177.8994
28.000000	80.747	177.2994
28.500000	80.698	176.6541
29.000000	80.648	176.1393
29.500000	80.609	175.7032
30.000000	80.584	175.2362
30.400000	80.567	174.7901
30.700001	80.549	174.4195
31.100000	80.517	173.9246
31.500000	80.479	173.4796
32.000000	80.437	173.0125
32.500000	80.415	172.5584
33.000000	80.406	172.0049
33.500000	80.398	171.3493
34.000000	80.381	170.6759
34.500000	80.360	170.0258
35.000000	80.337	169.3638
35.500000	80.303	168.6870
36.000000	80.253	168.0893
36.500000	80.201	167.6497
37.000000	80.164	167.3037
37.500000	80.141	166.9118
38.200001	80.095	166.2649
38.700001	80.048	165.8959
39.500000	80.008	165.4718
40.000000	80.008	165.0541
40.599998	79.991	164.3258
41.200001	79.937	163.6269
41.799999	79.879	163.1320
42.500000	79.840	162.6228
43.099998	79.816	162.0834
43.700001	79.783	161.5392
44.400002	79.746	160.9780
45.000000	79.720	160.4795
45.500000	79.694	160.0369
46.200001	79.646	159.4770
46.799999	79.611	159.0689
47.500000	79.579	158.5352
48.200001	79.532	157.9244
48.700001	79.486	157.5445
49.400002	79.421	157.1734
50.000000	79.382	156.9180
50.799999	79.348	156.4845
51.500000	79.317	155.9836
52.200001	79.271	155.4198
53.000000	79.196	154.8013
53.799999	79.108	154.3380
54.500000	79.040	154.0621
55.200001	78.991	153.8196
56.000000	78.954	153.4986
57.000000	78.921	152.9379
58.000000	78.868	152.2665
59.000000	78.797	151.7601
60.000000	78.741	151.3155
60.799999	78.692	150.8954
61.500000	78.641	150.5582
62.200001	78.594	150.2738
63.000000	78.555	149.9028
64.000000	78.502	149.2025
65.000000	78.408	148.4850
66.000000	78.318	148.0651
67.000000	78.270	147.5976
68.000000	78.206	146.9901
69.000000	78.125	146.5898
70.000000	78.065	146.3298
71.000000	78.021	145.9867
72.000000	77.966	145.4984
73.000000	77.886	145.0319
74.000000	77.812	144.6583
75.000000	77.751	144.2094
76.199997	77.668	143.6581
77.500000	77.599	143.1943
78.800003	77.531	142.6453
80.000000	77.445	142.3341
81.199997	77.374	142.0973
82.500000	77.279	141.7963
83.800003	77.192	141.5642
85.000000	77.127	141.1779
86.199997	77.056	140.6637
87.500000	76.965	140.1316
88.500000	76.891	139.8435
90.000000	76.791	139.5398
91.199997	76.713	139.2969
92.500000	76.617	139.0829
93.800003	76.537	138.9700
95.000000	76.494	138.8049
96.199997	76.462	138.4627
97.500000	76.399	138.0079
98.800003	76.310	137.7248
100.000000	76.226	137.5317
101.500000	76.118	137.3004
103.000000	76.036	136.9585
104.400002	75.979	136.4708
106.000000	75.921	135.8519
107.500000	75.844	135.3718
109.000000	75.747	135.2081
110.599998	75.653	135.0981
112.000000	75.573	134.9638
113.800003	75.511	134.7702
115.000000	75.475	134.6586
117.199997	75.374	135.2609
118.000000	75.354	135.7819
120.599998	75.399	136.0304
122.000000	75.271	134.9147
124.099998	74.983	133.6816
125.000000	74.890	133.3549
126.500000	74.792	133.0540
128.000000	74.740	132.9354
131.500000	74.595	132.9133
132.000000	74.571	132.9023
134.000000	74.481	132.7373
136.000000	74.388	132.4338
138.000000	74.283	132.2513
140.000000	74.183	132.1152
143.000000	74.029	131.7344
145.000000	73.922	131.4683
147.500000	73.790	131.2730
150.000000	73.687	131.0244
152.500000	73.597	130.6357
155.000000	73.497	130.3926
157.500000	73.392	130.4950
160.000000	73.317	130.5909
162.500000	73.229	130.3608
165.000000	73.097	130.1629
167.500000	72.961	130.1383
170.000000	72.845	130.1327
172.500000	72.733	130.1862
175.000000	72.635	130.3531
177.500000	72.539	130.4239
180.000000	72.426	130.5247
182.500000	72.313	130.8452
185.000000	72.223	131.2335
187.500000	72.144	131.4554
190.000000	72.080	131.5559
192.500000	72.045	131.6523
195.000000	72.021	131.6270
197.500000	71.967	131.4842
200.000000	71.889	131.3444
203.000000	71.791	131.2782
206.000000	71.709	131.2967
209.000000	71.668	131.2427
212.000000	71.648	131.2733
214.000000	71.623	131.3799
218.000000	71.530	131.3423
220.000000	71.483	131.1396
224.000000	71.407	131.0113
227.000000	71.339	131.1425
230.000000	71.251	131.0643
233.000000	71.155	130.8191
236.000000	71.086	130.6898
240.000000	71.023	130.3292
243.000000	70.921	130.0817
247.000000	70.763	130.1571
250.000000	70.682	130.2657
254.000000	70.572	130.1096
258.000000	70.425	129.9897
262.000000	70.305	130.1926
265.000000	70.223	130.2441
269.000000	70.102	130.1871
272.000000	70.031	130.1199
276.000000	69.959	129.9747
280.000000	69.865	130.0249
285.000000	69.750	130.3473
290.000000	69.645	130.7350
295.000000	69.500	131.1220
300.000000	69.357	131.1288
304.000000	69.270	131.2075
307.000000	69.218	131.2975
311.000000	69.145	131.4020
315.000000	69.045	131.6977
320.000000	68.916	132.1331
325.000000	68.786	132.3619
330.000000	68.692	132.6403
335.000000	68.653	132.9715
340.000000	68.568	133.2597
345.000000	68.454	133.5676
350.000000	68.360	133.8324
355.000000	68.274	134.0188
360.000000	68.200	134.4406
365.000000	68.145	135.0424
370.000000	68.073	135.2208
375.000000	67.979	135.2903
382.000000	67.886	135.6578
387.000000	67.808	135.8563
395.000000	67.661	136.4396
400.000000	67.596	136.8265
406.000000	67.534	137.2214
412.000000	67.463	137.5213
418.000000	67.359	137.9007
425.000000	67.240	138.3073
431.000000	67.152	138.5204
437.000000	67.063	138.7560
444.000000	66.961	139.1949
450.000000	66.912	139.6628
455.000000	66.860	139.9580
462.000000	66.760	140.0647
468.000000	66.669	140.3320
475.000000	66.601	141.1472
482.000000	66.538	142.0464
487.000000	66.482	142.4653
494.000000	66.387	142.8708
500.000000	66.284	143.1420
508.000000	66.173	143.5255
515.000000	66.101	144.1224
522.000000	66.008	144.7846
530.000000	65.928	145.2803
538.000000	65.878	145.7661
545.000000	65.816	146.2072
552.000000	65.750	146.6655
560.000000	65.693	147.3911
570.000000	65.622	148.4559
580.000000	65.509	149.3020
590.000000	65.414	149.5726
600.000000	65.364	150.3114
608.000000	65.307	151.2357
615.000000	65.257	152.1015
622.000000	65.232	153.0264
630.000000	65.225	153.9704
640.000000	65.185	154.8473
650.000000	65.126	155.7859
660.000000	65.084	157.0715
670.000000	65.056	158.2440
680.000000	65.003	159.3202
690.000000	64.947	160.2589
700.000000	64.967	161.4198
710.000000	65.007	162.6050
720.000000	65.006	163.6685
730.000000	64.985	164.8412
740.000000	65.014	165.8264
750.000000	65.065	166.5407
762.000000	65.105	167.4181
775.000000	65.143	168.6228
788.000000	65.204	169.8777
800.000000	65.292	170.7963
812.000000	65.381	171.5626
825.000000	65.436	172.4307
838.000000	65.475	173.0945
850.000000	65.544	173.8597
862.000000	65.660	174.6927
875.000000	65.741	175.5336
885.000000	65.789	176.2117
900.000000	65.908	177.2138
912.000000	66.009	177.7103
925.000000	66.100	178.0662
