* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 11. 13 ¿ÀÈÄ 1:12:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Nov 13
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.606	-116.2491
20.600000	102.637	-116.8311
20.900000	102.699	-117.8606
21.200001	102.756	-118.8155
21.400000	102.793	-119.4215
21.799999	102.867	-120.6441
22.000000	102.905	-121.2882
22.400000	102.977	-122.6459
22.700001	103.025	-123.7140
23.000000	103.064	-124.8057
23.299999	103.095	-125.8868
23.600000	103.121	-126.9279
24.000000	103.153	-128.2239
24.299999	103.182	-129.1292
24.700001	103.232	-130.2837
25.000000	103.277	-131.1462
25.400000	103.339	-132.3214
25.799999	103.396	-133.5130
26.200001	103.443	-134.6682
26.500000	103.472	-135.4808
26.900000	103.510	-136.4877
27.200001	103.541	-137.2104
27.600000	103.586	-138.1824
28.000000	103.628	-139.2058
28.500000	103.662	-140.5302
29.000000	103.671	-141.7755
29.500000	103.673	-142.8491
30.000000	103.690	-143.8087
30.400000	103.720	-144.5954
30.700001	103.745	-145.2319
31.100000	103.776	-146.1353
31.500000	103.798	-147.0571
32.000000	103.818	-148.1677
32.500000	103.840	-149.2283
33.000000	103.866	-150.2935
33.500000	103.889	-151.3770
34.000000	103.903	-152.4182
34.500000	103.911	-153.3611
35.000000	103.926	-154.2278
35.500000	103.948	-155.0914
36.000000	103.970	-155.9883
36.500000	103.986	-156.8970
37.000000	103.997	-157.7892
37.500000	104.005	-158.6704
38.200001	104.010	-159.9097
38.700001	104.006	-160.7763
39.500000	104.000	-162.0818
40.000000	104.004	-162.8880
40.599998	104.010	-163.8945
41.200001	104.009	-164.9095
41.799999	104.003	-165.8638
42.500000	104.004	-166.8992
43.099998	104.012	-167.7922
43.700001	104.017	-168.7150
44.400002	104.010	-169.7677
45.000000	103.998	-170.6051
45.500000	103.990	-171.2749
46.200001	103.980	-172.2223
46.799999	103.968	-173.0502
47.500000	103.948	-173.9899
48.200001	103.932	-174.8898
48.700001	103.926	-175.5372
49.400002	103.921	-176.4885
50.000000	103.913	-177.3344
50.799999	103.894	-178.4404
51.500000	103.875	-179.3538
52.200001	103.857	179.7732
53.000000	103.838	178.8065
53.799999	103.819	177.8494
54.500000	103.797	177.0030
55.200001	103.766	176.1818
56.000000	103.727	175.3235
57.000000	103.689	174.3036
58.000000	103.656	173.2507
59.000000	103.623	172.1511
60.000000	103.577	171.0072
60.799999	103.529	170.1375
61.500000	103.488	169.4240
62.200001	103.448	168.7269
63.000000	103.401	167.9432
64.000000	103.338	167.0110
65.000000	103.281	166.0938
66.000000	103.218	165.1317
67.000000	103.145	164.2385
68.000000	103.085	163.4165
69.000000	103.031	162.4937
70.000000	102.960	161.5597
71.000000	102.885	160.7432
72.000000	102.820	159.9470
73.000000	102.751	159.1208
74.000000	102.675	158.3262
75.000000	102.597	157.5850
76.199997	102.507	156.7087
77.500000	102.405	155.7588
78.800003	102.303	154.8701
80.000000	102.211	154.0385
81.199997	102.115	153.2303
82.500000	102.009	152.3824
83.800003	101.898	151.5699
85.000000	101.798	150.8737
86.199997	101.702	150.1825
87.500000	101.598	149.4160
88.500000	101.515	148.8280
90.000000	101.388	148.0063
91.199997	101.290	147.3792
92.500000	101.187	146.7291
93.800003	101.087	146.0939
95.000000	100.992	145.5190
96.199997	100.891	144.9877
97.500000	100.777	144.4925
98.800003	100.666	144.0471
100.000000	100.565	143.6282
101.500000	100.437	143.0480
103.000000	100.301	142.4576
104.400002	100.179	141.9785
106.000000	100.052	141.4416
107.500000	99.928	140.9390
109.000000	99.795	140.5172
110.599998	99.663	140.1165
112.000000	99.557	139.7078
113.800003	99.425	139.1502
115.000000	99.341	138.8607
117.199997	99.192	138.5438
118.000000	99.138	138.4996
120.599998	98.967	138.1823
122.000000	98.842	137.7978
124.099998	98.647	137.2585
125.000000	98.571	137.0246
126.500000	98.455	136.6803
128.000000	98.351	136.4168
131.500000	98.101	135.9594
132.000000	98.062	135.9094
134.000000	97.911	135.6932
136.000000	97.765	135.4073
138.000000	97.620	135.1436
140.000000	97.484	134.9020
143.000000	97.272	134.5371
145.000000	97.118	134.3570
147.500000	96.933	134.2029
150.000000	96.762	134.0040
152.500000	96.587	133.8588
155.000000	96.418	133.7994
157.500000	96.248	133.6623
160.000000	96.071	133.5063
162.500000	95.891	133.4871
165.000000	95.717	133.5672
167.500000	95.538	133.5901
170.000000	95.361	133.5591
172.500000	95.190	133.5350
175.000000	95.016	133.5710
177.500000	94.833	133.6843
180.000000	94.652	133.8678
182.500000	94.483	134.1092
185.000000	94.315	134.3547
187.500000	94.135	134.5882
190.000000	93.950	134.8619
192.500000	93.771	135.2034
195.000000	93.595	135.5908
197.500000	93.424	136.0074
200.000000	93.255	136.4095
203.000000	93.041	136.9673
206.000000	92.812	137.7535
209.000000	92.603	138.5815
212.000000	92.411	139.3333
214.000000	92.286	139.9236
218.000000	92.041	141.3018
220.000000	91.922	141.9625
224.000000	91.700	143.2484
227.000000	91.549	144.3789
230.000000	91.414	145.5800
233.000000	91.284	146.7546
236.000000	91.150	148.0377
240.000000	90.995	149.7662
243.000000	90.923	150.9889
247.000000	90.864	152.8020
250.000000	90.822	154.1837
254.000000	90.759	155.9081
258.000000	90.711	157.7121
262.000000	90.684	159.2927
265.000000	90.678	160.3679
269.000000	90.704	161.9287
272.000000	90.745	163.1768
276.000000	90.796	164.8353
280.000000	90.840	166.3434
285.000000	90.916	167.6978
290.000000	91.019	168.7677
295.000000	91.119	170.0291
300.000000	91.189	171.0690
304.000000	91.252	171.7491
307.000000	91.316	172.3122
311.000000	91.404	173.0955
315.000000	91.485	173.7745
320.000000	91.586	174.4714
325.000000	91.681	175.1651
330.000000	91.775	175.7914
335.000000	91.868	176.2229
340.000000	91.933	176.5856
345.000000	91.997	176.9338
350.000000	92.060	177.3004
355.000000	92.116	177.8858
360.000000	92.190	178.2542
365.000000	92.254	178.5132
370.000000	92.302	178.9356
375.000000	92.330	179.3118
382.000000	92.371	179.6783
387.000000	92.413	179.9241
395.000000	92.474	-179.6427
400.000000	92.515	-179.3667
406.000000	92.549	-179.0666
412.000000	92.570	-178.7729
418.000000	92.590	-178.5426
425.000000	92.636	-178.2968
431.000000	92.672	-178.0371
437.000000	92.700	-177.7664
444.000000	92.724	-177.4168
450.000000	92.757	-177.0690
455.000000	92.787	-176.7442
462.000000	92.811	-176.3498
468.000000	92.822	-176.0175
475.000000	92.830	-175.6123
482.000000	92.837	-175.2948
487.000000	92.858	-175.0898
494.000000	92.890	-174.7784
500.000000	92.914	-174.4841
508.000000	92.936	-174.0858
515.000000	92.947	-173.7354
522.000000	92.968	-173.3646
530.000000	92.997	-172.9342
538.000000	93.016	-172.5126
545.000000	93.029	-172.1559
552.000000	93.046	-171.7772
560.000000	93.074	-171.3418
570.000000	93.109	-170.8056
580.000000	93.127	-170.1973
590.000000	93.149	-169.6066
600.000000	93.180	-169.0273
608.000000	93.207	-168.5473
615.000000	93.230	-168.1178
622.000000	93.248	-167.6804
630.000000	93.270	-167.1685
640.000000	93.306	-166.5333
650.000000	93.349	-165.8884
660.000000	93.389	-165.2433
670.000000	93.421	-164.6404
680.000000	93.458	-164.0342
690.000000	93.501	-163.3787
700.000000	93.546	-162.6844
710.000000	93.592	-162.0535
720.000000	93.638	-161.4497
730.000000	93.680	-160.7995
740.000000	93.731	-160.1444
750.000000	93.795	-159.4603
762.000000	93.870	-158.6149
775.000000	93.947	-157.7129
788.000000	94.028	-156.8064
800.000000	94.119	-155.9735
812.000000	94.208	-155.1834
825.000000	94.300	-154.3272
838.000000	94.400	-153.4807
850.000000	94.501	-152.6992
862.000000	94.614	-151.9251
875.000000	94.738	-151.1266
885.000000	94.835	-150.5439
900.000000	94.994	-149.6823
912.000000	95.128	-148.9777
925.000000	95.275	-148.2463
938.000000	95.421	-147.5649
950.000000	95.562	-146.9640
962.000000	95.713	-146.3814
975.000000	95.881	-145.8003
988.000000	96.052	-145.2648
1000.000000	96.211	-144.7967
1015.000000	96.414	-144.2719
1030.000000	96.617	-143.8070
1044.000000	96.809	-143.4308
1060.000000	97.032	-143.0379
1075.000000	97.241	-142.7113
1090.000000	97.455	-142.4504
1106.000000	97.693	-142.2630
1120.000000	97.900	-142.1573
1138.000000	98.169	-142.0725
1150.000000	98.349	-142.0397
1172.000000	98.676	-142.0465
1180.000000	98.792	-142.0823
1206.000000	99.169	-142.3027
1220.000000	99.374	-142.4600
1241.000000	99.676	-142.7327
1250.000000	99.804	-142.8717
1265.000000	100.016	-143.1491
1280.000000	100.227	-143.4771
1315.000000	100.718	-144.3987
1320.000000	100.787	-144.5427
1340.000000	101.061	-145.1584
1360.000000	101.326	-145.8447
1380.000000	101.585	-146.6039
1400.000000	101.845	-147.4304
1430.000000	102.231	-148.7940
1450.000000	102.480	-149.7747
1475.000000	102.779	-151.0879
1500.000000	103.068	-152.4982
1525.000000	103.344	-154.0109
1550.000000	103.606	-155.6118
1575.000000	103.853	-157.2965
1600.000000	104.088	-159.0546
1625.000000	104.311	-160.8812
1650.000000	104.516	-162.7733
1675.000000	104.702	-164.7171
1700.000000	104.871	-166.7200
1725.000000	105.024	-168.7794
1750.000000	105.156	-170.8962
1775.000000	105.270	-173.0775
1800.000000	105.365	-175.2874
1825.000000	105.440	-177.5110
1850.000000	105.492	-179.7686
1875.000000	105.523	177.9488
1900.000000	105.532	175.6682
1925.000000	105.517	173.4013
1950.000000	105.478	171.1528
1975.000000	105.416	168.9359
2000.000000	105.331	166.7774
2030.000000	105.201	164.2776
2060.000000	105.041	161.8970
2090.000000	104.856	159.6516
2120.000000	104.646	157.5611
2140.000000	104.494	156.2601
2180.000000	104.166	153.8909
2200.000000	103.992	152.8248
2240.000000	103.626	150.9357
2270.000000	103.343	149.7294
2300.000000	103.055	148.6925
2330.000000	102.764	147.8117
2360.000000	102.473	147.0900
2400.000000	102.088	146.3658
2430.000000	101.805	145.9719
2470.000000	101.435	145.6262
2500.000000	101.164	145.5042
2540.000000	100.809	145.5150
2580.000000	100.469	145.6987
2620.000000	100.144	146.0225
2650.000000	99.908	146.3456
2690.000000	99.606	146.8651
2720.000000	99.386	147.3192
2760.000000	99.102	148.0209
2800.000000	98.830	148.8181
2850.000000	98.512	149.9385
2900.000000	98.221	151.1495
2950.000000	97.947	152.4315
3000.000000	97.684	153.8037
3040.000000	97.486	154.9391
3070.000000	97.346	155.8170
3110.000000	97.170	157.0239
3150.000000	97.002	158.2538
3200.000000	96.800	159.8324
3250.000000	96.616	161.4482
3300.000000	96.450	163.0846
3350.000000	96.296	164.7441
3400.000000	96.158	166.4180
3450.000000	96.039	168.1144
3500.000000	95.933	169.8214
3550.000000	95.840	171.5220
3600.000000	95.756	173.2389
3650.000000	95.683	174.9807
3700.000000	95.621	176.7296
3750.000000	95.569	178.4531
3820.000000	95.508	-179.1166
3870.000000	95.473	-177.3950
3950.000000	95.428	-174.6302
4000.000000	95.408	-172.9046
4060.000000	95.396	-170.8631
4120.000000	95.400	-168.8512
4180.000000	95.412	-166.8110
4250.000000	95.438	-164.4112
4310.000000	95.467	-162.4170
4370.000000	95.501	-160.4640
4440.000000	95.547	-158.2120
4500.000000	95.598	-156.2890
4550.000000	95.648	-154.7093
4620.000000	95.730	-152.4935
4680.000000	95.810	-150.6389
4750.000000	95.919	-148.5491
4820.000000	96.040	-146.5140
4870.000000	96.135	-145.0948
4940.000000	96.280	-143.1356
5000.000000	96.414	-141.4741
5080.000000	96.608	-139.3395
5150.000000	96.793	-137.5293
5220.000000	96.993	-135.7758
5300.000000	97.240	-133.8839
5380.000000	97.504	-132.0734
5450.000000	97.746	-130.5564
5520.000000	98.000	-129.1082
5600.000000	98.306	-127.5448
5700.000000	98.705	-125.7660
5800.000000	99.127	-124.1567
5900.000000	99.571	-122.7418
6000.000000	100.030	-121.5166
6080.000000	100.409	-120.6715
6150.000000	100.750	-120.0336
6220.000000	101.099	-119.4900
6300.000000	101.502	-118.9926
6400.000000	102.013	-118.5615
6500.000000	102.529	-118.3496
6600.000000	103.052	-118.3443
6700.000000	103.583	-118.5191
6800.000000	104.125	-118.8836
6900.000000	104.692	-119.4615
7000.000000	105.288	-120.2604
7100.000000	105.903	-121.3142
7200.000000	106.532	-122.6818
7300.000000	107.173	-124.4437
7400.000000	107.817	-126.6978
7500.000000	108.455	-129.5430
7620.000000	109.196	-133.8633
7750.000000	109.904	-139.7790
7880.000000	110.368	-146.9118
8000.000000	110.533	-154.2212
8120.000000	110.436	-161.6394
8250.000000	110.049	-169.0640
8380.000000	109.433	-175.2552
8500.000000	108.737	-179.6262
8620.000000	107.983	177.2830
8750.000000	107.159	175.1965
8850.000000	106.552	174.3252
9000.000000	105.726	173.9302
9120.000000	105.155	174.1664
9250.000000	104.634	174.7558
9380.000000	104.220	175.5110
9500.000000	103.932	176.1911
9620.000000	103.730	176.7197
9750.000000	103.606	176.9578
9880.000000	103.571	176.6382
10000.000000	103.598	175.6825
10150.000000	103.664	173.3952
10300.000000	103.703	169.6252
10440.000000	103.630	164.7308
10600.000000	103.306	157.9173
10750.000000	102.698	151.1772
10900.000000	101.790	145.0739
11060.000000	100.555	140.0980
11200.000000	99.339	137.3640
11380.000000	97.715	136.0248
11500.000000	96.651	136.3213
11720.000000	94.829	138.8744
11800.000000	94.220	140.3213
12060.000000	92.461	146.4394
