* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 11. 13 ¿ÀÈÄ 12:59:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Nov 13
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	101.209	-107.7382
20.600000	101.286	-108.7307
20.900000	101.410	-110.4964
21.200001	101.455	-112.1134
21.400000	101.447	-113.0086
21.799999	101.385	-114.3334
22.000000	101.356	-114.7807
22.400000	101.339	-115.3807
22.700001	101.373	-115.8038
23.000000	101.437	-116.4191
23.299999	101.504	-117.2857
23.600000	101.555	-118.3478
24.000000	101.582	-119.8755
24.299999	101.579	-120.9353
24.700001	101.571	-122.1201
25.000000	101.583	-122.8740
25.400000	101.637	-123.8523
25.799999	101.722	-124.9828
26.200001	101.809	-126.3244
26.500000	101.860	-127.4067
26.900000	101.899	-128.8139
27.200001	101.914	-129.7511
27.600000	101.933	-130.7893
28.000000	101.972	-131.6418
28.500000	102.063	-132.6741
29.000000	102.172	-133.9197
29.500000	102.254	-135.3974
30.000000	102.283	-136.8659
30.400000	102.280	-137.8502
30.700001	102.275	-138.4437
31.100000	102.285	-139.1062
31.500000	102.319	-139.7490
32.000000	102.382	-140.7114
32.500000	102.439	-141.9003
33.000000	102.469	-143.1850
33.500000	102.479	-144.4087
34.000000	102.487	-145.5098
34.500000	102.503	-146.5364
35.000000	102.530	-147.5613
35.500000	102.560	-148.6147
36.000000	102.584	-149.6620
36.500000	102.603	-150.6469
37.000000	102.626	-151.5501
37.500000	102.656	-152.4149
38.200001	102.699	-153.6712
38.700001	102.717	-154.5932
39.500000	102.723	-155.9251
40.000000	102.729	-156.6480
40.599998	102.750	-157.5180
41.200001	102.773	-158.4901
41.799999	102.783	-159.5240
42.500000	102.782	-160.6915
43.099998	102.784	-161.6541
43.700001	102.786	-162.6287
44.400002	102.784	-163.7532
45.000000	102.782	-164.6502
45.500000	102.789	-165.3777
46.200001	102.808	-166.4811
46.799999	102.813	-167.5242
47.500000	102.796	-168.6899
48.200001	102.776	-169.6938
48.700001	102.771	-170.3780
49.400002	102.767	-171.3916
50.000000	102.751	-172.2433
50.799999	102.730	-173.2042
51.500000	102.736	-174.0071
52.200001	102.745	-174.9357
53.000000	102.729	-175.9941
53.799999	102.709	-176.8909
54.500000	102.701	-177.6917
55.200001	102.682	-178.5638
56.000000	102.643	-179.5396
57.000000	102.576	179.2556
58.000000	102.483	178.2984
59.000000	102.456	177.5925
60.000000	102.475	176.3677
60.799999	102.447	175.1862
61.500000	102.404	174.2880
62.200001	102.366	173.5004
63.000000	102.328	172.6607
64.000000	102.286	171.6523
65.000000	102.238	170.6339
66.000000	102.179	169.6477
67.000000	102.115	168.6853
68.000000	102.049	167.7293
69.000000	101.985	166.7657
70.000000	101.920	165.8108
71.000000	101.860	164.9144
72.000000	101.808	164.0366
73.000000	101.755	163.1650
74.000000	101.695	162.3051
75.000000	101.620	161.4666
76.199997	101.512	160.5839
77.500000	101.402	159.7413
78.800003	101.312	158.8343
80.000000	101.227	157.8514
81.199997	101.130	156.9048
82.500000	101.031	155.9738
83.800003	100.935	155.0700
85.000000	100.841	154.2959
86.199997	100.746	153.5812
87.500000	100.643	152.8168
88.500000	100.560	152.2242
90.000000	100.432	151.3726
91.199997	100.334	150.7149
92.500000	100.227	149.9969
