* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 11. 13 ¿ÀÈÄ 1:11:44
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Nov 13
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	102.573	-111.4845
20.600000	102.624	-112.2600
20.900000	102.709	-113.6562
21.200001	102.744	-114.9840
21.400000	102.742	-115.7576
21.799999	102.704	-116.9873
22.000000	102.687	-117.4363
22.400000	102.686	-118.0599
22.700001	102.731	-118.4597
23.000000	102.814	-119.0002
23.299999	102.913	-119.7824
23.600000	103.007	-120.8010
24.000000	103.096	-122.3941
24.299999	103.131	-123.5957
24.700001	103.148	-125.0226
25.000000	103.158	-125.9175
25.400000	103.186	-126.9387
25.799999	103.237	-127.9081
26.200001	103.297	-128.9254
26.500000	103.338	-129.7151
26.900000	103.380	-130.7496
27.200001	103.404	-131.4760
27.600000	103.434	-132.3679
28.000000	103.465	-133.2048
28.500000	103.505	-134.2281
29.000000	103.541	-135.2293
29.500000	103.574	-136.1844
30.000000	103.611	-137.1191
30.400000	103.644	-137.8908
30.700001	103.666	-138.4908
31.100000	103.691	-139.3008
31.500000	103.711	-140.0944
32.000000	103.734	-141.0438
32.500000	103.761	-141.9715
33.000000	103.789	-142.9090
33.500000	103.816	-143.8404
34.000000	103.840	-144.7269
34.500000	103.865	-145.5633
35.000000	103.891	-146.3753
35.500000	103.915	-147.1753
36.000000	103.937	-147.9479
36.500000	103.959	-148.6878
37.000000	103.983	-149.4235
37.500000	104.003	-150.1811
38.200001	104.015	-151.2407
38.700001	104.015	-151.9401
39.500000	104.021	-152.9587
40.000000	104.031	-153.5931
40.599998	104.045	-154.3817
41.200001	104.056	-155.1731
41.799999	104.066	-155.9484
42.500000	104.081	-156.8490
43.099998	104.091	-157.6188
43.700001	104.097	-158.3562
44.400002	104.104	-159.1575
45.000000	104.112	-159.8156
45.500000	104.119	-160.3637
46.200001	104.129	-161.1417
46.799999	104.135	-161.8211
47.500000	104.135	-162.6149
48.200001	104.132	-163.3651
48.700001	104.133	-163.8649
49.400002	104.145	-164.5727
50.000000	104.158	-165.2491
50.799999	104.159	-166.2103
51.500000	104.145	-166.9677
52.200001	104.135	-167.5983
53.000000	104.140	-168.2685
53.799999	104.153	-168.9916
54.500000	104.160	-169.6642
55.200001	104.159	-170.3351
56.000000	104.154	-171.0750
57.000000	104.141	-171.9575
58.000000	104.126	-172.7649
59.000000	104.121	-173.5344
60.000000	104.118	-174.3934
60.799999	104.103	-175.1178
61.500000	104.083	-175.7104
62.200001	104.062	-176.2418
63.000000	104.045	-176.8102
64.000000	104.031	-177.5632
65.000000	104.008	-178.3580
66.000000	103.976	-179.0872
67.000000	103.949	-179.7565
68.000000	103.928	179.5766
69.000000	103.910	178.8784
70.000000	103.885	178.1508
71.000000	103.851	177.4468
72.000000	103.814	176.8249
73.000000	103.785	176.2631
74.000000	103.764	175.6747
75.000000	103.740	175.0411
76.199997	103.703	174.3055
77.500000	103.666	173.5425
78.800003	103.627	172.7752
80.000000	103.588	172.1179
81.199997	103.555	171.5023
82.500000	103.519	170.8192
83.800003	103.474	170.1613
85.000000	103.429	169.5934
86.199997	103.384	169.0589
87.500000	103.341	168.4656
88.500000	103.307	167.9873
90.000000	103.254	167.2979
91.199997	103.214	166.7784
92.500000	103.171	166.2402
93.800003	103.127	165.7446
95.000000	103.087	165.3025
96.199997	103.048	164.8570
97.500000	103.005	164.3575
98.800003	102.960	163.8585
100.000000	102.919	163.4098
101.500000	102.865	162.9123
103.000000	102.820	162.4587
104.400002	102.779	161.9984
106.000000	102.727	161.4706
107.500000	102.685	160.9999
109.000000	102.649	160.5297
110.599998	102.609	160.0805
112.000000	102.577	159.7342
113.800003	102.530	159.2742
115.000000	102.496	158.9312
117.199997	102.427	158.1574
118.000000	102.398	157.8535
120.599998	102.315	157.1278
122.000000	102.304	156.8387
124.099998	102.296	156.3352
125.000000	102.287	156.1157
126.500000	102.267	155.7505
128.000000	102.243	155.3574
131.500000	102.183	154.3084
132.000000	102.175	154.1462
134.000000	102.143	153.4828
136.000000	102.108	152.8069
138.000000	102.070	152.1401
140.000000	102.029	151.4974
143.000000	101.973	150.4879
145.000000	101.924	149.7475
147.500000	101.850	148.8220
150.000000	101.768	147.8658
152.500000	101.682	146.9030
155.000000	101.595	145.9765
157.500000	101.504	145.0578
160.000000	101.396	144.1478
162.500000	101.274	143.2606
165.000000	101.144	142.4102
167.500000	101.011	141.6101
170.000000	100.872	140.8784
172.500000	100.731	140.2291
175.000000	100.585	139.6459
177.500000	100.429	139.1084
180.000000	100.265	138.6056
182.500000	100.102	138.1445
185.000000	99.941	137.7632
187.500000	99.781	137.4691
190.000000	99.622	137.1983
192.500000	99.465	136.9594
195.000000	99.316	136.8128
197.500000	99.173	136.7437
200.000000	99.033	136.6959
203.000000	98.868	136.6206
206.000000	98.708	136.5403
209.000000	98.545	136.5113
212.000000	98.377	136.5803
214.000000	98.268	136.6647
218.000000	98.069	136.8436
220.000000	97.979	136.9438
224.000000	97.809	137.1422
227.000000	97.686	137.2809
230.000000	97.567	137.4580
233.000000	97.446	137.6964
236.000000	97.316	137.9304
240.000000	97.148	138.2679
243.000000	97.043	138.5329
247.000000	96.914	138.8649
250.000000	96.820	139.1445
254.000000	96.698	139.5857
258.000000	96.575	140.0116
262.000000	96.454	140.4340
265.000000	96.368	140.7223
269.000000	96.257	141.0705
272.000000	96.179	141.3868
276.000000	96.080	141.7935
280.000000	95.984	142.1336
285.000000	95.877	142.5948
290.000000	95.769	143.0370
295.000000	95.662	143.4977
300.000000	95.558	144.0423
304.000000	95.484	144.5151
307.000000	95.433	144.8612
311.000000	95.372	145.2772
315.000000	95.309	145.6645
320.000000	95.226	146.1324
325.000000	95.153	146.5969
330.000000	95.094	147.0253
335.000000	95.035	147.3474
340.000000	94.957	147.7870
345.000000	94.885	148.3973
350.000000	94.814	148.8911
355.000000	94.747	149.3920
360.000000	94.693	149.9791
365.000000	94.632	150.5116
370.000000	94.576	150.9462
375.000000	94.529	151.3099
382.000000	94.459	151.8847
387.000000	94.410	152.3568
395.000000	94.328	153.0495
400.000000	94.273	153.4771
406.000000	94.210	154.0254
412.000000	94.150	154.6282
418.000000	94.102	155.2073
425.000000	94.058	155.7321
431.000000	94.017	156.1890
