* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 11. 13 ¿ÀÈÄ 12:53:10
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Nov 13
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	100.519	-104.2470
20.600000	100.620	-104.3822
20.900000	100.837	-104.8008
21.200001	101.065	-105.7046
21.400000	101.196	-106.6165
21.799999	101.367	-108.9675
22.000000	101.390	-110.2227
22.400000	101.309	-112.3809
22.700001	101.180	-113.3405
23.000000	101.058	-113.6031
23.299999	101.007	-113.3899
23.600000	101.049	-113.0642
24.000000	101.229	-113.0434
24.299999	101.397	-113.5960
24.700001	101.582	-114.9928
25.000000	101.666	-116.2487
25.400000	101.714	-117.8145
25.799999	101.739	-119.0636
26.200001	101.780	-120.0985
26.500000	101.825	-120.8596
26.900000	101.888	-121.9280
27.200001	101.930	-122.7372
27.600000	101.978	-123.7427
28.000000	102.038	-124.6460
28.500000	102.143	-125.8078
29.000000	102.251	-127.2322
29.500000	102.317	-128.8533
30.000000	102.328	-130.3519
30.400000	102.318	-131.3152
30.700001	102.313	-131.9081
31.100000	102.317	-132.6013
31.500000	102.332	-133.2514
32.000000	102.360	-134.0443
32.500000	102.393	-134.8103
33.000000	102.436	-135.5681
33.500000	102.489	-136.3551
34.000000	102.543	-137.1794
34.500000	102.596	-138.0288
35.000000	102.645	-138.9065
35.500000	102.688	-139.8103
36.000000	102.721	-140.6962
36.500000	102.750	-141.5158
37.000000	102.784	-142.2859
37.500000	102.823	-143.0773
38.200001	102.867	-144.2628
38.700001	102.882	-145.0807
39.500000	102.906	-146.2186
40.000000	102.931	-146.9046
40.599998	102.965	-147.7921
41.200001	102.988	-148.7152
41.799999	103.001	-149.6026
42.500000	103.014	-150.5829
43.099998	103.025	-151.3988
43.700001	103.033	-152.1826
44.400002	103.041	-153.0422
45.000000	103.050	-153.7370
45.500000	103.061	-154.2915
46.200001	103.087	-155.0625
46.799999	103.117	-155.7808
47.500000	103.148	-156.7190
48.200001	103.162	-157.6662
48.700001	103.168	-158.2860
49.400002	103.182	-159.0946
50.000000	103.195	-159.7933
50.799999	103.202	-160.7018
51.500000	103.201	-161.3836
52.200001	103.209	-162.0004
53.000000	103.220	-162.7511
53.799999	103.214	-163.5222
54.500000	103.199	-164.1435
55.200001	103.185	-164.7423
56.000000	103.171	-165.4629
57.000000	103.148	-166.3951
58.000000	103.132	-167.2849
59.000000	103.139	-168.2129
60.000000	103.154	-169.2512
60.799999	103.162	-170.1096
61.500000	103.166	-170.8476
62.200001	103.163	-171.5409
63.000000	103.158	-172.2619
64.000000	103.146	-173.0932
65.000000	103.127	-173.8377
66.000000	103.111	-174.5308
67.000000	103.095	-175.2511
68.000000	103.075	-175.9702
69.000000	103.056	-176.6892
70.000000	103.036	-177.4480
71.000000	103.006	-178.1961
72.000000	102.973	-178.8563
73.000000	102.947	-179.5048
74.000000	102.917	179.8413
75.000000	102.888	179.2005
76.199997	102.855	178.4363
77.500000	102.826	177.5989
78.800003	102.789	176.7674
80.000000	102.759	176.0780
81.199997	102.722	175.4016
82.500000	102.680	174.7486
83.800003	102.638	174.0711
85.000000	102.598	173.4452
86.199997	102.561	172.7787
87.500000	102.520	172.1276
88.500000	102.499	171.6595
90.000000	102.465	170.9986
91.199997	102.439	170.5194
92.500000	102.399	169.9429
93.800003	102.342	169.4004
95.000000	102.293	168.8859
96.199997	102.246	168.3449
97.500000	102.210	167.7890
98.800003	102.191	167.1985
100.000000	102.163	166.6547
101.500000	102.112	166.1838
