* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 11. 13 ¿ÀÈÄ 1:12:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Nov 13
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.478	-108.1585
20.600000	97.530	-108.8770
20.900000	97.623	-110.1558
21.200001	97.682	-111.3458
21.400000	97.706	-112.0629
21.799999	97.738	-113.3680
22.000000	97.752	-113.9826
22.400000	97.782	-115.1781
22.700001	97.803	-116.0768
23.000000	97.818	-116.9774
23.299999	97.826	-117.8336
23.600000	97.832	-118.6072
24.000000	97.854	-119.4960
24.299999	97.890	-120.1092
24.700001	97.967	-120.9834
25.000000	98.034	-121.7547
25.400000	98.111	-122.9365
25.799999	98.158	-124.1496
26.200001	98.179	-125.2022
26.500000	98.192	-125.8345
26.900000	98.225	-126.5241
27.200001	98.265	-127.0242
27.600000	98.330	-127.7846
28.000000	98.385	-128.6707
28.500000	98.419	-129.7830
29.000000	98.434	-130.6832
29.500000	98.464	-131.4041
30.000000	98.520	-132.1878
30.400000	98.564	-132.9522
30.700001	98.586	-133.5746
31.100000	98.599	-134.3740
31.500000	98.605	-135.0740
32.000000	98.622	-135.8369
32.500000	98.658	-136.6220
33.000000	98.697	-137.5202
33.500000	98.724	-138.4631
34.000000	98.741	-139.3377
34.500000	98.758	-140.1271
35.000000	98.779	-140.8870
35.500000	98.799	-141.6394
36.000000	98.815	-142.3448
36.500000	98.833	-142.9834
37.000000	98.860	-143.6064
37.500000	98.888	-144.2766
38.200001	98.911	-145.2715
38.700001	98.913	-145.9357
39.500000	98.919	-146.8746
40.000000	98.929	-147.4576
40.599998	98.939	-148.1956
41.200001	98.942	-148.9322
41.799999	98.942	-149.6201
42.500000	98.946	-150.3604
43.099998	98.957	-150.9666
43.700001	98.974	-151.5692
44.400002	98.998	-152.2970
45.000000	99.015	-152.9490
45.500000	99.024	-153.4938
46.200001	99.029	-154.2245
46.799999	99.027	-154.8089
47.500000	99.023	-155.4377
48.200001	99.019	-155.9976
48.700001	99.021	-156.3639
49.400002	99.032	-156.8742
50.000000	99.046	-157.3383
50.799999	99.064	-157.9941
51.500000	99.078	-158.6042
52.200001	99.083	-159.2368
53.000000	99.075	-159.8944
53.799999	99.065	-160.4205
54.500000	99.066	-160.8444
55.200001	99.071	-161.3225
56.000000	99.063	-161.9410
57.000000	99.021	-162.5754
58.000000	99.005	-162.9531
59.000000	99.025	-163.6108
60.000000	98.999	-164.4831
60.799999	98.965	-164.9961
61.500000	98.954	-165.3820
62.200001	98.957	-165.8181
63.000000	98.960	-166.3801
64.000000	98.955	-167.0938
65.000000	98.941	-167.7075
66.000000	98.932	-168.1962
67.000000	98.937	-168.6628
68.000000	98.941	-169.2357
69.000000	98.921	-169.8304
70.000000	98.887	-170.3209
71.000000	98.856	-170.7034
72.000000	98.838	-171.0424
73.000000	98.832	-171.4261
74.000000	98.828	-171.8726
75.000000	98.817	-172.4103
76.199997	98.781	-173.0325
77.500000	98.739	-173.5586
78.800003	98.718	-174.0457
80.000000	98.709	-174.6207
81.199997	98.682	-175.2091
82.500000	98.643	-175.7008
83.800003	98.619	-176.0087
85.000000	98.611	-176.4128
86.199997	98.570	-176.7962
87.500000	98.547	-177.0089
88.500000	98.544	-177.3493
90.000000	98.506	-177.9000
91.199997	98.483	-178.2387
92.500000	98.468	-178.6682
93.800003	98.443	-179.1184
95.000000	98.412	-179.4661
96.199997	98.381	-179.7394
97.500000	98.349	-179.9912
98.800003	98.326	179.7636
100.000000	98.305	179.4337
101.500000	98.251	178.9606
103.000000	98.190	178.6127
104.400002	98.151	178.3146
106.000000	98.123	177.9605
107.500000	98.115	177.6307
109.000000	98.110	177.2782
110.599998	98.089	176.9417
112.000000	98.053	176.7065
113.800003	97.996	176.4796
115.000000	97.963	176.2900
117.199997	97.901	175.6814
118.000000	97.868	175.4263
120.599998	97.778	175.1108
122.000000	97.786	174.9640
124.099998	97.782	174.5385
125.000000	97.768	174.4008
126.500000	97.742	174.2331
128.000000	97.711	174.0678
131.500000	97.622	173.6837
132.000000	97.612	173.6246
134.000000	97.578	173.3621
136.000000	97.552	173.0660
138.000000	97.514	172.7731
140.000000	97.462	172.6003
143.000000	97.395	172.3716
145.000000	97.348	172.1622
147.500000	97.296	171.9589
150.000000	97.246	171.7252
152.500000	97.180	171.5731
155.000000	97.127	171.4266
157.500000	97.068	171.2523
160.000000	97.010	171.1983
162.500000	96.958	171.1378
