* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 11. 13 ¿ÀÈÄ 12:58:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Nov 13
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.256	-95.9638
20.600000	95.393	-95.7224
20.900000	95.683	-95.6186
21.200001	95.980	-96.4170
21.400000	96.150	-97.4491
21.799999	96.378	-100.2928
22.000000	96.424	-101.8468
22.400000	96.394	-104.6800
22.700001	96.312	-106.2811
23.000000	96.239	-107.3693
23.299999	96.216	-108.1481
23.600000	96.252	-108.8679
24.000000	96.365	-110.0660
24.299999	96.460	-111.2206
24.700001	96.558	-112.9388
25.000000	96.606	-114.1669
25.400000	96.654	-115.5493
25.799999	96.715	-116.6549
26.200001	96.801	-117.6466
26.500000	96.872	-118.3988
26.900000	96.959	-119.4255
27.200001	97.011	-120.1699
27.600000	97.067	-121.0655
28.000000	97.120	-121.8408
28.500000	97.191	-122.7392
29.000000	97.261	-123.6891
29.500000	97.311	-124.7008
30.000000	97.340	-125.6791
30.400000	97.358	-126.3952
30.700001	97.374	-126.9080
31.100000	97.402	-127.6171
31.500000	97.428	-128.4007
32.000000	97.441	-129.4471
32.500000	97.424	-130.3530
33.000000	97.412	-130.9034
33.500000	97.459	-131.1923
34.000000	97.577	-131.6152
34.500000	97.714	-132.4671
35.000000	97.811	-133.6391
35.500000	97.854	-134.7744
36.000000	97.877	-135.6870
36.500000	97.906	-136.4891
37.000000	97.932	-137.3450
37.500000	97.931	-138.2153
38.200001	97.896	-139.1636
38.700001	97.883	-139.6413
39.500000	97.903	-140.4732
40.000000	97.918	-141.0982
40.599998	97.933	-141.8444
41.200001	97.960	-142.5701
41.799999	97.999	-143.3517
42.500000	98.042	-144.3161
43.099998	98.076	-145.0967
43.700001	98.110	-145.8211
44.400002	98.143	-146.6029
45.000000	98.164	-147.1729
45.500000	98.183	-147.5724
46.200001	98.220	-148.1318
46.799999	98.248	-148.7199
47.500000	98.255	-149.4890
48.200001	98.242	-150.2095
48.700001	98.232	-150.6963
49.400002	98.223	-151.4272
50.000000	98.211	-152.0971
50.799999	98.191	-152.9152
51.500000	98.190	-153.5118
52.200001	98.217	-154.0636
53.000000	98.274	-154.7438
53.799999	98.328	-155.5367
54.500000	98.345	-156.2012
55.200001	98.343	-156.6667
56.000000	98.345	-157.0495
57.000000	98.318	-157.6018
58.000000	98.237	-157.8038
59.000000	98.236	-157.7244
60.000000	98.307	-158.5078
60.799999	98.301	-159.6884
61.500000	98.251	-160.5936
62.200001	98.214	-161.2556
63.000000	98.211	-161.9755
64.000000	98.219	-162.9442
65.000000	98.223	-163.7107
66.000000	98.236	-164.2734
67.000000	98.246	-164.7063
68.000000	98.250	-165.0685
69.000000	98.243	-165.4327
70.000000	98.226	-165.8536
71.000000	98.198	-166.3144
72.000000	98.177	-166.7903
73.000000	98.169	-167.3710
74.000000	98.160	-168.0546
75.000000	98.142	-168.6970
76.199997	98.128	-169.3285
77.500000	98.123	-169.9918
78.800003	98.101	-170.6364
80.000000	98.066	-171.1117
81.199997	98.033	-171.5007
82.500000	98.002	-171.8822
83.800003	97.987	-172.3224
85.000000	97.968	-172.8200
86.199997	97.945	-173.2825
87.500000	97.927	-173.7601
88.500000	97.911	-174.1154
90.000000	97.894	-174.5573
91.199997	97.887	-174.9451
92.500000	97.872	-175.3818
93.800003	97.853	-175.8502
95.000000	97.823	-176.2883
96.199997	97.785	-176.6513
97.500000	97.751	-176.9786
98.800003	97.723	-177.3290
100.000000	97.694	-177.6514
101.500000	97.660	-178.0246
103.000000	97.634	-178.4336
104.400002	97.603	-178.8520
106.000000	97.562	-179.2581
107.500000	97.524	-179.5792
109.000000	97.490	-179.8630
110.599998	97.463	179.8256
112.000000	97.447	179.4688
113.800003	97.411	178.9767
115.000000	97.378	178.7592
117.199997	97.330	178.5759
118.000000	97.316	178.5038
120.599998	97.268	178.1039
122.000000	97.234	177.7668
124.099998	97.186	177.2800
125.000000	97.172	177.0739
126.500000	97.148	176.7494
128.000000	97.120	176.4986
131.500000	97.061	176.1000
132.000000	97.052	176.0381
134.000000	97.009	175.7806
136.000000	96.964	175.5233
138.000000	96.918	175.2313
140.000000	96.871	174.9542
143.000000	96.802	174.5866
145.000000	96.761	174.4144
147.500000	96.720	174.1856
150.000000	96.657	173.9206
152.500000	96.589	173.7520
155.000000	96.552	173.5201
157.500000	96.523	173.2594
160.000000	96.477	173.1613
