* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 11. 13 ¿ÀÈÄ 1:11:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Nov 13
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	98.060	-110.7092
20.600000	98.078	-111.1505
20.900000	98.111	-111.8984
21.200001	98.135	-112.4957
21.400000	98.153	-112.8070
21.799999	98.206	-113.3289
22.000000	98.248	-113.6014
22.400000	98.360	-114.2909
22.700001	98.459	-115.0123
23.000000	98.554	-115.9371
23.299999	98.636	-117.0179
23.600000	98.699	-118.1850
24.000000	98.757	-119.7594
24.299999	98.789	-120.8901
24.700001	98.824	-122.3085
25.000000	98.851	-123.3208
25.400000	98.886	-124.6252
25.799999	98.915	-125.8695
26.200001	98.938	-127.0096
26.500000	98.952	-127.7716
26.900000	98.973	-128.6609
27.200001	98.993	-129.2526
27.600000	99.028	-129.9792
28.000000	99.071	-130.6712
28.500000	99.133	-131.5247
29.000000	99.200	-132.4171
29.500000	99.259	-133.4041
30.000000	99.294	-134.4598
30.400000	99.297	-135.2551
30.700001	99.291	-135.7658
31.100000	99.284	-136.3110
31.500000	99.292	-136.7577
32.000000	99.330	-137.3480
32.500000	99.380	-138.1102
33.000000	99.419	-139.0018
33.500000	99.445	-139.8892
34.000000	99.471	-140.7233
34.500000	99.504	-141.5708
35.000000	99.533	-142.4769
35.500000	99.551	-143.3883
36.000000	99.562	-144.2324
36.500000	99.577	-145.0212
37.000000	99.595	-145.8224
37.500000	99.604	-146.6440
38.200001	99.594	-147.6704
38.700001	99.586	-148.2408
39.500000	99.602	-149.0427
40.000000	99.621	-149.5765
40.599998	99.639	-150.2139
41.200001	99.661	-150.7996
41.799999	99.694	-151.4167
42.500000	99.725	-152.2795
43.099998	99.727	-153.0359
43.700001	99.714	-153.6611
44.400002	99.710	-154.2666
45.000000	99.720	-154.8333
45.500000	99.725	-155.3795
46.200001	99.719	-156.1769
46.799999	99.710	-156.8161
47.500000	99.711	-157.5310
48.200001	99.727	-158.3096
48.700001	99.739	-158.9202
49.400002	99.746	-159.7582
50.000000	99.751	-160.3647
50.799999	99.780	-161.0616
51.500000	99.815	-161.7048
52.200001	99.838	-162.3372
53.000000	99.854	-162.9279
53.799999	99.867	-163.4897
54.500000	99.854	-164.0005
55.200001	99.816	-164.4019
56.000000	99.770	-164.7177
57.000000	99.715	-165.1271
58.000000	99.653	-165.4703
59.000000	99.637	-165.7317
60.000000	99.673	-166.3426
60.799999	99.691	-167.1146
61.500000	99.686	-167.7728
62.200001	99.680	-168.2976
63.000000	99.692	-168.8234
64.000000	99.713	-169.5828
65.000000	99.697	-170.3540
66.000000	99.658	-170.8526
67.000000	99.643	-171.2001
68.000000	99.643	-171.7023
69.000000	99.629	-172.3542
70.000000	99.598	-172.9951
71.000000	99.571	-173.5388
72.000000	99.562	-174.0694
73.000000	99.557	-174.6328
74.000000	99.547	-175.1887
75.000000	99.525	-175.6655
76.199997	99.505	-176.0552
77.500000	99.503	-176.5926
78.800003	99.466	-177.2511
80.000000	99.415	-177.7157
81.199997	99.378	-178.0651
82.500000	99.364	-178.4836
83.800003	99.350	-179.0644
85.000000	99.318	-179.6143
86.199997	99.276	179.9370
87.500000	99.242	179.5531
88.500000	99.229	179.2396
90.000000	99.210	178.6348
91.199997	99.186	178.1906
92.500000	99.168	177.7489
93.800003	99.148	177.2633
95.000000	99.117	176.8307
96.199997	99.078	176.4706
97.500000	99.040	176.1892
98.800003	99.021	175.8847
100.000000	99.001	175.4924
101.500000	98.956	175.0224
