* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 11. 13 ¿ÀÈÄ 12:50:08
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Nov 13
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.188	-101.3987
20.600000	97.321	-101.6283
20.900000	97.572	-102.3066
21.200001	97.761	-103.6327
21.400000	97.830	-104.7417
21.799999	97.843	-107.0009
22.000000	97.802	-107.9272
22.400000	97.693	-109.1289
22.700001	97.646	-109.6247
23.000000	97.654	-110.1106
23.299999	97.690	-110.8296
23.600000	97.718	-111.7807
24.000000	97.707	-113.1304
24.299999	97.677	-113.8996
24.700001	97.672	-114.4774
25.000000	97.734	-114.8094
25.400000	97.895	-115.6202
25.799999	98.053	-117.1324
26.200001	98.119	-118.9719
26.500000	98.106	-120.1237
26.900000	98.073	-121.0275
27.200001	98.095	-121.3607
27.600000	98.218	-121.8886
28.000000	98.376	-123.0929
28.500000	98.450	-125.4057
29.000000	98.320	-127.2086
29.500000	98.154	-127.4524
30.000000	98.187	-126.8026
30.400000	98.368	-126.7080
30.700001	98.530	-127.1949
31.100000	98.703	-128.4499
31.500000	98.796	-129.9921
32.000000	98.826	-131.7897
32.500000	98.811	-133.2798
33.000000	98.774	-134.4808
33.500000	98.733	-135.3072
34.000000	98.724	-135.7565
34.500000	98.773	-136.1123
35.000000	98.852	-136.6347
35.500000	98.924	-137.2708
36.000000	98.994	-137.8556
36.500000	99.083	-138.4802
37.000000	99.169	-139.3763
37.500000	99.203	-140.4841
38.200001	99.149	-141.6521
38.700001	99.112	-141.9686
39.500000	99.161	-142.4163
40.000000	99.205	-143.0164
40.599998	99.224	-143.8342
41.200001	99.235	-144.4888
41.799999	99.271	-145.1270
42.500000	99.318	-146.1098
43.099998	99.324	-146.9992
43.700001	99.312	-147.6553
44.400002	99.331	-148.1603
45.000000	99.387	-148.6890
45.500000	99.430	-149.3294
46.200001	99.448	-150.3303
46.799999	99.437	-151.0125
47.500000	99.443	-151.6367
48.200001	99.470	-152.3629
48.700001	99.483	-152.9648
49.400002	99.486	-153.7807
50.000000	99.485	-154.4023
50.799999	99.492	-155.1343
51.500000	99.515	-155.7225
52.200001	99.550	-156.3985
53.000000	99.559	-157.2186
53.799999	99.554	-157.6787
54.500000	99.602	-157.9345
55.200001	99.679	-158.5638
56.000000	99.701	-159.6708
57.000000	99.622	-160.6913
58.000000	99.548	-161.1052
59.000000	99.542	-161.3630
60.000000	99.585	-162.0661
60.799999	99.588	-162.9676
61.500000	99.557	-163.7438
62.200001	99.508	-164.3583
63.000000	99.463	-164.7822
64.000000	99.478	-165.1676
65.000000	99.523	-165.9986
66.000000	99.502	-166.9172
67.000000	99.469	-167.4547
68.000000	99.458	-167.9850
69.000000	99.430	-168.5304
70.000000	99.407	-168.9786
71.000000	99.400	-169.5231
72.000000	99.379	-170.2203
73.000000	99.328	-170.7935
74.000000	99.299	-171.0420
75.000000	99.325	-171.3766
76.199997	99.340	-172.1133
77.500000	99.310	-172.8334
78.800003	99.280	-173.3991
80.000000	99.263	-174.0044
81.199997	99.240	-174.6756
82.500000	99.209	-175.3799
83.800003	99.178	-175.9397
85.000000	99.161	-176.3264
86.199997	99.158	-176.6599
87.500000	99.153	-177.1365
88.500000	99.130	-177.5557
90.000000	99.072	-178.1147
91.199997	99.033	-178.4510
92.500000	99.023	-178.8927
93.800003	99.008	-179.5156
95.000000	98.978	179.9832
96.199997	98.953	179.5721
97.500000	98.925	179.1149
98.800003	98.887	178.6839
100.000000	98.852	178.3466
101.500000	98.820	177.9371
103.000000	98.795	177.4988
104.400002	98.773	177.1371
106.000000	98.754	176.7673
107.500000	98.736	176.3766
109.000000	98.698	175.9252
110.599998	98.638	175.4891
112.000000	98.594	175.1716
113.800003	98.557	174.7320
115.000000	98.534	174.4448
117.199997	98.473	174.0650
118.000000	98.447	174.0350
120.599998	98.426	173.7949
122.000000	98.404	173.2641
124.099998	98.344	172.5422
125.000000	98.324	172.2907
126.500000	98.296	171.9173
128.000000	98.261	171.6303
131.500000	98.173	171.1322
132.000000	98.161	171.0538
134.000000	98.120	170.7165
136.000000	98.084	170.3463
138.000000	98.042	170.0243
140.000000	97.998	169.7193
143.000000	97.919	169.2379
145.000000	97.867	169.0515
147.500000	97.821	168.8568
150.000000	97.767	168.5470
152.500000	97.705	168.2884
155.000000	97.661	167.9893
157.500000	97.602	167.6212
160.000000	97.539	167.3535
162.500000	97.501	167.1188
165.000000	97.467	166.7856
167.500000	97.406	166.5725
170.000000	97.351	166.4936
172.500000	97.300	166.3822
175.000000	97.247	166.2449
177.500000	97.192	166.0822
180.000000	97.133	165.8953
182.500000	97.079	165.7211
185.000000	97.025	165.5645
187.500000	96.975	165.4567
190.000000	96.936	165.3525
192.500000	96.898	165.2047
195.000000	96.847	165.0675
197.500000	96.793	165.0012
200.000000	96.748	164.9615
203.000000	96.701	164.8537
206.000000	96.654	164.7002
209.000000	96.608	164.5633
212.000000	96.561	164.5103
214.000000	96.526	164.4993
218.000000	96.453	164.4449
220.000000	96.416	164.4003
224.000000	96.344	164.3721
227.000000	96.298	164.3766
230.000000	96.249	164.3969
233.000000	96.197	164.4500
236.000000	96.161	164.3962
240.000000	96.118	164.1733
243.000000	96.070	164.2065
247.000000	95.998	164.3356
250.000000	95.946	164.3528
254.000000	95.891	164.3839
258.000000	95.835	164.4101
262.000000	95.776	164.4326
265.000000	95.738	164.4525
269.000000	95.683	164.5165
272.000000	95.646	164.6156
276.000000	95.606	164.6827
280.000000	95.560	164.7235
285.000000	95.498	164.8005
290.000000	95.437	164.9863
295.000000	95.388	165.2349
300.000000	95.335	165.3566
304.000000	95.289	165.4189
307.000000	95.263	165.4845
311.000000	95.235	165.6443
315.000000	95.200	165.8322
320.000000	95.148	166.0380
325.000000	95.103	166.2287
330.000000	95.062	166.3789
335.000000	95.018	166.5879
340.000000	94.977	166.8250
345.000000	94.935	167.0609
350.000000	94.886	167.2454
355.000000	94.850	167.3573
360.000000	94.812	167.5329
365.000000	94.777	167.7226
370.000000	94.741	167.9196
375.000000	94.700	168.1803
382.000000	94.658	168.5310
387.000000	94.625	168.7671
395.000000	94.563	169.1659
400.000000	94.534	169.4479
406.000000	94.496	169.7718
412.000000	94.457	170.0511
418.000000	94.416	170.3751
425.000000	94.372	170.7530
431.000000	94.339	171.0368
437.000000	94.313	171.3172
444.000000	94.299	171.6606
450.000000	94.280	172.0006
455.000000	94.254	172.2756
462.000000	94.217	172.6066
468.000000	94.195	172.9329
475.000000	94.164	173.3346
482.000000	94.140	173.6838
487.000000	94.136	173.9157
494.000000	94.128	174.3021
500.000000	94.116	174.6507
508.000000	94.094	175.1004
515.000000	94.074	175.4941
522.000000	94.056	175.8760
530.000000	94.038	176.3143
538.000000	94.023	176.7796
545.000000	94.014	177.1979
552.000000	94.002	177.6400
560.000000	93.993	178.1197
570.000000	93.988	178.5933
580.000000	93.982	179.1279
590.000000	93.971	179.7459
600.000000	93.967	-179.6319
608.000000	93.971	-179.1465
615.000000	93.970	-178.7268
622.000000	93.972	-178.3105
630.000000	93.981	-177.8399
640.000000	93.986	-177.1931
650.000000	93.990	-176.5762
660.000000	93.990	-176.0015
670.000000	93.994	-175.4065
680.000000	94.012	-174.7918
690.000000	94.035	-174.1601
700.000000	94.054	-173.5434
710.000000	94.072	-172.9329
720.000000	94.094	-172.3145
730.000000	94.122	-171.6819
740.000000	94.151	-171.0484
750.000000	94.178	-170.4410
762.000000	94.208	-169.6756
775.000000	94.248	-168.8117
788.000000	94.299	-168.0254
800.000000	94.352	-167.3136
812.000000	94.413	-166.5634
825.000000	94.478	-165.7302
838.000000	94.550	-164.8893
850.000000	94.620	-164.1957
862.000000	94.691	-163.5400
875.000000	94.777	-162.8342
885.000000	94.850	-162.2729
900.000000	94.960	-161.4473
912.000000	95.050	-160.8280
925.000000	95.155	-160.1931
938.000000	95.266	-159.5818
950.000000	95.368	-159.0354
962.000000	95.475	-158.5174
975.000000	95.601	-157.9804
988.000000	95.729	-157.4768
1000.000000	95.842	-157.0563
1015.000000	95.986	-156.5666
1030.000000	96.139	-156.1338
1044.000000	96.284	-155.7946
1060.000000	96.446	-155.4471
1075.000000	96.596	-155.1492
1090.000000	96.750	-154.9007
1106.000000	96.919	-154.6980
1120.000000	97.069	-154.5595
1138.000000	97.261	-154.4295
1150.000000	97.388	-154.3642
1172.000000	97.616	-154.2970
1180.000000	97.697	-154.2737
1206.000000	97.955	-154.2330
1220.000000	98.092	-154.2614
1241.000000	98.298	-154.3289
1250.000000	98.386	-154.3678
1265.000000	98.530	-154.4559
1280.000000	98.672	-154.5602
1315.000000	98.991	-154.8325
1320.000000	99.037	-154.8791
1340.000000	99.218	-155.0634
