* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 14 오후 10:11:50
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Bass
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.859	-162.2327
20.600000	95.856	-162.4428
20.900000	95.853	-162.8045
21.200001	95.857	-163.1239
21.400000	95.864	-163.3424
21.799999	95.882	-163.8606
22.000000	95.890	-164.1774
22.400000	95.897	-164.9047
22.700001	95.891	-165.4893
23.000000	95.879	-166.0714
23.299999	95.864	-166.6362
23.600000	95.851	-167.1865
24.000000	95.839	-167.9140
24.299999	95.833	-168.4661
24.700001	95.827	-169.2072
25.000000	95.822	-169.7516
25.400000	95.815	-170.4412
25.799999	95.811	-171.0831
26.200001	95.811	-171.6932
26.500000	95.811	-172.1423
26.900000	95.808	-172.7341
27.200001	95.802	-173.1657
27.600000	95.789	-173.7100
28.000000	95.772	-174.2106
28.500000	95.752	-174.7923
29.000000	95.732	-175.3650
29.500000	95.709	-175.9493
30.000000	95.681	-176.5358
30.400000	95.657	-176.9985
30.700001	95.638	-177.3430
31.100000	95.614	-177.8050
31.500000	95.588	-178.2721
32.000000	95.554	-178.8532
32.500000	95.520	-179.4137
33.000000	95.490	-179.9502
33.500000	95.468	179.5209
34.000000	95.450	178.9849
34.500000	95.430	178.4486
35.000000	95.407	177.9316
35.500000	95.382	177.4485
36.000000	95.357	176.9981
36.500000	95.333	176.5703
37.000000	95.308	176.1533
37.500000	95.281	175.7415
38.200001	95.237	175.1770
38.700001	95.202	174.7897
39.500000	95.145	174.1909
40.000000	95.110	173.8132
40.599998	95.068	173.3498
41.200001	95.024	172.8899
41.799999	94.981	172.4449
42.500000	94.934	171.9431
43.099998	94.896	171.5334
43.700001	94.861	171.1517
44.400002	94.824	170.7233
45.000000	94.794	170.3462
45.500000	94.767	170.0295
46.200001	94.724	169.6084
46.799999	94.687	169.2701
47.500000	94.643	168.8798
48.200001	94.598	168.4976
48.700001	94.565	168.2409
49.400002	94.521	167.9017
50.000000	94.486	167.6151
50.799999	94.442	167.2299
51.500000	94.404	166.8903
52.200001	94.366	166.5478
53.000000	94.318	166.1722
53.799999	94.269	165.8279
54.500000	94.226	165.5266
55.200001	94.179	165.2187
56.000000	94.121	164.9012
57.000000	94.053	164.5504
58.000000	93.988	164.1821
59.000000	93.923	163.8243
60.000000	93.859	163.4534
60.799999	93.805	163.1575
61.500000	93.756	162.9248
62.200001	93.706	162.7235
63.000000	93.651	162.5437
64.000000	93.594	162.3371
65.000000	93.540	162.0224
66.000000	93.464	161.6890
67.000000	93.381	161.5172
68.000000	93.321	161.4409
69.000000	93.280	161.2642
70.000000	93.234	161.0155
71.000000	93.185	160.7948
72.000000	93.139	160.5789
73.000000	93.093	160.3322
74.000000	93.039	160.0706
75.000000	92.979	159.8544
76.199997	92.912	159.6345
77.500000	92.843	159.4086
78.800003	92.780	159.1825
80.000000	92.721	158.9557
81.199997	92.658	158.7380
82.500000	92.579	158.5318
83.800003	92.498	158.4091
85.000000	92.432	158.3255
86.199997	92.376	158.1755
87.500000	92.312	157.9023
88.500000	92.252	157.6671
90.000000	92.151	157.4886
91.199997	92.095	157.4707
92.500000	92.050	157.4163
93.800003	92.005	157.3952
95.000000	91.964	157.3905
96.199997	91.916	157.3626
97.500000	91.853	157.2765
98.800003	91.772	157.1711
100.000000	91.700	157.1085
101.500000	91.624	156.9925
103.000000	91.552	156.8899
104.400002	91.487	156.8729
106.000000	91.409	156.8792
107.500000	91.332	156.8463
109.000000	91.260	156.7552
110.599998	91.205	156.6517
112.000000	91.169	156.6487
113.800003	91.115	156.8607
115.000000	91.052	157.0412
117.199997	90.805	157.2109
118.000000	90.670	157.3618
120.599998	90.481	158.7264
122.000000	90.593	158.2996
124.099998	90.647	157.1004
125.000000	90.639	156.9257
126.500000	90.612	156.9746
128.000000	90.560	157.1450
131.500000	90.391	157.2660
132.000000	90.372	157.2500
134.000000	90.304	157.2039
136.000000	90.237	157.3522
138.000000	90.174	157.6210
140.000000	90.108	157.7986
143.000000	89.973	158.0644
145.000000	89.872	158.2965
147.500000	89.754	158.4379
150.000000	89.661	158.6160
152.500000	89.629	159.1551
155.000000	89.637	159.9648
157.500000	89.671	160.5233
160.000000	89.704	160.6932
162.500000	89.709	160.5868
165.000000	89.656	160.5344
167.500000	89.593	160.6171
170.000000	89.541	160.6355
172.500000	89.482	160.6555
175.000000	89.418	160.7497
177.500000	89.356	160.8752
180.000000	89.297	161.0103
182.500000	89.238	161.1664
185.000000	89.180	161.3353
187.500000	89.127	161.5123
190.000000	89.072	161.7061
192.500000	89.012	161.9191
195.000000	88.957	162.1362
197.500000	88.918	162.3057
200.000000	88.883	162.4582
203.000000	88.834	162.6975
206.000000	88.781	162.9798
209.000000	88.734	163.2573
212.000000	88.688	163.5084
214.000000	88.656	163.6730
218.000000	88.597	163.9962
220.000000	88.568	164.1580
224.000000	88.509	164.4979
227.000000	88.467	164.7467
230.000000	88.430	165.0191
233.000000	88.394	165.3087
236.000000	88.354	165.6048
240.000000	88.304	165.9863
243.000000	88.266	166.2498
247.000000	88.214	166.6172
250.000000	88.177	166.8892
254.000000	88.127	167.2193
258.000000	88.083	167.5433
262.000000	88.042	167.9250
265.000000	88.011	168.2236
269.000000	87.971	168.5900
272.000000	87.943	168.8521
276.000000	87.906	169.1962
280.000000	87.872	169.5353
285.000000	87.831	169.9756
290.000000	87.797	170.4567
295.000000	87.765	170.9051
300.000000	87.731	171.3200
304.000000	87.708	171.6775
307.000000	87.691	171.9415
311.000000	87.670	172.2947
315.000000	87.650	172.6470
320.000000	87.626	173.0864
325.000000	87.602	173.5537
330.000000	87.579	174.0107
335.000000	87.555	174.4570
340.000000	87.533	174.9186
345.000000	87.512	175.3737
350.000000	87.491	175.8201
355.000000	87.473	176.2524
360.000000	87.460	176.6513
365.000000	87.448	177.0315
370.000000	87.435	177.4321
375.000000	87.423	177.8357
382.000000	87.401	178.3580
387.000000	87.384	178.7050
395.000000	87.360	179.2931
400.000000	87.346	179.6433
406.000000	87.326	-179.9301
412.000000	87.304	-179.4954
418.000000	87.283	-179.0427
425.000000	87.266	-178.5144
431.000000	87.253	-178.0940
437.000000	87.243	-177.7006
444.000000	87.233	-177.2061
450.000000	87.226	-176.7512
455.000000	87.220	-176.3850
462.000000	87.212	-175.8827
468.000000	87.204	-175.4628
475.000000	87.196	-174.9838
482.000000	87.192	-174.4999
487.000000	87.189	-174.1541
494.000000	87.184	-173.6615
500.000000	87.183	-173.2187
508.000000	87.182	-172.6447
515.000000	87.178	-172.1614
522.000000	87.177	-171.6767
530.000000	87.179	-171.1313
538.000000	87.181	-170.5791
545.000000	87.183	-170.0808
552.000000	87.185	-169.6030
560.000000	87.191	-169.0824
570.000000	87.197	-168.4176
580.000000	87.203	-167.7343
590.000000	87.216	-167.0627
600.000000	87.229	-166.4029
608.000000	87.237	-165.8860
615.000000	87.243	-165.4288
622.000000	87.251	-164.9675
630.000000	87.263	-164.4216
640.000000	87.278	-163.7368
650.000000	87.293	-163.0825
660.000000	87.312	-162.4421
670.000000	87.333	-161.7943
680.000000	87.352	-161.1421
690.000000	87.373	-160.4842
700.000000	87.396	-159.8141
710.000000	87.417	-159.1493
720.000000	87.438	-158.5011
730.000000	87.461	-157.8649
740.000000	87.486	-157.2384
750.000000	87.512	-156.6141
762.000000	87.544	-155.8527
775.000000	87.576	-155.0149
788.000000	87.593	-154.1694
800.000000	87.594	-153.2023
812.000000	87.629	-151.8904
825.000000	87.758	-150.6498
838.000000	87.868	-149.9763
850.000000	87.905	-149.2824
862.000000	87.947	-148.0775
875.000000	88.118	-146.5189
885.000000	88.316	-145.9062
900.000000	88.520	-145.8386
912.000000	88.606	-145.7074
925.000000	88.685	-145.3331
938.000000	88.772	-144.8430
950.000000	88.859	-144.3667
962.000000	88.951	-143.8947
975.000000	89.057	-143.4029
988.000000	89.166	-142.9418
1000.000000	89.267	-142.5391
1015.000000	89.399	-142.0661
1030.000000	89.532	-141.6376
1044.000000	89.656	-141.2889
1060.000000	89.799	-140.9381
1075.000000	89.934	-140.6469
1090.000000	90.070	-140.4052
1106.000000	90.220	-140.1880
1120.000000	90.354	-140.0309
1138.000000	90.524	-139.8707
