* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 14 오후 10:12:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Treble
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.918	-162.2200
20.600000	95.920	-162.5229
20.900000	95.922	-163.0597
21.200001	95.919	-163.5603
21.400000	95.915	-163.8792
21.799999	95.903	-164.5200
22.000000	95.895	-164.8530
22.400000	95.879	-165.5400
22.700001	95.865	-166.0701
23.000000	95.851	-166.6123
23.299999	95.837	-167.1628
23.600000	95.824	-167.7179
24.000000	95.810	-168.4581
24.299999	95.801	-169.0075
24.700001	95.793	-169.7249
25.000000	95.788	-170.2468
25.400000	95.783	-170.9160
25.799999	95.781	-171.5518
26.200001	95.779	-172.1552
26.500000	95.779	-172.5892
26.900000	95.775	-173.1472
27.200001	95.770	-173.5525
27.600000	95.760	-174.0768
28.000000	95.747	-174.5835
28.500000	95.726	-175.1954
29.000000	95.700	-175.7902
29.500000	95.669	-176.3713
30.000000	95.634	-176.9365
30.400000	95.606	-177.3766
30.700001	95.585	-177.7023
31.100000	95.558	-178.1377
31.500000	95.533	-178.5807
32.000000	95.503	-179.1475
32.500000	95.473	-179.7205
33.000000	95.445	179.7103
33.500000	95.421	179.1470
34.000000	95.398	178.5919
34.500000	95.373	178.0587
35.000000	95.346	177.5666
35.500000	95.320	177.1216
36.000000	95.298	176.7059
36.500000	95.278	176.2930
37.000000	95.258	175.8694
37.500000	95.232	175.4438
38.200001	95.188	174.8733
38.700001	95.154	174.4866
39.500000	95.099	173.8741
40.000000	95.064	173.4865
40.599998	95.021	173.0228
41.200001	94.978	172.5664
41.799999	94.936	172.1196
42.500000	94.889	171.6246
43.099998	94.853	171.2285
43.700001	94.823	170.8308
44.400002	94.784	170.3393
45.000000	94.740	169.9406
45.500000	94.699	169.6768
46.200001	94.651	169.4024
46.799999	94.624	169.1611
47.500000	94.597	168.7800
48.200001	94.561	168.3327
48.700001	94.530	168.0191
49.400002	94.483	167.6079
50.000000	94.444	167.2711
50.799999	94.392	166.8376
51.500000	94.348	166.4757
52.200001	94.305	166.1321
53.000000	94.257	165.7627
53.799999	94.211	165.4051
54.500000	94.168	165.0948
55.200001	94.122	164.8003
56.000000	94.069	164.4941
57.000000	94.007	164.1205
58.000000	93.942	163.7301
59.000000	93.873	163.3674
60.000000	93.807	163.0288
60.799999	93.756	162.7430
61.500000	93.710	162.4917
62.200001	93.663	162.2576
63.000000	93.611	162.0146
64.000000	93.549	161.7292
65.000000	93.489	161.4446
66.000000	93.429	161.1668
67.000000	93.370	160.8946
68.000000	93.309	160.6266
69.000000	93.246	160.3825
70.000000	93.183	160.1513
71.000000	93.120	159.9302
72.000000	93.058	159.7104
73.000000	92.995	159.4854
74.000000	92.930	159.2893
75.000000	92.869	159.1133
76.199997	92.801	158.8918
77.500000	92.724	158.6586
78.800003	92.644	158.4579
80.000000	92.571	158.3054
81.199997	92.500	158.1388
82.500000	92.420	157.9531
83.800003	92.343	157.7812
85.000000	92.276	157.6249
86.199997	92.209	157.4790
87.500000	92.136	157.3545
88.500000	92.078	157.2887
90.000000	91.990	157.2603
91.199997	91.932	157.2299
92.500000	91.874	157.0872
93.800003	91.810	156.8429
95.000000	91.733	156.6048
96.199997	91.648	156.5367
97.500000	91.579	156.6043
98.800003	91.535	156.6113
100.000000	91.492	156.5229
101.500000	91.426	156.4194
103.000000	91.353	156.3567
104.400002	91.279	156.3227
106.000000	91.189	156.2795
107.500000	91.101	156.2078
109.000000	91.017	156.1414
110.599998	90.939	156.1251
112.000000	90.879	156.1873
113.800003	90.793	156.3572
115.000000	90.717	156.4660
117.199997	90.508	156.4930
118.000000	90.409	156.5139
120.599998	90.209	157.2039
122.000000	90.228	157.1079
124.099998	90.180	156.7850
125.000000	90.138	156.9008
126.500000	90.062	157.3130
128.000000	89.971	157.7742
131.500000	89.721	158.9876
132.000000	89.689	159.2080
134.000000	89.586	160.2872
136.000000	89.520	161.6644
138.000000	89.520	163.3250
140.000000	89.648	164.8838
143.000000	90.027	165.8764
145.000000	90.255	165.3948
147.500000	90.394	164.1268
150.000000	90.408	162.7460
152.500000	90.344	161.6479
155.000000	90.255	161.0601
157.500000	90.165	160.7605
160.000000	90.071	160.5916
162.500000	89.982	160.4647
165.000000	89.892	160.3642
167.500000	89.807	160.3373
170.000000	89.727	160.3437
172.500000	89.650	160.3999
175.000000	89.577	160.5077
177.500000	89.508	160.6342
180.000000	89.439	160.7534
182.500000	89.370	160.8720
185.000000	89.308	161.0166
187.500000	89.248	161.1801
190.000000	89.187	161.3504
192.500000	89.128	161.5032
195.000000	89.074	161.6584
197.500000	89.026	161.8730
200.000000	88.983	162.1056
203.000000	88.927	162.3515
206.000000	88.871	162.5682
209.000000	88.820	162.7864
212.000000	88.770	163.0303
214.000000	88.738	163.2003
