* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 5:45:29
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_AET07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.407	-169.5820
20.600000	84.409	-169.8185
20.900000	84.408	-170.2360
21.200001	84.401	-170.6202
21.400000	84.392	-170.8601
21.799999	84.370	-171.3247
22.000000	84.357	-171.5552
22.400000	84.330	-172.0050
22.700001	84.312	-172.3327
23.000000	84.298	-172.6622
23.299999	84.290	-173.0067
23.600000	84.288	-173.3786
24.000000	84.292	-173.9307
24.299999	84.296	-174.3857
24.700001	84.299	-175.0258
25.000000	84.296	-175.5048
25.400000	84.288	-176.1059
25.799999	84.277	-176.6386
26.200001	84.269	-177.1070
26.500000	84.264	-177.4323
26.900000	84.258	-177.8515
27.200001	84.250	-178.1587
27.600000	84.235	-178.5468
28.000000	84.216	-178.8882
28.500000	84.195	-179.2444
29.000000	84.183	-179.5850
29.500000	84.177	-179.9944
30.000000	84.166	179.5048
30.400000	84.147	179.0777
30.700001	84.127	178.7679
31.100000	84.099	178.3854
31.500000	84.071	178.0330
32.000000	84.040	177.6098
32.500000	84.013	177.1906
33.000000	83.992	176.7780
33.500000	83.978	176.3654
34.000000	83.969	175.9313
34.500000	83.957	175.4748
35.000000	83.938	175.0322
35.500000	83.915	174.6430
36.000000	83.895	174.3009
36.500000	83.880	173.9651
37.000000	83.863	173.6124
37.500000	83.842	173.2623
38.200001	83.805	172.8257
38.700001	83.782	172.5385
39.500000	83.749	172.0436
40.000000	83.726	171.7147
40.599998	83.697	171.3313
41.200001	83.667	170.9695
41.799999	83.640	170.6183
42.500000	83.610	170.2063
43.099998	83.583	169.8433
43.700001	83.549	169.4971
44.400002	83.501	169.1948
45.000000	83.471	169.0335
45.500000	83.461	168.8777
46.200001	83.457	168.4714
46.799999	83.434	167.9646
47.500000	83.376	167.4300
48.200001	83.318	167.0878
48.700001	83.293	166.8770
49.400002	83.270	166.4790
50.000000	83.243	166.0731
50.799999	83.196	165.6243
51.500000	83.166	165.3276
52.200001	83.147	165.0014
53.000000	83.119	164.5761
53.799999	83.076	164.2046
54.500000	83.036	163.9445
55.200001	82.998	163.7016
56.000000	82.953	163.4319
57.000000	82.903	163.1200
58.000000	82.864	162.7043
59.000000	82.804	162.1966
60.000000	82.729	161.8542
60.799999	82.685	161.6694
61.500000	82.658	161.4882
62.200001	82.635	161.2745
63.000000	82.606	160.9981
64.000000	82.563	160.6165
65.000000	82.506	160.2474
66.000000	82.445	159.9465
67.000000	82.388	159.6738
68.000000	82.333	159.3965
69.000000	82.279	159.1363
70.000000	82.228	158.8745
71.000000	82.179	158.6102
72.000000	82.128	158.3484
73.000000	82.077	158.1060
74.000000	82.028	157.8444
75.000000	81.972	157.5706
76.199997	81.904	157.3245
77.500000	81.843	157.0428
78.800003	81.779	156.6761
80.000000	81.702	156.3191
81.199997	81.606	156.1165
82.500000	81.524	156.1207
83.800003	81.477	156.0364
85.000000	81.436	155.8372
86.199997	81.390	155.5819
87.500000	81.332	155.3313
88.500000	81.288	155.1768
90.000000	81.222	154.9811
91.199997	81.170	154.8235
92.500000	81.108	154.6467
93.800003	81.045	154.4860
95.000000	80.990	154.3170
96.199997	80.934	154.1314
97.500000	80.874	153.9362
98.800003	80.810	153.7388
100.000000	80.747	153.6361
101.500000	80.684	153.5231
103.000000	80.623	153.3219
104.400002	80.563	153.1072
106.000000	80.496	152.8926
107.500000	80.434	152.7220
109.000000	80.363	152.6426
110.599998	80.286	152.6641
112.000000	80.220	152.6761
113.800003	80.130	152.5739
115.000000	80.064	152.4689
117.199997	79.958	152.2778
118.000000	79.922	152.2061
120.599998	79.803	152.1308
122.000000	79.742	152.1476
124.099998	79.649	152.1302
125.000000	79.607	152.0996
126.500000	79.535	152.0461
128.000000	79.462	152.0456
131.500000	79.282	152.3452
132.000000	79.253	152.4331
134.000000	79.143	152.8282
136.000000	79.038	153.2102
