* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 5:25:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_AET08
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.796	-169.9322
20.600000	83.806	-170.0927
20.900000	83.824	-170.4002
21.200001	83.835	-170.7491
21.400000	83.838	-171.0049
21.799999	83.833	-171.5672
22.000000	83.825	-171.8664
22.400000	83.800	-172.4769
22.700001	83.776	-172.9316
23.000000	83.749	-173.3743
23.299999	83.722	-173.7973
23.600000	83.699	-174.1981
24.000000	83.679	-174.7073
24.299999	83.674	-175.0920
24.700001	83.678	-175.6461
25.000000	83.685	-176.1092
25.400000	83.688	-176.7782
25.799999	83.680	-177.4441
26.200001	83.661	-178.0287
26.500000	83.645	-178.3907
26.900000	83.627	-178.7894
27.200001	83.618	-179.0621
27.600000	83.610	-179.4363
28.000000	83.599	-179.8341
28.500000	83.574	179.6939
29.000000	83.545	179.3182
29.500000	83.528	178.9986
30.000000	83.524	178.6099
30.400000	83.521	178.2051
30.700001	83.512	177.8631
31.100000	83.490	177.4063
31.500000	83.462	176.9880
32.000000	83.427	176.5270
32.500000	83.399	176.0906
33.000000	83.377	175.6465
33.500000	83.359	175.2066
34.000000	83.344	174.7820
34.500000	83.333	174.3521
35.000000	83.321	173.8986
35.500000	83.302	173.4366
36.000000	83.278	172.9917
36.500000	83.248	172.5684
37.000000	83.211	172.1731
37.500000	83.168	171.8399
38.200001	83.115	171.4951
38.700001	83.094	171.2229
39.500000	83.053	170.5077
40.000000	82.993	170.0499
40.599998	82.906	169.7940
41.200001	82.864	169.7974
41.799999	82.883	169.6555
42.500000	82.907	168.9745
43.099998	82.876	168.2494
43.700001	82.815	167.7288
44.400002	82.752	167.3655
45.000000	82.714	167.0862
45.500000	82.684	166.8369
46.200001	82.640	166.5043
46.799999	82.606	166.2404
47.500000	82.574	165.9148
48.200001	82.547	165.5371
48.700001	82.529	165.2271
49.400002	82.498	164.7472
50.000000	82.461	164.3342
50.799999	82.399	163.8792
51.500000	82.347	163.6254
52.200001	82.311	163.4615
53.000000	82.286	163.2665
53.799999	82.268	163.0065
54.500000	82.249	162.7155
55.200001	82.222	162.3602
56.000000	82.171	161.9470
57.000000	82.096	161.5280
58.000000	82.022	161.1508
59.000000	81.949	160.8195
60.000000	81.889	160.4885
60.799999	81.841	160.1765
61.500000	81.796	159.9234
62.200001	81.752	159.7188
63.000000	81.709	159.5148
64.000000	81.661	159.2396
65.000000	81.610	158.9332
66.000000	81.554	158.6351
67.000000	81.493	158.3378
68.000000	81.426	158.0573
69.000000	81.357	157.8526
70.000000	81.303	157.6740
71.000000	81.256	157.4108
72.000000	81.198	157.1419
73.000000	81.145	156.9331
74.000000	81.092	156.6567
75.000000	81.017	156.4150
76.199997	80.926	156.3416
77.500000	80.850	156.2871
78.800003	80.782	156.1898
80.000000	80.729	156.0335
81.199997	80.677	155.8151
82.500000	80.620	155.5949
83.800003	80.576	155.3860
85.000000	80.531	155.0931
86.199997	80.461	154.8478
87.500000	80.378	154.6945
88.500000	80.315	154.6225
90.000000	80.237	154.4796
91.199997	80.179	154.2505
92.500000	80.114	153.9872
93.800003	80.056	153.7544
95.000000	80.004	153.5547
96.199997	79.947	153.4013
97.500000	79.879	153.2927
98.800003	79.806	153.2224
100.000000	79.739	153.1763
101.500000	79.667	153.0605
103.000000	79.591	152.8266
104.400002	79.508	152.6537
106.000000	79.414	152.6117
107.500000	79.338	152.6451
109.000000	79.265	152.6003
110.599998	79.178	152.4975
112.000000	79.100	152.4144
113.800003	79.004	152.4126
115.000000	78.940	152.4997
117.199997	78.791	152.9376
118.000000	78.730	153.2294
120.599998	78.587	153.9833
122.000000	78.484	153.8976
124.099998	78.293	154.1947
125.000000	78.246	154.5500
126.500000	78.230	155.2438
128.000000	78.273	155.9991
131.500000	78.506	157.0429
132.000000	78.538	157.0343
134.000000	78.623	156.6458
136.000000	78.636	155.9904
138.000000	78.602	155.3218
140.000000	78.542	154.7498
143.000000	78.428	154.1426
145.000000	78.356	153.9244
147.500000	78.266	153.7428
150.000000	78.168	153.6986
