* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 5:41:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Deep
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.459	-169.5544
20.600000	84.457	-169.7908
20.900000	84.449	-170.2042
21.200001	84.436	-170.5744
21.400000	84.424	-170.8010
21.799999	84.398	-171.2411
22.000000	84.385	-171.4669
22.400000	84.358	-171.9355
22.700001	84.339	-172.3031
23.000000	84.321	-172.6856
23.299999	84.304	-173.0788
23.600000	84.290	-173.4779
24.000000	84.275	-174.0125
24.299999	84.269	-174.4113
24.700001	84.265	-174.9381
25.000000	84.266	-175.3298
25.400000	84.271	-175.8498
25.799999	84.277	-176.3691
26.200001	84.281	-176.8836
26.500000	84.280	-177.2573
26.900000	84.272	-177.7216
27.200001	84.261	-178.0330
27.600000	84.244	-178.3941
28.000000	84.229	-178.7114
28.500000	84.215	-179.1030
29.000000	84.200	-179.5441
29.500000	84.174	179.9726
30.000000	84.138	179.5085
30.400000	84.107	179.1774
30.700001	84.088	178.9448
31.100000	84.068	178.6233
31.500000	84.052	178.2594
32.000000	84.031	177.7435
32.500000	84.002	177.2253
33.000000	83.975	176.7773
33.500000	83.965	176.3813
34.000000	83.972	175.9360
34.500000	83.976	175.3822
35.000000	83.959	174.7942
35.500000	83.921	174.3305
36.000000	83.883	174.0654
36.500000	83.865	173.9118
37.000000	83.865	173.7100
37.500000	83.864	173.3960
38.200001	83.835	172.9018
38.700001	83.802	172.6155
39.500000	83.757	172.2136
40.000000	83.733	171.9180
40.599998	83.698	171.5256
41.200001	83.661	171.1449
41.799999	83.628	170.7762
42.500000	83.596	170.3210
43.099998	83.569	169.9143
43.700001	83.540	169.5335
44.400002	83.507	169.1497
45.000000	83.484	168.8544
45.500000	83.466	168.6089
46.200001	83.441	168.2552
46.799999	83.416	167.9501
47.500000	83.383	167.6039
48.200001	83.347	167.2807
48.700001	83.324	167.0629
49.400002	83.295	166.7405
50.000000	83.271	166.4163
50.799999	83.229	165.9633
51.500000	83.188	165.6329
52.200001	83.158	165.3423
53.000000	83.133	164.9564
53.799999	83.098	164.5278
54.500000	83.058	164.2053
55.200001	83.019	163.9536
56.000000	82.984	163.6847
57.000000	82.941	163.2754
58.000000	82.882	162.8658
59.000000	82.821	162.5411
60.000000	82.769	162.2112
60.799999	82.731	161.9086
61.500000	82.698	161.6216
62.200001	82.660	161.3468
63.000000	82.619	161.0866
64.000000	82.579	160.7673
65.000000	82.532	160.3910
66.000000	82.473	160.0975
67.000000	82.419	159.8866
68.000000	82.371	159.6518
69.000000	82.319	159.3752
70.000000	82.260	159.0952
71.000000	82.202	158.8413
72.000000	82.148	158.5794
73.000000	82.094	158.2965
74.000000	82.039	158.0349
75.000000	81.985	157.8185
76.199997	81.925	157.5967
77.500000	81.863	157.3599
78.800003	81.794	157.1226
80.000000	81.722	156.9584
81.199997	81.660	156.8337
82.500000	81.602	156.5369
83.800003	81.517	156.1674
85.000000	81.435	155.9803
86.199997	81.376	155.8556
87.500000	81.328	155.6655
88.500000	81.293	155.4977
90.000000	81.243	155.2314
91.199997	81.196	155.0011
92.500000	81.138	154.7982
93.800003	81.083	154.6399
95.000000	81.035	154.4894
96.199997	80.986	154.3129
97.500000	80.924	154.1177
98.800003	80.859	153.9772
100.000000	80.805	153.8587
101.500000	80.737	153.6571
103.000000	80.663	153.4678
104.400002	80.594	153.3475
106.000000	80.522	153.2548
107.500000	80.457	153.1635
109.000000	80.389	153.0563
110.599998	80.310	152.9230
112.000000	80.240	152.8221
113.800003	80.156	152.7156
115.000000	80.105	152.6487
117.199997	80.009	152.5072
118.000000	79.971	152.4630
120.599998	79.837	152.3393
122.000000	79.764	152.3121
124.099998	79.663	152.3227
125.000000	79.620	152.3416
126.500000	79.545	152.4120
128.000000	79.464	152.5189
131.500000	79.259	152.8342
132.000000	79.229	152.8893
134.000000	79.110	153.2412
136.000000	79.018	153.8864
138.000000	78.967	154.6722
140.000000	78.954	155.4518
143.000000	79.031	156.2592
145.000000	79.124	156.2606
147.500000	79.190	155.7883
150.000000	79.181	155.2521
152.500000	79.130	154.7486
155.000000	79.060	154.3153
157.500000	78.986	154.0184
160.000000	78.904	153.8734
162.500000	78.820	153.8141
165.000000	78.738	153.7663
167.500000	78.662	153.7338
170.000000	78.585	153.6969
172.500000	78.499	153.6992
175.000000	78.416	153.7456
177.500000	78.346	153.8061
180.000000	78.281	153.8588
182.500000	78.211	153.9232
185.000000	78.140	153.9928
187.500000	78.072	154.0737
190.000000	78.012	154.1865
192.500000	77.954	154.2979
