* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 5:31:04
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Spiral
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.865	-169.9379
20.600000	83.862	-170.1539
20.900000	83.855	-170.5344
21.200001	83.847	-170.8868
21.400000	83.841	-171.1190
21.799999	83.829	-171.6169
22.000000	83.821	-171.8929
22.400000	83.800	-172.4869
22.700001	83.780	-172.9508
23.000000	83.758	-173.4145
23.299999	83.736	-173.8671
23.600000	83.716	-174.3053
24.000000	83.699	-174.8720
24.299999	83.693	-175.2953
24.700001	83.692	-175.8720
25.000000	83.694	-176.3158
25.400000	83.695	-176.9075
25.799999	83.694	-177.4648
26.200001	83.692	-177.9584
26.500000	83.692	-178.2877
26.900000	83.694	-178.6962
27.200001	83.696	-179.0032
27.600000	83.697	-179.4323
28.000000	83.688	-179.8736
28.500000	83.662	179.6132
29.000000	83.625	179.1956
29.500000	83.588	178.8619
30.000000	83.559	178.5490
30.400000	83.541	178.2749
30.700001	83.528	178.0446
31.100000	83.511	177.6982
31.500000	83.491	177.3080
32.000000	83.459	176.7801
32.500000	83.417	176.2552
33.000000	83.373	175.7756
33.500000	83.336	175.3351
34.000000	83.305	174.9053
34.500000	83.273	174.4949
35.000000	83.242	174.1455
35.500000	83.224	173.8539
36.000000	83.223	173.5304
36.500000	83.228	173.0839
37.000000	83.216	172.5386
37.500000	83.181	172.0265
38.200001	83.118	171.5405
38.700001	83.087	171.2904
39.500000	83.057	170.7717
40.000000	83.030	170.3800
40.599998	82.988	169.9473
41.200001	82.950	169.5712
41.799999	82.918	169.1837
42.500000	82.881	168.6887
43.099998	82.846	168.2775
43.700001	82.811	167.9051
44.400002	82.777	167.4851
45.000000	82.749	167.0984
45.500000	82.719	166.7693
46.200001	82.670	166.3809
46.799999	82.632	166.1523
47.500000	82.605	165.8994
48.200001	82.580	165.5843
48.700001	82.555	165.4017
49.400002	82.533	165.2947
50.000000	82.547	165.1725
50.799999	82.573	164.6176
51.500000	82.539	163.9305
52.200001	82.457	163.4976
53.000000	82.384	163.3634
53.799999	82.354	163.1489
54.500000	82.321	162.7576
55.200001	82.270	162.3622
56.000000	82.215	161.9731
57.000000	82.153	161.3766
58.000000	82.068	160.8229
59.000000	81.992	160.4552
60.000000	81.929	160.1421
60.799999	81.884	159.8807
61.500000	81.837	159.6444
62.200001	81.781	159.5129
63.000000	81.736	159.4875
64.000000	81.706	159.2665
65.000000	81.646	158.8925
66.000000	81.580	158.6679
67.000000	81.531	158.4172
68.000000	81.480	158.1300
69.000000	81.431	157.8732
70.000000	81.386	157.5924
71.000000	81.330	157.2842
72.000000	81.257	157.0472
73.000000	81.185	156.9353
74.000000	81.129	156.8240
75.000000	81.079	156.5888
76.199997	81.003	156.2151
77.500000	80.909	155.8939
78.800003	80.836	155.6761
80.000000	80.778	155.3927
81.199997	80.702	155.1369
82.500000	80.610	155.0539
83.800003	80.541	155.0724
85.000000	80.487	154.9522
86.199997	80.420	154.7797
87.500000	80.349	154.6492
88.500000	80.304	154.5646
90.000000	80.244	154.4219
91.199997	80.198	154.3353
92.500000	80.153	154.2540
93.800003	80.108	154.1161
95.000000	80.058	153.8967
96.199997	79.988	153.6467
97.500000	79.905	153.4992
98.800003	79.845	153.4033
100.000000	79.799	153.2524
101.500000	79.740	153.0610
103.000000	79.683	152.8863
104.400002	79.625	152.7189
106.000000	79.553	152.5664
107.500000	79.484	152.4301
109.000000	79.406	152.3215
110.599998	79.321	152.2768
112.000000	79.249	152.2547
113.800003	79.161	152.1912
115.000000	79.102	152.1281
117.199997	78.997	152.0684
118.000000	78.964	152.0549
120.599998	78.857	151.9713
122.000000	78.793	151.9420
124.099998	78.695	151.9040
125.000000	78.649	151.8816
126.500000	78.567	151.8745
128.000000	78.485	151.9063
131.500000	78.300	152.0756
132.000000	78.276	152.1073
134.000000	78.176	152.2361
136.000000	78.065	152.4218
138.000000	77.943	152.7575
140.000000	77.816	153.2713
143.000000	77.647	154.5493
145.000000	77.598	155.6434
147.500000	77.629	156.8821
150.000000	77.748	157.6721
152.500000	77.910	157.7459
155.000000	78.019	157.1358
157.500000	78.040	156.3578
160.000000	78.002	155.7521
162.500000	77.936	155.3121
165.000000	77.842	154.9490
167.500000	77.745	154.7052
170.000000	77.661	154.5567
172.500000	77.582	154.5293
175.000000	77.500	154.5552
177.500000	77.415	154.6046
180.000000	77.340	154.6776
182.500000	77.270	154.7274
185.000000	77.197	154.7612
187.500000	77.125	154.7981
190.000000	77.060	154.8880
192.500000	77.000	155.0193
195.000000	76.941	155.1519
197.500000	76.885	155.2748
200.000000	76.828	155.3888
203.000000	76.754	155.5749
206.000000	76.688	155.7998
209.000000	76.631	156.0188
212.000000	76.575	156.2183
214.000000	76.533	156.3445
218.000000	76.446	156.6044
220.000000	76.403	156.7278
224.000000	76.330	156.9297
227.000000	76.276	157.0789
230.000000	76.223	157.2700
233.000000	76.176	157.4686
236.000000	76.133	157.7028
240.000000	76.065	158.0448
243.000000	76.000	158.2668
247.000000	75.918	158.5417
250.000000	75.865	158.7482
254.000000	75.798	159.0155
258.000000	75.737	159.3061
262.000000	75.681	159.6579
265.000000	75.639	159.9390
269.000000	75.583	160.2878
272.000000	75.541	160.5136
276.000000	75.490	160.7959
280.000000	75.444	161.1086
285.000000	75.382	161.4934
290.000000	75.319	161.8602
295.000000	75.261	162.2725
300.000000	75.201	162.6412
304.000000	75.157	162.9759
307.000000	75.126	163.2758
311.000000	75.092	163.6813
315.000000	75.066	164.0639
320.000000	75.038	164.4669
325.000000	75.010	164.8370
330.000000	74.977	165.1940
335.000000	74.940	165.5523
340.000000	74.903	165.9144
345.000000	74.864	166.2614
350.000000	74.822	166.6045
355.000000	74.784	166.9435
360.000000	74.747	167.3109
365.000000	74.707	167.6819
370.000000	74.667	168.0567
375.000000	74.625	168.4517
382.000000	74.568	168.9778
387.000000	74.537	169.3379
395.000000	74.488	169.8712
400.000000	74.453	170.2338
406.000000	74.419	170.7175
412.000000	74.386	171.1619
418.000000	74.348	171.5721
425.000000	74.304	172.0777
431.000000	74.271	172.5253
437.000000	74.246	172.9314
444.000000	74.214	173.4215
450.000000	74.188	173.8535
455.000000	74.171	174.2227
462.000000	74.149	174.7422
468.000000	74.128	175.1724
475.000000	74.104	175.6586
482.000000	74.080	176.1226
487.000000	74.062	176.4614
494.000000	74.036	176.9438
500.000000	74.017	177.3710
508.000000	73.997	177.9371
515.000000	73.978	178.3982
522.000000	73.954	178.8740
530.000000	73.929	179.4126
538.000000	73.911	179.9206
545.000000	73.897	-179.6313
552.000000	73.881	-179.1643
560.000000	73.861	-178.6286
570.000000	73.839	-177.9671
580.000000	73.824	-177.2998
590.000000	73.811	-176.6284
600.000000	73.799	-175.9060
608.000000	73.788	-175.3429
615.000000	73.778	-174.8640
622.000000	73.770	-174.3659
630.000000	73.761	-173.7766
640.000000	73.751	-173.0721
650.000000	73.750	-172.3640
660.000000	73.749	-171.6661
670.000000	73.744	-170.9745
680.000000	73.741	-170.2975
690.000000	73.744	-169.6301
700.000000	73.752	-168.9373
710.000000	73.762	-168.2484
720.000000	73.770	-167.5970
730.000000	73.779	-166.9415
740.000000	73.793	-166.2571
750.000000	73.808	-165.5645
762.000000	73.829	-164.7541
775.000000	73.855	-163.8996
788.000000	73.876	-163.0708
800.000000	73.906	-162.2630
812.000000	73.938	-161.4564
825.000000	73.977	-160.6178
838.000000	74.022	-159.8166
850.000000	74.065	-159.1074
862.000000	74.112	-158.3683
875.000000	74.169	-157.5277
885.000000	74.213	-156.9232
900.000000	74.282	-156.0729
912.000000	74.343	-155.3979
925.000000	74.410	-154.6968
938.000000	74.483	-154.0312
950.000000	74.554	-153.4409
962.000000	74.630	-152.8481
975.000000	74.713	-152.2491
988.000000	74.794	-151.7430
1000.000000	74.870	-151.2987
1015.000000	74.978	-150.6771
1030.000000	75.084	-150.0771
1044.000000	75.180	-149.5882
1060.000000	75.289	-149.0995
1075.000000	75.389	-148.7034
1090.000000	75.494	-148.3320
1106.000000	75.612	-147.9701
1120.000000	75.716	-147.7005
1138.000000	75.853	-147.3802
1150.000000	75.940	-147.1752
1172.000000	76.089	-146.8743
1180.000000	76.142	-146.7853
1206.000000	76.313	-146.5054
1220.000000	76.402	-146.3578
1241.000000	76.536	-146.1432
1250.000000	76.593	-146.0630
1265.000000	76.686	-145.9530
1280.000000	76.772	-145.8565
1315.000000	76.970	-145.6369
1320.000000	76.998	-145.6086
1340.000000	77.107	-145.4941
1360.000000	77.206	-145.3829
1380.000000	77.308	-145.2881
1400.000000	77.411	-145.1913
1430.000000	77.568	-145.0636
1450.000000	77.669	-144.9759
1475.000000	77.797	-144.8738
1500.000000	77.924	-144.8032
1525.000000	78.048	-144.7470
1550.000000	78.171	-144.6993
1575.000000	78.292	-144.6611
1600.000000	78.411	-144.6378
1625.000000	78.530	-144.6378
1650.000000	78.647	-144.6489
1675.000000	78.767	-144.6467
1700.000000	78.885	-144.6509
1725.000000	78.998	-144.6824
1750.000000	79.111	-144.7242
1775.000000	79.226	-144.7678
1800.000000	79.339	-144.8273
1825.000000	79.449	-144.9073
1850.000000	79.559	-145.0029
1875.000000	79.670	-145.1186
1900.000000	79.782	-145.2450
1925.000000	79.894	-145.3894
1950.000000	80.004	-145.5570
1975.000000	80.113	-145.7406
2000.000000	80.223	-145.9470
2030.000000	80.354	-146.2156
2060.000000	80.482	-146.5077
2090.000000	80.610	-146.8307
2120.000000	80.738	-147.1795
2140.000000	80.822	-147.4353
2180.000000	80.986	-148.0082
2200.000000	81.065	-148.3139
2240.000000	81.215	-148.9594
2270.000000	81.327	-149.4786
2300.000000	81.438	-150.0260
2330.000000	81.544	-150.5937
2360.000000	81.645	-151.1858
2400.000000	81.773	-152.0187
2430.000000	81.865	-152.6738
2470.000000	81.982	-153.5797
2500.000000	82.064	-154.2836
2540.000000	82.164	-155.2558
