* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 5:21:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_UC
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.849	-170.3540
20.600000	83.846	-170.5848
20.900000	83.839	-170.9905
21.200001	83.829	-171.3618
21.400000	83.820	-171.5959
21.799999	83.800	-172.0623
22.000000	83.789	-172.3023
22.400000	83.766	-172.7894
22.700001	83.750	-173.1619
23.000000	83.738	-173.5524
23.299999	83.730	-173.9744
23.600000	83.723	-174.4353
24.000000	83.714	-175.1039
24.299999	83.703	-175.6200
24.700001	83.681	-176.2779
25.000000	83.663	-176.7184
25.400000	83.643	-177.2254
25.799999	83.632	-177.6742
26.200001	83.631	-178.1155
26.500000	83.630	-178.4558
26.900000	83.624	-178.9086
27.200001	83.615	-179.2269
27.600000	83.602	-179.6079
28.000000	83.592	-179.9610
28.500000	83.585	179.5619
29.000000	83.570	179.0045
29.500000	83.538	178.4314
30.000000	83.496	177.9332
30.400000	83.466	177.5843
30.700001	83.448	177.3214
31.100000	83.427	176.9341
31.500000	83.403	176.5076
32.000000	83.364	175.9810
32.500000	83.323	175.5268
33.000000	83.293	175.1258
33.500000	83.277	174.7076
34.000000	83.263	174.2507
34.500000	83.242	173.8062
35.000000	83.220	173.4167
35.500000	83.203	173.0609
36.000000	83.190	172.6891
36.500000	83.174	172.2904
37.000000	83.150	171.8984
37.500000	83.122	171.5443
38.200001	83.082	171.1043
38.700001	83.058	170.7949
39.500000	83.027	170.2187
40.000000	83.003	169.7798
40.599998	82.959	169.2283
41.200001	82.899	168.7868
41.799999	82.846	168.5048
42.500000	82.812	168.2227
43.099998	82.791	167.9134
43.700001	82.761	167.6395
44.400002	82.737	167.4512
