* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 5:14:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.584	-168.9471
20.600000	83.641	-169.0857
20.900000	83.748	-169.4447
21.200001	83.823	-170.0647
21.400000	83.847	-170.5594
21.799999	83.840	-171.5415
22.000000	83.818	-171.9427
22.400000	83.766	-172.4848
22.700001	83.743	-172.7395
23.000000	83.743	-172.9991
23.299999	83.757	-173.3657
23.600000	83.772	-173.8601
24.000000	83.773	-174.6491
24.299999	83.757	-175.2267
24.700001	83.724	-175.8621
25.000000	83.704	-176.2321
25.400000	83.698	-176.6714
25.799999	83.709	-177.1853
26.200001	83.716	-177.8240
26.500000	83.707	-178.3356
26.900000	83.672	-178.9543
27.200001	83.638	-179.3130
27.600000	83.596	-179.6482
28.000000	83.574	-179.9154
28.500000	83.568	179.6602
29.000000	83.556	179.0715
29.500000	83.518	178.4551
30.000000	83.468	177.9695
30.400000	83.437	177.6675
30.700001	83.423	177.4430
31.100000	83.412	177.0872
31.500000	83.398	176.6592
32.000000	83.368	176.0983
32.500000	83.330	175.6113
33.000000	83.300	175.2058
33.500000	83.287	174.7964
34.000000	83.278	174.3215
34.500000	83.258	173.8193
35.000000	83.226	173.3747
35.500000	83.192	173.0387
36.000000	83.167	172.7886
36.500000	83.154	172.5638
37.000000	83.151	172.3079
37.500000	83.150	171.9943
38.200001	83.141	171.4478
38.700001	83.123	170.9938
39.500000	83.062	170.2683
40.000000	83.011	169.9000
40.599998	82.954	169.5547
41.200001	82.910	169.2094
41.799999	82.869	168.7879
42.500000	82.810	168.2751
43.099998	82.758	167.9076
43.700001	82.719	167.5739
44.400002	82.683	167.1549
45.000000	82.655	166.7791
45.500000	82.634	166.4721
46.200001	82.608	166.0482
46.799999	82.588	165.6855
47.500000	82.565	165.2548
48.200001	82.531	164.8345
48.700001	82.499	164.5968
49.400002	82.459	164.3840
50.000000	82.435	164.1945
50.799999	82.389	163.8008
51.500000	82.314	163.5357
52.200001	82.241	163.5041
53.000000	82.202	163.4787
53.799999	82.180	163.1511
54.500000	82.142	162.6921
55.200001	82.087	162.2767
56.000000	82.044	161.8865
57.000000	82.017	161.1154
58.000000	81.927	160.3207
59.000000	81.854	160.1095
60.000000	81.837	159.7139
60.799999	81.780	159.3392
61.500000	81.721	159.2811
62.200001	81.687	159.3329
63.000000	81.666	159.3003
64.000000	81.642	159.0568
65.000000	81.586	158.4933
66.000000	81.453	158.0303
67.000000	81.323	158.0529
68.000000	81.255	158.1124
69.000000	81.216	157.9492
70.000000	81.181	157.5952
71.000000	81.130	157.0997
72.000000	81.050	156.7076
73.000000	80.976	156.5249
74.000000	80.922	156.3640
75.000000	80.866	156.1722
76.199997	80.797	155.9786
77.500000	80.720	155.7150
78.800003	80.628	155.4642
80.000000	80.541	155.2699
81.199997	80.456	155.1347
82.500000	80.388	154.9732
83.800003	80.294	154.7045
85.000000	80.192	154.8946
86.199997	80.159	155.3158
87.500000	80.174	155.4326
88.500000	80.165	155.2321
90.000000	80.098	154.8871
91.199997	80.037	154.6491
92.500000	79.978	154.3514
93.800003	79.926	154.0676
95.000000	79.891	153.8551
96.199997	79.856	153.6567
97.500000	79.805	153.4991
98.800003	79.736	153.3671
100.000000	79.662	153.3334
101.500000	79.600	153.2116
103.000000	79.521	152.8950
104.400002	79.429	152.8698
106.000000	79.336	152.9526
107.500000	79.212	152.9124
109.000000	79.083	152.8459
110.599998	78.998	152.5085
112.000000	78.956	152.2336
113.800003	78.921	152.5887
115.000000	78.869	153.3602
117.199997	78.547	155.8141
118.000000	78.370	157.3119
120.599998	78.367	161.0800
122.000000	78.444	159.1376
124.099998	78.409	156.3789
125.000000	78.464	155.8016
126.500000	78.600	155.1865
128.000000	78.660	154.7654
131.500000	78.484	155.0369
132.000000	78.473	155.1272
134.000000	78.498	155.1862
136.000000	78.541	154.9199
138.000000	78.525	154.6273
140.000000	78.461	154.3208
143.000000	78.370	153.7108
145.000000	78.309	153.4303
147.500000	78.215	153.3384
150.000000	78.109	153.2917
152.500000	78.014	153.2066
155.000000	77.934	153.1949
157.500000	77.857	153.1982
160.000000	77.769	153.1495
162.500000	77.674	153.1484
165.000000	77.591	153.2235
167.500000	77.517	153.3215
170.000000	77.447	153.4240
172.500000	77.377	153.5191
175.000000	77.307	153.6182
177.500000	77.235	153.7278
180.000000	77.161	153.8050
182.500000	77.088	153.8654
185.000000	77.025	153.9649
187.500000	76.966	154.1162
190.000000	76.905	154.2690
192.500000	76.841	154.3716
195.000000	76.778	154.4752
197.500000	76.724	154.6382
200.000000	76.673	154.8036
203.000000	76.603	155.0161
206.000000	76.532	155.2532
209.000000	76.463	155.4542
212.000000	76.399	155.6213
214.000000	76.363	155.7431
218.000000	76.294	156.0509
220.000000	76.260	156.2144
224.000000	76.188	156.5214
227.000000	76.129	156.7556
230.000000	76.070	156.9586
233.000000	76.017	157.1352
236.000000	75.969	157.3286
240.000000	75.905	157.6009
243.000000	75.852	157.8235
247.000000	75.781	158.1400
250.000000	75.730	158.3894
254.000000	75.665	158.7531
258.000000	75.605	159.0813
262.000000	75.549	159.3802
265.000000	75.508	159.6155
269.000000	75.447	159.9029
272.000000	75.403	160.1330
276.000000	75.357	160.4798
280.000000	75.315	160.8159
285.000000	75.256	161.1982
290.000000	75.199	161.5891
295.000000	75.146	161.9557
300.000000	75.100	162.2843
304.000000	75.059	162.5689
307.000000	75.025	162.7880
311.000000	74.980	163.1155
315.000000	74.947	163.4698
320.000000	74.914	163.8685
325.000000	74.867	164.2303
330.000000	74.823	164.5939
335.000000	74.789	164.9562
340.000000	74.754	165.3167
345.000000	74.711	165.7021
350.000000	74.667	166.0661
355.000000	74.627	166.4200
360.000000	74.588	166.7601
365.000000	74.549	167.1489
370.000000	74.511	167.5843
375.000000	74.479	167.9667
382.000000	74.434	168.4659
387.000000	74.400	168.8511
395.000000	74.341	169.4595
400.000000	74.299	169.8087
406.000000	74.259	170.2432
412.000000	74.229	170.6818
418.000000	74.194	171.1091
425.000000	74.155	171.6377
