* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 5:50:59
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_OldBronze
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.235	-171.9923
20.600000	84.234	-172.2425
20.900000	84.229	-172.6866
21.200001	84.216	-173.1023
21.400000	84.204	-173.3659
21.799999	84.174	-173.8865
22.000000	84.156	-174.1503
22.400000	84.119	-174.6789
22.700001	84.091	-175.0759
23.000000	84.066	-175.4808
23.299999	84.045	-175.9020
23.600000	84.027	-176.3470
24.000000	84.007	-176.9843
24.299999	83.994	-177.4910
24.700001	83.972	-178.1838
25.000000	83.951	-178.6898
25.400000	83.918	-179.3068
25.799999	83.883	-179.8246
26.200001	83.854	179.7555
26.500000	83.837	179.4803
26.900000	83.818	179.1282
27.200001	83.802	178.8620
27.600000	83.773	178.5239
28.000000	83.735	178.2711
28.500000	83.688	178.1589
29.000000	83.675	178.2026
29.500000	83.707	178.1522
30.000000	83.757	177.7736
30.400000	83.782	177.2404
30.700001	83.781	176.7781
31.100000	83.759	176.1933
31.500000	83.724	175.7114
32.000000	83.687	175.2357
32.500000	83.666	174.7789
33.000000	83.654	174.2512
33.500000	83.640	173.6784
34.000000	83.621	173.1324
34.500000	83.602	172.6395
35.000000	83.586	172.1772
35.500000	83.570	171.7242
36.000000	83.552	171.2881
36.500000	83.531	170.8864
37.000000	83.508	170.5266
37.500000	83.487	170.2007
38.200001	83.462	169.7497
38.700001	83.447	169.3759
39.500000	83.406	168.6419
40.000000	83.360	168.1831
40.599998	83.293	167.7656
41.200001	83.239	167.5035
41.799999	83.211	167.2490
42.500000	83.191	166.8047
43.099998	83.162	166.3736
43.700001	83.127	166.0303
44.400002	83.101	165.6884
45.000000	83.085	165.2733
45.500000	83.053	164.8303
46.200001	82.962	164.3137
46.799999	82.871	164.1857
47.500000	82.809	164.2583
48.200001	82.798	164.1392
48.700001	82.791	163.8493
49.400002	82.759	163.3370
50.000000	82.721	162.9402
50.799999	82.682	162.4438
51.500000	82.657	161.9719
52.200001	82.631	161.4662
53.000000	82.587	160.8988
53.799999	82.523	160.5040
54.500000	82.470	160.3727
55.200001	82.437	160.3208
56.000000	82.414	160.1587
57.000000	82.358	159.7149
58.000000	82.255	159.3932
59.000000	82.200	159.1829
60.000000	82.158	158.2440
60.799999	82.033	157.4116
61.500000	81.905	157.1665
62.200001	81.831	157.2260
63.000000	81.814	157.1823
64.000000	81.800	156.7383
65.000000	81.730	156.3015
66.000000	81.644	156.1958
67.000000	81.567	156.1085
68.000000	81.461	156.0176
69.000000	81.355	156.0852
70.000000	81.277	156.1050
71.000000	81.217	155.9935
72.000000	81.163	155.7468
73.000000	81.095	155.5251
74.000000	81.027	155.5200
75.000000	80.973	155.6843
76.199997	80.938	156.0420
77.500000	80.941	156.2634
78.800003	80.931	156.1483
80.000000	80.905	155.9633
81.199997	80.896	155.6956
82.500000	80.880	155.1201
83.800003	80.817	154.5457
85.000000	80.739	154.2376
86.199997	80.663	154.0616
87.500000	80.578	153.9645
88.500000	80.529	153.9631
90.000000	80.491	153.7565
91.199997	80.452	153.4246
92.500000	80.394	153.1652
93.800003	80.348	153.0846
95.000000	80.320	152.9904
96.199997	80.283	152.8024
97.500000	80.211	152.5575
98.800003	80.110	152.4963
100.000000	80.034	152.6348
101.500000	79.987	152.7699
103.000000	79.952	152.6116
104.400002	79.891	152.4639
106.000000	79.832	152.4782
107.500000	79.807	152.4043
109.000000	79.780	152.1433
110.599998	79.737	151.8031
112.000000	79.688	151.4981
113.800003	79.607	151.1592
115.000000	79.544	151.0231
117.199997	79.439	150.9269
118.000000	79.407	150.8988
120.599998	79.309	150.7679
122.000000	79.255	150.7624
124.099998	79.181	150.8098
125.000000	79.149	150.8315
126.500000	79.096	150.8603
128.000000	79.044	150.8547
131.500000	78.938	150.8045
132.000000	78.926	150.7907
134.000000	78.879	150.7153
136.000000	78.831	150.6462
138.000000	78.787	150.5798
140.000000	78.743	150.4624
143.000000	78.659	150.2239
145.000000	78.591	150.0735
147.500000	78.505	149.8851
150.000000	78.410	149.7164
152.500000	78.317	149.6129
155.000000	78.231	149.5446
157.500000	78.153	149.5527
160.000000	78.084	149.5999
162.500000	78.005	149.6069
165.000000	77.923	149.6180
167.500000	77.848	149.6027
170.000000	77.774	149.6114
172.500000	77.701	149.6547
175.000000	77.624	149.7025
177.500000	77.547	149.7280
180.000000	77.468	149.7480
182.500000	77.394	149.7979
185.000000	77.325	149.8650
187.500000	77.254	149.9568
190.000000	77.182	150.0826
192.500000	77.112	150.2084
195.000000	77.045	150.3265
197.500000	76.982	150.4287
200.000000	76.922	150.5009
203.000000	76.851	150.5923
206.000000	76.782	150.7124
209.000000	76.717	150.8632
212.000000	76.650	151.0355
214.000000	76.605	151.1581
218.000000	76.512	151.3799
220.000000	76.468	151.4795
224.000000	76.387	151.6505
227.000000	76.325	151.8077
230.000000	76.263	152.0223
233.000000	76.201	152.2250
236.000000	76.137	152.4003
240.000000	76.063	152.6479
243.000000	76.016	152.8575
247.000000	75.944	153.1618
250.000000	75.881	153.3752
254.000000	75.806	153.6192
258.000000	75.748	153.8488
262.000000	75.683	154.1035
265.000000	75.627	154.2985
269.000000	75.556	154.5293
272.000000	75.511	154.6989
276.000000	75.454	154.9544
280.000000	75.398	155.2615
285.000000	75.328	155.6862
290.000000	75.257	156.0333
295.000000	75.193	156.3713
300.000000	75.127	156.6984
304.000000	75.079	156.9572
307.000000	75.043	157.1686
311.000000	74.994	157.4400
315.000000	74.955	157.7038
320.000000	74.912	158.0779
325.000000	74.862	158.4300
330.000000	74.810	158.7409
335.000000	74.755	159.0699
340.000000	74.699	159.4628
345.000000	74.650	159.8188
350.000000	74.605	160.1227
355.000000	74.563	160.4331
360.000000	74.523	160.7796
365.000000	74.481	161.1299
370.000000	74.436	161.4487
375.000000	74.389	161.7677
382.000000	74.320	162.2563
387.000000	74.269	162.5961
395.000000	74.203	163.1558
400.000000	74.160	163.5263
406.000000	74.109	163.9181
412.000000	74.066	164.2833
418.000000	74.023	164.6788
425.000000	73.975	165.1499
431.000000	73.933	165.5314
437.000000	73.896	165.9521
444.000000	73.859	166.4425
450.000000	73.829	166.8318
455.000000	73.800	167.1800
462.000000	73.762	167.6210
468.000000	73.737	167.9542
475.000000	73.706	168.3644
482.000000	73.668	168.8128
487.000000	73.640	169.1440
494.000000	73.602	169.6048
500.000000	73.575	169.9940
508.000000	73.543	170.5037
515.000000	73.514	170.9299
522.000000	73.487	171.3344
530.000000	73.464	171.8204
538.000000	73.439	172.3269
545.000000	73.412	172.7736
552.000000	73.388	173.2206
560.000000	73.358	173.7299
570.000000	73.322	174.3314
580.000000	73.286	174.9129
590.000000	73.258	175.5498
600.000000	73.234	176.1938
608.000000	73.216	176.7003
615.000000	73.203	177.1619
622.000000	73.192	177.6394
630.000000	73.180	178.1571
640.000000	73.161	178.7372
650.000000	73.141	179.3295
660.000000	73.127	179.9686
670.000000	73.115	-179.4462
680.000000	73.103	-178.8631
690.000000	73.092	-178.2132
700.000000	73.082	-177.5423
710.000000	73.075	-176.9076
720.000000	73.072	-176.2788
730.000000	73.066	-175.6854
740.000000	73.060	-175.1111
750.000000	73.057	-174.5051
762.000000	73.061	-173.7720
775.000000	73.072	-172.9569
788.000000	73.085	-172.1619
800.000000	73.096	-171.4466
812.000000	73.111	-170.7123
825.000000	73.136	-169.9364
838.000000	73.163	-169.1749
850.000000	73.191	-168.4937
862.000000	73.223	-167.8260
875.000000	73.259	-167.0955
885.000000	73.290	-166.5440
900.000000	73.344	-165.7562
912.000000	73.391	-165.1455
925.000000	73.441	-164.5173
938.000000	73.495	-163.9215
950.000000	73.552	-163.3817
962.000000	73.617	-162.8815
975.000000	73.691	-162.3580
988.000000	73.766	-161.8439
1000.000000	73.834	-161.4140
1015.000000	73.903	-160.8960
1030.000000	73.979	-160.4024
1044.000000	74.054	-159.9719
1060.000000	74.140	-159.5720
1075.000000	74.224	-159.2546
1090.000000	74.310	-158.9688
1106.000000	74.402	-158.6972
1120.000000	74.482	-158.4779
1138.000000	74.588	-158.2361
1150.000000	74.658	-158.1039
1172.000000	74.775	-157.8902
1180.000000	74.816	-157.8182
1206.000000	74.949	-157.6342
1220.000000	75.019	-157.5466
1241.000000	75.118	-157.4433
1250.000000	75.160	-157.3961
1265.000000	75.229	-157.3176
1280.000000	75.295	-157.2439
1315.000000	75.424	-157.1413
1320.000000	75.441	-157.1328
1340.000000	75.507	-157.1013
1360.000000	75.572	-157.0587
1380.000000	75.640	-156.9737
1400.000000	75.712	-156.9060
1430.000000	75.814	-156.8343
1450.000000	75.880	-156.7936
1475.000000	75.965	-156.7715
1500.000000	76.050	-156.7680
1525.000000	76.125	-156.8009
1550.000000	76.194	-156.8330
1575.000000	76.253	-156.8527
1600.000000	76.307	-156.8546
1625.000000	76.357	-156.8287
1650.000000	76.401	-156.7976
1675.000000	76.440	-156.7372
1700.000000	76.478	-156.6465
1725.000000	76.515	-156.5279
1750.000000	76.544	-156.3565
1775.000000	76.570	-156.1220
1800.000000	76.594	-155.8082
1825.000000	76.622	-155.4093
1850.000000	76.658	-154.9150
1875.000000	76.707	-154.2896
1900.000000	76.783	-153.5564
1925.000000	76.899	-152.8109
1950.000000	77.056	-152.1688
1975.000000	77.248	-151.7379
2000.000000	77.450	-151.6319
2030.000000	77.667	-151.9219
2060.000000	77.838	-152.4398
2090.000000	77.969	-152.9925
2120.000000	78.076	-153.4845
2140.000000	78.138	-153.7637
2180.000000	78.254	-154.2612
2200.000000	78.309	-154.4858
2240.000000	78.415	-154.8873
2270.000000	78.494	-155.1520
2300.000000	78.574	-155.4130
2330.000000	78.651	-155.6739
2360.000000	78.728	-155.9378
2400.000000	78.828	-156.2928
2430.000000	78.899	-156.5499
2470.000000	78.993	-156.8522
2500.000000	79.066	-157.0459
2540.000000	79.176	-157.2559
2580.000000	79.308	-157.4688
2620.000000	79.458	-157.7758
2650.000000	79.578	-158.1070
2690.000000	79.733	-158.7084
2720.000000	79.842	-159.2589
2760.000000	79.974	-160.0719
2800.000000	80.091	-160.9206
2850.000000	80.224	-161.9817
2900.000000	80.351	-163.0677
2950.000000	80.478	-164.2305
3000.000000	80.596	-165.5000
3040.000000	80.682	-166.5925
3070.000000	80.740	-167.4448
3110.000000	80.808	-168.6082
3150.000000	80.868	-169.8033
3200.000000	80.929	-171.3699
3250.000000	80.967	-173.0198
3300.000000	80.980	-174.7095
3350.000000	80.966	-176.3867
3400.000000	80.928	-178.0113
3450.000000	80.875	-179.5506
3500.000000	80.815	179.0191
3550.000000	80.749	177.6594
3600.000000	80.676	176.3246
3650.000000	80.592	175.0141
3700.000000	80.495	173.7533
3750.000000	80.386	172.5545
3820.000000	80.217	170.9919
3870.000000	80.077	169.9593
3950.000000	79.827	168.4586
4000.000000	79.660	167.6456
4060.000000	79.456	166.7892
4120.000000	79.250	166.0592
4180.000000	79.043	165.4563
4250.000000	78.796	164.8873
4310.000000	78.579	164.5054
4370.000000	78.356	164.2378
4440.000000	78.089	164.0796
4500.000000	77.866	164.0661
4550.000000	77.692	164.1305
4620.000000	77.463	164.2816
4680.000000	77.276	164.4297
4750.000000	77.058	164.6369
4820.000000	76.839	164.9286
4870.000000	76.685	165.1874
4940.000000	76.476	165.6151
5000.000000	76.302	166.0277
5080.000000	76.078	166.6526
5150.000000	75.896	167.2949
5220.000000	75.725	168.0181
5300.000000	75.545	168.9071
5380.000000	75.380	169.8333
5450.000000	75.250	170.6804
5520.000000	75.134	171.5427
5600.000000	75.017	172.5719
5700.000000	74.891	173.9214
5800.000000	74.782	175.2951
5900.000000	74.698	176.6774
6000.000000	74.645	178.0626
6080.000000	74.622	179.1833
6150.000000	74.614	-179.8260
6220.000000	74.619	-178.8264
6300.000000	74.641	-177.6787
6400.000000	74.697	-176.2334
6500.000000	74.794	-174.8169
6600.000000	74.938	-173.4449
6700.000000	75.124	-172.1473
6800.000000	75.360	-170.9782
6900.000000	75.665	-170.0077
7000.000000	76.042	-169.2911
7100.000000	76.477	-168.8877
7200.000000	76.962	-168.8949
7300.000000	77.493	-169.4296
7400.000000	78.061	-170.6317
7500.000000	78.652	-172.6318
7620.000000	79.362	-176.2740
7750.000000	80.044	178.0415
7880.000000	80.458	170.6247
8000.000000	80.529	162.7226
8120.000000	80.278	154.6121
8250.000000	79.666	146.6149
8380.000000	78.787	140.1904
8500.000000	77.839	135.8604
8620.000000	76.837	132.9899
8750.000000	75.750	131.2889
8850.000000	74.937	130.7562
9000.000000	73.792	130.9095
9120.000000	72.950	131.6971
9250.000000	72.113	133.0441
9380.000000	71.350	134.7481
9500.000000	70.703	136.5835
9620.000000	70.113	138.6383
9750.000000	69.535	141.0121
9880.000000	69.014	143.4573
10000.000000	68.578	145.8216
10150.000000	68.096	148.9275
10300.000000	67.680	152.0382
10440.000000	67.341	154.8974
10600.000000	67.007	158.2470
10750.000000	66.729	161.4328
10900.000000	66.493	164.5989
11060.000000	66.297	167.9310
11200.000000	66.172	170.8214
11380.000000	66.072	174.4921
11500.000000	66.041	176.8961
11720.000000	66.058	-178.8107
11800.000000	66.088	-177.2943
12060.000000	66.290	-172.6337
12200.000000	66.454	-170.3405
12410.000000	66.756	-167.2154
12500.000000	66.909	-166.0311
12650.000000	67.204	-164.3163
12800.000000	67.561	-162.9751
13150.000000	68.645	-162.0072
13200.000000	68.825	-162.1959
13400.000000	69.586	-164.0565
13600.000000	70.342	-168.0790
13800.000000	70.954	-174.5919
14000.000000	71.248	176.6754
14300.000000	70.834	162.0067
14500.000000	70.011	153.3970
14750.000000	68.543	145.6376
15000.000000	66.834	141.6304
15250.000000	65.137	140.9615
15500.000000	63.673	142.7469
15750.000000	62.570	145.9564
16000.000000	61.817	149.4797
16250.000000	61.348	152.2577
16500.000000	61.051	153.3846
16750.000000	60.661	151.5326
17000.000000	59.566	150.3183
17250.000000	58.274	159.3733
17500.000000	58.463	166.2504
17750.000000	58.538	164.9336
18000.000000	58.030	163.3855
18250.000000	57.279	163.8411
18500.000000	56.465	165.8918
18750.000000	55.664	169.0903
19000.000000	54.931	173.3014
19250.000000	54.291	178.2589
19500.000000	53.697	-176.5545
19750.000000	53.142	-171.4805
20000.000000	52.720	-167.7074
