* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 2 ¿ÀÈÄ 8:58:54
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Steel_AET07
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.571	-169.6333
20.600000	84.573	-169.8245
20.900000	84.576	-170.1582
21.200001	84.580	-170.4617
21.400000	84.583	-170.6634
21.799999	84.587	-171.1049
22.000000	84.587	-171.3540
22.400000	84.581	-171.8928
22.700001	84.572	-172.3140
23.000000	84.561	-172.7385
23.299999	84.548	-173.1592
23.600000	84.535	-173.5708
24.000000	84.520	-174.0977
24.299999	84.511	-174.4733
24.700001	84.505	-174.9537
25.000000	84.506	-175.3106
25.400000	84.510	-175.7999
25.799999	84.514	-176.3092
26.200001	84.512	-176.8169
26.500000	84.505	-177.1746
26.900000	84.494	-177.6031
27.200001	84.485	-177.8911
27.600000	84.476	-178.2526
28.000000	84.467	-178.6199
28.500000	84.452	-179.1044
29.000000	84.428	-179.5867
29.500000	84.398	179.9663
30.000000	84.371	179.5409
30.400000	84.352	179.1868
30.700001	84.339	178.9045
31.100000	84.319	178.5150
31.500000	84.297	178.1329
32.000000	84.270	177.6994
32.500000	84.251	177.3168
33.000000	84.245	176.9417
33.500000	84.247	176.5276
34.000000	84.249	176.0692
34.500000	84.242	175.6103
35.000000	84.229	175.1992
35.500000	84.215	174.8434
36.000000	84.204	174.5039
36.500000	84.192	174.1446
37.000000	84.171	173.7742
37.500000	84.140	173.4357
38.200001	84.096	173.0561
38.700001	84.073	172.8114
39.500000	84.048	172.3396
40.000000	84.032	171.9872
40.599998	84.011	171.5408
41.200001	83.988	171.0871
41.799999	83.963	170.6380
42.500000	83.929	170.1736
43.099998	83.903	169.8567
43.700001	83.887	169.5590
44.400002	83.869	169.1612
45.000000	83.842	168.8185
45.500000	83.815	168.5850
46.200001	83.785	168.2894
46.799999	83.764	167.9575
47.500000	83.722	167.4981
48.200001	83.666	167.1212
48.700001	83.634	166.9076
49.400002	83.604	166.5545
50.000000	83.579	166.1548
50.799999	83.527	165.6227
51.500000	83.479	165.2738
52.200001	83.440	165.0056
53.000000	83.408	164.7151
53.799999	83.378	164.4143
54.500000	83.349	164.1524
55.200001	83.318	163.8937
56.000000	83.277	163.5927
57.000000	83.218	163.2163
58.000000	83.151	162.8890
59.000000	83.095	162.6036
60.000000	83.051	162.2298
60.799999	83.010	161.8934
61.500000	82.973	161.6309
62.200001	82.941	161.3668
63.000000	82.901	161.0318
64.000000	82.838	160.6699
65.000000	82.779	160.4271
66.000000	82.733	160.1903
67.000000	82.692	159.8816
68.000000	82.640	159.5382
69.000000	82.584	159.2496
70.000000	82.533	159.0036
71.000000	82.485	158.7701
72.000000	82.441	158.5595
73.000000	82.400	158.3270
74.000000	82.350	158.0741
75.000000	82.292	157.8576
76.199997	82.223	157.6373
77.500000	82.153	157.3397
78.800003	82.075	157.0082
80.000000	82.009	156.7396
81.199997	81.951	156.4946
82.500000	81.902	156.2522
83.800003	81.853	155.9748
85.000000	81.798	155.7578
86.199997	81.736	155.5850
87.500000	81.667	155.4320
88.500000	81.615	155.3055
90.000000	81.539	155.0777
91.199997	81.482	154.8671
92.500000	81.419	154.5954
93.800003	81.346	154.3503
95.000000	81.277	154.2193
96.199997	81.221	154.1259
97.500000	81.167	153.9501
98.800003	81.104	153.7559
100.000000	81.046	153.6345
101.500000	80.983	153.5355
103.000000	80.929	153.4265
104.400002	80.874	153.2650
106.000000	80.792	153.0964
107.500000	80.710	152.9882
109.000000	80.632	152.8825
110.599998	80.553	152.7404
112.000000	80.487	152.6026
113.800003	80.405	152.4507
115.000000	80.353	152.3897
117.199997	80.263	152.3690
118.000000	80.233	152.3713
120.599998	80.126	152.2648
122.000000	80.050	152.1769
124.099998	79.927	152.1282
125.000000	79.876	152.1317
126.500000	79.794	152.1712
128.000000	79.715	152.2530
131.500000	79.531	152.5258
132.000000	79.504	152.5839
134.000000	79.402	152.8438
136.000000	79.306	153.1531
138.000000	79.223	153.5722
140.000000	79.166	154.0930
143.000000	79.144	154.9095
145.000000	79.164	155.3201
147.500000	79.201	155.4937
150.000000	79.224	155.2936
152.500000	79.218	154.8751
155.000000	79.183	154.4078
157.500000	79.121	154.0380
160.000000	79.045	153.8014
162.500000	78.960	153.6673
165.000000	78.874	153.5632
167.500000	78.786	153.4326
170.000000	78.695	153.3654
172.500000	78.613	153.3757
175.000000	78.537	153.4021
177.500000	78.461	153.4193
180.000000	78.387	153.4553
182.500000	78.318	153.5373
185.000000	78.252	153.6635
187.500000	78.182	153.8124
190.000000	78.108	154.0049
192.500000	78.044	154.1636
195.000000	77.985	154.2347
197.500000	77.924	154.2756
200.000000	77.859	154.3593
203.000000	77.781	154.5331
206.000000	77.708	154.7364
209.000000	77.639	154.9327
212.000000	77.576	155.0787
214.000000	77.534	155.1285
218.000000	77.445	155.2410
220.000000	77.400	155.3282
224.000000	77.312	155.6077
227.000000	77.251	155.8300
230.000000	77.182	156.0073
233.000000	77.109	156.1977
236.000000	77.041	156.4315
240.000000	76.960	156.7299
243.000000	76.905	156.9100
247.000000	76.834	157.1934
250.000000	76.777	157.4506
254.000000	76.698	157.7707
258.000000	76.628	158.1107
262.000000	76.573	158.4858
265.000000	76.533	158.7910
269.000000	76.480	159.2166
272.000000	76.445	159.5204
276.000000	76.398	159.8603
280.000000	76.353	160.1062
285.000000	76.299	160.3442
290.000000	76.237	160.6186
295.000000	76.171	160.9281
300.000000	76.107	161.2245
304.000000	76.052	161.4910
307.000000	76.012	161.7073
311.000000	75.962	161.9765
315.000000	75.913	162.2375
320.000000	75.851	162.5750
325.000000	75.789	162.9150
330.000000	75.728	163.2492
335.000000	75.674	163.6100
340.000000	75.626	163.9859
345.000000	75.578	164.3902
350.000000	75.530	164.7866
355.000000	75.477	165.1662
360.000000	75.425	165.5166
365.000000	75.378	165.8666
370.000000	75.333	166.2609
375.000000	75.294	166.6520
382.000000	75.234	167.1642
387.000000	75.191	167.5155
395.000000	75.124	168.1167
400.000000	75.084	168.4902
406.000000	75.042	168.9745
412.000000	75.007	169.4396
418.000000	74.966	169.9116
425.000000	74.913	170.4164
431.000000	74.876	170.8231
437.000000	74.841	171.2701
444.000000	74.796	171.8015
450.000000	74.764	172.2313
455.000000	74.743	172.5773
462.000000	74.708	173.0775
468.000000	74.670	173.5334
475.000000	74.629	174.0583
482.000000	74.602	174.5670
487.000000	74.582	174.9187
494.000000	74.549	175.3890
500.000000	74.519	175.8147
508.000000	74.483	176.4265
515.000000	74.455	176.9783
522.000000	74.430	177.5314
530.000000	74.397	178.1174
538.000000	74.370	178.6561
545.000000	74.353	179.1088
552.000000	74.335	179.5661
560.000000	74.312	-179.8918
570.000000	74.283	-179.1473
580.000000	74.257	-178.4435
590.000000	74.229	-177.7492
600.000000	74.203	-177.0297
608.000000	74.190	-176.4552
615.000000	74.179	-175.9607
622.000000	74.164	-175.4560
630.000000	74.151	-174.8530
640.000000	74.142	-174.1054
650.000000	74.133	-173.3558
660.000000	74.124	-172.6081
670.000000	74.124	-171.9011
680.000000	74.127	-171.1941
690.000000	74.125	-170.4810
700.000000	74.123	-169.7830
710.000000	74.128	-169.1083
720.000000	74.138	-168.4070
730.000000	74.152	-167.6955
740.000000	74.163	-166.9847
750.000000	74.176	-166.2638
762.000000	74.195	-165.3956
775.000000	74.215	-164.4975
788.000000	74.243	-163.6228
800.000000	74.278	-162.7852
812.000000	74.320	-161.9327
825.000000	74.365	-161.0312
838.000000	74.407	-160.1701
850.000000	74.456	-159.3893
862.000000	74.508	-158.6120
875.000000	74.566	-157.7718
885.000000	74.617	-157.1217
900.000000	74.703	-156.1812
912.000000	74.775	-155.4684
925.000000	74.850	-154.7079
938.000000	74.928	-153.9841
950.000000	75.005	-153.3571
962.000000	75.089	-152.7487
975.000000	75.181	-152.1046
988.000000	75.269	-151.4464
1000.000000	75.353	-150.8670
1015.000000	75.469	-150.3203
1030.000000	75.587	-149.8092
1044.000000	75.695	-149.3298
1060.000000	75.813	-148.8111
1075.000000	75.926	-148.3650
1090.000000	76.039	-147.9432
1106.000000	76.157	-147.5388
1120.000000	76.260	-147.2278
1138.000000	76.390	-146.8661
1150.000000	76.475	-146.6548
1172.000000	76.624	-146.3133
1180.000000	76.677	-146.1944
1206.000000	76.843	-145.8321
1220.000000	76.933	-145.6522
1241.000000	77.065	-145.3957
1250.000000	77.119	-145.2886
1265.000000	77.208	-145.1245
1280.000000	77.297	-144.9890
1315.000000	77.493	-144.6963
1320.000000	77.520	-144.6578
1340.000000	77.631	-144.5116
1360.000000	77.741	-144.3751
1380.000000	77.849	-144.2494
1400.000000	77.955	-144.1276
1430.000000	78.112	-143.9777
1450.000000	78.215	-143.8943
1475.000000	78.342	-143.8234
1500.000000	78.465	-143.7716
1525.000000	78.584	-143.7355
1550.000000	78.701	-143.7238
1575.000000	78.817	-143.7075
1600.000000	78.929	-143.7198
1625.000000	79.040	-143.7420
1650.000000	79.149	-143.7594
1675.000000	79.255	-143.7716
1700.000000	79.362	-143.7959
1725.000000	79.470	-143.8345
1750.000000	79.578	-143.8752
1775.000000	79.685	-143.9294
1800.000000	79.791	-143.9993
1825.000000	79.897	-144.0775
1850.000000	80.004	-144.1709
1875.000000	80.112	-144.2825
1900.000000	80.219	-144.4161
1925.000000	80.326	-144.5722
1950.000000	80.433	-144.7358
1975.000000	80.539	-144.9196
2000.000000	80.644	-145.1221
2030.000000	80.768	-145.3942
2060.000000	80.890	-145.7100
2090.000000	81.011	-146.0481
2120.000000	81.131	-146.4077
2140.000000	81.210	-146.6669
2180.000000	81.365	-147.2270
2200.000000	81.440	-147.5320
2240.000000	81.582	-148.1827
2270.000000	81.685	-148.6994
2300.000000	81.787	-149.2405
2330.000000	81.885	-149.8089
2360.000000	81.976	-150.3990
2400.000000	82.093	-151.2089
2430.000000	82.177	-151.8489
2470.000000	82.280	-152.7377
2500.000000	82.350	-153.4135
2540.000000	82.434	-154.3372
2580.000000	82.509	-155.2820
2620.000000	82.576	-156.2216
2650.000000	82.620	-156.9233
2690.000000	82.671	-157.8774
2720.000000	82.703	-158.6000
2760.000000	82.739	-159.5468
2800.000000	82.770	-160.4746
2850.000000	82.798	-161.6311
2900.000000	82.812	-162.7805
2950.000000	82.816	-163.8920
3000.000000	82.811	-164.9828
3040.000000	82.800	-165.8372
3070.000000	82.788	-166.4587
3110.000000	82.769	-167.2629
3150.000000	82.743	-168.0462
3200.000000	82.705	-168.9926
3250.000000	82.660	-169.8979
3300.000000	82.609	-170.7643
3350.000000	82.551	-171.5728
3400.000000	82.490	-172.3302
3450.000000	82.426	-173.0314
3500.000000	82.361	-173.6678
3550.000000	82.300	-174.2405
3600.000000	82.242	-174.7858
3650.000000	82.189	-175.3419
3700.000000	82.137	-175.9075
3750.000000	82.082	-176.4786
3820.000000	81.998	-177.2789
3870.000000	81.933	-177.8384
3950.000000	81.825	-178.6992
4000.000000	81.755	-179.2126
4060.000000	81.665	-179.8045
4120.000000	81.573	179.6346
4180.000000	81.478	179.1094
4250.000000	81.358	178.5391
4310.000000	81.251	178.0907
4370.000000	81.140	177.6875
4440.000000	81.010	177.2928
4500.000000	80.901	177.0301
4550.000000	80.813	176.8568
4620.000000	80.698	176.6505
4680.000000	80.606	176.4631
4750.000000	80.496	176.2146
4820.000000	80.378	175.9682
4870.000000	80.290	175.8206
4940.000000	80.163	175.6571
5000.000000	80.054	175.5679
5080.000000	79.911	175.5188
5150.000000	79.786	175.5307
5220.000000	79.661	175.5963
5300.000000	79.521	175.7406
5380.000000	79.385	175.9583
5450.000000	79.269	176.2096
5520.000000	79.156	176.5167
5600.000000	79.034	176.9392
5700.000000	78.897	177.5792
5800.000000	78.775	178.2869
5900.000000	78.671	179.0815
6000.000000	78.587	179.9674
6080.000000	78.535	-179.2747
6150.000000	78.503	-178.5905
6220.000000	78.483	-177.8915
6300.000000	78.477	-177.0679
6400.000000	78.494	-176.0128
6500.000000	78.541	-174.9452
6600.000000	78.624	-173.8958
6700.000000	78.747	-172.9331
6800.000000	78.911	-172.0728
6900.000000	79.119	-171.3396
7000.000000	79.371	-170.8331
7100.000000	79.667	-170.6236
7200.000000	79.999	-170.7641
7300.000000	80.361	-171.3195
7400.000000	80.747	-172.3464
7500.000000	81.151	-173.9301
7620.000000	81.646	-176.7348
7750.000000	82.146	178.8869
7880.000000	82.529	173.0148
8000.000000	82.704	166.4092
8120.000000	82.652	159.0242
8250.000000	82.299	150.6372
8380.000000	81.609	142.5017
8500.000000	80.665	136.0123
8620.000000	79.473	131.3346
8750.000000	78.032	128.8575
8850.000000	76.930	128.6530
9000.000000	75.432	130.3071
9120.000000	74.410	132.6654
9250.000000	73.462	135.7604
9380.000000	72.655	139.1400
9500.000000	72.010	142.3995
9620.000000	71.445	145.7670
9750.000000	70.909	149.4796
9880.000000	70.439	153.2011
10000.000000	70.063	156.6708
10150.000000	69.667	161.0465
10300.000000	69.332	165.4119
10440.000000	69.077	169.4780
10600.000000	68.855	174.1103
10750.000000	68.700	178.4261
10900.000000	68.602	-177.2664
11060.000000	68.565	-172.6939
11200.000000	68.587	-168.7574
11380.000000	68.687	-163.7662
11500.000000	68.804	-160.5055
11720.000000	69.124	-154.7140
11800.000000	69.273	-152.6733
12060.000000	69.905	-146.3574
12200.000000	70.343	-143.2324
12410.000000	71.138	-139.0423
12500.000000	71.532	-137.4790
12650.000000	72.255	-135.3024
12800.000000	73.069	-133.7651
13150.000000	75.296	-133.7173
13200.000000	75.639	-134.2635
13400.000000	76.996	-138.2651
13600.000000	78.177	-145.5040
13800.000000	78.956	-155.6821
14000.000000	79.182	-167.2458
14300.000000	78.566	177.3137
14500.000000	77.781	169.8446
14750.000000	76.696	163.4192
15000.000000	75.674	159.1054
15250.000000	74.766	155.8250
15500.000000	73.954	152.8339
15750.000000	73.198	149.6994
16000.000000	72.438	146.0706
16250.000000	71.592	141.6591
16500.000000	70.551	136.3237
16750.000000	69.129	130.2861
17000.000000	66.952	128.1684
17250.000000	64.288	140.5369
17500.000000	63.415	153.9152
17750.000000	63.173	157.8231
18000.000000	62.597	160.8682
18250.000000	61.995	165.1877
18500.000000	61.525	170.0651
18750.000000	61.211	174.8647
19000.000000	61.047	179.3452
19250.000000	61.009	-176.7396
19500.000000	61.058	-173.6041
19750.000000	61.155	-171.3922
20000.000000	61.229	-170.2421
