* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 2 ¿ÀÈÄ 8:14:17
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Steel_AET08
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.039	-169.8266
20.600000	84.047	-170.1078
20.900000	84.057	-170.6030
21.200001	84.049	-171.0479
21.400000	84.038	-171.3058
21.799999	84.011	-171.7676
22.000000	84.000	-171.9944
22.400000	83.983	-172.4866
22.700001	83.973	-172.9140
23.000000	83.959	-173.3874
23.299999	83.939	-173.8705
23.600000	83.917	-174.3282
24.000000	83.891	-174.8650
24.299999	83.881	-175.2232
24.700001	83.886	-175.7008
25.000000	83.901	-176.1090
25.400000	83.921	-176.7516
25.799999	83.928	-177.4635
26.200001	83.912	-178.1326
26.500000	83.890	-178.5346
26.900000	83.857	-178.8937
27.200001	83.841	-179.0493
27.600000	83.841	-179.1873
28.000000	83.863	-179.3739
28.500000	83.897	-179.8089
29.000000	83.905	179.5613
29.500000	83.872	178.9207
30.000000	83.812	178.4598
30.400000	83.767	178.2447
30.700001	83.744	178.1335
31.100000	83.729	177.9671
31.500000	83.728	177.7089
32.000000	83.728	177.2217
32.500000	83.714	176.6199
33.000000	83.683	176.0243
33.500000	83.646	175.5126
34.000000	83.615	175.0990
34.500000	83.602	174.7342
35.000000	83.608	174.3221
35.500000	83.620	173.7570
36.000000	83.613	173.0336
36.500000	83.566	172.3085
37.000000	83.487	171.8271
37.500000	83.412	171.6955
38.200001	83.382	171.7664
38.700001	83.409	171.6167
39.500000	83.429	170.8492
40.000000	83.399	170.3298
40.599998	83.346	169.9272
41.200001	83.313	169.7114
41.799999	83.313	169.4493
42.500000	83.322	168.8729
43.099998	83.299	168.2029
43.700001	83.235	167.6093
44.400002	83.140	167.2491
45.000000	83.083	167.1534
45.500000	83.059	167.0355
46.200001	83.028	166.6832
46.799999	82.983	166.3277
47.500000	82.926	166.0232
48.200001	82.890	165.7159
48.700001	82.867	165.3934
49.400002	82.817	164.8750
50.000000	82.761	164.5385
50.799999	82.705	164.2614
51.500000	82.677	163.9993
52.200001	82.649	163.6931
53.000000	82.614	163.3876
53.799999	82.581	163.0857
54.500000	82.539	162.8140
55.200001	82.487	162.6245
56.000000	82.434	162.5009
57.000000	82.388	162.2487
58.000000	82.334	161.7714
59.000000	82.256	161.2745
60.000000	82.186	160.9093
60.799999	82.146	160.6192
61.500000	82.113	160.3552
62.200001	82.078	160.1394
63.000000	82.040	160.0039
64.000000	82.013	159.9250
65.000000	81.997	159.6293
66.000000	81.926	159.1246
67.000000	81.808	158.8521
68.000000	81.719	158.7483
69.000000	81.661	158.4386
70.000000	81.603	158.0121
71.000000	81.554	157.5933
72.000000	81.497	157.1886
73.000000	81.422	157.0112
74.000000	81.356	157.0999
75.000000	81.313	157.1398
76.199997	81.241	156.8156
77.500000	81.110	156.2375
78.800003	80.983	155.7223
80.000000	80.933	155.2238
81.199997	80.907	154.6224
82.500000	80.852	154.4733
83.800003	80.819	155.1141
85.000000	80.837	155.8558
86.199997	80.843	156.0612
87.500000	80.757	155.7913
88.500000	80.665	155.5135
90.000000	80.573	154.8044
91.199997	80.501	154.0043
92.500000	80.414	153.7079
93.800003	80.388	154.0053
95.000000	80.406	154.3953
96.199997	80.417	154.4800
97.500000	80.351	154.2892
98.800003	80.241	154.0852
100.000000	80.141	153.8539
101.500000	80.043	153.5536
103.000000	79.981	153.2431
104.400002	79.922	153.0162
106.000000	79.842	152.9527
107.500000	79.753	152.9885
109.000000	79.666	153.0643
110.599998	79.594	152.9656
112.000000	79.534	152.7606
113.800003	79.468	152.5236
115.000000	79.416	152.4541
117.199997	79.302	152.9449
118.000000	79.273	153.2703
120.599998	79.219	153.5871
122.000000	79.119	153.2278
124.099998	78.944	152.9292
125.000000	78.886	152.8826
126.500000	78.816	152.9247
128.000000	78.762	153.0533
131.500000	78.618	153.6039
132.000000	78.604	153.6716
134.000000	78.562	153.7923
136.000000	78.531	153.9138
138.000000	78.502	154.1666
