* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 2 ¿ÀÈÄ 8:59:40
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Steek_AET08
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.544	-169.4968
20.600000	84.549	-169.7291
20.900000	84.556	-170.1406
21.200001	84.552	-170.5185
21.400000	84.544	-170.7423
21.799999	84.523	-171.1384
22.000000	84.513	-171.3220
22.400000	84.503	-171.6901
22.700001	84.503	-172.0078
23.000000	84.508	-172.3958
23.299999	84.512	-172.8562
23.600000	84.510	-173.3678
24.000000	84.495	-174.0732
24.299999	84.478	-174.5707
24.700001	84.452	-175.1520
25.000000	84.438	-175.5268
25.400000	84.430	-175.9779
25.799999	84.436	-176.4298
26.200001	84.448	-176.9235
26.500000	84.455	-177.3202
26.900000	84.455	-177.8541
27.200001	84.448	-178.2257
27.600000	84.434	-178.6475
28.000000	84.420	-178.9806
28.500000	84.414	-179.3370
29.000000	84.417	-179.7386
29.500000	84.413	179.7716
30.000000	84.393	179.2615
30.400000	84.367	178.9027
30.700001	84.348	178.6714
31.100000	84.327	178.3856
31.500000	84.314	178.0826
32.000000	84.298	177.6440
32.500000	84.276	177.1768
33.000000	84.251	176.7494
33.500000	84.233	176.3623
34.000000	84.224	175.9496
34.500000	84.214	175.4803
35.000000	84.195	175.0088
35.500000	84.172	174.6063
36.000000	84.155	174.2576
36.500000	84.145	173.8828
37.000000	84.129	173.4513
37.500000	84.098	173.0378
38.200001	84.046	172.6466
38.700001	84.024	172.4545
39.500000	84.014	171.9925
40.000000	83.999	171.5950
40.599998	83.966	171.1447
41.200001	83.934	170.7773
41.799999	83.914	170.4001
42.500000	83.889	169.8745
43.099998	83.856	169.4301
43.700001	83.821	169.0508
44.400002	83.782	168.6594
45.000000	83.749	168.3626
45.500000	83.724	168.1601
46.200001	83.702	167.8775
46.799999	83.683	167.5504
47.500000	83.640	167.1791
48.200001	83.599	166.9729
48.700001	83.588	166.8081
49.400002	83.571	166.3330
50.000000	83.514	165.8943
50.799999	83.428	165.7386
51.500000	83.421	165.6520
52.200001	83.421	165.0958
53.000000	83.335	164.3849
53.799999	83.240	164.2374
54.500000	83.221	164.1647
55.200001	83.217	163.7892
56.000000	83.179	163.2308
57.000000	83.106	162.7242
58.000000	83.048	162.4248
59.000000	83.020	162.0667
60.000000	82.974	161.5613
60.799999	82.922	161.2437
61.500000	82.879	161.0168
62.200001	82.837	160.7918
63.000000	82.788	160.5521
64.000000	82.730	160.2643
65.000000	82.671	159.9850
66.000000	82.619	159.7513
67.000000	82.579	159.4628
68.000000	82.527	159.0892
69.000000	82.456	158.7956
70.000000	82.387	158.6349
71.000000	82.331	158.4859
72.000000	82.278	158.2804
73.000000	82.222	158.0364
74.000000	82.163	157.7778
75.000000	82.103	157.5350
76.199997	82.036	157.2707
77.500000	81.966	157.0378
78.800003	81.907	156.8986
80.000000	81.863	156.7617
81.199997	81.818	156.5725
82.500000	81.758	156.2975
83.800003	81.683	156.0266
85.000000	81.612	155.8132
86.199997	81.546	155.6320
87.500000	81.488	155.4499
88.500000	81.445	155.2719
90.000000	81.368	155.0003
91.199997	81.299	154.8348
92.500000	81.221	154.6436
93.800003	81.130	154.4235
95.000000	81.035	154.2512
96.199997	80.935	154.1533
97.500000	80.833	154.0992
98.800003	80.733	154.0348
100.000000	80.632	153.9973
101.500000	80.495	154.1230
103.000000	80.369	154.5313
104.400002	80.280	155.1328
106.000000	80.210	156.0200
107.500000	80.192	157.0872
109.000000	80.263	158.1111
110.599998	80.418	158.5852
112.000000	80.548	158.3332
113.800003	80.640	157.5709
115.000000	80.653	157.0301
117.199997	80.591	156.1530
118.000000	80.545	155.8940
120.599998	80.418	155.3521
122.000000	80.391	154.8037
124.099998	80.321	153.9471
125.000000	80.287	153.7255
126.500000	80.233	153.5309
128.000000	80.178	153.4344
131.500000	80.012	153.1812
132.000000	79.988	153.1401
134.000000	79.901	152.9694
136.000000	79.823	152.8367
138.000000	79.749	152.7414
140.000000	79.669	152.6324
143.000000	79.546	152.4856
145.000000	79.469	152.4240
147.500000	79.367	152.4044
150.000000	79.273	152.4529
152.500000	79.189	152.4414
155.000000	79.110	152.4822
157.500000	79.032	152.5229
160.000000	78.943	152.5446
162.500000	78.860	152.5888
165.000000	78.785	152.6322
167.500000	78.703	152.7062
170.000000	78.619	152.8271
172.500000	78.546	152.9398
175.000000	78.477	153.0222
177.500000	78.399	153.1407
180.000000	78.319	153.2723
182.500000	78.245	153.3404
185.000000	78.180	153.3950
187.500000	78.120	153.5231
190.000000	78.060	153.7218
192.500000	78.001	153.8941
195.000000	77.940	153.9992
197.500000	77.877	154.0903
200.000000	77.817	154.1834
203.000000	77.744	154.2860
206.000000	77.669	154.4102
209.000000	77.595	154.5646
212.000000	77.522	154.7423
214.000000	77.474	154.8966
218.000000	77.386	155.2506
220.000000	77.345	155.4064
224.000000	77.270	155.6912
227.000000	77.216	155.9268
230.000000	77.157	156.1163
233.000000	77.100	156.2444
236.000000	77.048	156.3570
240.000000	76.977	156.6131
243.000000	76.922	156.8388
247.000000	76.845	157.1349
250.000000	76.787	157.3708
254.000000	76.712	157.6765
258.000000	76.640	157.9435
262.000000	76.567	158.1998
265.000000	76.519	158.4095
269.000000	76.465	158.7042
272.000000	76.424	158.9230
276.000000	76.366	159.2178
280.000000	76.303	159.5164
285.000000	76.220	159.8746
290.000000	76.144	160.2247
295.000000	76.074	160.6381
300.000000	76.016	161.0395
304.000000	75.971	161.3431
307.000000	75.934	161.5666
311.000000	75.879	161.8514
315.000000	75.826	162.1312
320.000000	75.768	162.4950
325.000000	75.713	162.9053
330.000000	75.654	163.2880
335.000000	75.598	163.6375
340.000000	75.547	164.0498
345.000000	75.500	164.4620
350.000000	75.451	164.8701
355.000000	75.397	165.2609
360.000000	75.349	165.6205
365.000000	75.305	166.0141
370.000000	75.263	166.4139
375.000000	75.221	166.7912
382.000000	75.162	167.3136
387.000000	75.115	167.7091
395.000000	75.047	168.3156
400.000000	75.013	168.6976
406.000000	74.976	169.1609
