* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 2 ¿ÀÈÄ 8:10:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Steel_AEX70
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.035	-170.2767
20.600000	84.030	-170.5200
20.900000	84.017	-170.9362
21.200001	83.998	-171.2832
21.400000	83.984	-171.4783
21.799999	83.957	-171.8250
22.000000	83.947	-171.9984
22.400000	83.938	-172.3827
22.700001	83.940	-172.7466
23.000000	83.946	-173.2121
23.299999	83.946	-173.7755
23.600000	83.936	-174.4003
24.000000	83.903	-175.2367
24.299999	83.868	-175.7896
24.700001	83.819	-176.3748
25.000000	83.793	-176.7159
25.400000	83.778	-177.1105
25.799999	83.779	-177.5174
26.200001	83.786	-177.9560
26.500000	83.789	-178.2798
26.900000	83.792	-178.6710
27.200001	83.797	-178.9342
27.600000	83.809	-179.2807
28.000000	83.822	-179.6736
28.500000	83.824	179.7618
29.000000	83.801	179.2140
29.500000	83.761	178.7744
30.000000	83.721	178.4259
30.400000	83.692	178.1623
30.700001	83.672	177.9611
31.100000	83.646	177.6934
31.500000	83.626	177.4240
32.000000	83.612	177.0350
32.500000	83.605	176.5083
33.000000	83.586	175.8572
33.500000	83.545	175.2223
34.000000	83.498	174.7426
34.500000	83.470	174.3936
35.000000	83.468	174.0280
35.500000	83.473	173.5445
36.000000	83.466	173.0038
36.500000	83.444	172.5381
37.000000	83.426	172.1972
37.500000	83.423	171.8944
38.200001	83.430	171.3206
38.700001	83.416	170.8069
39.500000	83.349	170.1312
40.000000	83.304	169.8925
40.599998	83.269	169.6767
41.200001	83.246	169.3719
41.799999	83.214	168.9855
42.500000	83.161	168.5935
43.099998	83.122	168.3383
43.700001	83.094	168.0543
44.400002	83.062	167.6293
45.000000	83.025	167.2349
45.500000	82.990	166.9109
46.200001	82.934	166.4727
46.799999	82.879	166.1584
47.500000	82.824	165.9001
48.200001	82.792	165.6276
48.700001	82.774	165.3467
49.400002	82.738	164.8887
50.000000	82.700	164.5356
50.799999	82.659	164.0805
51.500000	82.620	163.6086
52.200001	82.564	163.1738
53.000000	82.500	162.8506
53.799999	82.457	162.5538
54.500000	82.418	162.2164
55.200001	82.366	161.9254
56.000000	82.314	161.7264
57.000000	82.276	161.4250
58.000000	82.229	160.9871
59.000000	82.169	160.5866
60.000000	82.105	160.2145
60.799999	82.051	159.9685
61.500000	82.007	159.7831
62.200001	81.967	159.6039
63.000000	81.927	159.3859
64.000000	81.877	158.9915
65.000000	81.799	158.5612
66.000000	81.712	158.3048
67.000000	81.636	158.0551
68.000000	81.548	157.8715
69.000000	81.478	157.8266
70.000000	81.428	157.6930
71.000000	81.375	157.4777
72.000000	81.317	157.2099
73.000000	81.242	156.9302
74.000000	81.160	156.7813
75.000000	81.099	156.7608
76.199997	81.071	156.6080
77.500000	81.029	156.1403
78.800003	80.967	155.8390
80.000000	80.925	155.5208
81.199997	80.825	155.1563
82.500000	80.675	155.5178
83.800003	80.646	156.1177
85.000000	80.629	155.8778
86.199997	80.512	155.6103
87.500000	80.408	155.9108
88.500000	80.413	156.0602
90.000000	80.444	155.4814
91.199997	80.399	154.8389
92.500000	80.312	154.5555
93.800003	80.252	154.6032
95.000000	80.217	154.5295
96.199997	80.152	154.2805
97.500000	80.039	154.0407
98.800003	79.915	153.9658
100.000000	79.825	153.8832
101.500000	79.718	153.5825
103.000000	79.601	153.4442
104.400002	79.516	153.5274
106.000000	79.424	153.7899
107.500000	79.341	154.1954
109.000000	79.257	154.5187
110.599998	79.150	154.7592
112.000000	79.074	155.0392
113.800003	79.035	155.5726
115.000000	79.037	156.1740
117.199997	79.083	158.0677
118.000000	79.135	158.9571
120.599998	79.423	159.5489
122.000000	79.366	158.2374
124.099998	79.161	156.9375
125.000000	79.116	156.6010
126.500000	79.096	156.1736
128.000000	79.100	155.9004
131.500000	79.036	155.7422
132.000000	79.019	155.7052
134.000000	78.939	155.4180
136.000000	78.864	155.0400
138.000000	78.805	154.6562
140.000000	78.746	154.3483
143.000000	78.654	154.1778
145.000000	78.591	154.1648
147.500000	78.490	154.1387
150.000000	78.386	154.0438
152.500000	78.303	153.8888
155.000000	78.220	153.8603
157.500000	78.122	153.9211
160.000000	78.014	153.9860
162.500000	77.934	154.0369
165.000000	77.878	154.0286
167.500000	77.812	154.0715
170.000000	77.731	154.1885
172.500000	77.648	154.3002
175.000000	77.572	154.3831
177.500000	77.512	154.4625
180.000000	77.454	154.5200
182.500000	77.384	154.6202
185.000000	77.316	154.8052
187.500000	77.251	154.9804
190.000000	77.182	155.1106
192.500000	77.115	155.2193
195.000000	77.064	155.3450
197.500000	77.015	155.5094
200.000000	76.956	155.7272
203.000000	76.878	155.9586
206.000000	76.809	156.0956
209.000000	76.742	156.2168
212.000000	76.670	156.4181
214.000000	76.621	156.5791
218.000000	76.526	156.8697
220.000000	76.481	156.9815
224.000000	76.401	157.1836
227.000000	76.343	157.3806
230.000000	76.283	157.6875
233.000000	76.227	158.0061
236.000000	76.177	158.2190
240.000000	76.111	158.4386
243.000000	76.064	158.6949
247.000000	76.006	159.0383
250.000000	75.956	159.2532
254.000000	75.885	159.5141
258.000000	75.813	159.7861
262.000000	75.755	160.1518
265.000000	75.721	160.4292
