* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 2 ¿ÀÈÄ 8:05:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Steel_Crystal
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.015	-169.8987
20.600000	84.015	-170.2633
20.900000	84.009	-170.8786
21.200001	83.994	-171.3680
21.400000	83.981	-171.6301
21.799999	83.956	-172.0808
22.000000	83.947	-172.3032
22.400000	83.933	-172.7778
22.700001	83.923	-173.1704
23.000000	83.912	-173.5903
23.299999	83.898	-174.0158
23.600000	83.883	-174.4294
24.000000	83.866	-174.9483
24.299999	83.859	-175.3209
24.700001	83.859	-175.8253
25.000000	83.863	-176.2311
25.400000	83.868	-176.8167
25.799999	83.865	-177.4222
26.200001	83.851	-177.9866
26.500000	83.837	-178.3514
26.900000	83.820	-178.7529
27.200001	83.813	-179.0140
27.600000	83.813	-179.3635
28.000000	83.817	-179.7708
28.500000	83.812	179.6279
29.000000	83.786	179.0196
29.500000	83.745	178.5099
30.000000	83.709	178.0992
30.400000	83.691	177.7733
30.700001	83.681	177.4960
31.100000	83.666	177.0741
31.500000	83.645	176.6219
32.000000	83.611	176.0850
32.500000	83.577	175.6186
33.000000	83.555	175.1835
33.500000	83.540	174.7178
34.000000	83.523	174.2145
34.500000	83.497	173.7378
35.000000	83.470	173.3477
35.500000	83.451	173.0291
36.000000	83.446	172.6933
36.500000	83.442	172.2711
37.000000	83.422	171.7949
37.500000	83.386	171.3744
38.200001	83.333	170.9885
38.700001	83.313	170.7602
39.500000	83.295	170.1971
40.000000	83.267	169.7690
40.599998	83.219	169.3334
41.200001	83.173	169.0148
41.799999	83.136	168.7446
42.500000	83.105	168.4514
43.099998	83.090	168.1776
43.700001	83.078	167.7941
44.400002	83.045	167.2393
45.000000	83.001	166.7637
45.500000	82.958	166.3131
46.200001	82.851	165.5695
46.799999	82.688	165.2319
47.500000	82.515	165.7666
48.200001	82.520	166.6157
48.700001	82.608	166.6398
49.400002	82.682	165.7028
50.000000	82.639	164.7761
50.799999	82.535	164.1655
51.500000	82.488	163.9027
52.200001	82.466	163.5714
53.000000	82.445	163.1430
53.799999	82.421	162.6402
54.500000	82.382	162.1906
55.200001	82.334	161.8149
56.000000	82.277	161.4012
57.000000	82.187	160.9268
58.000000	82.105	160.5757
59.000000	82.035	160.1210
60.000000	81.947	159.7023
60.799999	81.886	159.4939
61.500000	81.846	159.3157
62.200001	81.810	159.0921
63.000000	81.762	158.8390
64.000000	81.706	158.5716
65.000000	81.653	158.1917
66.000000	81.574	157.7745
67.000000	81.490	157.4939
68.000000	81.414	157.2175
69.000000	81.325	157.0050
70.000000	81.241	157.0269
71.000000	81.190	157.1305
72.000000	81.147	157.0912
73.000000	81.082	157.0115
74.000000	81.013	157.0192
75.000000	80.961	156.9794
76.199997	80.904	156.8237
77.500000	80.864	156.6271
78.800003	80.844	156.3993
80.000000	80.849	156.2207
81.199997	80.865	155.7464
82.500000	80.777	154.9980
83.800003	80.623	154.9845
85.000000	80.569	155.1174
86.199997	80.515	154.7522
87.500000	80.417	154.5316
88.500000	80.367	154.4305
90.000000	80.258	154.2411
91.199997	80.177	154.4729
92.500000	80.148	154.5283
93.800003	80.106	154.1283
95.000000	80.026	153.5080
96.199997	79.867	152.9973
97.500000	79.674	153.2178
98.800003	79.558	153.6833
100.000000	79.450	153.9110
101.500000	79.256	154.5504
103.000000	79.123	155.7642
104.400002	79.058	156.7474
106.000000	79.017	157.9262
107.500000	79.033	158.6680
109.000000	79.044	159.0479
110.599998	79.172	159.3539
112.000000	79.407	158.6212
113.800003	79.601	156.9846
115.000000	79.662	156.5721
117.199997	79.693	157.3308
118.000000	79.690	158.0218
120.599998	79.799	158.3502
122.000000	79.645	156.6902
124.099998	79.329	154.9668
125.000000	79.253	154.4601
126.500000	79.185	153.8658
128.000000	79.144	153.5630
131.500000	78.998	153.3161
132.000000	78.973	153.2648
134.000000	78.873	153.0473
136.000000	78.787	152.9655
138.000000	78.703	153.0015
140.000000	78.614	153.0798
143.000000	78.522	153.0143
145.000000	78.465	152.8491
147.500000	78.354	152.8700
150.000000	78.234	153.0802
152.500000	78.132	153.0921
155.000000	78.045	153.0578
157.500000	77.958	153.0643
160.000000	77.860	153.1569
162.500000	77.773	153.2530
165.000000	77.696	153.3106
167.500000	77.616	153.4491
170.000000	77.535	153.6911
172.500000	77.451	153.9475
175.000000	77.368	154.2075
177.500000	77.296	154.5262
180.000000	77.243	154.8822
182.500000	77.200	155.1890
185.000000	77.160	155.4010
187.500000	77.120	155.5505
190.000000	77.083	155.6608
192.500000	77.045	155.7277
195.000000	77.002	155.7378
197.500000	76.952	155.7428
200.000000	76.900	155.8197
203.000000	76.836	155.9485
206.000000	76.759	156.0260
209.000000	76.674	156.0986
212.000000	76.615	156.2841
214.000000	76.588	156.4285
218.000000	76.518	156.6918
220.000000	76.475	156.7778
224.000000	76.394	156.9742
227.000000	76.333	157.1691
230.000000	76.260	157.3500
233.000000	76.190	157.5378
236.000000	76.133	157.7707
240.000000	76.067	158.0999
243.000000	76.019	158.3018
247.000000	75.956	158.5894
250.000000	75.908	158.8201
254.000000	75.838	159.1036
258.000000	75.769	159.3469
262.000000	75.709	159.5991
265.000000	75.660	159.8339
269.000000	75.588	160.1942
272.000000	75.539	160.4277
276.000000	75.483	160.7326
280.000000	75.430	161.0656
285.000000	75.364	161.4499
290.000000	75.306	161.8340
295.000000	75.240	162.1885
300.000000	75.159	162.5797
304.000000	75.102	162.9070
307.000000	75.071	163.1568
311.000000	75.035	163.5063
315.000000	74.996	163.8286
320.000000	74.948	164.2195
325.000000	74.898	164.6180
330.000000	74.849	165.0168
335.000000	74.805	165.3975
340.000000	74.757	165.7845
345.000000	74.708	166.1617
350.000000	74.672	166.5316
355.000000	74.628	166.9293
360.000000	74.582	167.3046
365.000000	74.540	167.6951
370.000000	74.505	168.0969
375.000000	74.468	168.4886
382.000000	74.414	168.9799
387.000000	74.377	169.2841
395.000000	74.320	169.8336
400.000000	74.290	170.2605
406.000000	74.257	170.7719
412.000000	74.222	171.2891
418.000000	74.180	171.8121
425.000000	74.127	172.2847
431.000000	74.096	172.6691
437.000000	74.078	173.0934
444.000000	74.050	173.6011
450.000000	74.018	174.0504
455.000000	73.990	174.4182
462.000000	73.954	174.9060
468.000000	73.931	175.3394
475.000000	73.901	175.8385
482.000000	73.872	176.3383
487.000000	73.850	176.6866
494.000000	73.823	177.1343
500.000000	73.800	177.5604
508.000000	73.779	178.1304
515.000000	73.760	178.6224
522.000000	73.738	179.1341
530.000000	73.713	179.7010
538.000000	73.694	-179.7584
545.000000	73.674	-179.3308
552.000000	73.656	-178.8838
560.000000	73.634	-178.2915
570.000000	73.608	-177.5918
580.000000	73.596	-176.9193
590.000000	73.567	-176.2630
600.000000	73.546	-175.6099
608.000000	73.538	-175.0502
615.000000	73.531	-174.5275
622.000000	73.524	-173.9996
630.000000	73.515	-173.3761
640.000000	73.505	-172.6283
650.000000	73.487	-171.9077
660.000000	73.485	-171.2089
670.000000	73.492	-170.5583
680.000000	73.492	-169.9082
690.000000	73.497	-169.2221
700.000000	73.499	-168.5094
710.000000	73.505	-167.7701
720.000000	73.522	-167.0453
730.000000	73.546	-166.3541
740.000000	73.563	-165.6676
750.000000	73.581	-164.9642
762.000000	73.606	-164.1495
775.000000	73.629	-163.3042
788.000000	73.665	-162.4234
800.000000	73.707	-161.6323
812.000000	73.741	-160.8315
825.000000	73.780	-159.9668
838.000000	73.828	-159.1142
850.000000	73.885	-158.3506
862.000000	73.943	-157.6149
875.000000	74.007	-156.8069
885.000000	74.061	-156.1704
900.000000	74.152	-155.2885
912.000000	74.224	-154.6020
925.000000	74.304	-153.8529
938.000000	74.388	-153.1354
950.000000	74.465	-152.5409
962.000000	74.541	-152.0101
975.000000	74.630	-151.4494
988.000000	74.726	-150.8874
1000.000000	74.814	-150.3633
1015.000000	74.933	-149.7461
1030.000000	75.053	-149.1877
1044.000000	75.157	-148.7247
1060.000000	75.269	-148.2773
1075.000000	75.384	-147.8844
1090.000000	75.503	-147.4971
1106.000000	75.626	-147.1014
1120.000000	75.723	-146.8207
1138.000000	75.844	-146.5423
1150.000000	75.929	-146.3553
1172.000000	76.081	-145.9845
1180.000000	76.134	-145.8612
1206.000000	76.299	-145.5567
1220.000000	76.383	-145.4428
1241.000000	76.513	-145.2702
1250.000000	76.568	-145.1953
1265.000000	76.657	-145.0616
