* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 2 ¿ÀÈÄ 8:51:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Steel_Ctystal
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.517	-168.9558
20.600000	84.526	-169.2211
20.900000	84.542	-169.6875
21.200001	84.548	-170.1105
21.400000	84.548	-170.3706
21.799999	84.545	-170.8840
22.000000	84.543	-171.1567
22.400000	84.537	-171.7529
22.700001	84.529	-172.2426
23.000000	84.515	-172.7500
23.299999	84.495	-173.2437
23.600000	84.474	-173.7025
24.000000	84.449	-174.2486
24.299999	84.438	-174.6241
24.700001	84.434	-175.1149
25.000000	84.437	-175.4940
25.400000	84.443	-176.0137
25.799999	84.447	-176.5235
26.200001	84.452	-176.9996
26.500000	84.456	-177.3356
26.900000	84.463	-177.7710
27.200001	84.467	-178.0991
27.600000	84.469	-178.5404
28.000000	84.463	-178.9698
28.500000	84.447	-179.4602
29.000000	84.427	-179.8982
29.500000	84.406	179.6825
30.000000	84.384	179.2534
30.400000	84.363	178.9063
30.700001	84.347	178.6509
31.100000	84.328	178.3194
31.500000	84.312	177.9879
32.000000	84.298	177.5436
32.500000	84.288	177.0451
33.000000	84.273	176.5148
33.500000	84.253	176.0042
34.000000	84.232	175.5486
34.500000	84.215	175.1388
35.000000	84.200	174.7495
35.500000	84.185	174.3777
36.000000	84.167	174.0411
36.500000	84.150	173.7404
37.000000	84.133	173.4492
37.500000	84.114	173.1488
38.200001	84.081	172.7316
38.700001	84.056	172.4375
39.500000	84.014	171.8899
40.000000	83.978	171.5101
40.599998	83.926	171.1139
41.200001	83.886	170.8021
41.799999	83.867	170.4452
42.500000	83.849	169.8691
43.099998	83.821	169.3516
43.700001	83.792	168.9056
44.400002	83.764	168.4236
45.000000	83.738	168.0263
45.500000	83.715	167.7507
46.200001	83.693	167.4205
46.799999	83.680	167.0811
47.500000	83.648	166.6288
48.200001	83.601	166.2670
48.700001	83.570	166.0595
49.400002	83.533	165.7260
50.000000	83.493	165.3953
50.799999	83.428	165.0213
51.500000	83.379	164.7773
52.200001	83.342	164.5359
53.000000	83.311	164.1982
53.799999	83.279	163.7777
54.500000	83.238	163.4178
55.200001	83.195	163.1545
56.000000	83.161	162.9020
57.000000	83.123	162.4371
58.000000	83.054	161.9679
59.000000	82.980	161.6891
60.000000	82.926	161.4590
60.799999	82.897	161.2144
61.500000	82.873	160.8754
62.200001	82.829	160.4510
63.000000	82.752	160.0883
64.000000	82.671	159.9237
65.000000	82.625	159.6714
66.000000	82.563	159.2928
67.000000	82.491	159.0144
68.000000	82.430	158.7706
69.000000	82.378	158.4890
70.000000	82.325	158.1179
71.000000	82.252	157.7696
72.000000	82.178	157.6062
73.000000	82.127	157.4897
74.000000	82.079	157.3076
75.000000	82.023	157.1042
76.199997	81.941	156.9166
77.500000	81.854	156.8274
78.800003	81.782	156.7563
80.000000	81.727	156.6564
81.199997	81.677	156.5330
82.500000	81.630	156.4045
83.800003	81.587	156.2281
85.000000	81.536	156.0506
86.199997	81.478	155.9185
87.500000	81.416	155.7739
88.500000	81.366	155.6271
90.000000	81.285	155.3275
91.199997	81.208	155.1100
92.500000	81.132	154.9500
93.800003	81.061	154.7622
95.000000	80.990	154.5893
96.199997	80.909	154.4222
97.500000	80.806	154.2966
98.800003	80.691	154.2490
100.000000	80.580	154.3314
101.500000	80.454	154.5793
103.000000	80.340	154.9914
104.400002	80.249	155.6210
106.000000	80.192	156.6020
107.500000	80.204	157.5178
109.000000	80.265	158.1360
110.599998	80.356	158.4310
112.000000	80.449	158.4281
113.800003	80.552	158.1126
115.000000	80.590	157.7602
117.199997	80.533	156.8762
118.000000	80.466	156.6238
120.599998	80.296	156.2588
122.000000	80.270	155.5849
124.099998	80.200	154.3364
125.000000	80.159	153.9414
126.500000	80.094	153.6219
128.000000	80.050	153.6558
131.500000	79.988	153.5462
132.000000	79.969	153.5182
134.000000	79.891	153.4285
136.000000	79.810	153.2522
138.000000	79.717	153.0833
140.000000	79.629	153.0057
143.000000	79.519	152.9473
145.000000	79.450	152.9078
147.500000	79.377	152.8564
150.000000	79.306	152.7244
152.500000	79.219	152.6930
155.000000	79.140	152.7585
157.500000	79.066	152.8041
160.000000	78.982	152.8242
162.500000	78.888	152.8198
165.000000	78.804	152.7481
167.500000	78.731	152.6876
170.000000	78.654	152.7562
172.500000	78.565	152.9057
175.000000	78.474	152.9999
177.500000	78.393	153.0309
180.000000	78.312	153.0900
182.500000	78.231	153.2168
185.000000	78.168	153.3160
187.500000	78.123	153.3817
190.000000	78.069	153.5149
192.500000	77.994	153.8348
195.000000	77.932	154.2516
197.500000	77.889	154.5228
200.000000	77.842	154.7044
203.000000	77.784	154.8736
206.000000	77.729	154.9439
209.000000	77.676	154.9600
212.000000	77.620	155.0238
214.000000	77.587	155.1000
218.000000	77.514	155.2564
220.000000	77.470	155.3267
224.000000	77.372	155.4301
227.000000	77.303	155.5409
230.000000	77.242	155.6993
233.000000	77.180	155.8952
236.000000	77.114	156.1167
240.000000	77.020	156.3842
243.000000	76.955	156.5516
247.000000	76.888	156.7766
250.000000	76.840	156.9612
254.000000	76.766	157.2399
258.000000	76.694	157.5031
262.000000	76.629	157.7359
265.000000	76.581	157.9295
269.000000	76.517	158.2265
272.000000	76.468	158.4571
276.000000	76.402	158.7540
280.000000	76.340	159.0101
285.000000	76.268	159.3415
290.000000	76.196	159.7084
295.000000	76.126	160.0710
300.000000	76.061	160.4778
304.000000	76.008	160.8111
307.000000	75.970	161.0283
311.000000	75.921	161.3044
315.000000	75.869	161.6130
320.000000	75.809	162.0029
