* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 2 ¿ÀÈÄ 8:48:46
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Steel_Final E
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.474	-169.8880
20.600000	84.476	-170.1801
20.900000	84.477	-170.6699
21.200001	84.470	-171.0513
21.400000	84.465	-171.2557
21.799999	84.460	-171.6315
22.000000	84.462	-171.8417
22.400000	84.469	-172.3525
22.700001	84.471	-172.8167
23.000000	84.464	-173.3243
23.299999	84.448	-173.8307
23.600000	84.428	-174.3050
24.000000	84.400	-174.8669
24.299999	84.384	-175.2494
24.700001	84.372	-175.7441
25.000000	84.367	-176.1195
25.400000	84.361	-176.6171
25.799999	84.353	-177.0769
26.200001	84.349	-177.4794
26.500000	84.350	-177.7563
26.900000	84.358	-178.1259
27.200001	84.365	-178.4224
27.600000	84.371	-178.8456
28.000000	84.369	-179.2747
28.500000	84.358	-179.7801
29.000000	84.341	179.7478
29.500000	84.318	179.2861
30.000000	84.289	178.8511
30.400000	84.265	178.5467
30.700001	84.250	178.3399
31.100000	84.240	178.0523
31.500000	84.237	177.6997
32.000000	84.229	177.1343
32.500000	84.203	176.5059
33.000000	84.160	175.9548
33.500000	84.118	175.5353
34.000000	84.091	175.1772
34.500000	84.077	174.7788
35.000000	84.061	174.3156
35.500000	84.036	173.8394
36.000000	84.002	173.4106
36.500000	83.966	173.0548
37.000000	83.934	172.7660
37.500000	83.912	172.5128
38.200001	83.898	172.1046
38.700001	83.891	171.7115
39.500000	83.853	171.0043
40.000000	83.817	170.6399
40.599998	83.781	170.3020
41.200001	83.759	169.9494
41.799999	83.737	169.5167
42.500000	83.692	169.0235
43.099998	83.651	168.7014
43.700001	83.619	168.4044
44.400002	83.583	167.9909
45.000000	83.541	167.6230
45.500000	83.501	167.3669
46.200001	83.456	167.0635
46.799999	83.428	166.7625
47.500000	83.393	166.3203
48.200001	83.346	165.9048
48.700001	83.316	165.6932
49.400002	83.301	165.4326
50.000000	83.306	165.0642
50.799999	83.284	164.3640
51.500000	83.224	163.8943
52.200001	83.171	163.6858
53.000000	83.139	163.4506
53.799999	83.097	163.0759
54.500000	83.043	162.8024
55.200001	82.992	162.5862
56.000000	82.939	162.2714
57.000000	82.856	161.8269
58.000000	82.774	161.4607
59.000000	82.708	161.0794
60.000000	82.640	160.6615
60.799999	82.581	160.3862
61.500000	82.532	160.2141
62.200001	82.489	160.0669
63.000000	82.440	159.8806
64.000000	82.366	159.6663
65.000000	82.285	159.5405
66.000000	82.204	159.4351
67.000000	82.114	159.3887
68.000000	82.038	159.4725
69.000000	81.990	159.4877
70.000000	81.939	159.3766
71.000000	81.879	159.3478
72.000000	81.833	159.4262
73.000000	81.808	159.5225
74.000000	81.798	159.5464
75.000000	81.788	159.5089
76.199997	81.784	159.4243
77.500000	81.773	159.1068
78.800003	81.731	158.7770
80.000000	81.681	158.4955
81.199997	81.622	158.4163
82.500000	81.617	158.2813
83.800003	81.585	157.7219
85.000000	81.522	157.2733
86.199997	81.450	156.8482
87.500000	81.371	156.4931
88.500000	81.319	156.2411
90.000000	81.258	155.9116
91.199997	81.213	155.5751
92.500000	81.136	155.3226
93.800003	81.057	155.3120
95.000000	80.988	155.3753
96.199997	80.921	155.5584
97.500000	80.876	155.7903
98.800003	80.844	155.9179
100.000000	80.821	155.9783
101.500000	80.789	155.9579
103.000000	80.757	155.9344
104.400002	80.754	155.8153
106.000000	80.758	155.3351
107.500000	80.731	154.7807
109.000000	80.680	154.4159
110.599998	80.619	154.2479
112.000000	80.568	154.1253
113.800003	80.508	153.7895
115.000000	80.471	153.4716
117.199997	80.452	153.0549
118.000000	80.472	152.9017
120.599998	80.419	152.0229
122.000000	80.275	152.1360
124.099998	80.103	152.6297
125.000000	80.043	152.6948
126.500000	79.955	152.6368
128.000000	79.883	152.5010
131.500000	79.748	152.3191
132.000000	79.728	152.3100
134.000000	79.647	152.2125
136.000000	79.555	152.0528
138.000000	79.475	151.9644
140.000000	79.410	151.9196
143.000000	79.302	151.9164
145.000000	79.224	151.9423
147.500000	79.129	152.0078
150.000000	79.042	152.0421
152.500000	78.955	152.0398
155.000000	78.876	152.0221
157.500000	78.802	152.0017
160.000000	78.722	152.0564
162.500000	78.641	152.1282
165.000000	78.551	152.1670
167.500000	78.465	152.2379
170.000000	78.389	152.3173
172.500000	78.314	152.4272
175.000000	78.244	152.5380
177.500000	78.175	152.6121
180.000000	78.099	152.7169
182.500000	78.022	152.8600
185.000000	77.949	152.9844
187.500000	77.884	153.0668
190.000000	77.823	153.1564
192.500000	77.761	153.2889
195.000000	77.696	153.4339
197.500000	77.631	153.5522
200.000000	77.566	153.6787
203.000000	77.493	153.8875
206.000000	77.420	154.1081
209.000000	77.348	154.3009
212.000000	77.281	154.4324
214.000000	77.237	154.5285
218.000000	77.152	154.7998
220.000000	77.110	154.9453
224.000000	77.016	155.2151
227.000000	76.949	155.4226
230.000000	76.889	155.6122
233.000000	76.825	155.8155
236.000000	76.762	156.0430
240.000000	76.687	156.3203
243.000000	76.634	156.5106
247.000000	76.565	156.7724
250.000000	76.510	156.9827
254.000000	76.442	157.3148
258.000000	76.382	157.6595
262.000000	76.311	157.9661
265.000000	76.254	158.1776
269.000000	76.192	158.4640
272.000000	76.154	158.6985
276.000000	76.098	159.0011
280.000000	76.031	159.2708
285.000000	75.953	159.6481
290.000000	75.880	160.0767
295.000000	75.820	160.4367
300.000000	75.758	160.8208
304.000000	75.701	161.1761
307.000000	75.658	161.4253
311.000000	75.608	161.7233
315.000000	75.564	162.0162
320.000000	75.504	162.3973
325.000000	75.445	162.7825
330.000000	75.387	163.1867
335.000000	75.339	163.5936
340.000000	75.286	164.0260
345.000000	75.226	164.4615
350.000000	75.172	164.8525
355.000000	75.127	165.1904
360.000000	75.082	165.5459
365.000000	75.033	165.9260
370.000000	74.987	166.3509
375.000000	74.948	166.8050
382.000000	74.901	167.3529
387.000000	74.858	167.6822
395.000000	74.784	168.2702
400.000000	74.746	168.6608
406.000000	74.708	169.1440
412.000000	74.672	169.6513
418.000000	74.635	170.1206
425.000000	74.584	170.6222
431.000000	74.546	171.0746
437.000000	74.516	171.5330
444.000000	74.482	172.0521
450.000000	74.449	172.4807
455.000000	74.422	172.8391
462.000000	74.385	173.3511
468.000000	74.353	173.8018
475.000000	74.313	174.3369
482.000000	74.278	174.8627
487.000000	74.255	175.2520
494.000000	74.223	175.8067
500.000000	74.197	176.2527
508.000000	74.162	176.8505
515.000000	74.136	177.3826
522.000000	74.114	177.8786
530.000000	74.085	178.4433
538.000000	74.056	179.0398
545.000000	74.032	179.5807
552.000000	74.014	-179.9175
560.000000	73.994	-179.3657
570.000000	73.970	-178.6510
580.000000	73.940	-177.9274
590.000000	73.918	-177.2177
600.000000	73.901	-176.5023
