* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 2 ¿ÀÈÄ 8:15:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Steel_Spiral Dots
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.102	-170.4337
20.600000	84.106	-170.6112
20.900000	84.115	-170.9338
21.200001	84.122	-171.2621
21.400000	84.124	-171.4971
21.799999	84.121	-172.0277
22.000000	84.114	-172.3220
22.400000	84.088	-172.9314
22.700001	84.061	-173.3714
23.000000	84.032	-173.7763
23.299999	84.006	-174.1511
23.600000	83.986	-174.5135
24.000000	83.969	-175.0084
24.299999	83.960	-175.3989
24.700001	83.950	-175.9272
25.000000	83.943	-176.3038
25.400000	83.941	-176.7612
25.799999	83.953	-177.1990
26.200001	83.977	-177.6949
26.500000	83.996	-178.1429
26.900000	84.009	-178.8364
27.200001	84.002	-179.3784
27.600000	83.967	179.9699
28.000000	83.916	179.4985
28.500000	83.859	179.1764
29.000000	83.836	178.9661
29.500000	83.840	178.6390
30.000000	83.842	178.1192
30.400000	83.828	177.6371
30.700001	83.809	177.2879
31.100000	83.780	176.8719
31.500000	83.754	176.5027
32.000000	83.729	176.0571
32.500000	83.711	175.6002
33.000000	83.696	175.1473
33.500000	83.688	174.6956
34.000000	83.684	174.1998
34.500000	83.672	173.6566
35.000000	83.644	173.1557
35.500000	83.609	172.7940
36.000000	83.587	172.5352
36.500000	83.579	172.2448
37.000000	83.566	171.8622
37.500000	83.533	171.4816
38.200001	83.480	171.1308
38.700001	83.458	170.9232
39.500000	83.427	170.3773
40.000000	83.389	170.0027
40.599998	83.339	169.6751
41.200001	83.308	169.3806
41.799999	83.286	168.9714
42.500000	83.244	168.4590
43.099998	83.211	168.1227
43.700001	83.196	167.7520
44.400002	83.175	167.1365
45.000000	83.126	166.6130
45.500000	83.078	166.3209
46.200001	83.031	166.0594
46.799999	83.011	165.7789
47.500000	82.980	165.3409
48.200001	82.934	164.9514
48.700001	82.903	164.7346
49.400002	82.871	164.4105
50.000000	82.838	164.0629
50.799999	82.772	163.6576
51.500000	82.715	163.4767
52.200001	82.682	163.3232
53.000000	82.654	163.0018
53.799999	82.612	162.6119
54.500000	82.569	162.3007
55.200001	82.527	161.9998
56.000000	82.478	161.6809
57.000000	82.428	161.3293
58.000000	82.387	160.8813
59.000000	82.321	160.3926
60.000000	82.240	160.0876
60.799999	82.190	159.9134
61.500000	82.152	159.6993
62.200001	82.106	159.4405
63.000000	82.047	159.1906
64.000000	81.987	158.9341
65.000000	81.941	158.5646
66.000000	81.880	158.1506
67.000000	81.811	157.8656
68.000000	81.749	157.6825
69.000000	81.692	157.5131
70.000000	81.633	157.3386
71.000000	81.576	157.1365
72.000000	81.519	156.8514
73.000000	81.459	156.4983
74.000000	81.393	156.1537
75.000000	81.328	155.9172
76.199997	81.272	155.7430
77.500000	81.210	155.5442
78.800003	81.117	155.4603
80.000000	81.023	155.5595
81.199997	80.955	155.6077
82.500000	80.893	155.3015
83.800003	80.811	154.8565
85.000000	80.746	154.6627
86.199997	80.736	154.6502
87.500000	80.779	154.3855
88.500000	80.766	153.8653
90.000000	80.628	153.5682
91.199997	80.534	153.7094
92.500000	80.448	153.6780
93.800003	80.359	153.4260
95.000000	80.249	153.1171
96.199997	80.141	153.1328
97.500000	80.090	153.2472
98.800003	80.061	153.1411
100.000000	80.011	152.9419
101.500000	79.915	152.7980
103.000000	79.815	152.7242
104.400002	79.730	152.5783
106.000000	79.651	152.3575
107.500000	79.608	152.0844
109.000000	79.551	151.8207
110.599998	79.457	151.9533
112.000000	79.379	152.2945
113.800003	79.284	152.3986
115.000000	79.206	152.0555
117.199997	79.038	150.9686
118.000000	78.981	150.5296
120.599998	78.688	150.4178
122.000000	78.588	151.7921
124.099998	78.554	153.7814
125.000000	78.537	154.4470
126.500000	78.506	155.3733
128.000000	78.509	156.1315
131.500000	78.699	156.9613
132.000000	78.727	156.9673
134.000000	78.806	156.7833
136.000000	78.816	156.2314
138.000000	78.766	155.4391
140.000000	78.685	154.7935
143.000000	78.606	154.4289
145.000000	78.568	154.2863
147.500000	78.490	154.0560
150.000000	78.375	153.8090
152.500000	78.288	153.7532
155.000000	78.224	153.7812
157.500000	78.142	153.8545
160.000000	78.035	153.8275
162.500000	77.947	153.7272
165.000000	77.887	153.7265
167.500000	77.824	153.8328
170.000000	77.736	153.8842
172.500000	77.640	153.9055
175.000000	77.556	154.0213
177.500000	77.480	154.1671
180.000000	77.404	154.2715
182.500000	77.346	154.3553
185.000000	77.300	154.4310
187.500000	77.247	154.5937
190.000000	77.181	154.7632
192.500000	77.101	154.9121
195.000000	77.021	155.1114
197.500000	76.955	155.3684
200.000000	76.895	155.5896
203.000000	76.818	155.7930
206.000000	76.755	156.0085
209.000000	76.701	156.2587
212.000000	76.645	156.4774
214.000000	76.603	156.5567
218.000000	76.518	156.7473
220.000000	76.480	156.8990
224.000000	76.408	157.2470
227.000000	76.357	157.5048
230.000000	76.300	157.6956
233.000000	76.237	157.8320
236.000000	76.180	157.9677
240.000000	76.107	158.2572
243.000000	76.047	158.5606
247.000000	75.976	158.9529
250.000000	75.931	159.1609
254.000000	75.868	159.3877
258.000000	75.805	159.6924
262.000000	75.743	160.0110
265.000000	75.701	160.2459
269.000000	75.650	160.6029
272.000000	75.606	160.8810
276.000000	75.545	161.2416
280.000000	75.487	161.6233
285.000000	75.423	162.0572
290.000000	75.376	162.4388
295.000000	75.341	162.7979
300.000000	75.296	163.1605
304.000000	75.242	163.4625
307.000000	75.201	163.6803
311.000000	75.156	163.9663
315.000000	75.114	164.2598
320.000000	75.061	164.6323
325.000000	75.011	165.0322
330.000000	74.964	165.4647
335.000000	74.912	165.8412
340.000000	74.857	166.2140
345.000000	74.810	166.5729
350.000000	74.766	166.8908
355.000000	74.720	167.2302
360.000000	74.676	167.6193
365.000000	74.639	168.0900
370.000000	74.603	168.5102
375.000000	74.562	168.8780
382.000000	74.507	169.4254
387.000000	74.466	169.8212
395.000000	74.421	170.4191
400.000000	74.396	170.7911
406.000000	74.369	171.2457
412.000000	74.329	171.6743
418.000000	74.289	172.1030
425.000000	74.256	172.6384
431.000000	74.224	173.1218
437.000000	74.189	173.5957
444.000000	74.157	174.0884
450.000000	74.132	174.4903
455.000000	74.111	174.8438
462.000000	74.079	175.3969
468.000000	74.054	175.8585
475.000000	74.030	176.3464
482.000000	74.002	176.8530
487.000000	73.979	177.2191
494.000000	73.954	177.7264
500.000000	73.932	178.1460
508.000000	73.893	178.7003
515.000000	73.865	179.1888
522.000000	73.850	179.6656
530.000000	73.836	-179.7757
538.000000	73.814	-179.2623
545.000000	73.799	-178.8126
552.000000	73.783	-178.3228
560.000000	73.762	-177.7502
570.000000	73.747	-177.0990
580.000000	73.726	-176.3462
590.000000	73.698	-175.6102
600.000000	73.681	-174.9122
608.000000	73.663	-174.3300
615.000000	73.653	-173.7993
622.000000	73.652	-173.2711
630.000000	73.649	-172.6885
640.000000	73.642	-172.0125
650.000000	73.645	-171.3552
660.000000	73.649	-170.6742
670.000000	73.646	-169.9431
680.000000	73.647	-169.1797
690.000000	73.647	-168.4894
700.000000	73.649	-167.8142
710.000000	73.661	-167.1114
720.000000	73.678	-166.3997
730.000000	73.691	-165.6819
740.000000	73.708	-165.0186
750.000000	73.732	-164.3644
762.000000	73.754	-163.5005
775.000000	73.777	-162.5705
788.000000	73.812	-161.7191
800.000000	73.853	-160.9336
812.000000	73.891	-160.1288
825.000000	73.940	-159.2355
838.000000	74.002	-158.3832
850.000000	74.061	-157.6263
862.000000	74.112	-156.9234
875.000000	74.168	-156.1257
885.000000	74.219	-155.5157
900.000000	74.306	-154.6245
912.000000	74.381	-153.9287
925.000000	74.465	-153.2201
938.000000	74.553	-152.5395
950.000000	74.632	-151.9216
962.000000	74.717	-151.3099
975.000000	74.813	-150.7057
988.000000	74.914	-150.1716
1000.000000	75.012	-149.6828
1015.000000	75.120	-149.0326
1030.000000	75.227	-148.4369
1044.000000	75.329	-147.9946
1060.000000	75.447	-147.5365
1075.000000	75.562	-147.1272
1090.000000	75.674	-146.7360
1106.000000	75.790	-146.3539
1120.000000	75.896	-146.0704
1138.000000	76.031	-145.7430
1150.000000	76.116	-145.5449
1172.000000	76.269	-145.1994
1180.000000	76.324	-145.0918
1206.000000	76.495	-144.8143
1220.000000	76.578	-144.6649
1241.000000	76.703	-144.4507
1250.000000	76.759	-144.3639
