* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 2 ¿ÀÈÄ 9:01:27
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Steel_Spiral
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.553	-169.4118
20.600000	84.562	-169.6278
20.900000	84.577	-170.0122
21.200001	84.581	-170.3731
21.400000	84.579	-170.5998
21.799999	84.569	-171.0472
22.000000	84.562	-171.2792
22.400000	84.548	-171.7722
22.700001	84.535	-172.1735
23.000000	84.520	-172.6002
23.299999	84.503	-173.0370
23.600000	84.484	-173.4680
24.000000	84.459	-174.0133
24.299999	84.444	-174.3963
24.700001	84.433	-174.8862
25.000000	84.433	-175.2558
25.400000	84.439	-175.7726
25.799999	84.447	-176.3224
26.200001	84.452	-176.8873
26.500000	84.451	-177.2990
26.900000	84.443	-177.8028
27.200001	84.436	-178.1311
27.600000	84.426	-178.4970
28.000000	84.424	-178.8018
28.500000	84.433	-179.1690
29.000000	84.449	-179.6144
29.500000	84.457	179.8311
30.000000	84.444	179.2364
30.400000	84.419	178.8051
30.700001	84.398	178.5283
31.100000	84.372	178.2067
31.500000	84.353	177.8962
32.000000	84.334	177.4620
32.500000	84.308	176.9836
33.000000	84.274	176.5421
33.500000	84.241	176.1833
34.000000	84.221	175.8568
34.500000	84.211	175.4794
35.000000	84.198	175.0389
35.500000	84.176	174.5948
36.000000	84.150	174.1934
36.500000	84.126	173.8252
37.000000	84.103	173.4733
37.500000	84.082	173.1542
38.200001	84.070	172.7526
38.700001	84.080	172.3890
39.500000	84.083	171.5025
40.000000	84.050	170.9111
40.599998	83.985	170.4240
41.200001	83.934	170.2096
41.799999	83.916	170.0521
42.500000	83.908	169.7290
43.099998	83.888	169.3877
43.700001	83.855	169.0859
44.400002	83.812	168.7817
45.000000	83.772	168.5191
45.500000	83.735	168.2909
46.200001	83.680	167.9588
46.799999	83.630	167.6538
47.500000	83.569	167.2803
48.200001	83.510	166.9363
48.700001	83.477	166.7209
49.400002	83.455	166.3960
50.000000	83.450	166.0063
50.799999	83.435	165.3355
51.500000	83.398	164.7935
52.200001	83.355	164.4317
53.000000	83.317	164.1809
53.799999	83.291	163.9637
54.500000	83.267	163.7615
55.200001	83.240	163.5483
56.000000	83.203	163.2799
57.000000	83.152	162.8759
58.000000	83.092	162.4016
59.000000	83.027	161.9489
60.000000	82.974	161.5564
60.799999	82.941	161.2321
61.500000	82.910	160.9541
62.200001	82.876	160.7243
63.000000	82.840	160.5085
64.000000	82.794	160.2294
65.000000	82.734	159.9402
66.000000	82.665	159.6629
67.000000	82.594	159.3760
68.000000	82.525	159.0842
69.000000	82.464	158.7935
70.000000	82.414	158.4953
71.000000	82.367	158.2137
72.000000	82.320	157.9961
73.000000	82.273	157.8570
74.000000	82.225	157.7733
75.000000	82.179	157.7246
76.199997	82.129	157.5889
77.500000	82.061	157.2944
78.800003	81.988	156.9879
80.000000	81.925	156.6326
81.199997	81.855	156.3301
82.500000	81.798	156.1277
83.800003	81.756	155.8692
85.000000	81.707	155.5874
86.199997	81.646	155.3160
87.500000	81.568	155.0751
88.500000	81.509	154.9482
90.000000	81.436	154.7324
91.199997	81.377	154.4994
92.500000	81.310	154.2764
93.800003	81.245	154.0917
95.000000	81.188	153.9282
96.199997	81.131	153.7468
97.500000	81.063	153.5535
98.800003	80.994	153.3767
100.000000	80.927	153.2311
101.500000	80.848	153.0887
103.000000	80.772	152.9204
104.400002	80.690	152.7828
106.000000	80.597	152.6859
107.500000	80.511	152.5796
109.000000	80.427	152.4836
110.599998	80.342	152.3709
112.000000	80.263	152.2968
113.800003	80.151	152.2989
115.000000	80.066	152.3522
117.199997	79.877	152.5181
118.000000	79.799	152.6376
120.599998	79.596	153.2930
122.000000	79.524	153.5546
124.099998	79.415	154.1806
125.000000	79.380	154.6184
126.500000	79.355	155.5127
128.000000	79.381	156.4401
131.500000	79.603	157.5494
132.000000	79.641	157.5262
134.000000	79.761	157.0195
136.000000	79.804	156.2303
138.000000	79.794	155.4979
140.000000	79.753	154.8629
143.000000	79.651	154.1294
145.000000	79.567	153.8420
147.500000	79.471	153.5906
150.000000	79.375	153.3688
152.500000	79.277	153.2260
155.000000	79.179	153.0961
157.500000	79.085	152.9612
160.000000	78.993	152.9068
162.500000	78.906	152.9369
165.000000	78.821	152.9386
167.500000	78.738	152.8881
170.000000	78.658	152.8764
172.500000	78.572	152.9342
175.000000	78.474	153.0695
177.500000	78.386	153.2629
180.000000	78.318	153.4291
182.500000	78.256	153.5344
185.000000	78.187	153.6466
187.500000	78.124	153.7786
190.000000	78.070	153.8826
192.500000	78.018	153.9828
195.000000	77.964	154.0922
197.500000	77.907	154.2114
200.000000	77.846	154.3158
203.000000	77.768	154.4296
206.000000	77.695	154.5440
209.000000	77.626	154.6371
212.000000	77.557	154.7903
214.000000	77.515	154.9271
218.000000	77.432	155.2135
220.000000	77.385	155.3517
224.000000	77.294	155.5587
227.000000	77.230	155.7216
230.000000	77.171	155.9457
233.000000	77.111	156.1315
236.000000	77.052	156.2819
240.000000	76.980	156.5446
243.000000	76.924	156.7589
247.000000	76.849	157.0047
250.000000	76.792	157.1972
254.000000	76.719	157.4739
258.000000	76.655	157.7489
262.000000	76.592	158.0229
265.000000	76.543	158.2280
269.000000	76.479	158.5240
272.000000	76.429	158.7612
276.000000	76.362	159.0570
280.000000	76.300	159.3319
285.000000	76.224	159.6937
290.000000	76.157	160.0397
295.000000	76.097	160.4211
300.000000	76.030	160.7872
304.000000	75.971	161.0662
307.000000	75.933	161.2826
