* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 2 ¿ÀÈÄ 8:07:46
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Steel_UC
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.981	-170.3190
20.600000	84.002	-170.4547
20.900000	84.042	-170.7361
21.200001	84.070	-171.1034
21.400000	84.079	-171.3794
21.799999	84.076	-171.9540
22.000000	84.067	-172.2285
22.400000	84.043	-172.7234
22.700001	84.026	-173.0637
23.000000	84.014	-173.4095
23.299999	84.006	-173.7834
23.600000	83.999	-174.1913
24.000000	83.988	-174.7787
24.299999	83.979	-175.2348
24.700001	83.964	-175.8446
25.000000	83.952	-176.2952
25.400000	83.935	-176.8808
25.799999	83.918	-177.4389
26.200001	83.900	-177.9590
26.500000	83.888	-178.3236
26.900000	83.874	-178.7834
27.200001	83.864	-179.1160
27.600000	83.851	-179.5477
28.000000	83.835	-179.9579
28.500000	83.815	179.5760
29.000000	83.798	179.1493
29.500000	83.787	178.7122
30.000000	83.776	178.2284
30.400000	83.761	177.8240
30.700001	83.748	177.5296
31.100000	83.730	177.1621
31.500000	83.717	176.8090
32.000000	83.708	176.3334
32.500000	83.699	175.7790
33.000000	83.679	175.1901
33.500000	83.646	174.6633
34.000000	83.613	174.2508
34.500000	83.594	173.9022
35.000000	83.586	173.5261
35.500000	83.578	173.0781
36.000000	83.557	172.5997
36.500000	83.521	172.1679
37.000000	83.479	171.8354
37.500000	83.440	171.5966
38.200001	83.403	171.3198
38.700001	83.388	171.0801
39.500000	83.370	170.5398
40.000000	83.352	170.1179
40.599998	83.322	169.5596
41.200001	83.277	168.9893
41.799999	83.219	168.4892
42.500000	83.153	168.0940
43.099998	83.120	167.8621
43.700001	83.112	167.5556
44.400002	83.098	167.0151
45.000000	83.060	166.5406
45.500000	83.018	166.2712
46.200001	82.972	166.0681
46.799999	82.955	165.8720
47.500000	82.928	165.4926
48.200001	82.874	165.1281
48.700001	82.831	164.9800
49.400002	82.792	164.8482
50.000000	82.777	164.6310
50.799999	82.749	164.1362
51.500000	82.705	163.6838
52.200001	82.659	163.3011
53.000000	82.615	162.8475
53.799999	82.561	162.3468
54.500000	82.499	162.0065
55.200001	82.442	161.8217
56.000000	82.398	161.6738
57.000000	82.354	161.3978
58.000000	82.299	161.0657
59.000000	82.232	160.7153
60.000000	82.158	160.4202
60.799999	82.111	160.1916
61.500000	82.075	159.9125
62.200001	82.035	159.5857
63.000000	81.985	159.2468
64.000000	81.932	158.8773
65.000000	81.883	158.5206
66.000000	81.830	158.2219
67.000000	81.774	157.9853
68.000000	81.710	157.8166
69.000000	81.648	157.6899
70.000000	81.590	157.5087
71.000000	81.528	157.2197
72.000000	81.455	156.8853
73.000000	81.381	156.6529
74.000000	81.334	156.4937
75.000000	81.306	156.2470
76.199997	81.255	155.8971
77.500000	81.171	155.7071
78.800003	81.079	155.7453
80.000000	81.002	155.7783
81.199997	80.910	155.7755
82.500000	80.850	155.8362
83.800003	80.817	155.4034
85.000000	80.749	154.9621
86.199997	80.696	154.6959
87.500000	80.657	154.3993
88.500000	80.622	154.1629
90.000000	80.552	153.9549
91.199997	80.495	153.8384
92.500000	80.408	153.7079
93.800003	80.297	153.7046
95.000000	80.196	153.8047
96.199997	80.122	153.8145
97.500000	80.047	153.5212
98.800003	79.966	153.1903
100.000000	79.910	152.9274
101.500000	79.852	152.7118
103.000000	79.790	152.7397
104.400002	79.723	152.8967
106.000000	79.625	152.9992
107.500000	79.520	152.8801
109.000000	79.414	152.6127
110.599998	79.324	152.4901
112.000000	79.273	152.5639
113.800003	79.196	152.7715
115.000000	79.110	152.7979
117.199997	78.879	152.2950
118.000000	78.773	151.9138
120.599998	78.434	152.2204
122.000000	78.477	153.1964
124.099998	78.607	154.2005
125.000000	78.635	154.6317
126.500000	78.654	155.2710
128.000000	78.658	155.6235
131.500000	78.691	155.4842
132.000000	78.698	155.4511
134.000000	78.715	155.3882
136.000000	78.687	155.3306
138.000000	78.625	155.1097
140.000000	78.572	154.7673
143.000000	78.513	154.3115
145.000000	78.455	154.2507
147.500000	78.349	154.3703
150.000000	78.258	154.5614
152.500000	78.191	154.4232
155.000000	78.082	154.1721
157.500000	77.983	154.1128
160.000000	77.894	154.0338
162.500000	77.789	154.1380
165.000000	77.716	154.3970
167.500000	77.665	154.4875
170.000000	77.598	154.5416
172.500000	77.526	154.7044
175.000000	77.460	154.9040
177.500000	77.394	155.1242
180.000000	77.334	155.3297
182.500000	77.273	155.4224
185.000000	77.201	155.5660
187.500000	77.135	155.8439
190.000000	77.086	156.0906
192.500000	77.039	156.1999
195.000000	76.981	156.3331
197.500000	76.934	156.5984
200.000000	76.908	156.7851
203.000000	76.876	156.8434
206.000000	76.821	156.9147
209.000000	76.751	157.0240
212.000000	76.685	157.1309
214.000000	76.646	157.1971
218.000000	76.557	157.3710
220.000000	76.512	157.4850
224.000000	76.437	157.7625
227.000000	76.387	157.9476
230.000000	76.327	158.0865
233.000000	76.260	158.2180
236.000000	76.196	158.3940
240.000000	76.130	158.6305
243.000000	76.082	158.8225
247.000000	76.014	159.1367
250.000000	75.959	159.3696
254.000000	75.880	159.7427
258.000000	75.811	160.1058
262.000000	75.750	160.4020
265.000000	75.705	160.6348
269.000000	75.646	160.9597
272.000000	75.604	161.1778
276.000000	75.553	161.4347
280.000000	75.501	161.7713
285.000000	75.433	162.1786
290.000000	75.370	162.5583
295.000000	75.309	162.9897
300.000000	75.247	163.4101
304.000000	75.191	163.8419
307.000000	75.154	164.1512
311.000000	75.117	164.4737
315.000000	75.081	164.7327
320.000000	75.027	165.0875
325.000000	74.969	165.4867
330.000000	74.914	165.8885
335.000000	74.862	166.2962
340.000000	74.817	166.6940
345.000000	74.777	167.0630
350.000000	74.726	167.4467
355.000000	74.676	167.8282
360.000000	74.634	168.2425
365.000000	74.591	168.6442
370.000000	74.546	169.0436
375.000000	74.512	169.4335
382.000000	74.478	169.9456
387.000000	74.442	170.3060
395.000000	74.379	171.0295
400.000000	74.349	171.4833
406.000000	74.312	172.0044
412.000000	74.276	172.4574
418.000000	74.245	172.8521
425.000000	74.209	173.3143
431.000000	74.185	173.7306
437.000000	74.159	174.2294
444.000000	74.116	174.8062
450.000000	74.085	175.2725
455.000000	74.067	175.6496
