* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 2 ¿ÀÈÄ 8:53:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Steel_UC
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.549	-169.7966
20.600000	84.542	-169.8966
20.900000	84.531	-170.0662
21.200001	84.528	-170.2139
21.400000	84.531	-170.3253
21.799999	84.542	-170.6273
22.000000	84.547	-170.8315
22.400000	84.552	-171.3370
22.700001	84.549	-171.7782
23.000000	84.542	-172.2518
23.299999	84.530	-172.7414
23.600000	84.515	-173.2333
24.000000	84.493	-173.8724
24.299999	84.477	-174.3278
24.700001	84.460	-174.9011
25.000000	84.454	-175.3157
25.400000	84.451	-175.8690
25.799999	84.453	-176.4377
26.200001	84.451	-177.0099
26.500000	84.447	-177.4205
26.900000	84.438	-177.9190
27.200001	84.431	-178.2509
27.600000	84.424	-178.6487
28.000000	84.419	-179.0205
28.500000	84.412	-179.4711
29.000000	84.403	-179.8987
29.500000	84.392	179.7016
30.000000	84.385	179.2961
30.400000	84.378	178.9396
30.700001	84.371	178.6516
31.100000	84.356	178.2586
31.500000	84.337	177.8781
32.000000	84.312	177.4331
32.500000	84.291	176.9945
33.000000	84.271	176.5302
33.500000	84.247	176.0582
34.000000	84.219	175.6311
34.500000	84.196	175.2643
35.000000	84.182	174.9108
35.500000	84.174	174.5134
36.000000	84.160	174.0780
36.500000	84.136	173.6658
37.000000	84.109	173.3236
37.500000	84.088	173.0340
38.200001	84.070	172.6202
38.700001	84.060	172.2847
39.500000	84.043	171.6806
40.000000	84.027	171.2547
40.599998	83.994	170.7209
41.200001	83.945	170.2582
41.799999	83.892	169.9327
42.500000	83.845	169.6729
43.099998	83.818	169.4698
43.700001	83.799	169.2571
44.400002	83.788	168.9484
45.000000	83.779	168.5702
45.500000	83.760	168.1913
46.200001	83.712	167.6785
46.799999	83.662	167.3181
47.500000	83.607	166.9558
48.200001	83.558	166.6277
48.700001	83.529	166.4038
49.400002	83.502	166.0319
50.000000	83.477	165.6120
50.799999	83.418	165.0464
51.500000	83.357	164.7418
52.200001	83.317	164.5934
53.000000	83.304	164.3682
53.799999	83.289	163.9615
54.500000	83.254	163.6019
55.200001	83.210	163.3745
56.000000	83.177	163.1866
57.000000	83.143	162.8152
58.000000	83.091	162.3879
59.000000	83.029	161.9968
60.000000	82.963	161.6583
60.799999	82.917	161.4321
61.500000	82.885	161.2115
62.200001	82.852	160.9625
63.000000	82.812	160.6769
64.000000	82.763	160.3262
65.000000	82.712	159.9865
66.000000	82.657	159.6749
67.000000	82.601	159.4027
68.000000	82.548	159.1605
69.000000	82.498	158.9016
70.000000	82.444	158.6331
71.000000	82.388	158.3991
72.000000	82.339	158.1775
73.000000	82.293	157.9112
74.000000	82.240	157.6316
75.000000	82.185	157.3880
76.199997	82.118	157.1154
77.500000	82.045	156.8859
78.800003	81.983	156.6729
80.000000	81.927	156.4175
81.199997	81.864	156.1482
82.500000	81.790	155.9213
83.800003	81.728	155.7493
85.000000	81.677	155.5237
86.199997	81.621	155.2950
87.500000	81.560	155.0460
88.500000	81.510	154.8647
90.000000	81.436	154.6252
91.199997	81.376	154.4195
92.500000	81.308	154.2072
93.800003	81.238	154.0125
95.000000	81.176	153.8788
96.199997	81.119	153.7724
97.500000	81.060	153.6826
98.800003	81.007	153.6273
100.000000	80.959	153.5162
101.500000	80.880	153.3425
103.000000	80.792	153.1830
104.400002	80.709	153.0405
106.000000	80.625	152.9113
107.500000	80.558	152.7877
109.000000	80.487	152.6375
110.599998	80.395	152.5423
112.000000	80.316	152.5033
113.800003	80.217	152.3965
115.000000	80.152	152.3389
117.199997	80.053	152.3951
118.000000	80.025	152.4478
120.599998	79.911	152.4679
122.000000	79.807	152.5712
124.099998	79.663	152.9569
125.000000	79.616	153.1290
126.500000	79.553	153.4370
128.000000	79.512	153.7860
131.500000	79.471	154.6300
132.000000	79.472	154.7337
134.000000	79.489	154.9688
136.000000	79.507	154.9515
138.000000	79.514	154.7839
140.000000	79.496	154.5099
143.000000	79.431	154.0527
145.000000	79.373	153.7564
147.500000	79.287	153.5385
150.000000	79.210	153.3837
152.500000	79.125	153.1575
155.000000	79.035	153.0141
157.500000	78.943	152.9671
160.000000	78.847	152.9877
162.500000	78.759	152.9824
165.000000	78.675	152.9725
167.500000	78.594	153.0422
170.000000	78.513	153.1286
172.500000	78.424	153.2077
175.000000	78.342	153.3217
177.500000	78.270	153.4888
180.000000	78.204	153.6942
182.500000	78.136	153.8789
185.000000	78.063	154.0081
187.500000	77.994	154.1403
190.000000	77.938	154.2964
192.500000	77.888	154.4711
195.000000	77.840	154.6487
197.500000	77.787	154.7995
200.000000	77.731	154.9146
203.000000	77.659	155.0549
206.000000	77.591	155.2512
209.000000	77.526	155.4637
212.000000	77.464	155.6119
214.000000	77.423	155.6838
218.000000	77.344	155.8546
220.000000	77.304	155.9765
224.000000	77.227	156.2532
227.000000	77.174	156.4452
230.000000	77.125	156.6068
233.000000	77.070	156.7604
236.000000	77.011	156.9516
240.000000	76.934	157.2136
243.000000	76.874	157.3722
247.000000	76.798	157.5175
250.000000	76.748	157.6429
254.000000	76.683	157.9055
258.000000	76.613	158.2231
262.000000	76.545	158.5470
265.000000	76.494	158.7707
269.000000	76.420	159.0238
272.000000	76.367	159.2231
276.000000	76.305	159.5328
280.000000	76.247	159.8386
285.000000	76.173	160.1352
290.000000	76.104	160.4646
295.000000	76.035	160.9059
300.000000	75.970	161.2897
304.000000	75.918	161.5930
307.000000	75.879	161.8335
311.000000	75.822	162.1589
315.000000	75.773	162.4675
320.000000	75.718	162.8034
325.000000	75.662	163.2110
330.000000	75.608	163.6321
335.000000	75.546	164.0029
340.000000	75.489	164.4107
345.000000	75.435	164.8478
350.000000	75.383	165.2079
355.000000	75.338	165.5114
360.000000	75.293	165.9001
365.000000	75.245	166.3540
370.000000	75.199	166.7593
375.000000	75.153	167.1086
382.000000	75.092	167.6458
387.000000	75.053	168.0615
395.000000	74.998	168.7304
400.000000	74.963	169.1242
406.000000	74.918	169.5659
412.000000	74.876	169.9914
418.000000	74.838	170.4648
425.000000	74.791	170.9982
431.000000	74.752	171.4000
437.000000	74.720	171.8514
444.000000	74.691	172.4354
450.000000	74.661	172.9349
455.000000	74.635	173.3598
462.000000	74.590	173.8920
468.000000	74.550	174.3193
475.000000	74.517	174.8048
482.000000	74.486	175.2577
487.000000	74.463	175.6180
494.000000	74.431	176.1354
500.000000	74.409	176.5906
508.000000	74.375	177.2346
515.000000	74.341	177.7707
522.000000	74.312	178.2801
530.000000	74.289	178.8770
538.000000	74.268	179.4405
545.000000	74.248	179.9426
552.000000	74.230	-179.5224
560.000000	74.207	-178.9274
570.000000	74.181	-178.2360
580.000000	74.152	-177.5029
590.000000	74.125	-176.7747
600.000000	74.103	-176.0211
608.000000	74.092	-175.4401
615.000000	74.083	-174.9501
622.000000	74.069	-174.4513
630.000000	74.054	-173.8704
640.000000	74.044	-173.1212
650.000000	74.036	-172.3560
660.000000	74.031	-171.6085
670.000000	74.031	-170.8387
680.000000	74.033	-170.1108
690.000000	74.034	-169.3913
700.000000	74.035	-168.6459
710.000000	74.040	-167.9192
720.000000	74.051	-167.2111
730.000000	74.066	-166.5040
740.000000	74.076	-165.7765
750.000000	74.086	-165.0328
762.000000	74.105	-164.1877
775.000000	74.131	-163.2760
788.000000	74.168	-162.3337
800.000000	74.202	-161.4421
812.000000	74.242	-160.5685
825.000000	74.286	-159.6754
838.000000	74.334	-158.7906
850.000000	74.382	-157.9922
862.000000	74.438	-157.2132
875.000000	74.502	-156.3544
885.000000	74.554	-155.6981
900.000000	74.635	-154.7995
912.000000	74.702	-154.0926
925.000000	74.782	-153.2984
938.000000	74.865	-152.5272
950.000000	74.942	-151.8730
962.000000	75.023	-151.2613
975.000000	75.113	-150.6316
988.000000	75.204	-150.0192
1000.000000	75.289	-149.4736
1015.000000	75.406	-148.8236
1030.000000	75.523	-148.2276
1044.000000	75.632	-147.7077
1060.000000	75.755	-147.1900
1075.000000	75.868	-146.7371
1090.000000	75.981	-146.3143
1106.000000	76.101	-145.9004
1120.000000	76.202	-145.5583
1138.000000	76.330	-145.1716
1150.000000	76.416	-144.9498
1172.000000	76.570	-144.5534
1180.000000	76.623	-144.4125
1206.000000	76.792	-144.0019
1220.000000	76.881	-143.8006
1241.000000	77.015	-143.5293
1250.000000	77.070	-143.4278
1265.000000	77.159	-143.2571
1280.000000	77.247	-143.0717
1315.000000	77.449	-142.7327
1320.000000	77.478	-142.6898
1340.000000	77.591	-142.5121
1360.000000	77.702	-142.3325
1380.000000	77.810	-142.1567
1400.000000	77.918	-142.0114
1430.000000	78.078	-141.8484
1450.000000	78.183	-141.7235
1475.000000	78.309	-141.6063
1500.000000	78.436	-141.5288
1525.000000	78.561	-141.4467
1550.000000	78.684	-141.3754
1575.000000	78.806	-141.3140
1600.000000	78.930	-141.2779
1625.000000	79.049	-141.2825
1650.000000	79.165	-141.3035
1675.000000	79.279	-141.3211
1700.000000	79.392	-141.3664
1725.000000	79.504	-141.4271
1750.000000	79.612	-141.4920
1775.000000	79.719	-141.5606
1800.000000	79.826	-141.6259
1825.000000	79.935	-141.7217
1850.000000	80.043	-141.8372
1875.000000	80.149	-141.9566
1900.000000	80.254	-142.0840
1925.000000	80.357	-142.2328
1950.000000	80.461	-142.4090
1975.000000	80.564	-142.6058
2000.000000	80.666	-142.8203
2030.000000	80.786	-143.1107
2060.000000	80.903	-143.4185
2090.000000	81.019	-143.7531
2120.000000	81.134	-144.1308
2140.000000	81.208	-144.3973
2180.000000	81.352	-144.9557
2200.000000	81.420	-145.2489
2240.000000	81.551	-145.8702
2270.000000	81.647	-146.3683
2300.000000	81.738	-146.8792
2330.000000	81.823	-147.4082
2360.000000	81.903	-147.9578
2400.000000	82.002	-148.7221
2430.000000	82.072	-149.3113
2470.000000	82.154	-150.1049
2500.000000	82.210	-150.6981
2540.000000	82.278	-151.4995
2580.000000	82.336	-152.2990
2620.000000	82.384	-153.0914
2650.000000	82.416	-153.6706
2690.000000	82.451	-154.4193
2720.000000	82.474	-154.9672
2760.000000	82.499	-155.6678
2800.000000	82.518	-156.3477
2850.000000	82.535	-157.1445
2900.000000	82.548	-157.8632
2950.000000	82.565	-158.5295
3000.000000	82.586	-159.1683
3040.000000	82.608	-159.6973
3070.000000	82.627	-160.1173
3110.000000	82.650	-160.7091
3150.000000	82.668	-161.3434
3200.000000	82.681	-162.1680
3250.000000	82.681	-162.9809
3300.000000	82.670	-163.7622
3350.000000	82.651	-164.5007
3400.000000	82.627	-165.1965
3450.000000	82.601	-165.8390
3500.000000	82.576	-166.4310
3550.000000	82.552	-166.9982
3600.000000	82.530	-167.5638
3650.000000	82.510	-168.1308
3700.000000	82.491	-168.7090
3750.000000	82.472	-169.3068
3820.000000	82.438	-170.1766
3870.000000	82.410	-170.8098
3950.000000	82.355	-171.8248
4000.000000	82.312	-172.4580
4060.000000	82.254	-173.2042
4120.000000	82.190	-173.9365
4180.000000	82.122	-174.6671
4250.000000	82.033	-175.5061
4310.000000	81.947	-176.1997
4370.000000	81.854	-176.8602
4440.000000	81.735	-177.5677
4500.000000	81.627	-178.1115
4550.000000	81.535	-178.5139
4620.000000	81.408	-179.0217
4680.000000	81.301	-179.4555
4750.000000	81.170	-179.9726
4820.000000	81.026	179.5302
4870.000000	80.916	179.2179
4940.000000	80.754	178.8710
5000.000000	80.610	178.6534
5080.000000	80.412	178.4778
5150.000000	80.236	178.4274
5220.000000	80.061	178.4722
5300.000000	79.864	178.6590
5380.000000	79.676	178.9942
5450.000000	79.518	179.3960
5520.000000	79.365	179.8694
5600.000000	79.202	-179.5025
5700.000000	79.018	-178.5522
5800.000000	78.861	-177.4761
5900.000000	78.728	-176.3011
6000.000000	78.620	-175.0146
6080.000000	78.554	-173.9281
6150.000000	78.514	-172.9567
6220.000000	78.494	-171.9638
6300.000000	78.494	-170.7955
6400.000000	78.524	-169.3341
6500.000000	78.590	-167.9181
6600.000000	78.700	-166.5690
6700.000000	78.854	-165.3395
6800.000000	79.047	-164.2590
6900.000000	79.279	-163.3532
7000.000000	79.552	-162.6716
7100.000000	79.867	-162.2730
7200.000000	80.223	-162.2463
7300.000000	80.614	-162.6797
7400.000000	81.028	-163.6667
7500.000000	81.451	-165.2791
7620.000000	81.945	-168.1587
7750.000000	82.413	-172.5577
7880.000000	82.744	-178.2840
8000.000000	82.867	175.4343
8120.000000	82.769	168.5202
8250.000000	82.375	160.8065
8380.000000	81.649	153.5567
8500.000000	80.693	148.0976
8620.000000	79.527	144.5657
8750.000000	78.171	143.2346
8850.000000	77.163	143.7593
9000.000000	75.831	146.2944
9120.000000	74.949	149.2291
9250.000000	74.157	152.8422
9380.000000	73.506	156.6527
9500.000000	73.008	160.2621
9620.000000	72.595	163.9449
9750.000000	72.230	167.9613
9880.000000	71.937	171.9290
10000.000000	71.724	175.5757
10150.000000	71.537	-179.8679
10300.000000	71.433	-175.3505
10440.000000	71.410	-171.1970
10600.000000	71.474	-166.5248
10750.000000	71.623	-162.2335
10900.000000	71.863	-158.0631
11060.000000	72.224	-153.8335
11200.000000	72.637	-150.3480
11380.000000	73.317	-146.2446
11500.000000	73.883	-143.8600
11720.000000	75.184	-140.6583
11800.000000	75.748	-140.0287
12060.000000	77.897	-141.2466
12200.000000	79.152	-145.0327
12410.000000	80.739	-156.5954
12500.000000	81.154	-163.6864
12650.000000	81.331	-177.0203
12800.000000	80.835	170.2258
13150.000000	78.034	152.6811
13200.000000	77.575	151.6040
13400.000000	75.850	149.6813
13600.000000	74.394	150.2745
13800.000000	73.225	152.2281
14000.000000	72.307	154.8921
14300.000000	71.319	159.3939
14500.000000	70.878	162.3750
14750.000000	70.539	165.7900
15000.000000	70.410	168.6059
15250.000000	70.465	170.4999
15500.000000	70.689	171.1091
15750.000000	71.067	169.9421
16000.000000	71.529	166.0446
16250.000000	71.866	158.2886
16500.000000	71.731	146.4832
16750.000000	70.828	132.1067
17000.000000	68.870	119.9832
17250.000000	65.623	123.8367
17500.000000	63.195	136.6560
17750.000000	62.464	141.3162
18000.000000	61.804	142.4709
18250.000000	61.002	143.1829
18500.000000	60.114	143.6188
18750.000000	59.125	144.0110
19000.000000	58.019	144.7682
19250.000000	56.793	146.1000
19500.000000	55.472	148.2604
19750.000000	54.183	151.2856
20000.000000	53.261	153.8649
