* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 5:34:30
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Steel
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.778	-170.4772
20.600000	83.783	-170.6898
20.900000	83.788	-171.0767
21.200001	83.782	-171.4590
21.400000	83.773	-171.7020
21.799999	83.747	-172.1676
22.000000	83.733	-172.3969
22.400000	83.707	-172.8672
22.700001	83.690	-173.2533
23.000000	83.673	-173.6799
23.299999	83.655	-174.1344
23.600000	83.635	-174.5964
24.000000	83.610	-175.1953
24.299999	83.597	-175.6240
24.700001	83.588	-176.1833
25.000000	83.589	-176.6116
25.400000	83.594	-177.2076
25.799999	83.600	-177.8214
26.200001	83.602	-178.4250
26.500000	83.600	-178.8564
26.900000	83.594	-179.3943
27.200001	83.586	-179.7680
27.600000	83.571	179.7756
28.000000	83.555	179.3683
28.500000	83.535	178.9151
29.000000	83.517	178.4785
29.500000	83.498	178.0145
30.000000	83.469	177.5254
30.400000	83.440	177.1425
30.700001	83.416	176.8693
31.100000	83.385	176.5182
31.500000	83.354	176.1671
32.000000	83.316	175.7127
32.500000	83.278	175.2481
33.000000	83.244	174.7794
33.500000	83.216	174.2866
34.000000	83.187	173.7614
34.500000	83.149	173.2586
35.000000	83.105	172.8569
35.500000	83.071	172.5704
36.000000	83.057	172.3159
36.500000	83.055	172.0015
37.000000	83.050	171.6118
37.500000	83.033	171.2004
38.200001	82.991	170.6858
38.700001	82.954	170.3982
39.500000	82.901	170.1069
40.000000	82.891	169.9465
40.599998	82.896	169.5826
41.200001	82.887	168.9628
41.799999	82.836	168.3005
42.500000	82.753	167.7999
43.099998	82.706	167.5580
43.700001	82.686	167.2531
44.400002	82.661	166.7465
45.000000	82.623	166.3286
45.500000	82.588	166.0695
46.200001	82.552	165.8008
46.799999	82.535	165.5598
47.500000	82.518	165.1828
48.200001	82.488	164.7241
48.700001	82.453	164.4068
49.400002	82.396	164.0369
50.000000	82.349	163.7489
50.799999	82.283	163.3292
51.500000	82.214	163.0237
52.200001	82.162	162.8427
53.000000	82.142	162.5456
53.799999	82.125	161.9598
54.500000	82.081	161.4115
55.200001	82.030	161.0010
56.000000	81.982	160.6277
57.000000	81.929	160.1471
58.000000	81.852	159.6420
59.000000	81.728	159.3719
60.000000	81.625	159.5754
60.799999	81.606	159.6268
61.500000	81.595	159.3119
62.200001	81.547	158.8409
63.000000	81.465	158.4312
64.000000	81.375	158.1040
65.000000	81.307	157.8401
66.000000	81.266	157.5992
67.000000	81.231	157.2633
68.000000	81.183	157.0053
69.000000	81.136	156.7622
70.000000	81.063	156.5242
71.000000	80.985	156.4551
72.000000	80.924	156.3108
73.000000	80.848	156.0313
74.000000	80.761	155.8119
75.000000	80.686	155.6195
76.199997	80.600	155.3690
77.500000	80.504	155.2336
78.800003	80.416	155.2798
80.000000	80.341	155.3739
81.199997	80.252	155.5402
82.500000	80.181	155.8518
83.800003	80.160	155.8791
85.000000	80.137	155.4652
86.199997	80.077	155.0013
87.500000	80.011	154.8045
88.500000	79.994	154.8687
90.000000	80.024	154.7525
91.199997	80.007	154.3871
92.500000	79.930	154.0801
93.800003	79.829	153.9504
95.000000	79.748	153.8975
