* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 5:22:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_AEX70
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.826	-170.5511
20.600000	83.823	-170.8153
20.900000	83.813	-171.2659
21.200001	83.798	-171.6391
21.400000	83.787	-171.8527
21.799999	83.766	-172.2527
22.000000	83.756	-172.4613
22.400000	83.740	-172.9119
22.700001	83.727	-173.2813
23.000000	83.714	-173.6767
23.299999	83.701	-174.0924
23.600000	83.688	-174.5230
24.000000	83.671	-175.1083
24.299999	83.658	-175.5411
24.700001	83.641	-176.0880
25.000000	83.631	-176.4665
25.400000	83.625	-176.9360
25.799999	83.628	-177.3998
26.200001	83.636	-177.8967
26.500000	83.639	-178.2954
26.900000	83.631	-178.8356
27.200001	83.616	-179.2136
27.600000	83.589	-179.6424
28.000000	83.562	-179.9776
28.500000	83.541	179.6693
29.000000	83.532	179.2708
29.500000	83.524	178.7637
30.000000	83.503	178.1803
30.400000	83.474	177.7136
30.700001	83.447	177.3868
31.100000	83.410	176.9955
31.500000	83.375	176.6505
32.000000	83.339	176.2519
32.500000	83.315	175.8343
33.000000	83.296	175.3555
33.500000	83.273	174.8310
34.000000	83.241	174.3344
34.500000	83.204	173.9394
35.000000	83.174	173.6489
35.500000	83.161	173.3849
36.000000	83.160	173.0547
36.500000	83.157	172.6279
37.000000	83.140	172.1523
37.500000	83.108	171.7041
38.200001	83.053	171.1966
38.700001	83.018	170.8933
39.500000	82.975	170.3791
40.000000	82.950	170.0045
40.599998	82.914	169.5150
41.200001	82.871	169.0229
41.799999	82.819	168.5810
42.500000	82.761	168.1898
43.099998	82.726	167.9407
43.700001	82.709	167.6674
44.400002	82.694	167.2313
45.000000	82.669	166.8046
45.500000	82.640	166.4737
46.200001	82.594	166.0617
46.799999	82.552	165.7358
47.500000	82.500	165.4125
48.200001	82.455	165.1681
48.700001	82.432	165.0030
49.400002	82.408	164.7266
50.000000	82.388	164.4473
50.799999	82.361	164.0297
51.500000	82.331	163.6200
52.200001	82.289	163.2118
53.000000	82.232	162.8211
53.799999	82.177	162.4877
54.500000	82.128	162.1803
55.200001	82.071	161.8772
56.000000	82.002	161.6270
57.000000	81.939	161.3962
58.000000	81.891	161.0181
59.000000	81.828	160.6143
60.000000	81.768	160.2531
60.799999	81.719	159.9294
61.500000	81.669	159.6847
62.200001	81.622	159.4944
63.000000	81.573	159.2789
64.000000	81.507	159.0112
65.000000	81.440	158.8113
66.000000	81.382	158.6299
67.000000	81.327	158.4158
68.000000	81.268	158.1928
69.000000	81.210	158.0210
70.000000	81.163	157.8345
71.000000	81.114	157.5794
72.000000	81.056	157.3170
73.000000	80.990	157.1249
74.000000	80.931	157.0328
75.000000	80.888	156.9406
76.199997	80.842	156.7463
77.500000	80.789	156.4797
78.800003	80.723	156.1467
80.000000	80.651	155.8833
81.199997	80.580	155.6055
82.500000	80.489	155.3254
83.800003	80.410	155.1891
85.000000	80.356	154.9773
86.199997	80.288	154.6969
87.500000	80.206	154.5002
88.500000	80.150	154.3897
90.000000	80.069	154.2095
91.199997	80.006	154.0809
92.500000	79.936	153.9530
93.800003	79.862	153.8631
95.000000	79.790	153.7873
96.199997	79.709	153.7220
97.500000	79.622	153.6777
98.800003	79.539	153.6050
100.000000	79.460	153.5450
101.500000	79.367	153.5848
103.000000	79.285	153.7089
104.400002	79.203	153.8446
106.000000	79.100	154.0317
107.500000	79.003	154.2375
109.000000	78.926	154.5249
110.599998	78.872	154.9337
112.000000	78.837	155.4163
113.800003	78.792	156.1089
115.000000	78.756	156.4679
117.199997	78.679	156.4205
118.000000	78.634	156.1747
120.599998	78.544	156.4323
122.000000	78.688	156.6971
124.099998	78.877	156.3510
125.000000	78.913	156.2095
126.500000	78.924	156.0318
128.000000	78.896	155.8083
131.500000	78.783	155.0006
132.000000	78.767	154.9033
134.000000	78.713	154.6197
136.000000	78.653	154.4264
138.000000	78.578	154.2342
140.000000	78.499	154.0459
143.000000	78.398	153.8848
145.000000	78.325	153.8054
147.500000	78.222	153.7641
150.000000	78.130	153.6948
152.500000	78.047	153.6670
155.000000	77.964	153.7104
157.500000	77.872	153.7721
160.000000	77.783	153.8196
162.500000	77.710	153.8734
165.000000	77.649	153.9650
167.500000	77.582	154.0846
170.000000	77.505	154.2238
172.500000	77.428	154.3149
175.000000	77.350	154.3652
177.500000	77.268	154.4518
180.000000	77.191	154.6023
182.500000	77.127	154.7527
185.000000	77.068	154.8849
187.500000	77.009	155.0294
190.000000	76.947	155.1996
192.500000	76.884	155.3723
195.000000	76.824	155.5249
197.500000	76.767	155.6584
200.000000	76.711	155.8022
203.000000	76.640	156.0281
206.000000	76.574	156.2531
209.000000	76.518	156.4510
212.000000	76.466	156.6770
214.000000	76.428	156.8408
218.000000	76.349	157.1552
220.000000	76.315	157.3178
224.000000	76.249	157.6732
227.000000	76.197	157.9447
230.000000	76.145	158.1973
233.000000	76.100	158.4120
236.000000	76.055	158.5954
240.000000	75.988	158.9242
243.000000	75.941	159.1918
247.000000	75.885	159.5107
250.000000	75.843	159.7250
254.000000	75.787	159.9678
258.000000	75.734	160.1859
262.000000	75.677	160.4845
265.000000	75.633	160.7386
269.000000	75.578	161.0244
272.000000	75.538	161.2204
276.000000	75.492	161.5234
280.000000	75.447	161.8875
285.000000	75.388	162.2935
290.000000	75.335	162.6338
295.000000	75.282	163.0008
300.000000	75.226	163.3584
304.000000	75.186	163.6715
307.000000	75.160	163.8951
311.000000	75.127	164.1713
315.000000	75.092	164.4630
320.000000	75.048	164.8341
325.000000	75.008	165.1884
330.000000	74.970	165.5583
335.000000	74.928	165.9493
340.000000	74.889	166.3190
345.000000	74.853	166.6814
350.000000	74.810	167.0708
355.000000	74.767	167.4842
360.000000	74.727	167.8769
365.000000	74.687	168.2816
370.000000	74.646	168.6686
375.000000	74.607	169.0360
382.000000	74.559	169.5603
387.000000	74.528	169.9366
395.000000	74.473	170.5410
400.000000	74.437	170.8947
406.000000	74.397	171.3395
412.000000	74.363	171.8116
418.000000	74.332	172.2509
425.000000	74.293	172.7440
431.000000	74.258	173.1974
437.000000	74.229	173.6724
444.000000	74.198	174.1994
450.000000	74.171	174.6435
455.000000	74.155	174.9813
462.000000	74.140	175.4483
468.000000	74.119	175.8825
475.000000	74.088	176.4028
482.000000	74.061	176.8912
487.000000	74.041	177.2208
494.000000	74.014	177.6912
500.000000	73.998	178.1328
508.000000	73.983	178.7285
515.000000	73.969	179.2030
522.000000	73.952	179.6207
530.000000	73.930	-179.8846
538.000000	73.906	-179.3067
545.000000	73.891	-178.8068
552.000000	73.877	-178.3367
560.000000	73.861	-177.7698
570.000000	73.841	-177.0396
580.000000	73.822	-176.3527
590.000000	73.804	-175.6436
600.000000	73.787	-174.9192
608.000000	73.781	-174.3517
615.000000	73.777	-173.8672
622.000000	73.771	-173.3788
630.000000	73.762	-172.7981
640.000000	73.759	-172.0737
650.000000	73.755	-171.3824
660.000000	73.754	-170.6776
670.000000	73.757	-169.9916
680.000000	73.760	-169.3063
690.000000	73.768	-168.6216
700.000000	73.773	-167.9432
710.000000	73.775	-167.2381
720.000000	73.781	-166.5230
730.000000	73.787	-165.8110
740.000000	73.796	-165.1105
750.000000	73.813	-164.4331
762.000000	73.836	-163.6273
775.000000	73.864	-162.7723
788.000000	73.894	-161.9406
800.000000	73.920	-161.1124
812.000000	73.952	-160.2821
825.000000	73.997	-159.4460
838.000000	74.043	-158.6008
850.000000	74.083	-157.8266
862.000000	74.125	-157.0879
875.000000	74.179	-156.2875
885.000000	74.224	-155.6804
900.000000	74.297	-154.8145
912.000000	74.360	-154.1375
925.000000	74.437	-153.4099
938.000000	74.514	-152.7176
950.000000	74.586	-152.1198
962.000000	74.658	-151.5199
975.000000	74.738	-150.9050
988.000000	74.825	-150.3963
1000.000000	74.909	-149.9310
1015.000000	75.016	-149.2583
1030.000000	75.118	-148.6605
1044.000000	75.211	-148.1772
1060.000000	75.323	-147.6973
1075.000000	75.427	-147.2843
1090.000000	75.534	-146.8871
1106.000000	75.654	-146.5240
1120.000000	75.760	-146.2315
1138.000000	75.892	-145.8851
1150.000000	75.977	-145.6887
1172.000000	76.132	-145.3389
1180.000000	76.188	-145.2152
1206.000000	76.362	-144.8857
1220.000000	76.456	-144.7378
1241.000000	76.591	-144.5376
1250.000000	76.647	-144.4640
1265.000000	76.739	-144.3446
1280.000000	76.829	-144.2282
1315.000000	77.032	-143.9545
1320.000000	77.060	-143.9191
1340.000000	77.170	-143.7856
1360.000000	77.271	-143.6744
1380.000000	77.372	-143.5815
1400.000000	77.474	-143.4669
1430.000000	77.634	-143.2828
1450.000000	77.741	-143.1833
1475.000000	77.870	-143.0946
1500.000000	78.000	-143.0313
1525.000000	78.128	-142.9704
1550.000000	78.251	-142.9152
1575.000000	78.372	-142.8684
1600.000000	78.493	-142.8295
1625.000000	78.611	-142.8175
1650.000000	78.729	-142.8129
1675.000000	78.846	-142.7881
1700.000000	78.960	-142.7820
1725.000000	79.074	-142.8012
1750.000000	79.185	-142.8262
1775.000000	79.295	-142.8548
1800.000000	79.404	-142.9090
1825.000000	79.511	-142.9867
1850.000000	79.617	-143.0552
1875.000000	79.724	-143.1149
1900.000000	79.831	-143.1797
1925.000000	79.938	-143.2613
1950.000000	80.044	-143.3436
1975.000000	80.150	-143.4285
2000.000000	80.262	-143.5203
2030.000000	80.406	-143.6369
2060.000000	80.558	-143.8249
2090.000000	80.710	-144.1073
2120.000000	80.859	-144.4839
2140.000000	80.955	-144.7856
2180.000000	81.134	-145.4566
2200.000000	81.217	-145.8051
2240.000000	81.374	-146.5245
2270.000000	81.486	-147.0975
2300.000000	81.590	-147.6908
2330.000000	81.690	-148.2958
2360.000000	81.786	-148.9176
2400.000000	81.906	-149.7756
2430.000000	81.990	-150.4393
2470.000000	82.095	-151.3324
2500.000000	82.170	-152.0048
2540.000000	82.261	-152.9270
2580.000000	82.342	-153.8694
2620.000000	82.416	-154.8254
2650.000000	82.467	-155.5417
2690.000000	82.526	-156.5055
2720.000000	82.563	-157.2302
2760.000000	82.609	-158.1890
2800.000000	82.645	-159.1529
2850.000000	82.678	-160.3428
2900.000000	82.700	-161.4979
2950.000000	82.711	-162.6274
3000.000000	82.712	-163.7336
3040.000000	82.705	-164.5866
3070.000000	82.697	-165.2033
3110.000000	82.682	-166.0074
3150.000000	82.664	-166.7912
3200.000000	82.639	-167.7309
3250.000000	82.607	-168.6284
3300.000000	82.573	-169.4854
3350.000000	82.535	-170.3255
3400.000000	82.494	-171.1376
3450.000000	82.456	-171.9221
3500.000000	82.422	-172.6804
3550.000000	82.384	-173.4039
3600.000000	82.344	-174.0978
3650.000000	82.301	-174.7723
3700.000000	82.257	-175.4338
3750.000000	82.210	-176.0706
3820.000000	82.139	-176.9185
3870.000000	82.083	-177.4979
3950.000000	81.981	-178.3960
4000.000000	81.913	-178.9443
4060.000000	81.828	-179.5758
4120.000000	81.737	179.8259
4180.000000	81.641	179.2551
4250.000000	81.522	178.6310
4310.000000	81.411	178.1486
4370.000000	81.287	177.7327
4440.000000	81.133	177.3457
4500.000000	81.004	177.0797
4550.000000	80.902	176.8878
4620.000000	80.770	176.6084
4680.000000	80.655	176.3312
4750.000000	80.510	176.0104
4820.000000	80.353	175.7496
4870.000000	80.235	175.6194
4940.000000	80.070	175.5358
5000.000000	79.933	175.5299
5080.000000	79.755	175.5728
5150.000000	79.598	175.6436
5220.000000	79.440	175.7456
5300.000000	79.264	175.9616
5380.000000	79.094	176.2905
5450.000000	78.953	176.6403
5520.000000	78.818	177.0450
5600.000000	78.673	177.5867
5700.000000	78.505	178.3592
5800.000000	78.355	179.2325
5900.000000	78.227	-179.8067
6000.000000	78.126	-178.7678
6080.000000	78.067	-177.8911
6150.000000	78.034	-177.1068
6220.000000	78.017	-176.3176
6300.000000	78.018	-175.4162
6400.000000	78.053	-174.3002
6500.000000	78.127	-173.2703
6600.000000	78.234	-172.3567
6700.000000	78.376	-171.5829
6800.000000	78.556	-171.0149
6900.000000	78.784	-170.6642
7000.000000	79.057	-170.5220
7100.000000	79.359	-170.6391
7200.000000	79.685	-171.0641
7300.000000	80.029	-171.8181
7400.000000	80.392	-172.9440
7500.000000	80.776	-174.5008
7620.000000	81.274	-177.1258
7750.000000	81.811	178.7411
7880.000000	82.186	172.9994
8000.000000	82.302	166.4161
8120.000000	82.141	159.2193
8250.000000	81.640	151.6861
8380.000000	80.858	145.2833
8500.000000	79.965	140.7694
8620.000000	78.981	137.6443
8750.000000	77.882	135.6697
8850.000000	77.043	134.9904
9000.000000	75.839	135.0525
9120.000000	74.942	135.8249
9250.000000	74.038	137.2293
9380.000000	73.205	139.1045
9500.000000	72.498	141.1362
9620.000000	71.845	143.4004
9750.000000	71.200	146.0528
9880.000000	70.621	148.8643
10000.000000	70.131	151.5967
10150.000000	69.572	155.1358
10300.000000	69.067	158.7948
10440.000000	68.648	162.2988
10600.000000	68.226	166.4194
10750.000000	67.882	170.3990
10900.000000	67.599	174.4691
11060.000000	67.362	178.8901
11200.000000	67.209	-177.1897
11380.000000	67.087	-172.0933
11500.000000	67.061	-168.6848
11720.000000	67.140	-162.5476
11800.000000	67.204	-160.3549
12060.000000	67.552	-153.5398
12200.000000	67.827	-150.1308
12410.000000	68.335	-145.4668
12500.000000	68.591	-143.6808
12650.000000	69.083	-141.0803
12800.000000	69.662	-139.0470
13150.000000	71.290	-137.1873
13200.000000	71.547	-137.3515
13400.000000	72.586	-139.4159
13600.000000	73.549	-144.0244
13800.000000	74.276	-151.1532
14000.000000	74.621	-160.0362
14300.000000	74.321	-173.4781
14500.000000	73.699	179.2989
14750.000000	72.700	172.9135
15000.000000	71.666	168.9420
15250.000000	70.742	166.4866
15500.000000	70.002	164.8020
15750.000000	69.454	163.2139
16000.000000	69.040	161.1169
16250.000000	68.670	157.9438
16500.000000	68.233	153.1660
16750.000000	67.558	146.3736
