* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 5:44:39
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_AEX70
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.335	-169.7943
20.600000	84.343	-169.9943
20.900000	84.357	-170.3704
21.200001	84.363	-170.7785
21.400000	84.360	-171.0646
21.799999	84.342	-171.6600
22.000000	84.327	-171.9583
22.400000	84.290	-172.5254
22.700001	84.263	-172.9185
23.000000	84.239	-173.2943
23.299999	84.222	-173.6716
23.600000	84.212	-174.0659
24.000000	84.206	-174.6332
24.299999	84.204	-175.0881
24.700001	84.201	-175.7132
25.000000	84.196	-176.1728
25.400000	84.187	-176.7425
25.799999	84.178	-177.2415
26.200001	84.174	-177.6754
26.500000	84.174	-177.9777
26.900000	84.177	-178.3809
27.200001	84.177	-178.6976
27.600000	84.171	-179.1353
28.000000	84.153	-179.5565
28.500000	84.120	-179.9978
29.000000	84.089	179.6647
29.500000	84.069	179.3505
30.000000	84.058	178.9553
30.400000	84.046	178.5620
30.700001	84.032	178.2398
31.100000	84.006	177.8115
31.500000	83.974	177.4121
32.000000	83.935	176.9628
32.500000	83.902	176.5460
33.000000	83.877	176.1375
33.500000	83.860	175.7305
34.000000	83.850	175.3202
34.500000	83.843	174.8953
35.000000	83.835	174.4494
35.500000	83.822	173.9954
36.000000	83.802	173.5632
36.500000	83.776	173.1789
37.000000	83.750	172.8451
37.500000	83.726	172.5367
38.200001	83.692	172.0939
38.700001	83.662	171.7694
39.500000	83.609	171.2963
40.000000	83.580	171.0208
40.599998	83.552	170.6576
41.200001	83.523	170.2397
41.799999	83.490	169.8053
42.500000	83.449	169.3157
43.099998	83.416	168.9044
43.700001	83.382	168.5071
44.400002	83.342	168.0792
45.000000	83.310	167.7294
45.500000	83.282	167.4403
46.200001	83.240	167.0652
46.799999	83.206	166.7908
47.500000	83.174	166.4796
48.200001	83.147	166.1080
48.700001	83.121	165.8087
49.400002	83.071	165.4158
50.000000	83.020	165.1697
50.799999	82.959	164.9747
51.500000	82.922	164.8422
52.200001	82.896	164.6674
53.000000	82.871	164.3675
53.799999	82.838	163.9496
54.500000	82.794	163.5425
55.200001	82.738	163.1823
56.000000	82.676	162.8825
57.000000	82.630	162.5424
58.000000	82.597	162.0003
59.000000	82.534	161.4084
60.000000	82.447	160.9993
60.799999	82.379	160.9104
61.500000	82.350	160.9246
62.200001	82.341	160.7802
63.000000	82.306	160.4286
64.000000	82.229	160.1483
65.000000	82.169	159.8512
66.000000	82.075	159.4325
67.000000	81.964	159.2736
68.000000	81.884	159.2307
69.000000	81.827	159.1306
70.000000	81.776	158.9804
71.000000	81.729	158.8752
72.000000	81.692	158.7774
73.000000	81.648	158.6821
74.000000	81.602	158.6973
75.000000	81.570	158.7086
76.199997	81.516	158.5231
77.500000	81.409	158.3952
78.800003	81.294	158.4669
80.000000	81.224	158.7556
81.199997	81.231	158.7028
82.500000	81.193	158.0551
83.800003	81.106	157.6457
85.000000	81.047	157.3820
86.199997	80.994	157.0872
87.500000	80.925	156.7783
88.500000	80.869	156.6279
90.000000	80.783	156.4261
91.199997	80.693	156.3783
92.500000	80.599	156.5881
93.800003	80.529	156.8744
95.000000	80.467	157.1333
96.199997	80.408	157.5092
97.500000	80.371	158.0278
98.800003	80.373	158.5568
100.000000	80.407	158.9103
101.500000	80.463	159.0904
103.000000	80.509	159.0104
104.400002	80.531	158.7978
106.000000	80.537	158.4803
107.500000	80.542	158.1123
109.000000	80.541	157.6022
110.599998	80.523	157.0175
112.000000	80.497	156.5341
113.800003	80.450	156.0174
115.000000	80.414	155.7510
117.199997	80.334	155.3453
118.000000	80.301	155.2229
120.599998	80.192	154.8403
122.000000	80.133	154.5855
124.099998	80.040	154.2359
125.000000	80.000	154.1231
126.500000	79.940	153.9785
128.000000	79.885	153.8473
131.500000	79.747	153.5489
132.000000	79.726	153.5197
134.000000	79.646	153.4487
136.000000	79.572	153.3862
138.000000	79.495	153.3313
140.000000	79.419	153.3199
143.000000	79.312	153.3330
145.000000	79.238	153.3416
147.500000	79.149	153.3188
150.000000	79.070	153.2596
152.500000	78.998	153.2100
155.000000	78.918	153.2617
157.500000	78.837	153.3470
160.000000	78.758	153.3770
162.500000	78.691	153.4069
165.000000	78.633	153.4319
167.500000	78.568	153.4717
170.000000	78.499	153.5418
172.500000	78.431	153.6070
175.000000	78.361	153.6496
177.500000	78.290	153.6740
180.000000	78.222	153.7021
182.500000	78.160	153.7792
185.000000	78.099	153.8747
187.500000	78.033	153.9621
190.000000	77.965	154.0185
192.500000	77.898	154.0932
195.000000	77.835	154.2101
197.500000	77.773	154.3226
200.000000	77.712	154.4349
203.000000	77.643	154.6179
206.000000	77.577	154.8072
209.000000	77.511	154.9319
212.000000	77.445	155.0462
214.000000	77.403	155.1557
218.000000	77.322	155.4134
220.000000	77.281	155.5287
224.000000	77.201	155.7255
227.000000	77.141	155.8970
230.000000	77.082	156.1148
233.000000	77.022	156.3315
236.000000	76.960	156.5305
240.000000	76.887	156.8157
243.000000	76.838	157.0312
247.000000	76.773	157.2815
250.000000	76.724	157.4659
254.000000	76.658	157.7462
258.000000	76.584	158.0428
262.000000	76.513	158.3366
265.000000	76.466	158.5719
269.000000	76.407	158.8652
272.000000	76.361	159.0543
276.000000	76.303	159.3281
280.000000	76.248	159.6403
285.000000	76.182	160.0326
290.000000	76.120	160.3994
295.000000	76.063	160.7464
300.000000	76.010	161.0939
304.000000	75.966	161.4254
307.000000	75.933	161.6853
311.000000	75.888	161.9999
315.000000	75.843	162.2863
320.000000	75.794	162.6425
325.000000	75.748	163.0055
330.000000	75.701	163.3815
335.000000	75.660	163.7666
340.000000	75.614	164.1406
345.000000	75.560	164.5061
350.000000	75.507	164.8970
355.000000	75.458	165.3327
360.000000	75.415	165.7625
365.000000	75.378	166.1729
370.000000	75.338	166.5511
375.000000	75.294	166.9077
382.000000	75.235	167.4081
387.000000	75.194	167.8050
395.000000	75.137	168.4264
400.000000	75.100	168.7788
406.000000	75.051	169.1895
412.000000	75.010	169.6252
418.000000	74.965	170.0886
425.000000	74.918	170.5830
431.000000	74.888	171.0052
437.000000	74.860	171.4639
444.000000	74.826	171.9833
450.000000	74.794	172.4433
455.000000	74.769	172.8265
462.000000	74.735	173.3515
468.000000	74.708	173.7692
475.000000	74.679	174.2527
482.000000	74.649	174.7727
487.000000	74.628	175.1473
494.000000	74.606	175.6586
500.000000	74.589	176.0967
508.000000	74.561	176.6695
515.000000	74.535	177.1701
522.000000	74.513	177.6631
530.000000	74.489	178.2097
538.000000	74.464	178.7859
545.000000	74.446	179.2768
552.000000	74.425	179.7854
560.000000	74.402	-179.6314
570.000000	74.381	-178.9318
580.000000	74.355	-178.2014
590.000000	74.334	-177.4435
600.000000	74.319	-176.7117
608.000000	74.309	-176.1275
615.000000	74.297	-175.6386
622.000000	74.283	-175.1568
630.000000	74.269	-174.5910
640.000000	74.263	-173.8510
650.000000	74.261	-173.1128
660.000000	74.260	-172.4197
670.000000	74.258	-171.7436
680.000000	74.252	-171.0300
690.000000	74.246	-170.2984
700.000000	74.241	-169.6082
710.000000	74.244	-168.9450
720.000000	74.250	-168.2277
730.000000	74.256	-167.4964
740.000000	74.267	-166.7995
750.000000	74.279	-166.1008
762.000000	74.289	-165.2484
775.000000	74.307	-164.3418
788.000000	74.332	-163.4518
800.000000	74.359	-162.6467
812.000000	74.393	-161.8421
825.000000	74.430	-160.9614
838.000000	74.471	-160.0848
850.000000	74.515	-159.2810
862.000000	74.554	-158.4888
875.000000	74.604	-157.6459
885.000000	74.646	-157.0194
900.000000	74.715	-156.1154
912.000000	74.778	-155.3935
925.000000	74.844	-154.6498
938.000000	74.915	-153.9492
950.000000	74.987	-153.2928
962.000000	75.060	-152.6625
975.000000	75.138	-152.0291
988.000000	75.211	-151.4374
1000.000000	75.284	-150.9302
1015.000000	75.395	-150.3043
1030.000000	75.505	-149.7312
1044.000000	75.603	-149.2286
1060.000000	75.712	-148.6939
1075.000000	75.812	-148.2455
1090.000000	75.913	-147.8225
1106.000000	76.027	-147.4173
1120.000000	76.130	-147.0987
1138.000000	76.260	-146.7216
1150.000000	76.348	-146.4972
1172.000000	76.504	-146.0937
1180.000000	76.560	-145.9473
1206.000000	76.734	-145.5533
1220.000000	76.826	-145.3785
1241.000000	76.961	-145.1447
1250.000000	77.017	-145.0406
1265.000000	77.110	-144.8705
1280.000000	77.201	-144.7237
1315.000000	77.410	-144.3966
1320.000000	77.438	-144.3467
1340.000000	77.549	-144.1718
1360.000000	77.656	-144.0331
1380.000000	77.765	-143.9058
1400.000000	77.877	-143.7872
1430.000000	78.041	-143.6244
1450.000000	78.150	-143.5395
1475.000000	78.283	-143.4523
1500.000000	78.411	-143.3929
1525.000000	78.533	-143.3532
1550.000000	78.652	-143.3150
1575.000000	78.772	-143.2729
1600.000000	78.889	-143.2354
1625.000000	79.003	-143.2261
1650.000000	79.114	-143.1887
1675.000000	79.221	-143.1385
1700.000000	79.327	-143.0965
1725.000000	79.429	-143.0414
1750.000000	79.527	-142.9550
1775.000000	79.628	-142.8390
1800.000000	79.737	-142.7033
1825.000000	79.856	-142.5504
1850.000000	79.988	-142.4084
1875.000000	80.129	-142.3205
1900.000000	80.280	-142.3192
1925.000000	80.434	-142.4259
1950.000000	80.581	-142.6390
1975.000000	80.720	-142.9400
2000.000000	80.848	-143.2840
