* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 5:28:23
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Sedna
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.890	-169.6623
20.600000	83.890	-169.8533
20.900000	83.890	-170.1988
21.200001	83.888	-170.5427
21.400000	83.885	-170.7787
21.799999	83.871	-171.2852
22.000000	83.861	-171.5570
22.400000	83.835	-172.1186
22.700001	83.812	-172.5455
23.000000	83.790	-172.9772
23.299999	83.769	-173.4163
23.600000	83.750	-173.8625
24.000000	83.727	-174.4612
24.299999	83.713	-174.9012
24.700001	83.697	-175.4596
25.000000	83.689	-175.8509
25.400000	83.685	-176.3380
25.799999	83.689	-176.7972
26.200001	83.699	-177.2436
26.500000	83.709	-177.5788
26.900000	83.723	-178.0361
27.200001	83.730	-178.3925
27.600000	83.733	-178.8860
28.000000	83.726	-179.3845
28.500000	83.702	-179.9660
29.000000	83.666	179.5468
29.500000	83.630	179.1390
30.000000	83.600	178.7368
30.400000	83.577	178.3831
30.700001	83.558	178.1031
31.100000	83.528	177.7346
31.500000	83.498	177.3883
32.000000	83.467	176.9688
32.500000	83.445	176.5041
33.000000	83.423	175.9700
33.500000	83.394	175.4277
34.000000	83.361	174.9633
34.500000	83.334	174.5894
35.000000	83.320	174.2432
35.500000	83.311	173.8669
36.000000	83.299	173.4727
36.500000	83.282	173.1069
37.000000	83.264	172.7817
37.500000	83.250	172.4588
38.200001	83.222	171.9503
38.700001	83.191	171.5722
39.500000	83.127	171.0439
40.000000	83.089	170.7534
40.599998	83.050	170.3975
41.200001	83.014	170.0129
41.799999	82.980	169.6007
42.500000	82.941	169.0911
43.099998	82.905	168.6696
43.700001	82.873	168.3055
44.400002	82.847	167.9105
45.000000	82.829	167.5329
45.500000	82.808	167.2148
46.200001	82.773	166.8450
46.799999	82.751	166.5703
47.500000	82.726	166.1788
48.200001	82.684	165.7593
48.700001	82.645	165.5284
49.400002	82.598	165.3000
50.000000	82.568	165.0906
50.799999	82.527	164.7292
51.500000	82.482	164.4151
52.200001	82.439	164.1521
53.000000	82.400	163.8535
53.799999	82.362	163.5015
54.500000	82.322	163.2082
55.200001	82.287	162.9603
56.000000	82.256	162.6388
57.000000	82.204	162.1750
58.000000	82.144	161.8369
59.000000	82.097	161.4851
60.000000	82.036	161.0592
60.799999	81.978	160.7567
61.500000	81.928	160.5346
62.200001	81.882	160.3370
63.000000	81.837	160.0923
64.000000	81.776	159.7482
65.000000	81.712	159.4783
66.000000	81.662	159.2331
67.000000	81.614	158.9218
68.000000	81.558	158.6272
69.000000	81.502	158.3644
70.000000	81.445	158.0959
71.000000	81.386	157.8458
72.000000	81.330	157.6064
73.000000	81.276	157.3327
74.000000	81.216	157.0414
75.000000	81.149	156.8185
76.199997	81.078	156.6294
77.500000	81.006	156.4278
78.800003	80.933	156.2534
80.000000	80.868	156.1241
81.199997	80.811	155.9692
82.500000	80.746	155.7464
83.800003	80.681	155.5370
85.000000	80.627	155.3600
86.199997	80.581	155.1459
87.500000	80.522	154.8647
88.500000	80.466	154.6856
90.000000	80.381	154.5043
91.199997	80.316	154.3759
92.500000	80.252	154.2532
93.800003	80.196	154.0922
95.000000	80.143	153.9134
96.199997	80.087	153.7476
97.500000	80.022	153.6000
98.800003	79.955	153.4912
100.000000	79.890	153.4105
101.500000	79.809	153.3094
103.000000	79.729	153.1940
104.400002	79.656	153.0701
106.000000	79.575	152.9476
107.500000	79.504	152.8710
109.000000	79.436	152.8140
110.599998	79.365	152.7490
112.000000	79.299	152.6768
113.800003	79.212	152.6235
115.000000	79.158	152.6279
117.199997	79.068	152.6936
118.000000	79.038	152.7220
120.599998	78.921	152.6401
122.000000	78.822	152.6723
124.099998	78.678	152.9576
125.000000	78.623	153.1074
126.500000	78.538	153.3734
128.000000	78.460	153.6917
131.500000	78.359	154.6973
132.000000	78.358	154.8309
134.000000	78.374	155.2531
136.000000	78.410	155.4019
138.000000	78.428	155.2725
140.000000	78.416	155.0407
143.000000	78.360	154.8270
145.000000	78.320	154.7963
147.500000	78.263	154.7331
150.000000	78.196	154.6469
152.500000	78.131	154.5214
155.000000	78.063	154.4127
157.500000	77.997	154.3410
160.000000	77.930	154.2762
162.500000	77.859	154.2390
165.000000	77.786	154.2305
167.500000	77.712	154.2458
170.000000	77.638	154.2939
172.500000	77.565	154.3745
175.000000	77.492	154.4685
177.500000	77.416	154.5640
180.000000	77.337	154.6566
182.500000	77.263	154.7376
185.000000	77.197	154.8123
187.500000	77.136	154.9133
190.000000	77.078	155.0590
192.500000	77.020	155.2240
195.000000	76.959	155.3734
197.500000	76.899	155.5147
200.000000	76.844	155.6409
203.000000	76.776	155.8406
206.000000	76.706	156.1213
209.000000	76.635	156.4075
212.000000	76.567	156.6817
214.000000	76.525	156.8615
218.000000	76.453	157.1819
220.000000	76.422	157.3317
224.000000	76.356	157.6747
227.000000	76.302	157.9554
230.000000	76.255	158.2574
233.000000	76.223	158.5663
236.000000	76.197	158.7906
240.000000	76.153	158.9423
243.000000	76.110	159.0714
247.000000	76.037	159.3244
250.000000	75.985	159.4988
254.000000	75.929	159.7234
258.000000	75.871	159.9860
262.000000	75.805	160.3172
265.000000	75.755	160.5804
269.000000	75.695	160.8517
272.000000	75.653	161.0236
276.000000	75.599	161.3153
280.000000	75.551	161.6418
285.000000	75.502	162.0292
290.000000	75.449	162.4553
295.000000	75.389	162.8344
300.000000	75.333	163.1809
304.000000	75.298	163.4736
307.000000	75.272	163.7140
311.000000	75.234	164.0668
315.000000	75.198	164.3949
320.000000	75.154	164.7686
325.000000	75.107	165.2150
330.000000	75.070	165.6573
335.000000	75.031	166.0671
340.000000	74.990	166.4702
345.000000	74.950	166.8415
350.000000	74.907	167.2033
355.000000	74.865	167.5598
360.000000	74.830	167.9312
365.000000	74.796	168.3263
370.000000	74.763	168.7351
375.000000	74.730	169.1242
382.000000	74.680	169.6409
387.000000	74.637	170.0083
395.000000	74.584	170.5845
400.000000	74.552	170.9778
406.000000	74.507	171.4582
412.000000	74.469	171.8956
418.000000	74.437	172.3203
425.000000	74.399	172.8370
431.000000	74.369	173.2797
437.000000	74.348	173.7438
444.000000	74.323	174.2827
450.000000	74.297	174.6989
455.000000	74.277	175.0424
462.000000	74.247	175.5334
468.000000	74.222	175.9479
475.000000	74.196	176.4420
482.000000	74.171	176.9477
487.000000	74.158	177.3095
494.000000	74.143	177.8157
500.000000	74.125	178.2275
508.000000	74.098	178.7585
515.000000	74.075	179.2132
522.000000	74.058	179.6725
530.000000	74.045	-179.7609
538.000000	74.028	-179.2003
545.000000	74.015	-178.7182
552.000000	74.006	-178.2295
560.000000	73.992	-177.6704
570.000000	73.966	-176.9528
580.000000	73.938	-176.2434
590.000000	73.917	-175.5860
600.000000	73.908	-174.8998
608.000000	73.902	-174.3195
615.000000	73.895	-173.7985
622.000000	73.885	-173.2858
630.000000	73.873	-172.7283
640.000000	73.866	-172.0280
650.000000	73.864	-171.2892
660.000000	73.866	-170.5659
670.000000	73.869	-169.8950
680.000000	73.870	-169.2213
690.000000	73.876	-168.5138
700.000000	73.882	-167.8166
710.000000	73.885	-167.1201
720.000000	73.892	-166.4302
730.000000	73.900	-165.7458
740.000000	73.911	-165.0325
750.000000	73.927	-164.3168
