* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 ¿ÀÈÄ 8:40:59
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Sedna
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.231	-169.0709
20.600000	84.243	-169.2852
20.900000	84.264	-169.6765
21.200001	84.274	-170.0714
21.400000	84.275	-170.3335
21.799999	84.264	-170.8580
22.000000	84.255	-171.1176
22.400000	84.232	-171.6166
22.700001	84.216	-171.9754
23.000000	84.203	-172.3336
23.299999	84.193	-172.7031
23.600000	84.186	-173.0895
24.000000	84.179	-173.6299
24.299999	84.174	-174.0443
24.700001	84.168	-174.5920
25.000000	84.164	-174.9893
25.400000	84.161	-175.4948
25.799999	84.160	-175.9734
26.200001	84.161	-176.4285
26.500000	84.163	-176.7565
26.900000	84.165	-177.1793
27.200001	84.166	-177.4890
27.600000	84.166	-177.8976
28.000000	84.162	-178.3050
28.500000	84.149	-178.8046
29.000000	84.126	-179.2672
29.500000	84.099	-179.6742
30.000000	84.074	179.9554
30.400000	84.058	179.6530
30.700001	84.048	179.4086
31.100000	84.034	179.0574
31.500000	84.017	178.6909
32.000000	83.994	178.2411
32.500000	83.974	177.8121
33.000000	83.960	177.3829
33.500000	83.949	176.9327
34.000000	83.937	176.4700
34.500000	83.923	176.0219
35.000000	83.908	175.6011
35.500000	83.893	175.2030
36.000000	83.875	174.8254
36.500000	83.854	174.4766
37.000000	83.834	174.1582
37.500000	83.814	173.8532
38.200001	83.785	173.4120
38.700001	83.761	173.0871
39.500000	83.718	172.5831
40.000000	83.693	172.2749
40.599998	83.665	171.8951
41.200001	83.639	171.5009
41.799999	83.615	171.0993
42.500000	83.590	170.6222
43.099998	83.567	170.2083
43.700001	83.541	169.8196
44.400002	83.511	169.4432
45.000000	83.494	169.1654
45.500000	83.486	168.9050
46.200001	83.469	168.4547
46.799999	83.438	168.0522
47.500000	83.387	167.6653
48.200001	83.333	167.3660
48.700001	83.294	167.1993
49.400002	83.250	167.0421
50.000000	83.232	166.9029
50.799999	83.221	166.5259
51.500000	83.194	166.0764
52.200001	83.154	165.6946
53.000000	83.117	165.3127
53.799999	83.078	164.8993
54.500000	83.036	164.5919
55.200001	82.997	164.3570
56.000000	82.961	164.1075
57.000000	82.921	163.7724
58.000000	82.879	163.3580
59.000000	82.823	162.9365
60.000000	82.765	162.5517
60.799999	82.718	162.2546
61.500000	82.679	162.0305
62.200001	82.648	161.8108
63.000000	82.617	161.5114
64.000000	82.569	161.1137
65.000000	82.514	160.7749
66.000000	82.460	160.5009
67.000000	82.412	160.2648
68.000000	82.368	159.9927
69.000000	82.318	159.6979
70.000000	82.267	159.4249
71.000000	82.219	159.1482
72.000000	82.171	158.8719
73.000000	82.122	158.5963
74.000000	82.069	158.3384
75.000000	82.012	158.1235
76.199997	81.944	157.9039
77.500000	81.872	157.6906
78.800003	81.800	157.4419
80.000000	81.736	157.2336
81.199997	81.679	156.9987
82.500000	81.619	156.7349
83.800003	81.563	156.4868
85.000000	81.511	156.2696
86.199997	81.458	156.0795
87.500000	81.401	155.8861
88.500000	81.356	155.7205
90.000000	81.280	155.4542
91.199997	81.215	155.2549
92.500000	81.145	155.0561
93.800003	81.077	154.8582
95.000000	81.016	154.7106
96.199997	80.966	154.5817
97.500000	80.919	154.4095
98.800003	80.869	154.2184
100.000000	80.819	154.0546
101.500000	80.750	153.8757
103.000000	80.676	153.7286
104.400002	80.604	153.6135
106.000000	80.524	153.4846
107.500000	80.448	153.3438
109.000000	80.373	153.1968
110.599998	80.297	153.0424
112.000000	80.233	152.8914
113.800003	80.141	152.7756
115.000000	80.083	152.7985
117.199997	79.989	152.8417
118.000000	79.951	152.8259
120.599998	79.813	152.8075
122.000000	79.736	152.7390
124.099998	79.603	152.7654
125.000000	79.547	152.8629
126.500000	79.461	153.0899
128.000000	79.374	153.3746
131.500000	79.225	154.4779
132.000000	79.219	154.6549
134.000000	79.233	155.2680
136.000000	79.284	155.5594
138.000000	79.329	155.4491
140.000000	79.338	155.0483
143.000000	79.292	154.4109
145.000000	79.246	154.1109
147.500000	79.173	153.8190
150.000000	79.079	153.6255
152.500000	78.987	153.5083
155.000000	78.900	153.4251
157.500000	78.808	153.3539
160.000000	78.711	153.3435
162.500000	78.621	153.4036
165.000000	78.544	153.4784
167.500000	78.478	153.5096
170.000000	78.415	153.5413
172.500000	78.351	153.6237
175.000000	78.286	153.7584
177.500000	78.227	153.8285
180.000000	78.165	153.8307
182.500000	78.099	153.8743
185.000000	78.028	153.9633
187.500000	77.956	154.0385
190.000000	77.888	154.1141
192.500000	77.829	154.2053
195.000000	77.768	154.2932
197.500000	77.700	154.3989
200.000000	77.634	154.5170
203.000000	77.556	154.6757
206.000000	77.481	154.8829
209.000000	77.408	155.1056
212.000000	77.334	155.2877
214.000000	77.283	155.3638
218.000000	77.185	155.5180
220.000000	77.143	155.6589
224.000000	77.059	156.0117
227.000000	76.997	156.2816
230.000000	76.947	156.5581
233.000000	76.908	156.8258
236.000000	76.874	157.0216
240.000000	76.824	157.1331
243.000000	76.777	157.2254
247.000000	76.703	157.4468
250.000000	76.646	157.6284
254.000000	76.569	157.8454
258.000000	76.492	158.0984
262.000000	76.421	158.3652
265.000000	76.375	158.5466
269.000000	76.321	158.7889
272.000000	76.278	158.9952
276.000000	76.217	159.2914
280.000000	76.158	159.5891
285.000000	76.083	159.9564
290.000000	76.004	160.3494
295.000000	75.933	160.7112
300.000000	75.883	161.0467
304.000000	75.840	161.3433
307.000000	75.797	161.5829
311.000000	75.736	161.9079
315.000000	75.684	162.2143
320.000000	75.626	162.5822
325.000000	75.571	162.9190
330.000000	75.518	163.2862
335.000000	75.460	163.7115
340.000000	75.400	164.0937
345.000000	75.344	164.4628
350.000000	75.298	164.8329
355.000000	75.251	165.1631
360.000000	75.207	165.4909
365.000000	75.166	165.8728
370.000000	75.120	166.2717
375.000000	75.073	166.6479
382.000000	75.018	167.1846
387.000000	74.982	167.5380
395.000000	74.918	168.1047
400.000000	74.879	168.5172
406.000000	74.839	169.0041
412.000000	74.802	169.4533
418.000000	74.761	169.8723
425.000000	74.716	170.3621
431.000000	74.678	170.7736
437.000000	74.634	171.2155
444.000000	74.591	171.7841
450.000000	74.562	172.2509
455.000000	74.538	172.6086
462.000000	74.500	173.0856
468.000000	74.466	173.4826
475.000000	74.430	173.9484
482.000000	74.397	174.4445
487.000000	74.376	174.8277
494.000000	74.349	175.3417
500.000000	74.325	175.7715
508.000000	74.295	176.3490
515.000000	74.271	176.8385
522.000000	74.249	177.3252
530.000000	74.218	177.8611
538.000000	74.182	178.4008
545.000000	74.156	178.9092
552.000000	74.134	179.4091
560.000000	74.113	179.9917
570.000000	74.086	-179.3076
580.000000	74.056	-178.6205
590.000000	74.033	-177.8822
600.000000	74.014	-177.1498
608.000000	74.002	-176.6008
615.000000	73.988	-176.1177
622.000000	73.973	-175.6281
630.000000	73.962	-175.0646
640.000000	73.956	-174.3668
650.000000	73.946	-173.6408
660.000000	73.938	-172.8773
670.000000	73.939	-172.1395
680.000000	73.939	-171.4494
690.000000	73.936	-170.7505
700.000000	73.936	-170.0465
710.000000	73.942	-169.3842
720.000000	73.950	-168.7343
730.000000	73.962	-168.0330
740.000000	73.971	-167.3106
750.000000	73.977	-166.6027
762.000000	73.993	-165.7564
775.000000	74.024	-164.8355
788.000000	74.059	-163.9225
800.000000	74.093	-163.0778
812.000000	74.131	-162.2509
825.000000	74.172	-161.3642
838.000000	74.217	-160.5235
850.000000	74.264	-159.7691
862.000000	74.312	-158.9910
875.000000	74.373	-158.1472
885.000000	74.425	-157.5344
