* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 5:21:07
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Deep
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.893	-170.1046
20.600000	83.889	-170.3616
20.900000	83.879	-170.7996
21.200001	83.864	-171.1632
21.400000	83.854	-171.3770
21.799999	83.836	-171.8009
22.000000	83.828	-172.0341
22.400000	83.809	-172.5533
22.700001	83.790	-172.9740
23.000000	83.767	-173.3994
23.299999	83.743	-173.8091
23.600000	83.721	-174.1968
24.000000	83.701	-174.6890
24.299999	83.695	-175.0611
24.700001	83.697	-175.5898
25.000000	83.701	-176.0191
25.400000	83.705	-176.6240
25.799999	83.703	-177.2300
26.200001	83.695	-177.7971
26.500000	83.684	-178.1818
26.900000	83.667	-178.6357
27.200001	83.653	-178.9353
27.600000	83.634	-179.2879
28.000000	83.618	-179.5962
28.500000	83.603	-179.9423
29.000000	83.597	179.7025
29.500000	83.595	179.2733
30.000000	83.586	178.7419
30.400000	83.568	178.2755
30.700001	83.546	177.9337
31.100000	83.510	177.5253
31.500000	83.475	177.1780
32.000000	83.441	176.7841
32.500000	83.418	176.3542
33.000000	83.396	175.8650
33.500000	83.368	175.3823
34.000000	83.341	174.9785
34.500000	83.326	174.6302
35.000000	83.324	174.2427
35.500000	83.322	173.7595
36.000000	83.304	173.2389
36.500000	83.271	172.7855
37.000000	83.235	172.4390
37.500000	83.207	172.1431
38.200001	83.172	171.6922
38.700001	83.141	171.3481
39.500000	83.084	170.8387
40.000000	83.050	170.5230
40.599998	83.008	170.1210
41.200001	82.961	169.7353
41.799999	82.918	169.3903
42.500000	82.880	168.9711
43.099998	82.848	168.5601
43.700001	82.810	168.1693
44.400002	82.769	167.8071
45.000000	82.748	167.5204
45.500000	82.736	167.2316
46.200001	82.715	166.7405
46.799999	82.683	166.3037
47.500000	82.635	165.8570
48.200001	82.586	165.4960
48.700001	82.553	165.2799
49.400002	82.515	165.0106
50.000000	82.489	164.7759
50.799999	82.459	164.4101
51.500000	82.427	164.0640
52.200001	82.391	163.7545
53.000000	82.356	163.4296
53.799999	82.322	163.0582
54.500000	82.283	162.7222
55.200001	82.237	162.4373
56.000000	82.187	162.1782
57.000000	82.138	161.9100
58.000000	82.106	161.5564
59.000000	82.054	161.0419
60.000000	81.972	160.6671
60.799999	81.917	160.4954
61.500000	81.881	160.3196
62.200001	81.846	160.0983
63.000000	81.800	159.8340
64.000000	81.738	159.5180
65.000000	81.674	159.2280
66.000000	81.611	158.9680
67.000000	81.552	158.7101
68.000000	81.493	158.4263
69.000000	81.432	158.1290
70.000000	81.371	157.8413
71.000000	81.312	157.5583
72.000000	81.255	157.3013
73.000000	81.207	157.0716
74.000000	81.162	156.7913
75.000000	81.100	156.5418
76.199997	81.026	156.4243
77.500000	80.958	156.3229
78.800003	80.885	156.2053
80.000000	80.820	156.1186
81.199997	80.770	155.9448
82.500000	80.713	155.6034
83.800003	80.647	155.2688
85.000000	80.586	155.0218
86.199997	80.530	154.8445
87.500000	80.466	154.6746
88.500000	80.413	154.5919
90.000000	80.337	154.4572
91.199997	80.272	154.2910
92.500000	80.197	154.1213
93.800003	80.131	153.9845
95.000000	80.080	153.8289
96.199997	80.024	153.6472
97.500000	79.957	153.5106
98.800003	79.894	153.4155
100.000000	79.835	153.3133
101.500000	79.761	153.2054
103.000000	79.695	153.0797
104.400002	79.632	152.9392
106.000000	79.556	152.8241
107.500000	79.484	152.7451
109.000000	79.408	152.6904
110.599998	79.330	152.6763
112.000000	79.274	152.6483
113.800003	79.209	152.5551
115.000000	79.165	152.5047
117.199997	79.080	152.5295
118.000000	79.050	152.5598
120.599998	78.940	152.4836
122.000000	78.855	152.4201
124.099998	78.736	152.4531
125.000000	78.695	152.4762
126.500000	78.633	152.4960
128.000000	78.568	152.5334
131.500000	78.400	152.7078
132.000000	78.372	152.7310
134.000000	78.263	152.8828
136.000000	78.172	153.0830
138.000000	78.090	153.3334
140.000000	78.007	153.7155
143.000000	77.905	154.5704
145.000000	77.880	155.2096
147.500000	77.913	155.7949
150.000000	77.964	155.9219
152.500000	77.986	155.7106
155.000000	77.973	155.3501
157.500000	77.932	155.0153
160.000000	77.874	154.7912
162.500000	77.806	154.6437
165.000000	77.727	154.5474
167.500000	77.646	154.4972
170.000000	77.570	154.4774
172.500000	77.497	154.4881
175.000000	77.417	154.5518
177.500000	77.334	154.6437
180.000000	77.256	154.7540
182.500000	77.192	154.8741
185.000000	77.131	154.9852
187.500000	77.064	155.1063
190.000000	76.995	155.2244
192.500000	76.931	155.3580
195.000000	76.876	155.5088
197.500000	76.822	155.6587
200.000000	76.767	155.8098
203.000000	76.699	156.0026
206.000000	76.635	156.1939
209.000000	76.572	156.3751
212.000000	76.508	156.5777
214.000000	76.468	156.7259
218.000000	76.389	157.0209
220.000000	76.353	157.1516
224.000000	76.281	157.3919
227.000000	76.227	157.6159
230.000000	76.171	157.8917
233.000000	76.112	158.1788
236.000000	76.054	158.4245
240.000000	75.985	158.7289
243.000000	75.939	158.9926
247.000000	75.866	159.3977
250.000000	75.812	159.7173
254.000000	75.749	160.1083
258.000000	75.699	160.5294
262.000000	75.661	160.9247
265.000000	75.637	161.1608
269.000000	75.604	161.3975
272.000000	75.572	161.5584
276.000000	75.522	161.8116
280.000000	75.470	162.1105
285.000000	75.405	162.4582
290.000000	75.348	162.7636
295.000000	75.300	163.1050
300.000000	75.252	163.5779
304.000000	75.206	163.9394
307.000000	75.169	164.1789
311.000000	75.123	164.4750
315.000000	75.087	164.7599
320.000000	75.050	165.1310
325.000000	75.015	165.5474
330.000000	74.978	165.9528
335.000000	74.937	166.3311
340.000000	74.897	166.6947
345.000000	74.857	167.0594
350.000000	74.818	167.4868
355.000000	74.777	167.9299
360.000000	74.737	168.3228
365.000000	74.701	168.6823
370.000000	74.667	169.0883
375.000000	74.632	169.5155
382.000000	74.576	170.0240
387.000000	74.542	170.3531
395.000000	74.497	170.9545
400.000000	74.465	171.3833
406.000000	74.424	171.8468
412.000000	74.390	172.2758
418.000000	74.360	172.7227
425.000000	74.322	173.2533
431.000000	74.291	173.6958
437.000000	74.260	174.1564
444.000000	74.224	174.6949
450.000000	74.199	175.1320
455.000000	74.181	175.4960
462.000000	74.152	175.9857
468.000000	74.130	176.4060
475.000000	74.107	176.8950
482.000000	74.086	177.4141
487.000000	74.071	177.8134
494.000000	74.052	178.3413
500.000000	74.036	178.7466
508.000000	74.016	179.2894
515.000000	74.002	179.7881
522.000000	73.986	-179.6952
530.000000	73.968	-179.1360
538.000000	73.953	-178.5869
545.000000	73.936	-178.0838
552.000000	73.916	-177.5928
560.000000	73.895	-177.0620
570.000000	73.872	-176.3817
580.000000	73.858	-175.6261
590.000000	73.853	-174.9017
600.000000	73.842	-174.1974
608.000000	73.828	-173.6226
615.000000	73.818	-173.1226
622.000000	73.810	-172.6348
630.000000	73.807	-172.0645
640.000000	73.808	-171.3089
650.000000	73.806	-170.5740
660.000000	73.802	-169.8731
670.000000	73.802	-169.1636
680.000000	73.809	-168.4784
690.000000	73.815	-167.7852
700.000000	73.818	-167.0630
710.000000	73.823	-166.3307
720.000000	73.831	-165.6244
730.000000	73.843	-164.9480
740.000000	73.858	-164.2791
750.000000	73.875	-163.6021
762.000000	73.900	-162.7704
775.000000	73.928	-161.8563
788.000000	73.955	-160.9646
800.000000	73.983	-160.1409
812.000000	74.018	-159.3118
825.000000	74.061	-158.4328
838.000000	74.110	-157.5807
850.000000	74.158	-156.8295
862.000000	74.206	-156.0723
875.000000	74.259	-155.2574
885.000000	74.303	-154.6525
900.000000	74.378	-153.7575
912.000000	74.445	-153.0462
925.000000	74.521	-152.2962
938.000000	74.599	-151.5784
950.000000	74.668	-150.9422
962.000000	74.742	-150.3496
975.000000	74.829	-149.7509
988.000000	74.914	-149.1250
1000.000000	74.993	-148.5520
1015.000000	75.103	-147.9920
1030.000000	75.215	-147.4810
1044.000000	75.312	-147.0054
1060.000000	75.421	-146.4986
1075.000000	75.526	-146.0690
1090.000000	75.635	-145.6553
1106.000000	75.761	-145.2553
1120.000000	75.874	-144.9670
1138.000000	76.010	-144.6449
1150.000000	76.095	-144.4351
1172.000000	76.253	-144.0459
1180.000000	76.311	-143.9185
1206.000000	76.494	-143.5715
1220.000000	76.586	-143.4168
1241.000000	76.720	-143.2252
1250.000000	76.777	-143.1556
1265.000000	76.873	-143.0417
1280.000000	76.968	-142.9238
1315.000000	77.176	-142.6233
1320.000000	77.204	-142.5819
1340.000000	77.316	-142.4329
1360.000000	77.423	-142.3063
1380.000000	77.529	-142.1965
1400.000000	77.640	-142.0844
1430.000000	77.805	-141.9437
1450.000000	77.913	-141.8905
1475.000000	78.046	-141.7893
1500.000000	78.178	-141.7022
1525.000000	78.311	-141.6356
1550.000000	78.440	-141.5704
1575.000000	78.567	-141.5348
1600.000000	78.690	-141.5154
1625.000000	78.814	-141.5076
