* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 5:17:40
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_Final
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.851	-170.5513
20.600000	83.859	-170.8140
20.900000	83.869	-171.2794
21.200001	83.866	-171.7100
21.400000	83.857	-171.9736
21.799999	83.827	-172.4632
22.000000	83.809	-172.6938
22.400000	83.771	-173.1230
22.700001	83.744	-173.4261
23.000000	83.722	-173.7344
23.299999	83.707	-174.0709
23.600000	83.697	-174.4529
24.000000	83.686	-175.0441
24.299999	83.676	-175.5358
24.700001	83.657	-176.2130
25.000000	83.639	-176.7013
25.400000	83.613	-177.2943
25.799999	83.592	-177.8199
26.200001	83.578	-178.3055
26.500000	83.572	-178.6606
26.900000	83.564	-179.1278
27.200001	83.556	-179.4672
27.600000	83.545	-179.8948
28.000000	83.536	179.7029
28.500000	83.528	179.1985
29.000000	83.514	178.6559
29.500000	83.487	178.1047
30.000000	83.447	177.6285
30.400000	83.416	177.3268
30.700001	83.398	177.1281
31.100000	83.383	176.8461
31.500000	83.374	176.4995
32.000000	83.355	175.9709
32.500000	83.321	175.4207
33.000000	83.279	174.9445
33.500000	83.246	174.5474
34.000000	83.226	174.1633
34.500000	83.211	173.7449
35.000000	83.194	173.3014
35.500000	83.175	172.8585
36.000000	83.153	172.4208
36.500000	83.126	171.9928
37.000000	83.091	171.6058
37.500000	83.055	171.2892
38.200001	83.013	170.9110
38.700001	82.991	170.5952
39.500000	82.939	169.9676
40.000000	82.892	169.6010
40.599998	82.834	169.2641
41.200001	82.791	168.9675
41.799999	82.759	168.6022
42.500000	82.718	168.1119
43.099998	82.680	167.7491
43.700001	82.655	167.4268
44.400002	82.638	166.9719
45.000000	82.612	166.5210
45.500000	82.579	166.2046
46.200001	82.537	165.9181
46.799999	82.520	165.7188
47.500000	82.515	165.3744
48.200001	82.500	164.8977
48.700001	82.476	164.5343
49.400002	82.426	164.0867
50.000000	82.380	163.7951
50.799999	82.331	163.4531
51.500000	82.292	163.0955
52.200001	82.242	162.7350
53.000000	82.181	162.4431
53.799999	82.138	162.2083
54.500000	82.105	161.9512
55.200001	82.067	161.6857
56.000000	82.023	161.4373
57.000000	81.974	161.1284
58.000000	81.916	160.8124
59.000000	81.860	160.5439
60.000000	81.805	160.1797
60.799999	81.749	159.8535
61.500000	81.697	159.5880
62.200001	81.644	159.3395
63.000000	81.585	159.0997
64.000000	81.525	158.8282
65.000000	81.470	158.5022
66.000000	81.411	158.2392
67.000000	81.362	158.0139
68.000000	81.309	157.7595
69.000000	81.252	157.5511
70.000000	81.197	157.3183
71.000000	81.134	157.0593
72.000000	81.071	156.8266
73.000000	81.013	156.5616
74.000000	80.955	156.2912
75.000000	80.900	156.0269
76.199997	80.824	155.7465
77.500000	80.738	155.6561
78.800003	80.677	155.6677
80.000000	80.632	155.5073
81.199997	80.562	155.1589
82.500000	80.460	154.8648
83.800003	80.377	154.5859
85.000000	80.296	154.2809
86.199997	80.213	154.1213
87.500000	80.138	154.0898
88.500000	80.092	154.0791
90.000000	80.027	153.9721
91.199997	79.974	153.7946
92.500000	79.913	153.4918
93.800003	79.838	153.1738
95.000000	79.767	153.0519
96.199997	79.711	153.0375
97.500000	79.649	152.9995
98.800003	79.557	153.0133
100.000000	79.465	153.1727
101.500000	79.375	153.2957
103.000000	79.281	153.2127
104.400002	79.185	153.2505
106.000000	79.100	153.4726
107.500000	79.029	153.7152
109.000000	78.949	153.9597
110.599998	78.863	154.2803
112.000000	78.818	154.6167
113.800003	78.823	155.0371
115.000000	78.849	155.3057
117.199997	78.892	155.8083
118.000000	78.902	155.9962
120.599998	78.953	155.7106
122.000000	78.899	154.8300
124.099998	78.760	153.8878
125.000000	78.717	153.6476
126.500000	78.660	153.3885
128.000000	78.606	153.2671
131.500000	78.445	153.1404
132.000000	78.420	153.1229
134.000000	78.330	153.0594
136.000000	78.248	153.0621
138.000000	78.165	153.1806
140.000000	78.078	153.3463
143.000000	77.952	153.5570
145.000000	77.881	153.7379
147.500000	77.823	154.0762
150.000000	77.790	154.3895
152.500000	77.767	154.5504
155.000000	77.738	154.5406
157.500000	77.700	154.4689
160.000000	77.646	154.3735
162.500000	77.574	154.3004
165.000000	77.491	154.2576
167.500000	77.409	154.2548
170.000000	77.336	154.2767
172.500000	77.268	154.3203
175.000000	77.201	154.4075
177.500000	77.131	154.5487
180.000000	77.057	154.7085
182.500000	76.981	154.8162
185.000000	76.908	154.8905
187.500000	76.846	154.9836
190.000000	76.789	155.1344
192.500000	76.731	155.3394
195.000000	76.672	155.5209
197.500000	76.612	155.6628
200.000000	76.555	155.7984
203.000000	76.486	155.9912
206.000000	76.417	156.2037
209.000000	76.353	156.4286
212.000000	76.296	156.6454
214.000000	76.253	156.7853
218.000000	76.163	157.0650
220.000000	76.123	157.2020
224.000000	76.051	157.5143
227.000000	76.006	157.7845
230.000000	75.961	158.0339
233.000000	75.910	158.2505
236.000000	75.857	158.4500
240.000000	75.795	158.7560
243.000000	75.751	159.0150
247.000000	75.684	159.3466
250.000000	75.633	159.5723
254.000000	75.572	159.8815
258.000000	75.509	160.2081
262.000000	75.445	160.5502
265.000000	75.398	160.8368
269.000000	75.340	161.2228
272.000000	75.303	161.4722
276.000000	75.259	161.7866
280.000000	75.213	162.1147
285.000000	75.152	162.5541
290.000000	75.093	162.9796
295.000000	75.035	163.3696
300.000000	74.977	163.7670
304.000000	74.938	164.0971
307.000000	74.916	164.3401
311.000000	74.888	164.6638
315.000000	74.853	164.9868
320.000000	74.810	165.3905
325.000000	74.773	165.7975
330.000000	74.732	166.2219
335.000000	74.689	166.6644
340.000000	74.649	167.0840
345.000000	74.612	167.4996
350.000000	74.578	167.9126
355.000000	74.540	168.3411
360.000000	74.501	168.7773
365.000000	74.463	169.1831
370.000000	74.426	169.5655
375.000000	74.393	169.9471
382.000000	74.346	170.4668
387.000000	74.313	170.8569
395.000000	74.257	171.4933
400.000000	74.228	171.8792
406.000000	74.198	172.3653
412.000000	74.164	172.8807
418.000000	74.126	173.3629
425.000000	74.085	173.8927
431.000000	74.057	174.3454
437.000000	74.034	174.7759
444.000000	74.005	175.2834
450.000000	73.980	175.7422
455.000000	73.962	176.1162
462.000000	73.942	176.6024
468.000000	73.923	177.0293
475.000000	73.909	177.5684
482.000000	73.890	178.1183
487.000000	73.872	178.4904
