* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 5:42:58
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_UC
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.371	-169.6554
20.600000	84.373	-169.8395
20.900000	84.375	-170.1678
21.200001	84.373	-170.4798
21.400000	84.370	-170.6831
21.799999	84.359	-171.1046
22.000000	84.353	-171.3313
22.400000	84.339	-171.8176
22.700001	84.327	-172.2095
23.000000	84.315	-172.6213
23.299999	84.301	-173.0441
23.600000	84.289	-173.4700
24.000000	84.275	-174.0330
24.299999	84.269	-174.4494
24.700001	84.266	-175.0002
25.000000	84.267	-175.4136
25.400000	84.269	-175.9650
25.799999	84.269	-176.5053
26.200001	84.267	-177.0126
26.500000	84.262	-177.3579
26.900000	84.253	-177.7641
27.200001	84.247	-178.0337
27.600000	84.241	-178.3685
28.000000	84.238	-178.7107
28.500000	84.232	-179.1891
29.000000	84.213	-179.7118
29.500000	84.178	179.7864
30.000000	84.134	179.3647
30.400000	84.104	179.0779
30.700001	84.086	178.8692
31.100000	84.068	178.5645
31.500000	84.053	178.2119
32.000000	84.031	177.7189
32.500000	84.005	177.2193
33.000000	83.980	176.7503
33.500000	83.964	176.2999
34.000000	83.954	175.8364
34.500000	83.942	175.3580
35.000000	83.924	174.9012
35.500000	83.903	174.5053
36.000000	83.886	174.1662
36.500000	83.875	173.8391
37.000000	83.864	173.4807
37.500000	83.845	173.0953
38.200001	83.800	172.5966
38.700001	83.762	172.3089
39.500000	83.713	171.8956
40.000000	83.688	171.6009
40.599998	83.658	171.1920
41.200001	83.622	170.7543
41.799999	83.581	170.3328
42.500000	83.531	169.9213
43.099998	83.499	169.6575
43.700001	83.482	169.4227
44.400002	83.478	169.0825
45.000000	83.471	168.7122
45.500000	83.455	168.3947
46.200001	83.422	168.0076
46.799999	83.392	167.7306
47.500000	83.360	167.4059
48.200001	83.322	167.0537
48.700001	83.288	166.8185
49.400002	83.239	166.5613
50.000000	83.207	166.3793
50.799999	83.180	166.0654
51.500000	83.157	165.6790
52.200001	83.124	165.2592
53.000000	83.080	164.8376
53.799999	83.041	164.4823
54.500000	83.013	164.1625
55.200001	82.983	163.8116
56.000000	82.939	163.4404
57.000000	82.887	163.0662
58.000000	82.837	162.6827
59.000000	82.781	162.3228
60.000000	82.727	161.9887
60.799999	82.685	161.6954
61.500000	82.648	161.4375
