* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 5:54:47
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L_OldSteel
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	83.470	-174.2049
20.600000	83.467	-174.5722
20.900000	83.451	-175.1984
21.200001	83.420	-175.7095
21.400000	83.396	-175.9830
21.799999	83.352	-176.4484
22.000000	83.336	-176.6813
22.400000	83.316	-177.2149
22.700001	83.306	-177.7044
23.000000	83.292	-178.2687
23.299999	83.273	-178.8690
23.600000	83.248	-179.4651
24.000000	83.212	179.7955
24.299999	83.192	179.2886
24.700001	83.176	178.6384
25.000000	83.170	178.1304
25.400000	83.161	177.4025
25.799999	83.136	176.6707
26.200001	83.091	176.0605
26.500000	83.053	175.7471
26.900000	83.013	175.5179
27.200001	83.003	175.4066
27.600000	83.017	175.1766
28.000000	83.038	174.7114
28.500000	83.026	173.8509
29.000000	82.949	173.0602
29.500000	82.846	172.6537
30.000000	82.785	172.5155
30.400000	82.775	172.3221
30.700001	82.778	172.0316
31.100000	82.769	171.4810
31.500000	82.736	170.8827
32.000000	82.677	170.2708
32.500000	82.631	169.8043
33.000000	82.606	169.2930
33.500000	82.578	168.6786
34.000000	82.528	168.1399
34.500000	82.479	167.8413
35.000000	82.462	167.6880
35.500000	82.479	167.4106
36.000000	82.494	166.8802
36.500000	82.476	166.2283
37.000000	82.428	165.6735
37.500000	82.375	165.2736
38.200001	82.316	164.7527
38.700001	82.271	164.2999
39.500000	82.173	163.6393
40.000000	82.116	163.3522
40.599998	82.069	163.0248
41.200001	82.033	162.6119
41.799999	81.995	162.1797
42.500000	81.962	161.7021
43.099998	81.942	161.1931
43.700001	81.903	160.5982
44.400002	81.825	160.0624
45.000000	81.765	159.8221
45.500000	81.735	159.6347
46.200001	81.699	159.2604
46.799999	81.662	158.9303
47.500000	81.634	158.5714
48.200001	81.623	158.0348
48.700001	81.602	157.5462
49.400002	81.549	156.9413
50.000000	81.507	156.5401
50.799999	81.455	155.9534
51.500000	81.376	155.4954
52.200001	81.286	155.3700
53.000000	81.229	155.3830
53.799999	81.177	155.1458
54.500000	81.094	154.9788
55.200001	81.024	155.0255
56.000000	80.995	154.9177
57.000000	80.945	154.1517
58.000000	80.817	153.4016
59.000000	80.708	153.1457
60.000000	80.687	152.8521
60.799999	80.678	152.3138
61.500000	80.646	151.8096
62.200001	80.596	151.3766
63.000000	80.512	150.9937
64.000000	80.375	150.9651
65.000000	80.289	151.3245
66.000000	80.261	151.4594
67.000000	80.243	151.1960
68.000000	80.202	150.5168
69.000000	80.093	149.6959
70.000000	79.937	149.3014
71.000000	79.828	149.4010
72.000000	79.794	149.4413
73.000000	79.772	149.2092
74.000000	79.728	148.8588
75.000000	79.660	148.5042
76.199997	79.555	148.1322
77.500000	79.423	147.8087
78.800003	79.294	147.6232
80.000000	79.189	147.5944
81.199997	79.129	147.7330
82.500000	79.125	147.5739
83.800003	79.071	146.9458
85.000000	78.936	146.5611
86.199997	78.779	146.7179
