* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 5:53:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_OldSteel
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.299	-170.5820
20.600000	84.288	-170.7975
20.900000	84.264	-171.1516
21.200001	84.239	-171.4095
21.400000	84.227	-171.5433
21.799999	84.213	-171.8023
22.000000	84.211	-171.9644
22.400000	84.214	-172.3952
22.700001	84.214	-172.8089
23.000000	84.207	-173.2710
23.299999	84.195	-173.7385
23.600000	84.182	-174.1858
24.000000	84.171	-174.7447
24.299999	84.173	-175.1650
24.700001	84.185	-175.7802
25.000000	84.194	-176.2977
25.400000	84.194	-177.0274
25.799999	84.177	-177.7050
26.200001	84.151	-178.2406
26.500000	84.133	-178.5428
26.900000	84.120	-178.8654
27.200001	84.117	-179.1028
27.600000	84.117	-179.4631
28.000000	84.110	-179.8634
28.500000	84.086	179.6714
29.000000	84.059	179.3058
29.500000	84.043	178.9641
30.000000	84.032	178.5275
30.400000	84.016	178.1075
30.700001	83.996	177.7873
31.100000	83.963	177.4025
31.500000	83.931	177.0757
32.000000	83.902	176.6940
32.500000	83.884	176.2654
33.000000	83.867	175.7819
33.500000	83.851	175.2848
34.000000	83.838	174.7808
34.500000	83.820	174.2479
35.000000	83.789	173.7185
35.500000	83.746	173.2913
36.000000	83.707	173.0143
36.500000	83.687	172.8090
37.000000	83.682	172.5412
37.500000	83.675	172.1695
38.200001	83.643	171.6116
38.700001	83.611	171.2694
39.500000	83.564	170.7649
40.000000	83.535	170.4501
40.599998	83.503	170.0970
41.200001	83.480	169.7435
41.799999	83.462	169.3302
42.500000	83.430	168.8183
43.099998	83.399	168.4598
43.700001	83.377	168.1592
44.400002	83.362	167.7574
45.000000	83.339	167.3515
45.500000	83.310	167.0327
46.200001	83.261	166.6657
46.799999	83.221	166.3771
47.500000	83.169	166.0146
48.200001	83.105	165.7060
48.700001	83.062	165.5623
49.400002	83.023	165.3861
50.000000	83.006	165.1359
50.799999	82.981	164.6365
51.500000	82.952	164.1271
52.200001	82.913	163.5936
53.000000	82.853	163.0699
53.799999	82.801	162.7285
54.500000	82.774	162.4392
55.200001	82.743	162.0965
56.000000	82.697	161.7961
57.000000	82.655	161.4843
58.000000	82.595	161.0094
59.000000	82.499	160.7095
60.000000	82.423	160.4807
60.799999	82.361	160.1757
61.500000	82.301	159.9230
62.200001	82.250	159.6941
63.000000	82.203	159.3415
64.000000	82.129	158.7982
65.000000	82.039	158.3988
66.000000	81.959	158.1464
67.000000	81.888	157.9552
68.000000	81.823	157.7817
69.000000	81.755	157.5293
70.000000	81.663	157.2961
71.000000	81.567	157.2311
72.000000	81.486	157.2530
73.000000	81.412	157.3039
74.000000	81.337	157.4687
75.000000	81.274	157.7859
76.199997	81.226	158.2084
77.500000	81.186	158.5468
78.800003	81.154	158.6852
80.000000	81.110	158.6592
81.199997	81.092	158.8275
82.500000	81.170	158.7385
83.800003	81.242	158.0255
85.000000	81.244	157.2453
86.199997	81.182	156.6929
