* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 10. 1 오후 5:32:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R_Steel
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	84.358	-170.3567
20.600000	84.355	-170.5593
20.900000	84.346	-170.9117
21.200001	84.335	-171.2253
21.400000	84.327	-171.4244
21.799999	84.311	-171.8401
22.000000	84.302	-172.0698
22.400000	84.281	-172.5715
22.700001	84.263	-172.9771
23.000000	84.244	-173.4010
23.299999	84.224	-173.8353
23.600000	84.205	-174.2722
24.000000	84.183	-174.8467
24.299999	84.170	-175.2654
24.700001	84.161	-175.8082
25.000000	84.160	-176.2116
25.400000	84.164	-176.7588
25.799999	84.172	-177.3250
26.200001	84.178	-177.8996
26.500000	84.178	-178.3199
26.900000	84.171	-178.8458
27.200001	84.162	-179.2054
27.600000	84.147	-179.6369
28.000000	84.131	179.9785
28.500000	84.110	179.5462
29.000000	84.091	179.1422
29.500000	84.072	178.7335
30.000000	84.050	178.2963
30.400000	84.027	177.9350
30.700001	84.006	177.6717
31.100000	83.978	177.3455
31.500000	83.952	177.0406
32.000000	83.929	176.6378
32.500000	83.910	176.1433
33.000000	83.882	175.5580
33.500000	83.838	174.9768
34.000000	83.783	174.5209
34.500000	83.733	174.2293
35.000000	83.706	174.0298
35.500000	83.703	173.7910
36.000000	83.710	173.4243
36.500000	83.708	172.9362
37.000000	83.687	172.4197
37.500000	83.647	171.9868
38.200001	83.590	171.6109
38.700001	83.569	171.4203
39.500000	83.564	170.8974
40.000000	83.548	170.3869
40.599998	83.495	169.7715
41.200001	83.425	169.3667
41.799999	83.375	169.1401
42.500000	83.354	168.8144
43.099998	83.340	168.3678
43.700001	83.311	167.8886
44.400002	83.269	167.4250
45.000000	83.241	167.0793
45.500000	83.221	166.7748
46.200001	83.189	166.3179
46.799999	83.154	165.9440
47.500000	83.108	165.5891
48.200001	83.069	165.3068
48.700001	83.048	165.0934
49.400002	83.015	164.7284
50.000000	82.975	164.4044
50.799999	82.911	164.0550
51.500000	82.858	163.7866
52.200001	82.804	163.4920
53.000000	82.734	163.1642
53.799999	82.662	162.8858
54.500000	82.602	162.6442
55.200001	82.541	162.3755
56.000000	82.462	162.0912
57.000000	82.367	161.9073
58.000000	82.307	161.7184
59.000000	82.241	161.3131
60.000000	82.144	160.9651
60.799999	82.064	160.7886
61.500000	81.997	160.6692
62.200001	81.927	160.6024
63.000000	81.849	160.6242
64.000000	81.764	160.8056
65.000000	81.702	161.1103
66.000000	81.663	161.5081
67.000000	81.659	161.9413
68.000000	81.689	162.2229
69.000000	81.729	162.2838
70.000000	81.769	162.1478
71.000000	81.802	161.8295
72.000000	81.819	161.3985
73.000000	81.822	160.9468
74.000000	81.817	160.4965
75.000000	81.798	160.0823
76.199997	81.769	159.6784
77.500000	81.728	159.1987
78.800003	81.655	158.7310
80.000000	81.575	158.3953
81.199997	81.499	158.0488
82.500000	81.408	157.6679
83.800003	81.324	157.3801
85.000000	81.258	157.1000
86.199997	81.187	156.8296
87.500000	81.109	156.6901
88.500000	81.064	156.6459
90.000000	81.013	156.5289
91.199997	80.973	156.4202
92.500000	80.936	156.3217
93.800003	80.904	156.1730
95.000000	80.870	156.0138
96.199997	80.838	155.8620
97.500000	80.806	155.6268
98.800003	80.764	155.3406
100.000000	80.717	155.0816
101.500000	80.649	154.8082
103.000000	80.583	154.5689
104.400002	80.516	154.2856
106.000000	80.424	153.9813
107.500000	80.334	153.7679
109.000000	80.251	153.6278
110.599998	80.170	153.5173
112.000000	80.104	153.4391
113.800003	80.011	153.3491
115.000000	79.942	153.3784
117.199997	79.836	153.6363
118.000000	79.807	153.7519
