* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 5, 2023 4:15:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Lark Studio LSVI L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.891	-138.6152
20.600000	93.836	-138.6297
20.900000	93.723	-138.6891
21.200001	93.616	-138.8494
21.400000	93.545	-139.0401
21.799999	93.396	-139.6236
22.000000	93.313	-140.0025
22.400000	93.133	-140.8727
22.700001	92.996	-141.5828
23.000000	92.870	-142.3416
23.299999	92.764	-143.1924
23.600000	92.680	-144.1745
24.000000	92.595	-145.7107
24.299999	92.546	-146.9889
24.700001	92.493	-148.7394
25.000000	92.469	-149.9989
25.400000	92.469	-151.5522
25.799999	92.515	-152.9920
26.200001	92.598	-154.3771
26.500000	92.671	-155.3779
26.900000	92.770	-156.6028
27.200001	92.843	-157.3844
27.600000	92.941	-158.2083
28.000000	93.048	-158.8214
28.500000	93.186	-159.4179
29.000000	93.305	-159.8939
29.500000	93.392	-160.1931
30.000000	93.460	-160.2935
30.400000	93.508	-160.3133
30.700001	93.539	-160.3493
31.100000	93.561	-160.4496
31.500000	93.557	-160.5673
32.000000	93.523	-160.6331
32.500000	93.487	-160.6049
33.000000	93.471	-160.6771
33.500000	93.466	-161.0510
34.000000	93.441	-161.7220
34.500000	93.385	-162.4757
35.000000	93.318	-163.1262
35.500000	93.276	-163.6810
36.000000	93.271	-164.3032
36.500000	93.286	-165.1035
37.000000	93.293	-166.0115
37.500000	93.287	-166.8425
38.200001	93.286	-167.6534
38.700001	93.317	-168.0496
39.500000	93.407	-168.7407
40.000000	93.457	-169.2613
40.599998	93.490	-169.8498
41.200001	93.500	-170.2712
41.799999	93.507	-170.5434
42.500000	93.519	-170.8225
43.099998	93.525	-171.1184
43.700001	93.520	-171.4596
44.400002	93.504	-171.8806
45.000000	93.489	-172.2670
45.500000	93.478	-172.6227
46.200001	93.464	-173.1727
46.799999	93.454	-173.6727
47.500000	93.448	-174.2552
48.200001	93.450	-174.8055
48.700001	93.459	-175.1779
49.400002	93.480	-175.7029
50.000000	93.498	-176.1707
50.799999	93.509	-176.7439
51.500000	93.516	-177.1264
52.200001	93.532	-177.4667
53.000000	93.552	-177.9416
53.799999	93.555	-178.4739
54.500000	93.547	-178.9095
55.200001	93.541	-179.3506
56.000000	93.532	-179.9054
57.000000	93.516	179.4383
58.000000	93.521	178.8318
59.000000	93.534	178.1297
60.000000	93.531	177.4815
60.799999	93.530	177.0912
61.500000	93.535	176.7921
62.200001	93.541	176.4960
63.000000	93.545	176.1580
64.000000	93.545	175.7249
65.000000	93.536	175.2495
66.000000	93.516	174.7673
67.000000	93.498	174.3192
68.000000	93.492	173.8323
69.000000	93.487	173.2899
70.000000	93.480	172.7743
71.000000	93.481	172.3089
72.000000	93.487	171.8185
73.000000	93.482	171.3167
74.000000	93.471	170.8911
75.000000	93.467	170.4980
76.199997	93.465	169.9420
77.500000	93.452	169.3220
78.800003	93.446	168.7516
80.000000	93.446	168.1995
81.199997	93.440	167.6904
82.500000	93.437	167.1906
83.800003	93.430	166.6513
85.000000	93.415	166.1611
86.199997	93.403	165.6978
87.500000	93.398	165.1631
88.500000	93.391	164.7462
90.000000	93.380	164.1987
91.199997	93.374	163.8013
92.500000	93.363	163.3558
93.800003	93.345	162.9185
95.000000	93.330	162.5115
96.199997	93.318	162.0707
97.500000	93.303	161.5812
98.800003	93.288	161.1272
100.000000	93.276	160.7426
101.500000	93.261	160.2581
103.000000	93.244	159.7735
104.400002	93.228	159.3256
106.000000	93.214	158.7976
107.500000	93.198	158.3112
109.000000	93.180	157.8569
110.599998	93.163	157.3655
112.000000	93.145	156.9098
113.800003	93.121	156.3395
115.000000	93.108	155.9784
117.199997	93.086	155.3439
118.000000	93.078	155.1241
120.599998	93.046	154.4140
122.000000	93.030	154.0165
124.099998	93.006	153.4151
125.000000	92.995	153.1661
126.500000	92.978	152.7670
128.000000	92.959	152.3715
131.500000	92.910	151.4468
132.000000	92.903	151.3152
134.000000	92.877	150.7919
136.000000	92.849	150.2864
138.000000	92.819	149.8099
140.000000	92.787	149.3463
143.000000	92.742	148.6336
145.000000	92.712	148.1612
147.500000	92.679	147.5839
150.000000	92.645	147.0147
152.500000	92.606	146.4587
155.000000	92.567	145.9071
157.500000	92.531	145.3541
160.000000	92.494	144.8160
162.500000	92.456	144.2989
165.000000	92.420	143.7796
167.500000	92.387	143.2558
170.000000	92.353	142.7467
172.500000	92.321	142.2475
175.000000	92.290	141.7422
177.500000	92.259	141.2426
180.000000	92.227	140.7680
182.500000	92.195	140.3184
185.000000	92.163	139.8806
187.500000	92.130	139.4450
190.000000	92.095	139.0164
192.500000	92.059	138.5969
195.000000	92.022	138.1750
197.500000	91.985	137.7444
200.000000	91.949	137.3135
203.000000	91.905	136.8107
206.000000	91.860	136.3258
209.000000	91.814	135.8482
212.000000	91.767	135.3702
214.000000	91.735	135.0520
218.000000	91.667	134.4290
220.000000	91.632	134.1264
224.000000	91.563	133.5302
227.000000	91.514	133.0881
230.000000	91.466	132.6569
233.000000	91.419	132.2330
236.000000	91.371	131.8104
240.000000	91.308	131.2569
243.000000	91.260	130.8488
247.000000	91.199	130.3018
250.000000	91.155	129.8934
254.000000	91.099	129.3519
258.000000	91.044	128.8188
262.000000	90.991	128.3023
265.000000	90.951	127.9232
269.000000	90.898	127.4366
272.000000	90.858	127.0875
276.000000	90.804	126.6364
280.000000	90.750	126.1960
285.000000	90.684	125.6498
290.000000	90.618	125.1035
295.000000	90.550	124.5650
300.000000	90.481	124.0342
304.000000	90.427	123.6167
307.000000	90.386	123.3091
311.000000	90.332	122.9083
315.000000	90.278	122.5116
320.000000	90.212	122.0125
325.000000	90.146	121.5196
330.000000	90.079	121.0339
335.000000	90.010	120.5619
340.000000	89.941	120.1115
345.000000	89.873	119.6782
350.000000	89.806	119.2589
355.000000	89.741	118.8470
360.000000	89.677	118.4414
365.000000	89.614	118.0387
370.000000	89.551	117.6370
375.000000	89.486	117.2350
382.000000	89.396	116.6848
387.000000	89.333	116.3136
395.000000	89.235	115.7662
400.000000	89.176	115.4406
406.000000	89.107	115.0496
412.000000	89.040	114.6501
418.000000	88.975	114.2480
425.000000	88.902	113.8009
431.000000	88.841	113.4378
437.000000	88.778	113.0898
444.000000	88.702	112.7042
450.000000	88.635	112.3868
455.000000	88.581	112.1256
462.000000	88.507	111.7555
468.000000	88.449	111.4415
475.000000	88.384	111.0850
482.000000	88.321	110.7393
487.000000	88.277	110.5021
494.000000	88.216	110.1827
500.000000	88.162	109.9113
508.000000	88.089	109.5427
515.000000	88.026	109.2205
522.000000	87.963	108.8963
530.000000	87.892	108.5292
538.000000	87.821	108.1649
545.000000	87.758	107.8570
552.000000	87.694	107.5774
560.000000	87.621	107.2978
570.000000	87.529	107.0047
580.000000	87.435	106.7707
590.000000	87.346	106.6133
600.000000	87.265	106.5232
608.000000	87.205	106.4825
615.000000	87.158	106.4469
622.000000	87.113	106.4039
630.000000	87.062	106.3474
640.000000	86.998	106.2452
650.000000	86.930	106.0992
660.000000	86.860	105.9390
670.000000	86.794	105.7751
680.000000	86.730	105.5991
690.000000	86.673	105.4390
700.000000	86.623	105.3578
710.000000	86.583	105.3960
720.000000	86.560	105.5304
730.000000	86.556	105.6768
740.000000	86.564	105.7527
750.000000	86.574	105.7217
