* Measurement data measured by REW V5.20.7
* Source: 마이크(Realtek High Definition Audi, MICROPHONE (마스), L, volume: 0.050
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 5, 2023 4:16:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Lark Studio LSVI R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.459	-136.3421
20.600000	94.376	-136.2615
20.900000	94.204	-136.0870
21.200001	94.035	-135.8505
21.400000	93.929	-135.6898
21.799999	93.733	-135.4429
22.000000	93.642	-135.3978
22.400000	93.471	-135.5276
22.700001	93.354	-135.8380
23.000000	93.247	-136.3337
23.299999	93.152	-137.0060
23.600000	93.073	-137.8473
24.000000	92.998	-139.2219
24.299999	92.965	-140.4318
24.700001	92.948	-142.2498
25.000000	92.948	-143.7134
25.400000	92.958	-145.6889
25.799999	92.976	-147.5335
26.200001	93.005	-149.1024
26.500000	93.039	-150.0532
26.900000	93.104	-151.0232
27.200001	93.167	-151.5590
27.600000	93.266	-152.0678
28.000000	93.371	-152.3822
28.500000	93.502	-152.5350
29.000000	93.624	-152.4778
29.500000	93.733	-152.3147
30.000000	93.820	-152.1531
30.400000	93.867	-152.0558
30.700001	93.889	-152.0046
31.100000	93.905	-151.9837
31.500000	93.908	-152.0610
32.000000	93.893	-152.3781
32.500000	93.847	-152.9666
33.000000	93.767	-153.7289
33.500000	93.667	-154.5287
34.000000	93.576	-155.3101
34.500000	93.512	-156.1272
35.000000	93.474	-157.0315
35.500000	93.448	-157.9709
36.000000	93.431	-158.8065
36.500000	93.429	-159.4236
37.000000	93.457	-159.8053
37.500000	93.518	-160.0273
38.200001	93.637	-160.2480
38.700001	93.722	-160.3964
39.500000	93.830	-160.5590
40.000000	93.884	-160.6044
40.599998	93.941	-160.6933
41.200001	93.983	-160.9379
41.799999	94.001	-161.3568
42.500000	93.997	-162.0035
43.099998	93.987	-162.6886
43.700001	93.977	-163.5180
44.400002	93.966	-164.6195
45.000000	93.960	-165.6039
45.500000	93.961	-166.4189
46.200001	93.967	-167.4948
46.799999	93.977	-168.2871
47.500000	94.001	-169.0550
48.200001	94.031	-169.7538
48.700001	94.042	-170.2336
49.400002	94.034	-170.8248
50.000000	94.009	-171.2336
50.799999	93.961	-171.7198
51.500000	93.904	-172.1682
52.200001	93.835	-172.6510
53.000000	93.750	-173.2475
53.799999	93.669	-173.9029
54.500000	93.604	-174.5161
55.200001	93.548	-175.1480
56.000000	93.494	-175.8582
57.000000	93.439	-176.6569
58.000000	93.396	-177.3214
59.000000	93.356	-177.8788
60.000000	93.310	-178.3710
60.799999	93.265	-178.7532
61.500000	93.218	-179.1094
62.200001	93.164	-179.4984
63.000000	93.095	-179.9840
64.000000	93.012	179.3110
65.000000	92.937	178.4630
66.000000	92.878	177.5096
67.000000	92.840	176.4833
68.000000	92.823	175.4534
69.000000	92.829	174.4767
70.000000	92.850	173.5643
71.000000	92.881	172.7405
72.000000	92.921	172.0031
73.000000	92.968	171.3375
74.000000	93.023	170.7615
75.000000	93.086	170.3112
76.199997	93.164	169.9804
77.500000	93.228	169.9459
78.800003	93.247	170.1748
80.000000	93.202	170.4299
81.199997	93.100	170.4923
82.500000	92.954	170.0630
83.800003	92.827	169.0409
85.000000	92.778	167.7766
86.199997	92.816	166.5562
87.500000	92.923	165.6755
88.500000	93.010	165.4241
90.000000	93.079	165.5831
91.199997	93.053	165.8278
92.500000	92.961	165.7952
93.800003	92.851	165.2384
95.000000	92.787	164.3589
96.199997	92.785	163.4007
97.500000	92.838	162.6027
98.800003	92.900	162.2211
100.000000	92.926	162.1528
101.500000	92.895	162.1016
103.000000	92.823	161.7433
104.400002	92.767	161.0863
106.000000	92.757	160.2333
107.500000	92.785	159.6414
109.000000	92.806	159.3307
110.599998	92.789	159.1058
112.000000	92.749	158.7835
113.800003	92.704	158.1287
115.000000	92.694	157.6400
117.199997	92.704	156.9311
118.000000	92.704	156.7473
120.599998	92.670	156.1749
122.000000	92.642	155.7650
124.099998	92.617	155.0551
125.000000	92.614	154.7679
126.500000	92.609	154.3499
128.000000	92.599	153.9828
131.500000	92.554	153.0516
132.000000	92.549	152.9054
134.000000	92.530	152.3326
136.000000	92.513	151.8083
138.000000	92.490	151.3021
140.000000	92.465	150.7752
143.000000	92.430	149.9933
145.000000	92.404	149.5036
147.500000	92.368	148.8959
150.000000	92.334	148.2916
152.500000	92.302	147.7059
155.000000	92.266	147.1237
157.500000	92.227	146.5381
160.000000	92.189	145.9496
162.500000	92.151	145.3682
165.000000	92.115	144.7975
167.500000	92.080	144.2431
170.000000	92.044	143.6980
172.500000	92.011	143.1539
175.000000	91.980	142.6241
177.500000	91.951	142.1093
180.000000	91.921	141.5914
182.500000	91.891	141.0604
185.000000	91.863	140.5245
187.500000	91.834	139.9966
190.000000	91.804	139.4842
192.500000	91.770	138.9890
195.000000	91.737	138.4990
197.500000	91.707	138.0090
200.000000	91.676	137.5274
203.000000	91.638	136.9604
206.000000	91.596	136.3889
209.000000	91.553	135.8235
212.000000	91.512	135.2800
214.000000	91.485	134.9239
218.000000	91.430	134.2175
220.000000	91.402	133.8717
224.000000	91.345	133.1871
227.000000	91.299	132.6679
230.000000	91.251	132.1552
233.000000	91.199	131.6669
236.000000	91.146	131.2002
240.000000	91.083	130.5927
243.000000	91.038	130.1381
247.000000	90.979	129.5341
250.000000	90.934	129.0893
254.000000	90.870	128.5017
258.000000	90.803	127.9252
262.000000	90.735	127.3752
265.000000	90.684	126.9808
269.000000	90.620	126.4704
272.000000	90.576	126.0906
276.000000	90.520	125.5780
280.000000	90.463	125.0656
285.000000	90.382	124.4402
290.000000	90.299	123.8473
295.000000	90.217	123.2959
300.000000	90.136	122.7780
304.000000	90.070	122.3796
307.000000	90.022	122.0756
311.000000	89.966	121.6591
315.000000	89.912	121.2464
320.000000	89.840	120.7340
325.000000	89.758	120.2194
330.000000	89.669	119.7203
335.000000	89.583	119.2678
340.000000	89.507	118.8720
345.000000	89.439	118.5106
350.000000	89.372	118.1503
355.000000	89.302	117.7700
360.000000	89.230	117.3508
365.000000	89.162	116.8907
370.000000	89.097	116.4075
375.000000	89.029	115.9543
382.000000	88.927	115.4540
387.000000	88.849	115.1844
395.000000	88.728	114.7798
400.000000	88.660	114.4812
406.000000	88.588	114.0292
412.000000	88.524	113.5143
418.000000	88.464	113.0009
425.000000	88.390	112.4493
431.000000	88.322	112.0459
437.000000	88.247	111.7034
444.000000	88.146	111.3062
450.000000	88.054	110.9143
455.000000	87.977	110.5708
462.000000	87.878	110.1501
468.000000	87.805	109.8679
475.000000	87.739	109.5913
482.000000	87.693	109.3198
487.000000	87.664	109.1446
494.000000	87.618	108.9215
500.000000	87.565	108.7035
508.000000	87.475	108.3689
515.000000	87.391	108.0415
522.000000	87.305	107.6980
530.000000	87.203	107.3485
538.000000	87.100	106.9939
545.000000	87.013	106.6549
552.000000	86.935	106.3599
560.000000	86.864	106.1078
570.000000	86.799	105.8783
580.000000	86.725	105.8253
590.000000	86.635	105.9691
600.000000	86.561	106.1324
608.000000	86.522	106.1677
615.000000	86.495	106.1250
622.000000	86.463	106.0219
630.000000	86.411	105.8481
640.000000	86.330	105.5882
650.000000	86.240	105.3188
660.000000	86.144	105.0789
670.000000	86.055	104.8588
680.000000	85.984	104.5790
690.000000	85.928	104.2704
700.000000	85.887	104.1203
710.000000	85.861	104.2504
720.000000	85.843	104.5762
