* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at rear panel (Pink)(Realtek(R) Audio), MICROPHONE (마스), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2022. 12. 30 오후 3:22:10
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	82.429	-160.9637
20.600000	82.438	-161.1700
20.900000	82.453	-161.5139
21.200001	82.463	-161.7789
21.400000	82.467	-161.9225
21.799999	82.471	-162.1743
22.000000	82.473	-162.2946
22.400000	82.473	-162.5153
22.700001	82.475	-162.6567
23.000000	82.482	-162.7892
23.299999	82.495	-162.9377
23.600000	82.513	-163.1226
24.000000	82.538	-163.4355
24.299999	82.554	-163.6993
24.700001	82.570	-164.0394
25.000000	82.583	-164.2601
25.400000	82.608	-164.5193
25.799999	82.648	-164.8126
26.200001	82.696	-165.2292
26.500000	82.726	-165.6381
26.900000	82.745	-166.2610
27.200001	82.738	-166.7124
27.600000	82.709	-167.1958
28.000000	82.676	-167.4976
28.500000	82.656	-167.7067
29.000000	82.665	-167.9388
29.500000	82.679	-168.3011
30.000000	82.677	-168.7083
30.400000	82.669	-168.9794
30.700001	82.664	-169.1447
31.100000	82.665	-169.3571
31.500000	82.668	-169.5976
32.000000	82.664	-169.9067
32.500000	82.658	-170.1099
33.000000	82.679	-170.2170
33.500000	82.742	-170.4645
34.000000	82.807	-171.0774
34.500000	82.819	-171.9296
35.000000	82.766	-172.6281
35.500000	82.696	-172.8820
36.000000	82.663	-172.7924
36.500000	82.683	-172.6621
37.000000	82.730	-172.6796
37.500000	82.783	-172.8278
38.200001	82.855	-173.1973
38.700001	82.890	-173.5995
39.500000	82.877	-174.2059
40.000000	82.845	-174.3068
40.599998	82.835	-174.2183
41.200001	82.856	-174.3016
41.799999	82.849	-174.6763
42.500000	82.767	-175.0273
43.099998	82.687	-174.9211
43.700001	82.661	-174.6595
44.400002	82.694	-174.6500
45.000000	82.727	-174.9830
45.500000	82.746	-175.3559
46.200001	82.783	-175.9373
46.799999	82.827	-176.6085
47.500000	82.851	-177.6090
48.200001	82.821	-178.4551
48.700001	82.788	-178.7550
49.400002	82.771	-178.7854
50.000000	82.799	-178.6597
50.799999	82.885	-178.5686
51.500000	82.978	-178.8059
52.200001	83.032	-179.4408
53.000000	82.985	179.7659
53.799999	82.871	179.5486
54.500000	82.812	179.7922
55.200001	82.824	179.9822
56.000000	82.891	179.7655
57.000000	82.968	178.7956
58.000000	82.940	177.4623
59.000000	82.787	176.9171
60.000000	82.702	177.7372
60.799999	82.787	178.5244
61.500000	82.923	178.6881
62.200001	83.044	178.2798
63.000000	83.106	177.3312
64.000000	83.037	175.9727
65.000000	82.833	175.2947
66.000000	82.654	175.8342
67.000000	82.684	176.8040
68.000000	82.871	176.7337
69.000000	82.989	175.4707
70.000000	82.947	174.0844
71.000000	82.808	173.4126
72.000000	82.680	173.5870
73.000000	82.643	174.1464
74.000000	82.688	174.5229
75.000000	82.763	174.4703
76.199997	82.829	173.9401
77.500000	82.848	173.1709
78.800003	82.825	172.4372
80.000000	82.775	171.9203
81.199997	82.716	171.6260
82.500000	82.671	171.5334
83.800003	82.654	171.4906
85.000000	82.655	171.3988
86.199997	82.659	171.2432
87.500000	82.672	171.0780
88.500000	82.691	170.8592
90.000000	82.697	170.3627
91.199997	82.681	169.9786
92.500000	82.653	169.5866
93.800003	82.615	169.3080
95.000000	82.593	169.1608
96.199997	82.586	168.9740
97.500000	82.575	168.7196
98.800003	82.563	168.4528
100.000000	82.543	168.1818
101.500000	82.516	167.9158
103.000000	82.502	167.6296
104.400002	82.485	167.3263
106.000000	82.465	167.0862
107.500000	82.463	166.9065
109.000000	82.470	166.6483
110.599998	82.464	166.2656
112.000000	82.441	165.9383
113.800003	82.407	165.6072
115.000000	82.389	165.4132
117.199997	82.366	165.0739
118.000000	82.358	164.9417
120.599998	82.316	164.5724
122.000000	82.294	164.4681
124.099998	82.278	164.2605
125.000000	82.272	164.1290
126.500000	82.261	163.8815
128.000000	82.246	163.6124
131.500000	82.190	163.0264
132.000000	82.181	162.9636
134.000000	82.155	162.7697
136.000000	82.142	162.4904
138.000000	82.114	162.1716
140.000000	82.075	161.8858
143.000000	82.019	161.4594
145.000000	81.988	161.1172
147.500000	81.957	160.7018
150.000000	81.929	160.2901
152.500000	81.893	159.9321
155.000000	81.858	159.6765
157.500000	81.835	159.4594
160.000000	81.802	159.2288
162.500000	81.752	159.0757
165.000000	81.698	158.8485
167.500000	81.643	158.4679
170.000000	81.600	158.0466
172.500000	81.569	157.7486
175.000000	81.546	157.5903
177.500000	81.518	157.4165
180.000000	81.477	157.1816
182.500000	81.431	156.9285
185.000000	81.387	156.6676
187.500000	81.350	156.4091
190.000000	81.324	156.1765
192.500000	81.301	155.9242
195.000000	81.262	155.6611
197.500000	81.208	155.4771
200.000000	81.154	155.3117
203.000000	81.092	155.0857
206.000000	81.044	154.8486
209.000000	81.004	154.5954
212.000000	80.960	154.4076
214.000000	80.929	154.3250
218.000000	80.848	154.1247
220.000000	80.796	153.9944
224.000000	80.712	153.6968
227.000000	80.659	153.5123
230.000000	80.592	153.4569
233.000000	80.516	153.4587
236.000000	80.437	153.5501
240.000000	80.343	153.8122
243.000000	80.297	153.9243
247.000000	80.270	154.0385
250.000000	80.267	154.1379
254.000000	80.283	153.9804
258.000000	80.293	153.7527
262.000000	80.269	153.6033
265.000000	80.233	153.4703
269.000000	80.196	153.2383
272.000000	80.162	153.0070
276.000000	80.113	152.7711
280.000000	80.074	152.5930
285.000000	80.012	152.3545
290.000000	79.951	152.1356
295.000000	79.882	152.0290
300.000000	79.813	151.9510
304.000000	79.760	151.7768
307.000000	79.728	151.6429
311.000000	79.687	151.5392
315.000000	79.630	151.4225
320.000000	79.554	151.2356
325.000000	79.500	151.1301
330.000000	79.450	151.1093
335.000000	79.391	151.0542
340.000000	79.330	150.9998
345.000000	79.269	150.9796
350.000000	79.207	150.9530
355.000000	79.141	150.9224
360.000000	79.077	150.8873
365.000000	79.007	150.8803
370.000000	78.940	150.9324
375.000000	78.881	151.0000
382.000000	78.801	151.0485
387.000000	78.732	151.0716
395.000000	78.630	151.2393
400.000000	78.573	151.2820
406.000000	78.501	151.2655
412.000000	78.428	151.3065
418.000000	78.359	151.3694
425.000000	78.287	151.5215
431.000000	78.230	151.6669
437.000000	78.169	151.7857
444.000000	78.081	151.8722
450.000000	77.994	151.9749
455.000000	77.928	152.1268
462.000000	77.865	152.4800
468.000000	77.827	152.6968
475.000000	77.777	152.6917
482.000000	77.712	152.6400
487.000000	77.667	152.6873
494.000000	77.624	152.9771
500.000000	77.585	153.3673
508.000000	77.501	153.7038
515.000000	77.426	153.9023
522.000000	77.368	154.1349
530.000000	77.303	154.4261
538.000000	77.237	154.6750
545.000000	77.192	154.8845
552.000000	77.147	155.2053
560.000000	77.091	155.5721
570.000000	77.011	155.8947
580.000000	76.925	156.2931
590.000000	76.852	156.8506
600.000000	76.782	157.3838
608.000000	76.723	157.8174
615.000000	76.676	158.1684
622.000000	76.636	158.5491
630.000000	76.589	159.0472
640.000000	76.535	159.5865
650.000000	76.493	160.1621
660.000000	76.434	160.7395
670.000000	76.374	161.3268
680.000000	76.322	161.9684
690.000000	76.284	162.5233
700.000000	76.244	163.1346
710.000000	76.201	163.8304
720.000000	76.166	164.5428
730.000000	76.133	165.1637
740.000000	76.098	165.7589
750.000000	76.072	166.4036
762.000000	76.050	167.2108
775.000000	76.033	168.1667
788.000000	76.024	169.0771
800.000000	76.010	169.9433
812.000000	76.006	170.8334
825.000000	76.008	171.7233
838.000000	76.007	172.5952
850.000000	76.011	173.4868
862.000000	76.042	174.3440
875.000000	76.076	175.2043
885.000000	76.098	175.8753
900.000000	76.143	176.8849
912.000000	76.189	177.6667
925.000000	76.245	178.5183
938.000000	76.313	179.4055
950.000000	76.380	-179.7964
962.000000	76.448	-179.0871
975.000000	76.526	-178.3417
988.000000	76.616	-177.6157
1000.000000	76.703	-176.9962
1015.000000	76.805	-176.2589
1030.000000	76.920	-175.5695
1044.000000	77.038	-174.9982
1060.000000	77.166	-174.4353
1075.000000	77.286	-173.9337
1090.000000	77.412	-173.5294
1106.000000	77.555	-173.1980
1120.000000	77.682	-172.8978
1138.000000	77.842	-172.5463
1150.000000	77.951	-172.3647
1172.000000	78.150	-172.1112
1180.000000	78.217	-172.0575
1206.000000	78.426	-171.9594
1220.000000	78.534	-171.9308
1241.000000	78.694	-171.9258
1250.000000	78.761	-171.9427
1265.000000	78.868	-171.9641
1280.000000	78.973	-171.9640
1315.000000	79.198	-172.0620
1320.000000	79.226	-172.0844
1340.000000	79.336	-172.1917
1360.000000	79.440	-172.2749
1380.000000	79.542	-172.3414
