* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 22 오후 10:31:29
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.741	64.4742
20.600000	95.791	64.1870
20.900000	95.893	63.6697
21.200001	95.986	63.1642
21.400000	96.043	62.8295
21.799999	96.148	62.1438
22.000000	96.198	61.7918
22.400000	96.292	61.0940
22.700001	96.359	60.5895
23.000000	96.425	60.1024
23.299999	96.492	59.6286
23.600000	96.560	59.1638
24.000000	96.652	58.5552
24.299999	96.721	58.1102
24.700001	96.812	57.5411
25.000000	96.879	57.1363
25.400000	96.968	56.6222
25.799999	97.056	56.1217
26.200001	97.141	55.6155
26.500000	97.199	55.2270
26.900000	97.266	54.7029
27.200001	97.307	54.3170
27.600000	97.353	53.8283
28.000000	97.393	53.3772
28.500000	97.442	52.8467
29.000000	97.494	52.3027
29.500000	97.545	51.7114
30.000000	97.592	51.0882
30.400000	97.628	50.5947
30.700001	97.656	50.2358
31.100000	97.698	49.7647
31.500000	97.744	49.2843
32.000000	97.805	48.6511
32.500000	97.861	48.0024
33.000000	97.911	47.3986
33.500000	97.962	46.8810
34.000000	98.019	46.4375
34.500000	98.081	46.0185
35.000000	98.143	45.5871
35.500000	98.199	45.1391
36.000000	98.246	44.6933
36.500000	98.284	44.2690
37.000000	98.317	43.8745
37.500000	98.348	43.5014
38.200001	98.391	42.9737
38.700001	98.419	42.5700
39.500000	98.459	41.8997
40.000000	98.481	41.4978
40.599998	98.509	41.0470
41.200001	98.542	40.6217
41.799999	98.579	40.2070
42.500000	98.625	39.7137
43.099998	98.660	39.2839
43.700001	98.686	38.8908
44.400002	98.714	38.5159
45.000000	98.742	38.2247
45.500000	98.767	37.9578
46.200001	98.799	37.5430
46.799999	98.823	37.1741
47.500000	98.852	36.7172
48.200001	98.879	36.2214
48.700001	98.895	35.8723
49.400002	98.917	35.4269
50.000000	98.939	35.0746
50.799999	98.969	34.6354
51.500000	98.996	34.2987
52.200001	99.024	33.9933
53.000000	99.053	33.6515
53.799999	99.076	33.3263
54.500000	99.093	33.0464
55.200001	99.107	32.7468
56.000000	99.117	32.3917
57.000000	99.129	31.9553
58.000000	99.143	31.4975
59.000000	99.152	31.0582
60.000000	99.165	30.6873
60.799999	99.180	30.3952
61.500000	99.193	30.1385
62.200001	99.204	29.9025
63.000000	99.218	29.6449
64.000000	99.230	29.3106
65.000000	99.238	29.0045
66.000000	99.248	28.7087
67.000000	99.257	28.3901
68.000000	99.264	28.0821
69.000000	99.270	27.7635
70.000000	99.271	27.4397
71.000000	99.268	27.1468
72.000000	99.267	26.8770
73.000000	99.267	26.6105
74.000000	99.266	26.3363
75.000000	99.263	26.0984
76.199997	99.266	25.8628
77.500000	99.275	25.5537
78.800003	99.273	25.2269
80.000000	99.263	24.9657
81.199997	99.255	24.7363
82.500000	99.249	24.4895
83.800003	99.247	24.2319
85.000000	99.245	23.9833
86.199997	99.241	23.7630
87.500000	99.241	23.5589
88.500000	99.242	23.3859
90.000000	99.235	23.1278
91.199997	99.227	22.9535
92.500000	99.222	22.7469
93.800003	99.213	22.4987
95.000000	99.198	22.2787
96.199997	99.182	22.1003
97.500000	99.170	21.9298
98.800003	99.160	21.7733
100.000000	99.153	21.6451
101.500000	99.145	21.4723
103.000000	99.133	21.2930
104.400002	99.117	21.1190
106.000000	99.095	20.9574
107.500000	99.080	20.8087
109.000000	99.064	20.6308
110.599998	99.044	20.4517
112.000000	99.028	20.3273
113.800003	99.013	20.1824
115.000000	99.001	20.0919
117.199997	98.971	19.9868
118.000000	98.960	19.9599
120.599998	98.927	19.7838
122.000000	98.904	19.6354
124.099998	98.872	19.4625
125.000000	98.862	19.4040
126.500000	98.847	19.3150
128.000000	98.833	19.2438
131.500000	98.799	19.0658
132.000000	98.793	19.0316
134.000000	98.764	18.9108
136.000000	98.733	18.8221
138.000000	98.705	18.7592
140.000000	98.678	18.6788
143.000000	98.625	18.5379
145.000000	98.589	18.4797
147.500000	98.551	18.4222
150.000000	98.514	18.4138
152.500000	98.472	18.4159
155.000000	98.425	18.4021
157.500000	98.383	18.3378
160.000000	98.342	18.2524
162.500000	98.296	18.2425
165.000000	98.251	18.2638
167.500000	98.202	18.2630
170.000000	98.148	18.2885
172.500000	98.090	18.3434
175.000000	98.029	18.4068
177.500000	97.965	18.4588
180.000000	97.900	18.4869
182.500000	97.825	18.5136
185.000000	97.748	18.6109
187.500000	97.680	18.7535
190.000000	97.611	18.8898
192.500000	97.536	19.0355
195.000000	97.459	19.2321
197.500000	97.379	19.5709
200.000000	97.298	20.0951
203.000000	97.212	20.8451
206.000000	97.148	21.6301
209.000000	97.127	22.4943
212.000000	97.155	23.2899
214.000000	97.192	23.6971
218.000000	97.269	24.1989
220.000000	97.294	24.2981
224.000000	97.305	24.2510
227.000000	97.300	24.1580
230.000000	97.294	24.1358
233.000000	97.271	24.1544
236.000000	97.229	24.1591
240.000000	97.171	24.1855
243.000000	97.125	24.2677
247.000000	97.054	24.4876
250.000000	97.006	24.6463
254.000000	96.945	24.8291
258.000000	96.875	25.0719
262.000000	96.798	25.3520
265.000000	96.741	25.5693
269.000000	96.676	25.8617
272.000000	96.631	26.1011
276.000000	96.568	26.4488
280.000000	96.502	26.7681
285.000000	96.427	27.2226
290.000000	96.351	27.7247
295.000000	96.275	28.1788
300.000000	96.204	28.6654
304.000000	96.139	29.1117
307.000000	96.089	29.4301
311.000000	96.029	29.8109
315.000000	95.974	30.1963
320.000000	95.908	30.7403
325.000000	95.840	31.3136
330.000000	95.775	31.9103
335.000000	95.714	32.5601
340.000000	95.649	33.1940
345.000000	95.582	33.7720
350.000000	95.520	34.3629
355.000000	95.462	34.9894
360.000000	95.398	35.6283
365.000000	95.335	36.2026
370.000000	95.281	36.7409
375.000000	95.220	37.3179
382.000000	95.134	38.1979
387.000000	95.076	38.8085
395.000000	94.981	39.8461
400.000000	94.925	40.5170
406.000000	94.855	41.2457
412.000000	94.788	41.9468
418.000000	94.727	42.7137
425.000000	94.660	43.6867
431.000000	94.610	44.4573
437.000000	94.568	45.2012
444.000000	94.512	46.0568
450.000000	94.462	46.7313
455.000000	94.432	47.2780
462.000000	94.410	48.0178
468.000000	94.389	48.6741
475.000000	94.357	49.4193
482.000000	94.330	50.0698
487.000000	94.322	50.4709
494.000000	94.320	50.9140
500.000000	94.311	51.1351
508.000000	94.284	51.0865
515.000000	94.233	50.6852
522.000000	94.119	50.0434
530.000000	93.857	49.2361
538.000000	93.437	48.8412
545.000000	92.988	49.3704
552.000000	92.546	50.9595
560.000000	92.151	53.7916
570.000000	91.862	57.8408
580.000000	91.734	61.5226
590.000000	91.713	64.6579
600.000000	91.713	67.3331
608.000000	91.700	69.1012
615.000000	91.699	70.4785
622.000000	91.702	71.8683
630.000000	91.697	73.4633
640.000000	91.684	75.3657
650.000000	91.670	77.2125
660.000000	91.670	79.1000
670.000000	91.670	80.9921
680.000000	91.663	82.7567
690.000000	91.652	84.4352
700.000000	91.638	86.1483
710.000000	91.622	87.8972
720.000000	91.613	89.5965
730.000000	91.613	91.2575
740.000000	91.613	92.8907
750.000000	91.610	94.5289
762.000000	91.608	96.4727
775.000000	91.614	98.5903
788.000000	91.634	100.7141
800.000000	91.650	102.6321
812.000000	91.667	104.4776
825.000000	91.693	106.5262
838.000000	91.727	108.6099
850.000000	91.762	110.4998
862.000000	91.801	112.3441
875.000000	91.859	114.2468
885.000000	91.912	115.6948
900.000000	91.997	117.9073
912.000000	92.055	119.6741
925.000000	92.121	121.5329
938.000000	92.206	123.3359
950.000000	92.296	124.9450
962.000000	92.385	126.5045
975.000000	92.478	128.1477
988.000000	92.577	129.7794
1000.000000	92.678	131.2706
1015.000000	92.803	133.0766
1030.000000	92.925	134.7711
1044.000000	93.044	136.2896
1060.000000	93.186	138.0113
1075.000000	93.318	139.5546
1090.000000	93.449	140.9872
1106.000000	93.595	142.4300
1120.000000	93.726	143.6338
1138.000000	93.892	145.1755
1150.000000	93.999	146.1878
1172.000000	94.184	147.8940
1180.000000	94.252	148.4928
1206.000000	94.478	150.4820
1220.000000	94.601	151.5136
1241.000000	94.779	152.9433
1250.000000	94.851	153.5393
1265.000000	94.967	154.5095
1280.000000	95.081	155.4731
1315.000000	95.354	157.6093
1320.000000	95.393	157.8918
1340.000000	95.541	159.0480
1360.000000	95.680	160.2452
1380.000000	95.829	161.4186
1400.000000	95.988	162.5583
1430.000000	96.214	164.1859
1450.000000	96.366	165.2248
1475.000000	96.561	166.4554
1500.000000	96.764	167.5909
1525.000000	96.957	168.6931
1550.000000	97.150	169.8037
1575.000000	97.356	170.8290
1600.000000	97.564	171.7350
1625.000000	97.764	172.5651
1650.000000	97.959	173.3145
1675.000000	98.159	173.9595
1700.000000	98.361	174.5057
1725.000000	98.556	174.9613
1750.000000	98.743	175.3436
1775.000000	98.927	175.6389
1800.000000	99.106	175.8106
1825.000000	99.274	175.8170
1850.000000	99.427	175.6931
1875.000000	99.571	175.4903
1900.000000	99.705	175.1924
1925.000000	99.819	174.7679
1950.000000	99.910	174.2589
1975.000000	99.986	173.7224
2000.000000	100.048	173.1763
2030.000000	100.100	172.5278
2060.000000	100.123	171.8691
2090.000000	100.115	171.2002
2120.000000	100.081	170.5681
2140.000000	100.046	170.1875
2180.000000	99.942	169.5125
2200.000000	99.871	169.2068
2240.000000	99.707	168.7240
2270.000000	99.568	168.4883
2300.000000	99.415	168.3562
2330.000000	99.248	168.3292
2360.000000	99.070	168.3981
2400.000000	98.829	168.6688
2430.000000	98.654	169.0240
2470.000000	98.415	169.6609
2500.000000	98.237	170.2337
2540.000000	98.006	171.0971
2580.000000	97.784	172.0821
2620.000000	97.568	173.2075
2650.000000	97.407	174.0818
2690.000000	97.201	175.3132
2720.000000	97.059	176.3040
2760.000000	96.874	177.6873
2800.000000	96.695	179.1084
2850.000000	96.481	-179.0544
2900.000000	96.289	-177.1209
2950.000000	96.115	-175.1083
3000.000000	95.939	-173.0607
3040.000000	95.805	-171.4041
3070.000000	95.713	-170.1326
3110.000000	95.602	-168.3884
3150.000000	95.502	-166.5839
3200.000000	95.395	-164.2809
3250.000000	95.302	-161.9728
3300.000000	95.225	-159.6779
3350.000000	95.170	-157.3827
3400.000000	95.146	-154.9754
3450.000000	95.151	-152.4698
3500.000000	95.196	-150.0028
3550.000000	95.254	-147.6170
3600.000000	95.325	-145.2860
3650.000000	95.424	-142.9959
3700.000000	95.553	-140.7483
3750.000000	95.704	-138.5505
3820.000000	95.951	-135.6740
