* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 128k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 22 오후 10:30:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.030	67.8541
20.600000	90.071	67.5913
20.900000	90.154	67.1329
21.200001	90.230	66.7225
21.400000	90.278	66.4653
21.799999	90.371	65.9479
22.000000	90.417	65.6776
22.400000	90.505	65.1270
22.700001	90.568	64.7204
23.000000	90.631	64.3260
23.299999	90.697	63.9420
23.600000	90.767	63.5600
24.000000	90.867	63.0354
24.299999	90.944	62.6189
24.700001	91.046	62.0310
25.000000	91.118	61.5769
25.400000	91.205	60.9799
25.799999	91.282	60.4254
26.200001	91.352	59.9355
26.500000	91.402	59.6118
26.900000	91.466	59.2281
27.200001	91.514	58.9627
27.600000	91.578	58.6184
28.000000	91.643	58.2611
28.500000	91.724	57.7658
29.000000	91.797	57.2033
29.500000	91.857	56.5985
30.000000	91.904	56.0133
30.400000	91.937	55.5971
30.700001	91.964	55.3195
31.100000	92.007	54.9756
31.500000	92.059	54.6261
32.000000	92.132	54.1288
32.500000	92.203	53.5508
33.000000	92.262	52.9419
33.500000	92.308	52.3765
34.000000	92.346	51.9133
34.500000	92.382	51.5674
35.000000	92.424	51.3132
35.500000	92.474	51.0957
36.000000	92.532	50.8583
36.500000	92.589	50.5710
37.000000	92.641	50.2428
37.500000	92.684	49.9038
38.200001	92.737	49.4423
38.700001	92.773	49.1105
39.500000	92.831	48.5448
40.000000	92.865	48.1748
40.599998	92.904	47.7277
41.200001	92.937	47.3006
41.799999	92.966	46.9390
42.500000	93.004	46.6351
43.099998	93.048	46.4271
43.700001	93.100	46.1921
44.400002	93.152	45.8597
45.000000	93.182	45.5614
45.500000	93.195	45.3427
46.200001	93.202	45.1455
46.799999	93.216	45.0878
47.500000	93.259	44.9922
48.200001	93.312	44.6648
48.700001	93.334	44.3201
49.400002	93.341	43.8974
50.000000	93.347	43.6678
50.799999	93.378	43.3890
51.500000	93.407	43.1023
52.200001	93.435	42.8771
53.000000	93.483	42.6648
53.799999	93.533	42.3732
54.500000	93.563	42.1201
55.200001	93.590	41.9270
56.000000	93.623	41.7135
57.000000	93.654	41.4337
58.000000	93.676	41.1737
59.000000	93.689	40.9412
60.000000	93.705	40.7696
60.799999	93.726	40.5956
61.500000	93.744	40.4153
62.200001	93.765	40.2248
63.000000	93.788	39.9559
64.000000	93.795	39.6398
65.000000	93.804	39.5581
66.000000	93.844	39.4859
67.000000	93.879	39.2719
68.000000	93.896	39.0978
69.000000	93.912	38.9737
70.000000	93.927	38.8334
71.000000	93.936	38.6727
72.000000	93.939	38.5369
73.000000	93.943	38.4453
74.000000	93.951	38.3707
75.000000	93.961	38.3082
76.199997	93.976	38.2367
77.500000	93.987	38.1265
78.800003	93.995	38.0430
80.000000	94.006	37.9477
81.199997	94.019	37.8392
82.500000	94.038	37.6948
83.800003	94.054	37.5315
85.000000	94.061	37.4041
86.199997	94.064	37.3605
87.500000	94.075	37.3707
88.500000	94.089	37.3587
90.000000	94.110	37.3064
91.199997	94.126	37.2449
92.500000	94.138	37.1970
93.800003	94.146	37.1772
95.000000	94.152	37.1802
96.199997	94.156	37.1782
97.500000	94.157	37.1664
98.800003	94.161	37.1766
100.000000	94.176	37.1436
101.500000	94.185	36.9808
103.000000	94.172	36.9077
104.400002	94.168	36.9615
106.000000	94.180	36.9845
107.500000	94.195	36.9494
109.000000	94.210	36.8811
110.599998	94.217	36.8531
112.000000	94.218	36.9088
113.800003	94.216	37.0435
115.000000	94.215	37.1419
117.199997	94.221	37.2341
118.000000	94.224	37.2294
120.599998	94.222	37.2665
122.000000	94.227	37.3763
124.099998	94.238	37.5085
125.000000	94.240	37.5534
126.500000	94.242	37.6123
128.000000	94.246	37.6623
131.500000	94.258	37.7688
132.000000	94.260	37.8038
134.000000	94.267	37.9499
136.000000	94.272	38.0426
138.000000	94.272	38.1089
140.000000	94.271	38.2097
143.000000	94.261	38.4474
145.000000	94.253	38.6413
147.500000	94.248	38.7861
150.000000	94.239	38.9011
152.500000	94.232	39.0827
155.000000	94.233	39.2564
157.500000	94.243	39.3861
160.000000	94.256	39.5079
162.500000	94.255	39.6699
165.000000	94.244	39.9311
167.500000	94.240	40.1871
170.000000	94.230	40.3358
172.500000	94.206	40.4615
175.000000	94.190	40.6236
177.500000	94.185	40.8390
180.000000	94.177	41.1025
182.500000	94.159	41.3650
185.000000	94.140	41.5696
187.500000	94.131	41.7337
190.000000	94.124	41.8857
192.500000	94.106	42.0424
195.000000	94.085	42.2433
197.500000	94.073	42.4754
200.000000	94.058	42.6749
203.000000	94.029	42.8910
206.000000	94.000	43.1051
209.000000	93.962	43.3473
212.000000	93.910	43.6851
214.000000	93.884	43.9242
218.000000	93.845	44.3569
220.000000	93.816	44.6086
224.000000	93.733	45.2075
227.000000	93.666	45.7178
230.000000	93.610	46.3779
233.000000	93.572	47.2444
236.000000	93.566	48.2190
240.000000	93.619	49.2981
243.000000	93.677	49.8928
247.000000	93.741	50.4361
250.000000	93.773	50.6828
254.000000	93.807	50.9267
258.000000	93.811	51.2197
262.000000	93.800	51.5411
265.000000	93.792	51.7209
269.000000	93.777	51.9773
272.000000	93.759	52.2582
276.000000	93.742	52.6379
280.000000	93.733	52.9446
285.000000	93.716	53.4340
290.000000	93.685	53.9831
295.000000	93.659	54.4957
300.000000	93.640	54.9898
304.000000	93.618	55.4027
307.000000	93.596	55.7581
311.000000	93.563	56.2715
315.000000	93.536	56.7867
320.000000	93.505	57.3464
325.000000	93.477	57.8846
330.000000	93.452	58.5005
335.000000	93.429	59.1295
340.000000	93.402	59.7295
345.000000	93.365	60.3198
350.000000	93.321	60.9118
355.000000	93.282	61.5364
360.000000	93.239	62.2019
365.000000	93.194	62.8017
370.000000	93.148	63.4383
375.000000	93.092	64.1702
382.000000	93.025	65.1496
387.000000	93.002	65.8201
395.000000	92.951	66.8830
400.000000	92.911	67.5690
406.000000	92.875	68.4274
412.000000	92.840	69.2544
418.000000	92.798	70.0657
425.000000	92.738	71.0201
431.000000	92.680	71.8328
437.000000	92.632	72.6179
444.000000	92.583	73.5446
450.000000	92.533	74.3926
455.000000	92.489	75.1129
462.000000	92.436	76.1187
468.000000	92.396	77.0142
475.000000	92.352	78.0522
482.000000	92.298	79.0738
487.000000	92.264	79.7975
494.000000	92.234	80.8105
500.000000	92.213	81.6629
508.000000	92.172	82.7256
515.000000	92.128	83.6885
522.000000	92.086	84.7410
530.000000	92.046	85.9662
538.000000	92.004	87.1467
545.000000	91.961	88.1406
552.000000	91.924	89.1029
560.000000	91.898	90.2035
570.000000	91.877	91.5158
580.000000	91.860	92.7887
590.000000	91.834	94.0024
600.000000	91.811	95.1209
608.000000	91.789	95.8449
615.000000	91.757	96.2649
622.000000	91.706	96.5434
630.000000	91.611	96.7122
640.000000	91.385	96.7859
650.000000	91.010	97.3975
660.000000	90.620	99.4354
670.000000	90.398	102.1536
680.000000	90.222	104.1781
690.000000	89.933	106.2250
700.000000	89.657	109.2811
710.000000	89.518	112.8289
720.000000	89.497	116.1480
730.000000	89.523	119.1161
740.000000	89.563	121.8112
750.000000	89.611	124.2550
762.000000	89.669	126.9525
775.000000	89.724	129.6267
788.000000	89.767	132.1465
800.000000	89.786	134.4789
812.000000	89.812	136.8062
825.000000	89.864	139.2433
838.000000	89.920	141.6830
850.000000	89.960	143.9219
862.000000	90.004	146.1519
875.000000	90.066	148.5774
885.000000	90.115	150.4101
900.000000	90.184	153.0898
912.000000	90.243	155.1623
925.000000	90.314	157.3212
938.000000	90.393	159.5471
950.000000	90.475	161.6089
962.000000	90.554	163.5750
975.000000	90.639	165.6486
988.000000	90.733	167.6938
1000.000000	90.827	169.5791
1015.000000	90.941	171.8884
1030.000000	91.047	174.0634
1044.000000	91.162	176.0052
1060.000000	91.305	178.2321
1075.000000	91.433	-179.7228
1090.000000	91.555	-177.8015
1106.000000	91.692	-175.8457
1120.000000	91.814	-174.1249
1138.000000	91.970	-171.9859
1150.000000	92.068	-170.6081
1172.000000	92.246	-168.2102
1180.000000	92.313	-167.3604
1206.000000	92.526	-164.5558
1220.000000	92.632	-163.0646
1241.000000	92.786	-160.9071
1250.000000	92.851	-159.9923
1265.000000	92.957	-158.4872
1280.000000	93.061	-157.0110
1315.000000	93.302	-153.6122
1320.000000	93.337	-153.1381
1340.000000	93.471	-151.2366
1360.000000	93.595	-149.3021
1380.000000	93.721	-147.4066
1400.000000	93.857	-145.5826
1430.000000	94.069	-142.8147
1450.000000	94.210	-140.9483
1475.000000	94.385	-138.6739
1500.000000	94.570	-136.4991
1525.000000	94.747	-134.3104
1550.000000	94.925	-132.1243
1575.000000	95.115	-129.9580
1600.000000	95.312	-127.8916
1625.000000	95.510	-125.8564
1650.000000	95.713	-123.8769
1675.000000	95.923	-121.9801
1700.000000	96.134	-120.1673
1725.000000	96.347	-118.4228
1750.000000	96.565	-116.7128
1775.000000	96.790	-115.0641
1800.000000	97.021	-113.5078
1825.000000	97.253	-112.0783
1850.000000	97.479	-110.7604
1875.000000	97.710	-109.5325
1900.000000	97.949	-108.3987
1925.000000	98.189	-107.3922
1950.000000	98.422	-106.5203
1975.000000	98.652	-105.7794
2000.000000	98.876	-105.1541
2030.000000	99.133	-104.5679
2060.000000	99.373	-104.1896
2090.000000	99.593	-103.9799
2120.000000	99.796	-103.8946
2140.000000	99.920	-103.9092
2180.000000	100.126	-104.1320
2200.000000	100.207	-104.3327
2240.000000	100.322	-104.8605
2270.000000	100.370	-105.2890
2300.000000	100.388	-105.6958
2330.000000	100.372	-106.0797
2360.000000	100.323	-106.4334
2400.000000	100.212	-106.8195
2430.000000	100.094	-106.9968
2470.000000	99.898	-107.1046
2500.000000	99.731	-107.0697
2540.000000	99.492	-106.8339
2580.000000	99.231	-106.3214
2620.000000	98.946	-105.4888
2650.000000	98.727	-104.6718
2690.000000	98.445	-103.3737
2720.000000	98.236	-102.2697
2760.000000	97.950	-100.6204
2800.000000	97.661	-98.8156
2850.000000	97.325	-96.3317
2900.000000	97.028	-93.5265
2950.000000	96.746	-90.5376
3000.000000	96.470	-87.4618
3040.000000	96.270	-84.9061
3070.000000	96.136	-82.9475
3110.000000	95.972	-80.2950
3150.000000	95.819	-77.5783
3200.000000	95.647	-74.0758
3250.000000	95.513	-70.4616
3300.000000	95.408	-66.8623
3350.000000	95.313	-63.3403
3400.000000	95.239	-59.8501
3450.000000	95.198	-56.3202
3500.000000	95.188	-52.7448
3550.000000	95.198	-49.1572
3600.000000	95.230	-45.5625
3650.000000	95.284	-41.9555
3700.000000	95.360	-38.3585
3750.000000	95.461	-34.8643
3820.000000	95.633	-30.1735
3870.000000	95.771	-26.9257
3950.000000	96.042	-21.9808
4000.000000	96.243	-19.0391
4060.000000	96.516	-15.6179
4120.000000	96.833	-12.3192
4180.000000	97.188	-9.2338
4250.000000	97.654	-6.0112
4310.000000	98.097	-3.6689
4370.000000	98.563	-1.7668
4440.000000	99.120	-0.2493
4500.000000	99.617	0.3307
4550.000000	100.035	0.2968
4620.000000	100.580	-0.6034
4680.000000	100.974	-2.1882
4750.000000	101.316	-4.8565
4820.000000	101.500	-8.0691
4870.000000	101.526	-10.4445
4940.000000	101.429	-13.6445
5000.000000	101.237	-16.1843
5080.000000	100.839	-19.1708
5150.000000	100.390	-21.2574
5220.000000	99.870	-22.7169
5300.000000	99.180	-23.5479
5380.000000	98.422	-23.4261
5450.000000	97.755	-22.4824
5520.000000	97.115	-20.8048
5600.000000	96.444	-18.2609
5700.000000	95.729	-14.4270
5800.000000	95.154	-10.2659
5900.000000	94.670	-6.0866
6000.000000	94.260	-1.9280
6080.000000	93.984	1.5184
6150.000000	93.766	4.6177
6220.000000	93.560	7.7864
6300.000000	93.354	11.5671
6400.000000	93.175	16.5176
6500.000000	93.059	21.5712
6600.000000	93.012	26.5684
6700.000000	93.067	31.4811
6800.000000	93.218	36.1392
6900.000000	93.463	40.3700
7000.000000	93.780	44.1965
7100.000000	94.148	47.8157
7200.000000	94.580	51.4827
7300.000000	95.114	55.1888
7400.000000	95.793	58.6447
7500.000000	96.684	61.3439
7620.000000	98.046	62.5848
7750.000000	99.659	59.7483
7880.000000	100.927	51.2795
8000.000000	101.416	39.6700
8120.000000	101.098	27.8757
8250.000000	100.008	18.3671
8380.000000	98.551	13.2103
8500.000000	97.206	11.6713
8620.000000	96.003	12.2853
8750.000000	94.883	14.3206
8850.000000	94.142	16.4115
9000.000000	93.229	20.1301
9120.000000	92.651	23.4934
9250.000000	92.154	27.2488
9380.000000	91.767	30.9144
9500.000000	91.496	34.1404
9620.000000	91.306	37.2342
9750.000000	91.186	40.4021
9880.000000	91.149	43.3981
10000.000000	91.187	46.0656
10150.000000	91.308	49.2556
10300.000000	91.514	52.1279
10440.000000	91.772	54.3234
10600.000000	92.144	56.2092
10750.000000	92.561	57.4745
10900.000000	93.025	58.1797
11060.000000	93.562	58.1527
11200.000000	94.053	57.3759
11380.000000	94.687	55.3443
11500.000000	95.095	53.3673
11720.000000	95.769	48.6842
11800.000000	95.974	46.6764
12060.000000	96.407	39.0346
12200.000000	96.502	34.4243
12410.000000	96.483	27.3623
12500.000000	96.424	24.3684
12650.000000	96.273	19.5173
12800.000000	96.101	14.9586
13150.000000	95.755	5.6206
13200.000000	95.725	4.4406
13400.000000	95.677	-0.0751
13600.000000	95.767	-4.7666
13800.000000	96.056	-9.9178
14000.000000	96.610	-15.8579
14300.000000	97.937	-29.0776
14500.000000	98.812	-43.6031
14750.000000	99.102	-68.4944
15000.000000	97.973	-94.2032
15250.000000	95.734	-113.0203
15500.000000	93.252	-124.6466
15750.000000	91.188	-132.1906
16000.000000	89.794	-137.6686
16250.000000	89.075	-142.6688
16500.000000	89.075	-149.0366
16750.000000	89.734	-160.1715
17000.000000	90.526	179.0808
17250.000000	90.365	147.1775
17500.000000	88.307	115.0526
17750.000000	84.482	96.7500
18000.000000	80.205	89.8088
18250.000000	76.649	86.5852
18500.000000	73.880	84.2923
18750.000000	71.596	82.2969
19000.000000	69.723	80.5586
19250.000000	68.218	78.9101
19500.000000	67.031	77.1143
19750.000000	66.224	74.6846
20000.000000	65.852	72.5887
