* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 22 오후 9:18:32
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.680	-116.8556
20.600000	86.706	-117.2584
20.900000	86.757	-117.8710
21.200001	86.802	-118.1702
21.400000	86.840	-118.2234
21.799999	86.958	-118.2095
22.000000	87.041	-118.2601
22.400000	87.233	-118.6614
22.700001	87.374	-119.2637
23.000000	87.487	-120.0597
23.299999	87.566	-120.9050
23.600000	87.617	-121.6751
24.000000	87.666	-122.4564
24.299999	87.712	-122.8594
24.700001	87.805	-123.2744
25.000000	87.897	-123.6072
25.400000	88.034	-124.1713
25.799999	88.168	-124.8585
26.200001	88.292	-125.5865
26.500000	88.378	-126.1248
26.900000	88.486	-126.8318
27.200001	88.561	-127.3651
27.600000	88.648	-128.0736
28.000000	88.719	-128.7247
28.500000	88.796	-129.3610
29.000000	88.883	-129.8135
29.500000	88.991	-130.2519
30.000000	89.107	-130.8446
30.400000	89.189	-131.4236
30.700001	89.239	-131.8705
31.100000	89.294	-132.4203
31.500000	89.344	-132.8975
32.000000	89.412	-133.4319
32.500000	89.490	-133.9762
33.000000	89.577	-134.5853
33.500000	89.668	-135.2728
34.000000	89.754	-136.0303
34.500000	89.827	-136.8183
35.000000	89.885	-137.5662
35.500000	89.938	-138.2168
36.000000	89.995	-138.7815
36.500000	90.057	-139.3020
37.000000	90.122	-139.7897
37.500000	90.192	-140.2357
38.200001	90.310	-140.8750
38.700001	90.404	-141.4707
39.500000	90.514	-142.7297
40.000000	90.538	-143.5213
40.599998	90.537	-144.2437
41.200001	90.542	-144.6808
41.799999	90.576	-144.9891
42.500000	90.646	-145.3831
43.099998	90.722	-145.7604
43.700001	90.822	-146.1832
44.400002	90.969	-146.9953
45.000000	91.074	-148.2007
45.500000	91.096	-149.4291
46.200001	91.005	-150.8097
46.799999	90.882	-151.1384
47.500000	90.829	-150.6903
48.200001	90.922	-150.1874
48.700001	91.045	-150.1500
49.400002	91.231	-150.6451
50.000000	91.369	-151.5087
50.799999	91.480	-153.0463
