* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 22 오후 9:33:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	87.370	-118.9659
20.600000	87.411	-119.2841
20.900000	87.487	-119.8128
21.200001	87.542	-120.2027
21.400000	87.574	-120.3781
21.799999	87.645	-120.6100
22.000000	87.691	-120.7162
22.400000	87.804	-121.0102
22.700001	87.898	-121.3587
23.000000	87.988	-121.8278
23.299999	88.067	-122.3727
23.600000	88.135	-122.9412
24.000000	88.215	-123.6659
24.299999	88.275	-124.1642
24.700001	88.362	-124.7938
25.000000	88.432	-125.2718
25.400000	88.525	-125.9363
25.799999	88.610	-126.5996
26.200001	88.686	-127.2025
26.500000	88.741	-127.5961
26.900000	88.814	-128.0534
27.200001	88.870	-128.3677
27.600000	88.945	-128.7709
28.000000	89.020	-129.1563
28.500000	89.113	-129.5956
29.000000	89.210	-130.0168
29.500000	89.312	-130.5170
30.000000	89.402	-131.1651
30.400000	89.454	-131.7429
30.700001	89.480	-132.1529
31.100000	89.503	-132.5986
31.500000	89.525	-132.9118
32.000000	89.572	-133.1956
32.500000	89.645	-133.5170
33.000000	89.730	-133.9831
33.500000	89.811	-134.5692
34.000000	89.882	-135.1859
34.500000	89.943	-135.7791
35.000000	90.000	-136.3484
35.500000	90.052	-136.8995
36.000000	90.096	-137.4175
36.500000	90.134	-137.8794
37.000000	90.172	-138.2828
37.500000	90.210	-138.6524
38.200001	90.264	-139.1574
38.700001	90.301	-139.5131
39.500000	90.359	-140.0663
40.000000	90.398	-140.4095
40.599998	90.447	-140.8343
41.200001	90.502	-141.3049
41.799999	90.553	-141.8375
42.500000	90.599	-142.4548
43.099998	90.633	-142.8574
43.700001	90.682	-143.1561
44.400002	90.756	-143.5652
45.000000	90.811	-144.0426
45.500000	90.840	-144.4342
46.200001	90.869	-144.8248
46.799999	90.906	-145.0508
47.500000	90.964	-145.3865
48.200001	91.013	-145.8715
48.700001	91.034	-146.2487
49.400002	91.050	-146.7155
50.000000	91.065	-147.0360
50.799999	91.105	-147.4317
51.500000	91.149	-147.8449
52.200001	91.186	-148.3091
53.000000	91.220	-148.7753
53.799999	91.264	-149.1470
54.500000	91.313	-149.4848
55.200001	91.361	-149.8648
56.000000	91.405	-150.3042
57.000000	91.442	-150.7617
58.000000	91.483	-151.1282
59.000000	91.525	-151.5946
60.000000	91.541	-152.0946
60.799999	91.555	-152.4298
61.500000	91.575	-152.7425
62.200001	91.590	-153.0801
63.000000	91.602	-153.4050
64.000000	91.636	-153.7204
65.000000	91.683	-154.1042
66.000000	91.723	-154.5735
67.000000	91.748	-155.0842
68.000000	91.752	-155.5547
69.000000	91.753	-155.8995
70.000000	91.768	-156.2062
71.000000	91.791	-156.5430
72.000000	91.819	-156.8956
73.000000	91.847	-157.2800
74.000000	91.864	-157.6227
75.000000	91.882	-157.8525
76.199997	91.915	-158.1366
77.500000	91.938	-158.4610
78.800003	91.960	-158.7548
80.000000	91.983	-159.1164
81.199997	91.996	-159.5762
82.500000	92.005	-160.0022
83.800003	92.026	-160.3969
85.000000	92.044	-160.7483
86.199997	92.064	-161.0372
87.500000	92.086	-161.3191
88.500000	92.103	-161.5142
90.000000	92.133	-161.7742
91.199997	92.159	-162.0219
92.500000	92.181	-162.3541
93.800003	92.194	-162.6996
95.000000	92.199	-162.9900
96.199997	92.208	-163.2121
97.500000	92.235	-163.4787
98.800003	92.254	-163.8201
