* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 22 오후 9:52:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.523	-130.1865
20.600000	89.567	-130.3795
20.900000	89.654	-130.7458
21.200001	89.730	-131.1516
21.400000	89.773	-131.4398
21.799999	89.841	-132.0397
22.000000	89.870	-132.3364
22.400000	89.921	-132.8871
22.700001	89.961	-133.2636
23.000000	90.007	-133.6360
23.299999	90.058	-134.0408
23.600000	90.111	-134.4978
24.000000	90.177	-135.1831
24.299999	90.220	-135.7138
24.700001	90.269	-136.3732
25.000000	90.306	-136.8018
25.400000	90.364	-137.2994
25.799999	90.439	-137.7888
26.200001	90.524	-138.3529
26.500000	90.584	-138.8404
26.900000	90.649	-139.5430
27.200001	90.685	-140.0638
27.600000	90.720	-140.6990
28.000000	90.751	-141.2553
28.500000	90.790	-141.8875
29.000000	90.822	-142.4855
29.500000	90.845	-143.0030
30.000000	90.874	-143.3993
30.400000	90.915	-143.6824
30.700001	90.957	-143.9289
31.100000	91.016	-144.3556
31.500000	91.065	-144.8853
32.000000	91.100	-145.5740
32.500000	91.117	-146.1374
33.000000	91.141	-146.5526
33.500000	91.185	-146.9352
34.000000	91.236	-147.3766
34.500000	91.276	-147.8358
35.000000	91.309	-148.2292
35.500000	91.350	-148.5726
36.000000	91.399	-148.9849
36.500000	91.435	-149.5212
37.000000	91.443	-150.0672
37.500000	91.430	-150.4541
38.200001	91.435	-150.7167
38.700001	91.473	-150.9444
39.500000	91.535	-151.7025
40.000000	91.545	-152.2419
40.599998	91.545	-152.7291
41.200001	91.567	-153.1155
41.799999	91.603	-153.5698
42.500000	91.635	-154.1097
43.099998	91.667	-154.4314
43.700001	91.723	-154.7490
44.400002	91.785	-155.3241
45.000000	91.805	-155.8700
45.500000	91.806	-156.1988
46.200001	91.820	-156.5004
46.799999	91.842	-156.7863
47.500000	91.856	-157.1726
48.200001	91.861	-157.4727
48.700001	91.874	-157.6438
49.400002	91.907	-157.9532
50.000000	91.937	-158.3365
50.799999	91.960	-158.9190
51.500000	91.963	-159.3510
52.200001	91.966	-159.6757
53.000000	91.981	-160.0085
53.799999	91.995	-160.3471
54.500000	92.005	-160.6106
55.200001	92.020	-160.8460
56.000000	92.047	-161.1304
57.000000	92.082	-161.5860
58.000000	92.102	-162.1634
59.000000	92.101	-162.6436
60.000000	92.110	-163.0264
60.799999	92.122	-163.3838
61.500000	92.126	-163.6879
62.200001	92.127	-163.9287
63.000000	92.132	-164.1334
64.000000	92.154	-164.3856
65.000000	92.175	-164.7321
66.000000	92.180	-165.0919
67.000000	92.185	-165.4030
68.000000	92.197	-165.7380
69.000000	92.208	-166.1103
70.000000	92.216	-166.4693
71.000000	92.229	-166.8099
72.000000	92.244	-167.1754
73.000000	92.249	-167.5380
74.000000	92.250	-167.8178
75.000000	92.262	-168.0813
76.199997	92.280	-168.4946
77.500000	92.286	-168.9834
78.800003	92.283	-169.3870
80.000000	92.291	-169.6955
81.199997	92.306	-170.0381
82.500000	92.309	-170.3972
83.800003	92.306	-170.5981
85.000000	92.314	-170.7747
86.199997	92.314	-171.0364
87.500000	92.298	-171.3125
88.500000	92.291	-171.4942
90.000000	92.297	-171.8790
91.199997	92.289	-172.2581
92.500000	92.276	-172.5717
