* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 22 오후 9:59:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.094	5.3261
20.600000	97.097	5.1932
20.900000	97.101	4.9621
21.200001	97.099	4.7584
21.400000	97.094	4.6335
21.799999	97.082	4.3824
22.000000	97.076	4.2452
22.400000	97.066	3.9372
22.700001	97.060	3.6737
23.000000	97.054	3.3818
23.299999	97.048	3.0659
23.600000	97.041	2.7328
24.000000	97.034	2.2770
24.299999	97.031	1.9398
24.700001	97.032	1.5076
25.000000	97.037	1.1969
25.400000	97.047	0.7954
25.799999	97.061	0.4075
26.200001	97.076	0.0399
26.500000	97.087	-0.2180
26.900000	97.100	-0.5385
27.200001	97.107	-0.7654
27.600000	97.116	-1.0565
28.000000	97.120	-1.3374
28.500000	97.120	-1.6638
29.000000	97.112	-1.9475
29.500000	97.102	-2.2029
30.000000	97.093	-2.4780
30.400000	97.086	-2.7324
30.700001	97.079	-2.9381
31.100000	97.066	-3.2159
31.500000	97.050	-3.4883
32.000000	97.033	-3.8304
32.500000	97.019	-4.1982
33.000000	97.007	-4.5969
33.500000	96.997	-4.9995
34.000000	96.990	-5.3756
34.500000	96.985	-5.7233
35.000000	96.984	-6.0528
35.500000	96.984	-6.3654
36.000000	96.984	-6.6581
36.500000	96.984	-6.9323
37.000000	96.983	-7.1935
37.500000	96.981	-7.4482
38.200001	96.974	-7.8042
38.700001	96.967	-8.0687
39.500000	96.950	-8.5387
40.000000	96.932	-8.8581
40.599998	96.904	-9.2352
41.200001	96.873	-9.5690
41.799999	96.849	-9.8606
42.500000	96.838	-10.2108
43.099998	96.836	-10.5706
43.700001	96.828	-10.9622
44.400002	96.810	-11.3812
45.000000	96.794	-11.6848
45.500000	96.787	-11.9245
46.200001	96.779	-12.2672
46.799999	96.771	-12.5534
47.500000	96.761	-12.8716
48.200001	96.750	-13.2088
48.700001	96.739	-13.4604
49.400002	96.718	-13.7867
50.000000	96.703	-14.0338
50.799999	96.692	-14.3679
51.500000	96.683	-14.6891
52.200001	96.668	-15.0190
53.000000	96.649	-15.3846
53.799999	96.629	-15.7388
54.500000	96.609	-16.0453
55.200001	96.588	-16.3355
56.000000	96.566	-16.6370
57.000000	96.542	-17.0094
58.000000	96.519	-17.4140
59.000000	96.494	-17.8419
60.000000	96.462	-18.2868
60.799999	96.435	-18.6308
61.500000	96.414	-18.9081
62.200001	96.396	-19.1785
63.000000	96.377	-19.5070
64.000000	96.347	-19.9172
65.000000	96.312	-20.2649
66.000000	96.280	-20.5884
67.000000	96.248	-20.9143
68.000000	96.217	-21.2362
69.000000	96.189	-21.5765
70.000000	96.160	-21.9529
71.000000	96.129	-22.3253
72.000000	96.099	-22.6644
73.000000	96.074	-22.9977
74.000000	96.047	-23.3331
75.000000	96.018	-23.6657
76.199997	95.976	-24.0466
77.500000	95.927	-24.4183
78.800003	95.881	-24.7954
80.000000	95.838	-25.1884
81.199997	95.797	-25.6056
82.500000	95.756	-26.0454
83.800003	95.718	-26.4330
85.000000	95.685	-26.7557
86.199997	95.652	-27.0676
87.500000	95.609	-27.4247
88.500000	95.571	-27.6832
90.000000	95.521	-28.0572
91.199997	95.484	-28.3814
92.500000	95.446	-28.7524
93.800003	95.409	-29.1256
95.000000	95.371	-29.4632
96.199997	95.329	-29.7767
97.500000	95.285	-30.1029
98.800003	95.240	-30.4457
100.000000	95.193	-30.7608
101.500000	95.136	-31.1105
103.000000	95.089	-31.4451
104.400002	95.047	-31.7591
106.000000	94.999	-32.0739
107.500000	94.958	-32.3837
109.000000	94.910	-32.7259
110.599998	94.851	-33.0723
112.000000	94.798	-33.3615
113.800003	94.735	-33.7210
115.000000	94.697	-33.9663
117.199997	94.630	-34.3862
118.000000	94.607	-34.5212
120.599998	94.533	-34.9185
122.000000	94.494	-35.1485
124.099998	94.433	-35.5331
125.000000	94.406	-35.7023
126.500000	94.361	-35.9778
128.000000	94.314	-36.2366
131.500000	94.195	-36.8883
132.000000	94.175	-36.9806
134.000000	94.102	-37.3135
136.000000	94.040	-37.6360
138.000000	93.979	-37.9653
140.000000	93.917	-38.2201
143.000000	93.831	-38.6021
145.000000	93.769	-38.8942
147.500000	93.684	-39.2464
150.000000	93.604	-39.5445
152.500000	93.527	-39.8448
155.000000	93.452	-40.1707
157.500000	93.375	-40.4739
160.000000	93.300	-40.7529
162.500000	93.222	-41.0949
165.000000	93.136	-41.4642
167.500000	93.048	-41.7503
170.000000	92.974	-41.9536
172.500000	92.900	-42.1929
