* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone(High Definition Audio Device), MICROPHONE (마스), R, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 2023. 2. 22 오후 10:10:48
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.449	-177.9052
20.600000	97.450	-177.9994
20.900000	97.450	-178.1600
21.200001	97.449	-178.2971
21.400000	97.447	-178.3885
21.799999	97.444	-178.6042
22.000000	97.441	-178.7379
22.400000	97.432	-179.0515
22.700001	97.423	-179.3098
23.000000	97.413	-179.5740
23.299999	97.403	-179.8416
23.600000	97.396	179.8828
24.000000	97.391	179.4944
24.299999	97.391	179.1872
24.700001	97.394	178.7675
25.000000	97.396	178.4566
25.400000	97.401	178.0588
25.799999	97.409	177.6838
26.200001	97.419	177.3275
26.500000	97.426	177.0691
26.900000	97.431	176.7373
27.200001	97.433	176.5020
27.600000	97.432	176.2112
28.000000	97.431	175.9441
28.500000	97.428	175.6264
29.000000	97.422	175.3093
29.500000	97.409	174.9881
30.000000	97.394	174.6606
30.400000	97.381	174.3920
30.700001	97.371	174.1884
31.100000	97.357	173.9187
31.500000	97.342	173.6537
32.000000	97.326	173.3254
32.500000	97.314	172.9855
33.000000	97.308	172.6164
33.500000	97.305	172.2202
34.000000	97.303	171.8207
34.500000	97.298	171.4420
35.000000	97.291	171.0949
35.500000	97.286	170.7786
36.000000	97.281	170.4830
36.500000	97.275	170.2010
37.000000	97.269	169.9296
37.500000	97.260	169.6613
38.200001	97.244	169.2761
38.700001	97.228	169.0001
39.500000	97.199	168.5890
40.000000	97.184	168.3366
40.599998	97.173	167.9850
41.200001	97.158	167.5556
41.799999	97.133	167.1107
42.500000	97.097	166.6888
43.099998	97.076	166.4163
43.700001	97.068	166.1467
44.400002	97.058	165.7795
45.000000	97.045	165.4526
45.500000	97.032	165.2043
46.200001	97.018	164.8857
46.799999	97.009	164.6028
47.500000	96.994	164.2438
48.200001	96.971	163.8921
48.700001	96.954	163.6649
49.400002	96.935	163.3546
50.000000	96.921	163.0576
50.799999	96.899	162.6403
51.500000	96.875	162.3144
52.200001	96.854	162.0075
53.000000	96.830	161.6392
53.799999	96.804	161.2800
54.500000	96.782	160.9783
55.200001	96.763	160.6674
56.000000	96.740	160.3004
57.000000	96.705	159.8633
58.000000	96.673	159.4476
59.000000	96.638	159.0059
60.000000	96.593	158.6101
60.799999	96.564	158.3127
61.500000	96.541	158.0290
62.200001	96.513	157.7595
63.000000	96.485	157.4784
64.000000	96.456	157.0731
65.000000	96.412	156.6667
66.000000	96.364	156.3596
67.000000	96.325	156.0978
68.000000	96.295	155.8067
69.000000	96.263	155.4429
70.000000	96.219	155.0746
71.000000	96.175	154.7610
72.000000	96.140	154.4449
